<br><font color=teal>*Momura(JustCallMeGnar) says: I-I used to live in k-kirigakure. - Mon Dec  7 03:51:40 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Thanks. . .  - Mon Dec  7 07:38:40 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Boss. - Mon Dec  7 07:41:13 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Mission was fun for me. - Mon Dec  7 07:41:13 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: That lady was crazy though. - Mon Dec  7 07:41:13 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *yawn* - Mon Dec  7 19:18:24 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Tired already? - Mon Dec  7 19:18:24 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *rubs the back of his head*  I think I just want to take a nap. - Mon Dec  7 19:18:24 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I'll be ok. - Mon Dec  7 19:19:15 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) smiles at Koji like https://imgflip.com/readImage?iid=40595741

"Ha..ha?"* - Mon Dec  7 19:19:15 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: What's he doin'? - Mon Dec  7 19:20:06 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: You should - Mon Dec  7 19:20:06 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Why is that bro? - Mon Dec  7 19:20:06 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Have to stay sharp *nods* - Mon Dec  7 19:20:06 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Iza just salty her brother in a box 6ft deep -OMIT- - Mon Dec  7 19:20:57 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *yawns again*  I'm always sharp man. - Mon Dec  7 19:20:57 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) sighs before sticking her  sword  into the ground * - Mon Dec  7 19:22:40 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: That's a nice way of say whoops I wasn't ready, heheh. - Mon Dec  7 19:23:31 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *laughs*  You're funny Green. - Mon Dec  7 19:23:31 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: That little bastard actually caught me slipping. . . Good job Bro. . . I can't tell him that though. - Mon Dec  7 19:24:22 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: i try I try *nods* You can't have a boring little bro can you? - Mon Dec  7 19:24:22 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hell nah man. - Mon Dec  7 19:24:22 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Iza, how is your sword holding up? - Mon Dec  7 19:24:22 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Eh, its pretty much done for. - Mon Dec  7 19:25:13 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: My bad. - Mon Dec  7 19:25:13 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: But it's okay, M- - Mon Dec  7 19:25:13 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hmm? - Mon Dec  7 19:25:13 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) watches as a bird lands upon her shoulder and drops a scroll in her one good hand. * - Mon Dec  7 19:26:04 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm... - Mon Dec  7 19:26:04 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *opens scroll* - Mon Dec  7 19:26:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: What's up Iza? - Mon Dec  7 19:26:04 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) pulls out a writing untensil and begins jotting something down, waiting till she was finished to respond to Hiroshi. 
"I have family visiting soon, things aren't going to well where they live so they need a place to stay." the girl remarked. * - Mon Dec  7 19:27:47 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Why are they coming here?  Your house got blown to bits a while agao -omit- - Mon Dec  7 19:27:47 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: Koji, have you met Golden Horn yet - Mon Dec  7 19:27:47 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hmm, glad to hear that you are helping others Iza. - Mon Dec  7 19:28:38 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Whose that?? - Mon Dec  7 19:28:38 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: How old are you again Green? - Mon Dec  7 19:31:12 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Seven. Why? - Mon Dec  7 19:32:03 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: Wanna meet him? - Mon Dec  7 19:32:03 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hmmm. - Mon Dec  7 19:32:03 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: What are you thinking...? - Mon Dec  7 19:32:54 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Nothing bro. - Mon Dec  7 19:32:54 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Suure lets go my Tsuki. - Mon Dec  7 19:32:54 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You will find out eventually!~ - Mon Dec  7 19:32:54 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Uh.. okay? - Mon Dec  7 19:32:54 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) stares at Koji and Tsukinomi * - Mon Dec  7 19:32:54 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *yawn* Damn. . I can't stop yawning. - Mon Dec  7 19:33:45 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Oh bro, don't let Koji talk you into talking to a crying lady ok. - Mon Dec  7 19:33:45 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Huh? - Mon Dec  7 19:34:36 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Long story short. - Mon Dec  7 19:34:36 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I had my hair combed by a crusty lipped crying lady with a senbon. - Mon Dec  7 19:34:36 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Not fun. . .  - Mon Dec  7 19:34:36 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: ......... - Mon Dec  7 19:35:28 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: O-okay? - Mon Dec  7 19:35:28 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Life lessons bro. . .  - Mon Dec  7 19:35:28 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Life lessons. - Mon Dec  7 19:35:28 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ....Hm.. - Mon Dec  7 19:35:28 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Good to know? - Mon Dec  7 19:35:28 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: I remember those days,, - Mon Dec  7 19:35:28 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: What's wrong Iza? - Mon Dec  7 19:36:19 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Nothing. - Mon Dec  7 19:36:19 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You sure?  I am not doing anything. - Mon Dec  7 19:36:19 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I would love to try and help you out. - Mon Dec  7 19:36:19 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I'm fine, i'm fine. - Mon Dec  7 19:37:10 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I was just, remembering stuff. - Mon Dec  7 19:37:10 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: What stuff? - Mon Dec  7 19:37:10 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Stuff. - Mon Dec  7 19:39:44 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Mon Dec  7 19:39:44 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *shrugs*  I'm not gonna keep asking for information, but I am sure you will be fine. - Mon Dec  7 19:40:35 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Come on bro, we are oing to do some training. - Mon Dec  7 19:40:35 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Mm... - Mon Dec  7 19:41:26 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: If you want to come with us you can Iza. - Mon Dec  7 19:41:26 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I have to wait for my familys arrival, thank you though. - Mon Dec  7 19:41:26 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: K - Mon Dec  7 19:42:17 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: All right, give them my best when they get here. - Mon Dec  7 19:42:17 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *nods* - Mon Dec  7 19:42:17 2015
<br><br><font color=teal>*Ziare(Meekee) says: Hey there. - Mon Dec  7 19:56:48 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hi. - Mon Dec  7 19:58:30 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Do you need something? - Mon Dec  7 19:58:30 2015
<br><br><font color=teal>*Ziare(Meekee) says: I wanna come in. - Mon Dec  7 19:59:21 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) says: . . . - Mon Dec  7 19:59:21 2015
<br><br><font color=teal>*Ziare(Meekee) says: My travel partner and I are looking for a place to stay for a few days. - Mon Dec  7 19:59:21 2015
<br><br><font color=teal>*Ziare(Meekee) says: Then we'll be out. - Mon Dec  7 19:59:21 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Where do you guys come from? - Mon Dec  7 20:01:04 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) thinks: . . Come from. . . - Mon Dec  7 20:01:04 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) thinks: I can't even go back. . . - Mon Dec  7 20:01:55 2015
<br><br><font color=teal>*Ziare(Meekee) says: We're coming from straight out of Konoha. - Mon Dec  7 20:02:46 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Headbands? - Mon Dec  7 20:02:46 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *squints* - Mon Dec  7 20:02:46 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Ah okay. - Mon Dec  7 20:03:37 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I see them.  - Mon Dec  7 20:03:37 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Okay.~ - Mon Dec  7 20:03:37 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Come here please. - Mon Dec  7 20:03:37 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: All that's left is a henge test and you're free to come in. - Mon Dec  7 20:03:37 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) extends a kunai from her cloak and gives him a couple of little pricks, nothing the guy couldn't handle. Had he passed, she'd allow him passage into the village. 

She would then glance towards Saika. * - Mon Dec  7 20:05:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: NANI?! - Mon Dec  7 20:06:11 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Mon Dec  7 20:06:11 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) watches as Saika approaches, and Izanami could clearly see she was completely out of her comfort zone. "The comfort zone is the great enemy to creativity; moving beyond it necessitates intuition, which in turn configures new perspectives and conquers fears." the little girl stated before slowly trying to prick at Saikas plam, had she been allowed. 

If she passed the henge test, she too would be allowed passage. 

"Welcome to Sunagakure, don't cause any trouble okay?"* - Mon Dec  7 20:09:36 2015
<br><br><font color=teal>*Ziare(Meekee) says: Wouldn't dream of it. - Mon Dec  7 20:12:09 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: About the Hokage? - Mon Dec  7 20:14:43 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Erh, the Kazekage isn't around right at the moment. - Mon Dec  7 20:15:34 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) says: I see. - Mon Dec  7 20:15:34 2015
<br><br><font color=teal>*Ziare(Meekee) thinks: She must really not like Rias, i've never seen her willingly not want to talk to anyone. - Mon Dec  7 20:15:34 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) says: Then. . .if you don't mind. I'll pass the information to you for now? - Mon Dec  7 20:17:16 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Sure. - Mon Dec  7 20:18:08 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) says: It's. . .somewhat stupid but. . . - Mon Dec  7 20:18:59 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm? - Mon Dec  7 20:20:41 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) blinks, slightly appauled at this behaviour. "Really? she did all that?" the little girl inquired, clearly thrown back by Saikas assertions. 

"Oh wow...well, uh....maybe we can have somone talk to her to smooth things out..."* - Mon Dec  7 20:29:13 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: That doesn't make sense. - Mon Dec  7 20:30:04 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: I would have never thought she was like that. - Mon Dec  7 20:30:04 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I'll inform somebody. - Mon Dec  7 20:31:47 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Anyway...welcome to Suna. - Mon Dec  7 20:31:47 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) says: . .  - Mon Dec  7 20:39:28 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) steps aside to allow Saika and Ziare in * - Mon Dec  7 20:41:10 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) blinks as a caravan approaches, the little girls eyes coming to a narrow as three kids approach. "Ah, so you guys are here." she remarked with a small grin. 

That being said, they'd go through the standard gate procedure, henge check, headband check etc. As soon as all that was out of they, they'd be allowed right in. * - Mon Dec  7 20:51:24 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm. - Mon Dec  7 20:55:40 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: A priest more or less, perhaps I could find Kiyoko. - Mon Dec  7 20:55:40 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Come. - Mon Dec  7 20:55:40 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) proceeds to make her way into the village * - Mon Dec  7 20:56:32 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Uh, we need a medic to help this guy out. - Mon Dec  7 20:58:14 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) gestures towards Ryo * - Mon Dec  7 20:58:14 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Which guy?..Oh what's wrong? - Mon Dec  7 20:59:05 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Is Kiyoko-san around? - Mon Dec  7 20:59:05 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: WEll. A bit agitating sometimes, though. Since people always need ya. - Mon Dec  7 21:05:04 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Who are these guys anywho. . ? - Mon Dec  7 21:05:04 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Hey guys Wahts going on here. - Mon Dec  7 21:05:55 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: Kirigakure Shinobi. - Mon Dec  7 21:06:46 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Dunno. Anywho, get them to a hospital or something? I can't exactly heal. - Mon Dec  7 21:06:46 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'll talk to them after. - Mon Dec  7 21:06:46 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) sighs. "If Bryson ever wakes up, or Kiyoko turns up he needs immediate medical attention it would seem. They are from Kirigakure like she had stated." she paused for a moment. 

"They are paying a visit to Sunagakure."* - Mon Dec  7 21:08:28 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: For? - Mon Dec  7 21:08:28 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I can heal but to an extent.. - Mon Dec  7 21:09:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Things aren't going to well back in their home village.  - Mon Dec  7 21:10:11 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: Of course. - Mon Dec  7 21:11:02 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: They have a corrupt leader. - Mon Dec  7 21:11:02 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: They also don't have the balls to stand up to her. - Mon Dec  7 21:11:02 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: .... - Mon Dec  7 21:11:53 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) stares at the priestess like https://imgflip.com/readImage?iid=40595741* - Mon Dec  7 21:12:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh. .Yeah. I heard Kana ain't doing a bang up job. - Mon Dec  7 21:12:44 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: Did she just say that? - Mon Dec  7 21:13:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Icould really go give her a wedgie if it's that bad. - Mon Dec  7 21:13:36 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: They watched her throw me out for nothing! - Mon Dec  7 21:13:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Wedgies always set people straight. - Mon Dec  7 21:13:36 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: It's only a matter of time before you two are next. - Mon Dec  7 21:13:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Iza. Can you take that dude to the hospital, though? - Mon Dec  7 21:17:00 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Yeah. - Mon Dec  7 21:17:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Ah. Then what in Kirigakure made you all come here? - Mon Dec  7 21:18:43 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) gestures for Ryo. "Follow me please." * - Mon Dec  7 21:18:43 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: L-Lack of...skilled...doctors... - Mon Dec  7 21:18:43 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: The repeated invasions have lead to a lack of medical staff. - Mon Dec  7 21:19:34 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Our most skilled is missing. - Mon Dec  7 21:19:34 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Actually, Kiyoko san is great. - Mon Dec  7 21:19:34 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: @ fuji - Mon Dec  7 21:19:34 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Well he'll have to sit in the hospital for now. - Mon Dec  7 21:21:16 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: For now. - Mon Dec  7 21:21:16 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Just choose a room. - Mon Dec  7 21:22:59 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I'll let Kiyoko know you're here as soon as she comes around. - Mon Dec  7 21:22:59 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hey, Hiroshi. - Mon Dec  7 21:24:41 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Really now? - Mon Dec  7 21:33:13 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: That's a let down. - Mon Dec  7 21:33:13 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Things at home gon out of your power to fix I take? - Mon Dec  7 21:33:13 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: Hard to fix what's going on after so many invasions. - Mon Dec  7 21:34:04 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Yes, a village in ruin is what will be left, to be rebuilt in times once again like every other. - Mon Dec  7 21:34:56 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Hmmm. - Mon Dec  7 21:35:47 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: That is why Miss Kana is harsh with foreigners. - Mon Dec  7 21:37:29 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: Seclusion is her attempt to allow the village to be grown back to full force. - Mon Dec  7 21:37:29 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Seclusion? Apparently she kicked someone out just for mentioning a knight. - Mon Dec  7 21:37:29 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: The priest was evicted for detailing her adventures outside of the village and her claimed lack of need for its support. - Mon Dec  7 21:39:12 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: Many things are omitted with bias. Kana is trying her best. - Mon Dec  7 21:39:12 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) thinks: Why when stuff Hits the fan for Kiri they all run here Gramps must have been like Mega Influtinal In Kiri. - Mon Dec  7 21:41:45 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Izanami, we need to begin the testing on your arm. - Mon Dec  7 21:41:45 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) thinks: Ohhhh I got a theme for us now. - Mon Dec  7 21:41:45 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: When you are ready. - Mon Dec  7 21:41:45 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) thinks: Dont like your leader..... Your village gone to hell and a Handbasket.... Well Have no fear come to suna! - Mon Dec  7 21:42:36 2015
<br><br><font color=teal>*Takuma(Brosis55) says: . . . - Mon Dec  7 21:55:24 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Yo. Anybody here have any techniques that they're willing to share? - Mon Dec  7 21:55:24 2015
<br><br><font color=teal>*Heiwa(Wantpark) thinks: ..She got it amputated afterwards? - Mon Dec  7 21:57:07 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: Replace the arm? Mechanically? Or - are you a medic? - Mon Dec  7 21:57:58 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Hmmm. - Mon Dec  7 21:57:58 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Boss. - Mon Dec  7 21:57:58 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Notice me. - Mon Dec  7 21:57:58 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Uh I don't think she wants a mechanical arm, even still I would have to repair the nerve endings if she wanted a mechanical arm for her to use chakra control down the prosthetic. --yes, I am a surgeon. - Mon Dec  7 21:57:58 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Hey techqniuqes guy..what kind you lokking for. - Mon Dec  7 21:58:49 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Any, my elements are Katon, and Doton. - Mon Dec  7 21:58:49 2015
<br><br><font color=teal>*Heiwa(Wantpark) thinks: I'll assume she's not Bryson.. - Mon Dec  7 21:59:40 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Hmmmm.............You see that litle girl over there. - Mon Dec  7 21:59:40 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: Are you Kiyoko? Izanami tasked us to find you. - Mon Dec  7 21:59:40 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Yes, I would be Kiyoko-san. - Mon Dec  7 21:59:40 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Ye. - Mon Dec  7 22:00:32 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Head of the hospital. - Mon Dec  7 22:00:32 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: She is like the Queen of Katon. - Mon Dec  7 22:00:32 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Queen of Katon? - Mon Dec  7 22:00:32 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: I should probably start wearing my chuunin vest.... but how do you even wear those things? - Mon Dec  7 22:00:32 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Yes She is like so good at Katon its crazy. - Mon Dec  7 22:02:14 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: Kirigakure... - Mon Dec  7 22:02:14 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: I should visit Kirigakure later. - Mon Dec  7 22:02:14 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Do you have anyone around here whos good at Doton? - Mon Dec  7 22:03:05 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yeah. They're cool. Help the dude for now, i don't got beef with Kiri. - Mon Dec  7 22:03:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Kana is annoying me, though. - Mon Dec  7 22:03:56 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Who's Kana? - Mon Dec  7 22:03:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Mizukage. - Mon Dec  7 22:03:56 2015
<br><br><font color=teal>*Takuma(Brosis55) says: What she look like? - Mon Dec  7 22:03:56 2015
<br><br><font color=teal>*Takuma(Brosis55) says: She fine? - Mon Dec  7 22:03:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Eh. She's okay. - Mon Dec  7 22:03:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Huge tits, though. - Mon Dec  7 22:03:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: So that's good? - Mon Dec  7 22:03:56 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Bou- - Mon Dec  7 22:04:48 2015
<br><br><font color=teal>*Takuma(Brosis55) says: . . .  - Mon Dec  7 22:04:48 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Bout to get Eiji in this. - Mon Dec  7 22:04:48 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Yo wait. - Mon Dec  7 22:04:48 2015
<br><br><font color=teal>*Takuma(Brosis55) says: What's her hair color? - Mon Dec  7 22:04:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . .  - Mon Dec  7 22:04:48 2015
