<br><font color=teal>*Engi, Ichiro(Master Roku) says: Get a cup. - Fri Nov 27 01:08:41 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Trust me. - Fri Nov 27 03:02:11 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: What happens between us. - Fri Nov 27 03:03:02 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Stays between us. - Fri Nov 27 03:03:02 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Yeah, what he said. - Fri Nov 27 03:03:02 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: . . .  - Fri Nov 27 03:03:02 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Thanks. - Fri Nov 27 03:03:02 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: She's more timid than usual..Hm. - Fri Nov 27 03:03:53 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Anywho.... - Fri Nov 27 03:03:53 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Have you two gotten any stronger? - Fri Nov 27 03:03:53 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Eh. - Fri Nov 27 03:07:18 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I just got a little more....tanky. - Fri Nov 27 03:07:18 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Not too much though. - Fri Nov 27 03:08:09 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: And Kida? - Fri Nov 27 03:08:09 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I've gotten a bit tanky I guess. - Fri Nov 27 03:08:09 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I've been rather lazy lately to be honest. - Fri Nov 27 03:09:00 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ....Hah. - Fri Nov 27 03:09:52 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: No wonder you got hurt so badly from that kick. - Fri Nov 27 03:09:52 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Anywho. - Fri Nov 27 03:10:43 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: You kicked me in the dick.. - Fri Nov 27 03:10:43 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Our plan regarding Kumogaku-- - Fri Nov 27 03:10:43 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Shhhh. - Fri Nov 27 03:10:43 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: No wonder it's smaller than Ichiro's. - Fri Nov 27 03:10:43 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Did I kick you that hard? - Fri Nov 27 03:10:43 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Heh. - Fri Nov 27 03:10:43 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: ....... - Fri Nov 27 03:10:43 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: If I recall right, you're also a kicker, Kida. - Fri Nov 27 03:11:34 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Yeah. - Fri Nov 27 03:11:34 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: We should have a kicking contest sometime. - Fri Nov 27 03:11:34 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: A kicking contest? - Fri Nov 27 03:12:25 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Mhmm. - Fri Nov 27 03:16:41 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: See if you can hit me with a single kick. - Fri Nov 27 03:16:41 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Com'on. - Fri Nov 27 03:16:41 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: You kick fast, right? - Fri Nov 27 03:16:41 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Alright, I'll try. - Fri Nov 27 03:18:24 2015
<br><br><font color=yellow>*Shizan, Shiro(MadameShredder) had initially not expected the kick to be so ridicuously fast. Shiro's body twists and turns though, as her entire body enters limbo-status. Her entire body swings downwards and lowers below Kida's leg as if it were the pole in limbo. Shiro's legs then slide along the ground to get behind Kida, with a quick hasty return to her original position. Shiro smirks. 

Kasatushi.

"You're fast. You made me do something I didn't want to do. Which means you -did- get stronger."* - Fri Nov 27 03:25:13 2015
<br><br><font color=yellow>*Shizan, Shiro(MadameShredder) stepped over to Kida afterwards. "Well, I think you're actually much more stronger than I initially thought. I had watched you fight Ichiro after all." Shiro noted, as she twisted her head to the side. A few moments of silence ensued, and she looked at him. "Oi... You called me a looker, right?" * - Fri Nov 27 03:33:45 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Yeah? What about it? - Fri Nov 27 03:35:28 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: . . . - Fri Nov 27 03:36:19 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: You...... - Fri Nov 27 03:36:19 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: What? - Fri Nov 27 03:36:19 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: .....God I hate you for making me ask all the questions. - Fri Nov 27 03:37:10 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Why can't -you- ask some of the questions? - Fri Nov 27 03:37:10 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Alright then. Hm..Why are you so head over heels about Sado? - Fri Nov 27 03:38:01 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: --- - Fri Nov 27 03:41:26 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I'm.... - Fri Nov 27 03:41:26 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Not head over heels about Sado... - Fri Nov 27 03:41:26 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: He's just my Master. - Fri Nov 27 03:41:26 2015
<br><br><font color=yellow>*Shizan, Shiro(MadameShredder) proceeds to kick Kida in the stomach, hopefully knocking him forward.* - Fri Nov 27 03:42:17 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: He's my fucking Master. - Fri Nov 27 03:44:00 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Am I not supposed to be endearing to the person who made me who I am? - Fri Nov 27 03:44:00 2015
<br><br><font color=yellow>*Shizan, Shiro(MadameShredder) attempts to kick Kida once again so that he was flat on his back.* - Fri Nov 27 03:44:51 2015
<br><br><font color=yellow>*Shizan, Shiro(MadameShredder) lept ontop of Kida, straddling his waist. She leans down against Kida's body and moves her face directly in front of his face. 

"You.... told me at one point that you were attracted to me. . . . ." She places her hands on his chest quietly. * - Fri Nov 27 03:52:32 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: . . . - Fri Nov 27 03:59:21 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: You're just not going to say anything, huh?  - Fri Nov 27 03:59:21 2015
<br><br><font color=yellow>*Shizan, Shiro(MadameShredder) gritted her teeth out of mild anger towards Kida. She simply laid there ontop of him before slowly getting off of him. "Alright, fine."

She heads over to the bed and sits down on it. She burrows her chin into her knees. "Forget this ever happened. Forget the question, too."* - Fri Nov 27 03:59:21 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I.... - Fri Nov 27 04:00:12 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Sorry.. - Fri Nov 27 04:00:12 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) thinks: . . . Asshole. - Fri Nov 27 04:02:46 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: Damn, I didn't expect that to happen.. - Fri Nov 27 04:05:20 2015
<br><br><font color=yellow>*Shizan, Shiro(MadameShredder) leans her face into her knees, looking more solemn and lonely than she ever had before, simply because she had no real attachment to individuals. Of course Shiro didn't have many friends; her personality estranged her from the crowd and only a select few even operated properly around her. 

". . . . Took you by surprise, huh? Don't I always." * - Fri Nov 27 04:07:53 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: You do...It's just that time was different.. - Fri Nov 27 04:08:44 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: . . . . . . - Fri Nov 27 04:10:27 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Yeah, I'm sure. - Fri Nov 27 04:10:27 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: With all the gags I do with tongues, legs, and arms. - Fri Nov 27 04:10:27 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Bet you expected me to decorate you in the accolades of removed body parts. - Fri Nov 27 04:10:27 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: You're mad aren't you? - Fri Nov 27 04:10:27 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ....Fuck you. - Fri Nov 27 04:12:09 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: Yep.. - Fri Nov 27 04:12:09 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: We can go if you want... - Fri Nov 27 04:13:52 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: . . . . Go what? - Fri Nov 27 04:13:52 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: The hell am I saying? - Fri Nov 27 04:13:52 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: You know what I mean.. - Fri Nov 27 04:14:43 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ...... - Fri Nov 27 04:15:34 2015
<br><br><font color=yellow>*Shizan, Shiro(MadameShredder) suddenly blushes furiously.

"....What the fuck do you mean go at it?"* - Fri Nov 27 04:16:25 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: .... - Fri Nov 27 04:16:25 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: .... - Fri Nov 27 04:23:15 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Sex. - Fri Nov 27 04:23:15 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: S. - Fri Nov 27 04:23:15 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: E. - Fri Nov 27 04:23:15 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: X. - Fri Nov 27 04:23:15 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: . . . . . . - Fri Nov 27 04:31:47 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: .......... - Fri Nov 27 04:31:47 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Y-You don't jump in relationships like that. - Fri Nov 27 04:31:47 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I just vocalized what was about to happen.. - Fri Nov 27 04:33:29 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: ... - Fri Nov 27 04:33:29 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: W-wait, relationships? - Fri Nov 27 04:48:51 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: .............. - Fri Nov 27 04:49:42 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Okay, you know what? - Fri Nov 27 04:49:42 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Come here. - Fri Nov 27 04:49:42 2015
<br><br><font color=yellow>*Shizan, Shiro(MadameShredder) notices that Kida had approached her. Shiro unlocked her knees from her chin and brought them slowly to the floor. "If.... If Ichiro wakes up before we're done, I'm going to kill you." Shiro states quietly. Her legs stretch out to Kida and attempt to wrap around his waist and pull him towards her.

"...Okay. You lead. As much as I talk shit about sex, I know not a damn thing about it." Shiro commented admittedly, blushing still from Kida. She seemed to have some growing affection for her comrades; that included the need for physical reassurance of Shiro's capacity and purpose in life. It was something Shiro did not -need- before she had been corrupted. In corruption, she had not only been bred strength, but also a fallible weakness. 

Of course, that didn't mean she was going to act like a tsundere girlfriend forever. She was going to get used to this. So be prepared.* - Fri Nov 27 04:59:05 2015
<br><br><font color=yellow>*Shizan, Shiro(MadameShredder) laid there on the bed, with her back arched in an obtuse angle as her legs yanked Kida's waist inwards to her. A hot kiss pressed against her lips and Shiro felt a rush of adrenaline and other chemicals rush to her brain. In the heat of the moment, Shiro had not recognized Ichiro's presence. Her right hand pressed against Kida's pectoral, with her left hand moving to wrap around Kida's shoulder to cushion against his back.

Her hair and her shoulders were brushed by, before his hands landed on her waist. "Kida, you ass." Shiro muttered, leaning back from the pressure and intensity that was eminating off of Kida's person at the moment. * - Fri Nov 27 05:28:06 2015
<br><br><font color=yellow>*Shizan, Shiro(MadameShredder) loosened her legs around Kida's waist and slowly let her shins drag themselves down to wrap around Kida's thighs. She was losing herself in the kiss. Once it was broken, she found his lips tracing the edges of his collar. "Mmm..." Shiro moaned out of enjoyment and pleasure. 

Her left and right hands wrapped around Kida's neck at this point, intertwining along where the back of his neck was. She found her butt gripped, and although she would've found it as an invasion permissive of a roundhouse kick to the face, she condoned it for now, seeing as the situation they were in called for such...intimate actions.* - Fri Nov 27 05:38:20 2015
<br><br><font color=yellow>*Shizan, Shiro(MadameShredder) found her rear groped at even more; his hands were really centered on this butt attack. Shiro glares at the side. "I did. But. Do you think I care?" Shiro questioned, as she pulled her left arm away from the clasp. Her left hand moved towards Kida's pant region, trying to grasp hold of his crotch area. If possible, she'd begin to fondle his member. "It's not fair... if you're the only one touching my privates..." Shiro cheekily stated, her right hand now grasping hold of Kida's shoulder.* - Fri Nov 27 05:58:49 2015
<br><br><font color=yellow>*Shizan, Shiro(MadameShredder) bit her lip. "Why yes, I am. You don't seem to have a problem with that though, judging by the way you're reacting." She responded rather cheekily. 

Her right grip tightened on his shoulder. Her left hand keeps on invasively moving for the stiff member. "Even though your dick is smaller than Ichiro's, it's still bigger than I thought a member would be..." She mutters to herself, more as a comment to herself but it was audible to Kida. Suddenly, her crotch region was touched.

"M-Mmmmph." She moans louder, as Kida ran his fingers along her crotch region. Her parts were wet. Her clothing was getting humid in general, from the sweat that was gathering on her person from the intimacy of the situation.

"Maybe if you want this to be easier Kida, you should start stripping off our clothes.~" Shiro commented, as her right hand left his shoulder and now ran a fingertip along his neck.* - Fri Nov 27 06:17:36 2015
<br><br><font color=yellow>*Shizan, Shiro(MadameShredder) found Kida to be quite demanding and dominant in bed. Shiro's clothes were stripped from herself, leaving her breasts and perky areola to be exposed to the air. She slides back against the bed and lays down for Kida. He had a muscular frame, surprisingly, something that Shiro quite literally was pleased by, by her facial expression. She licked her lips as he stepped closer to her. 

Suddenly, she was kissed, lips locked with Kida. Muffled, she could not speak, but she responded by digging her tongue into Kida's mouth and wrapping her own tongue around hers. As her breast was groped and her ass was groped, Shiro's right hand and left hand move to grasp hold of Kida's back and dig her nails into him. She was hot and she squirmed against Kida's naked body with her own in a lewd fashion, her legs wrapped around Kida's legs and rubbing against him constantly. 

She felt his hot member against her crotch and she simply was oozing ecstasy from her opening. "Mmmmm.." God, she couldn't wait for him to penetrate her. * - Fri Nov 27 06:35:31 2015
<br><br><font color=yellow>*Shizan, Shiro(MadameShredder) grits her teeth and pants against Kida. She broke the kiss temporarily just for a moment, to respond to Kida. "Fuck yes I'm ready." She commented in a sultry fashion, still determined to maintain much of her spunky personality despite giving Kida the reins of this operation. 

She locks lips with her once again, before finding his erection dipping into her vagina. His six-inch member entered her vagina, causing some blood to drip out of her vagina from the fact that her hymen had been broken. One would've expected her to have broken it long before; unfortunately, she just had her virginity taken by Kida. 

Her vagina tightened around his member when it had invasively entered her walls. Her cervix was wet, humid, and inviting of his cock. Shiro's tongue lashed out of her mouth to kiss and hold onto Kida tightly. She had him in missionary position and knew that she was being pounded by his deep thrusts. "Oh, fuck, fuck, fuck." Shiro nearly shouted, gritting her teeth.

"You." She tries to speak in between breath. "Tiny... dicked...." She moans as another pump is made. "Bastard... you'll cum first." She seemed to be determined to make everything into a competition. Even sex, was turning out to be something she had to 'win' at. Clearly though, she was moaning a great deal and found herself to be pleased by Kida's thrusts.* - Fri Nov 27 06:50:52 2015
<br><br><font color=yellow>*Shizan, Shiro(MadameShredder) felt her right leg lifted. She obliges and twists her body so that she was now on her knees. Her hands grabbed hold of the blanket, with her ass pressed against his penis. Once she had been rotated, she starts to buck her hips into Kida.

"S-So you want this to be a competitition?" She panted. "I'll... w-win." She yelps as another thrust is done, moaning out of ecstasy. Sweat ran down and proliferated along her slender, smooth back and front. Her right hand grasps hold of her breast and she played with her own nipple while being fucked by Kida.

"G-God you're going so fast. Y-You really think you can hold on w-with that speed?!" She pants, causing her to stutter between words, a trait uncharacteristic of her.* - Fri Nov 27 07:00:16 2015
<br><br><font color=yellow>*Shizan, Shiro(MadameShredder) felt her clitoris being approached by Kida's hands. Their fingers neared her ever so, while Shiro's left hand grasped hold of the blankets even more tightly. Hell, she grabbed hold of a pillow to cushion herself while she was bending over, pressed against the bed with her left forearm pressed against the blanket.

"God, fuck..." Shiro moaned aloud, finding Kida punishing her pussy and kneading her ass with skillful hands and tact. Kida's hand, which spanked her and gave her that painful thrill as a masochist, really got her close to climax. She presses herself against the blanket, breasts swaying back and forth from the vicious attack Kida was executing on her nethers. "Fuck, fuck, fuck." He had even reduced her vocabulary to single words, as she had nothing to describe how the experience was for her. Her mind was going hazy and blanked while being fucked by Kida. "Faster, faster, faster." She nearly begged, uncharacteristic of her.* - Fri Nov 27 07:17:20 2015
<br><br><font color=yellow>*Shizan, Shiro(MadameShredder) had saliva dripping out of the sides of her mouth from the feelings that were running up and down her body. She didn't know if people traditionally felt like this, or if this was a byproduct of authentic, genuine love. Ha, what did she know about love? Regardless, she was combining her insatiable lust with Kida's own and the effects were resonating throughout the room, echoing more than any canyon could.

"Fuck, fuck, fuck yes, fuck yes...." Shiro bit her lip. She pressed the side of her face and neck into the blanket, as she felt herself orgasming from the thrusting that was going down against her lower half. Hopefully, Kida hadn't noticed. However, Shiro's bucking did get faster and slowed down where she had came. Shiro's face also seemed to contort with the pleasure of the sensations thrilling her. "F-Fuck...."* - Fri Nov 27 07:26:43 2015
<br><br><font color=yellow>*Shizan, Shiro(MadameShredder) had joined lips once again with Kida. Shiro's mouth puckered up and she simply mixed saliva with Kida as they kissed. As soon as his penis pulsated, Shiro knew something was coming. Shiro bit her lip, glancing at Kida.

"D-Don't cum inside of me you fucking idiot! I'm not about to become pregnant anytime soon!" She shouted almost imploringly, realizing that the question was an important one: it was equivalent to asking Shiro---do you want to be pregnant or not.

Shiro's hips were no longer bucking back against Kida's, she had left it all up to Kida to determine what he wanted to do. However, Shiro, at the call of him soon to orgasm, had pulled his cock out of her pussy by moving forward, and had twisted her body around. She wraps around his cock with her breasts, rubbing his cock once or thrice to try and pump the semen out.

"C-Com'on already. Just cum you asshole!" Shiro shouted at him, panting heavily with her tongue coming out of her mouth. * - Fri Nov 27 07:43:47 2015
<br><br><font color=yellow>*Shizan, Shiro(MadameShredder) had for some reason, difficulty moving her legs. Even though she was more durable than Kida hypothetically, Shiro's legs were quivering heavily from the fucking session. "G-Guh..." The white fluid had covered her body, ropes of sticky semen now coating her person. "T-This is so nasty..." Shiro murmured, as her index finger trailed the semen, only to lick it. Her tongue even stretches to catch some of the semen that Kida had fired out.

"You... you have such a thick fucking load... Do you not masturbate or something...." Shiro commented, as she laid back on the bed. She was coated by additional spurts of white ropes. Her hands stretched out to Kida, as though she desired cuddling.* - Fri Nov 27 07:52:19 2015
<br><br><font color=yellow>*Shizan, Shiro(MadameShredder) lays down on the bed, cuddling with Kida.

"I might slice your dick off if you aren't careful." Shiro muttered. "Like I decapitated that boy's head. I might decapitate your dick's head." Shiro teased, as she was held, butt naked on the bed.

When Ichiro entered, Shiro's eyes trail over to him. Her heat flares up. She was caught naked. By Ichiro. Shiro was quite literally biting her lip and having it to the brink of bleeding. 

"Way to fuck a mood." Shiro commented, though slyly, her smile returns to her visage. She realizes Ichiro wasn't that bad of a person anyways. She didn't care if he was aware at this point.* - Fri Nov 27 08:03:24 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I can leave again if you want. - Fri Nov 27 08:03:24 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: No big deal to me. - Fri Nov 27 08:03:24 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Oh no. - Fri Nov 27 08:03:24 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Might as well join in at this point. - Fri Nov 27 08:03:24 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I'm being thrown around. - Fri Nov 27 08:04:16 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: --- - Fri Nov 27 08:04:16 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: That's a joke. - Fri Nov 27 08:04:16 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Of course. - Fri Nov 27 08:04:16 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) thinks: If I couldn't handle Kida. - Fri Nov 27 08:04:16 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) thinks: I'm not going to be handling two men at once. - Fri Nov 27 08:04:16 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I don't share anyways. - Fri Nov 27 08:04:16 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) thinks: Nor am I a fucking whore. - Fri Nov 27 08:04:16 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Good. - Fri Nov 27 08:04:16 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Neither do I. - Fri Nov 27 08:04:16 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: By the way, on that topic. - Fri Nov 27 08:05:07 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: If I ever find out your cheated on me, Kida. - Fri Nov 27 08:05:07 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ..... - Fri Nov 27 08:11:56 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Well.... Kida. - Fri Nov 27 08:11:56 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: You literally just took me in doggy style... - Fri Nov 27 08:11:56 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: So yes you're a dog... - Fri Nov 27 08:11:56 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ---Don't crack a bitch joke. - Fri Nov 27 08:11:56 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: .... - Fri Nov 27 08:11:56 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: Damn. - Fri Nov 27 08:12:48 2015
<br><br><font color=yellow>*Shizan, Shiro(MadameShredder) yanks Kida in closer to her. She'd kiss him on the lips and lock lips briefly. She'd break free and simply cuddle with him at this point.* - Fri Nov 27 08:12:48 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Heh. - Fri Nov 27 08:13:39 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Dog jokes... - Fri Nov 27 08:13:39 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Heh... - Fri Nov 27 08:13:39 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Hehe... - Fri Nov 27 08:16:12 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Got'eem.. - Fri Nov 27 08:16:12 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Where have you been all this time anyway, Ichiro? - Fri Nov 27 08:18:46 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: .... - Fri Nov 27 08:19:37 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Asshole. - Fri Nov 27 08:19:37 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: You've been groping my ass this entire time. - Fri Nov 27 08:19:37 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Are you some kind of butt maniac? - Fri Nov 27 08:19:37 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Hey. - Fri Nov 27 08:19:37 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: That's the best part. - Fri Nov 27 08:19:37 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Exactly. - Fri Nov 27 08:19:37 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: But uh. - Fri Nov 27 08:19:37 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Ichiro understands.  - Fri Nov 27 08:19:37 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I went and trained. - Fri Nov 27 08:19:37 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Didn't help me any. - Fri Nov 27 08:20:28 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Aw, really? - Fri Nov 27 08:20:28 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Yeah. - Fri Nov 27 08:20:28 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I feel like I stunted my growth a bit. - Fri Nov 27 08:20:28 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) whispers: Maybe next time I'll give this more attention. - Fri Nov 27 08:21:20 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Man, that sucks. - Fri Nov 27 08:21:20 2015
<br><br><font color=yellow>*Shizan, Shiro(MadameShredder) literally kicks Kida off of her and perhaps onto the ground once he had groped her breast.

"You've had enough attention from every part of my body today, mister."* - Fri Nov 27 08:22:11 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I know the feeling. It happened to me when I was in Kiri.  Everyone were focusing on ninjutsu. - Fri Nov 27 08:22:11 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I never recalled signing a contract to be super gentle to you, Kida.~ - Fri Nov 27 08:29:00 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Can you pass me my clothes? - Fri Nov 27 08:29:00 2015
<br><br><font color=yellow>*Shizan, Shiro(MadameShredder) caught her clothes. She'd try to dress herself.

If not for how dirty she had gotten with all of his semen coating her.

"Gross... Why did you have so much?!" * - Fri Nov 27 08:35:50 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I told you. As if I could rub one out with bears and other animals around. - Fri Nov 27 08:36:41 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: That's weird. - Fri Nov 27 08:37:32 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ...Fuckin' christ dude.... - Fri Nov 27 08:40:57 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I hate you. - Fri Nov 27 08:40:57 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: And love you at the same time. - Fri Nov 27 08:40:57 2015
<br><br><font color=yellow>*Shizan, Shiro(MadameShredder) dresses herself despite the semen. She does try her best to wipe herself off with the blanket.

Considering the blanket isn't hers.* - Fri Nov 27 08:41:48 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: So we need to find Master Sado at Kirigakure. - Fri Nov 27 08:41:48 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: But. - Fri Nov 27 08:41:48 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Before we do that. - Fri Nov 27 08:41:48 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: You said something about a Pikachu. - Fri Nov 27 08:41:48 2015
