<br><font color=teal>*Shishigami, Toudou(RhapsodyManiac) thinks: Relationship problems? - Thu Nov  5 05:55:24 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Fujitora, go outside and take a breather. - Fri Nov  6 08:48:12 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Why can't you all understand that? We've all seen what people are capable. - Fri Nov  6 08:48:12 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Everyone that didn't get an order issued just needs to leave. - Fri Nov  6 08:48:12 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I'm going to visit the site*akastyas grave to cool down* - Fri Nov  6 08:49:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Koji......waiting on you to do what you are told. - Fri Nov  6 08:49:04 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: nigga-omit - Fri Nov  6 08:49:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Trilliam, Iznanami and new kid. Leave now. - Fri Nov  6 08:49:04 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Yo yo . . . I came to take a mission. why would I " Go outside " ? - Fri Nov  6 08:49:55 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Because I'm a jounin of this village and I told you to. - Fri Nov  6 08:49:55 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Zole they do this to all the youngetsers every time. - Fri Nov  6 08:49:55 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Lets just go. - Fri Nov  6 08:50:46 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: See you later Yan. - Fri Nov  6 08:50:46 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Iza come on before we get in trouble. - Fri Nov  6 08:50:46 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) nods to Trilliam. He was fed up with the situation. There were dead bodies and no rational record that he could hear from those around him. People were too emotional, and after everything was settled, he would investigate what happened.* - Fri Nov  6 08:50:46 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Just grab her hand and lead her out, Trilliam. - Fri Nov  6 08:52:28 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) sighed once everyone had departed from the room. Yan would inspect the room around him, noting the destruction which had occured. It was obvious that a fire or explosion had erupted within the hallway. Upon closer examination, he would notice the residual clay that clung to different portions of the hallway. "Trilliam..." He noted such was indicative of the individual's abilities, yet that didn't put him at fault presently. Yan would form a handseal, creating a shadow clone. "Fetch Koji and bring him back," He'd note. From what he had seen, Koji was the most sane of them all and he would be able to tell the true events without bias. * - Fri Nov  6 08:59:18 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: He killed npcs okay yan dude - omit - - Fri Nov  6 08:59:18 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Your actions almost cost many their lives. - Fri Nov  6 09:00:09 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: .... - Fri Nov  6 09:01:00 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: If you haven't noticed, this entire hallway is scortched with burn marks from your explosives. - Fri Nov  6 09:01:00 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: My????Explosives? - Fri Nov  6 09:01:00 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: What is Kuro talking about. - Fri Nov  6 09:01:52 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Like i left to go make food and come back, - Fri Nov  6 09:01:52 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: The man was trying to steal important documents from Hassan's office. - Fri Nov  6 09:02:43 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I confronted him when he knocked out... Ketsuki... - Fri Nov  6 09:02:43 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: He tried to slice off my arm - Fri Nov  6 09:02:43 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: And now he's dead? - Fri Nov  6 09:02:43 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: And so is Ketsuki? - Fri Nov  6 09:02:43 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Did he kill her? - Fri Nov  6 09:03:34 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: And everyone is all Trilliam roar you bang bang pew pew boom splahh wahhhh stufff when all ived done to day was use a lightgin justu to try and stop that guy. - Fri Nov  6 09:03:34 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I didn't see how Ketsuki died. - Fri Nov  6 09:03:34 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I see. I'm glad you are here. When I got here, I couldn't get a shred of information out of anyone. - Fri Nov  6 09:03:34 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: They were too busy fighting over the man's life. - Fri Nov  6 09:03:34 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: He is an enemy of Sand's stability and he has made an attempt at a shinobi of our village....He's dead and thats a good thing. - Fri Nov  6 09:04:25 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: All I knew, he knocked her out in the bathroom stall.. The man also injured...Izutora really bad.. He's probably bleeding to death. *tries to advance towards the bathroom while clutching his bleeding arm* - Fri Nov  6 09:04:25 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: He was about the choke the life out of her, if I hadn't came in.. In time. - Fri Nov  6 09:04:25 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Where is Bryson or Zenaki? - Fri Nov  6 09:05:16 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Don't know.. - Fri Nov  6 09:05:16 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Figures. - Fri Nov  6 09:05:16 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Take yourself and Izutora to the hospital. - Fri Nov  6 09:05:16 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Koji... - Fri Nov  6 09:06:08 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I know you are the chief of the police. - Fri Nov  6 09:06:08 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: What's your coarse of action? - Fri Nov  6 09:06:08 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I came back from annexing the land of lightning and their hidden village, Cloud..When I come back, I am welcomed with this chaos. - Fri Nov  6 09:06:08 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I shouldn't have left at all. - Fri Nov  6 09:06:59 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ummm. - Fri Nov  6 09:06:59 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Guys not to sound like weak or anything but that guy just like thrented me so can i liek get some body guards or somehting? - Fri Nov  6 09:07:50 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: I am with you bruh . . . don't worry ! - Fri Nov  6 09:07:50 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Trilliam....go wait in your grandfather's office. - Fri Nov  6 09:08:41 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I will come see you shortly. - Fri Nov  6 09:08:41 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Okay ... - Fri Nov  6 09:08:41 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) turns back to handle business.* - Fri Nov  6 09:08:41 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'll leave the rest to you Koji. I'm concerned, but I do know my place in this situation. - Fri Nov  6 09:13:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: That being said, you will handle talking to Trilliam. I will check back on you to make sure everything is going well though. - Fri Nov  6 09:14:40 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: This man deserved to die. - Fri Nov  6 09:14:40 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: This world has no place for evil. - Fri Nov  6 09:14:40 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Not here, anyway. - Fri Nov  6 09:15:31 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Iagree he slaid the innocent, and cause this disorder but he was ended quickly no one had to see what took place. - Fri Nov  6 09:15:31 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'll stop by the office and let Trilliam know that he'll remain there until you question him, alright? - Fri Nov  6 09:15:31 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: From the outside it will appear as a small skirmish. - Fri Nov  6 09:15:31 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Unless you intend to go there now... - Fri Nov  6 09:15:31 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Well, I'll head there now. - Fri Nov  6 09:16:22 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Good. - Fri Nov  6 09:16:22 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I do need to speak with Hassan, so I'll accompany you. - Fri Nov  6 09:16:22 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Hassan, mission complete. - Fri Nov  6 09:16:22 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Hey there Trilliam... - Fri Nov  6 09:16:22 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Oh, nice job. - Fri Nov  6 09:17:13 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: It'll take about 10 million yen to get the village up and running completely though. - Fri Nov  6 09:17:13 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: It also seems that there was an issue in my absense, though I've stepped aside so that Koji can earn his salary as police chief. - Fri Nov  6 09:18:04 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Right. - Fri Nov  6 09:18:04 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: I'm not made of money. - Fri Nov  6 09:18:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yeah, it's a substantial amount. - Fri Nov  6 09:18:04 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: So...We won't be getting the village back and running. - Fri Nov  6 09:18:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I didn't imagine you'd have it lying around. - Fri Nov  6 09:18:04 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Instead. - Fri Nov  6 09:18:04 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: We'll have them send us their goods. - Fri Nov  6 09:18:56 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: And make money off of them. - Fri Nov  6 09:18:56 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Right. - Fri Nov  6 09:18:56 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: It also lets us expand Suna's boundaries. - Fri Nov  6 09:18:56 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'll put forward the memo.  - Fri Nov  6 09:18:56 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Because we will have enough food to keep more people. - Fri Nov  6 09:18:56 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: My only concern is that Konoha separates us from Kumo. - Fri Nov  6 09:18:56 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: This sounds promising. - Fri Nov  6 09:19:47 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: In the event of a war, it'll be difficult to move supplies. - Fri Nov  6 09:19:47 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: True. - Fri Nov  6 09:20:38 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: We'll make due. - Fri Nov  6 09:21:29 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: We'll have a road built. - Fri Nov  6 09:21:29 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: To minimize time. - Fri Nov  6 09:21:29 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Very well. - Fri Nov  6 09:21:29 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) coughs, awaiting his yen reward for the mission.* - Fri Nov  6 09:21:29 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Sounds cool. - Fri Nov  6 09:22:20 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) peers towards Trilliam, eyeing him for a moment before heading out. "If you need me, I will be checking on Tetsumi and Izutora in the hospital." He'd note as he departed.* - Fri Nov  6 09:23:12 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ummm...so...like gramps promise me you wont get mad when i ask this. - Fri Nov  6 09:24:03 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: But uhhhhh can i get like some body guards. - Fri Nov  6 09:24:03 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Because umm Kuro thertened to qoute  un qoute put an end to me. - Fri Nov  6 09:24:54 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: You'll be fine. - Fri Nov  6 09:24:54 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: He looked pretty serisous gramps. - Fri Nov  6 09:25:45 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: If my Grandson can't defend himself against others then I will be dissapointed. - Fri Nov  6 09:25:45 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) knocked on the door, awaiting permission to enter.* - Fri Nov  6 09:29:10 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) enters the room cuz fuck it.* - Fri Nov  6 09:33:26 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Bryson, when this is all set and done, I'd like you to teach me the basic medical technique. - Fri Nov  6 09:35:08 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I want to be able to help people when they need it, especially if no medics are around. - Fri Nov  6 09:36:00 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I wish i could but only clerics can learn my techniquies - Fri Nov  6 09:40:16 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Very well... - Fri Nov  6 09:40:16 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I know you will take good care of Tetsumi...Izutora needs help as well, probably moreso than Tetsumi. - Fri Nov  6 09:41:07 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'll be taking my leaves to get some rest. I haven't even slept since coming in from my trip from Kumo. - Fri Nov  6 09:41:07 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Well go rest Brother Yan - Fri Nov  6 09:41:58 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) nods and heads out. Before leaving, he would bid both farewell. "Be good, and Tetsumi, get better." He'd head out the door then.* - Fri Nov  6 09:41:58 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) pushes that nigga off the bed.* - Fri Nov  6 09:47:56 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: nigga u gay - Fri Nov  6 09:48:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: <omit> - Fri Nov  6 09:48:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Whenever I have a girl over, I expect the bed and fresh sheets! - Fri Nov  6 09:48:48 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: lmao-omit - Fri Nov  6 09:48:48 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) pulls out the tray from underneath the table. He'd roll a quick pinner and begin smoking it. The aroma would feel the house.* - Fri Nov  6 09:50:30 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: Index... - Fri Nov  6 15:49:45 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yo'. - Fri Nov  6 15:49:45 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Where's Katsune? - Fri Nov  6 15:50:36 2015
<br><br><font color=teal>*Index(Jjking217) says: None of your business. - Fri Nov  6 15:50:36 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Chikyu.. - Fri Nov  6 15:51:28 2015
<br><br><font color=teal>*Index(Jjking217) says: Yan, this is the only warning I'm giving. - Fri Nov  6 15:52:19 2015
<br><br><font color=teal>*Index(Jjking217) says: Drop this foolish hunt. - Fri Nov  6 15:52:19 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: You're warning me? Instead of clearing your name, you are warning me. - Fri Nov  6 15:53:10 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: ...Hey Yan... - Fri Nov  6 15:53:10 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: That doesn't sound like somoene I need to be listening to. - Fri Nov  6 15:53:10 2015
<br><br><font color=teal>*Index(Jjking217) says: I am warning you. - Fri Nov  6 15:53:10 2015
<br><br><font color=teal>*Index(Jjking217) says: My name has no reason to be cleared. - Fri Nov  6 15:54:01 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Chikyu, you mind getting out of the way. - Fri Nov  6 15:54:01 2015
<br><br><font color=teal>*Index(Jjking217) says: And if you raise a hand against me, Muhhamed has agreed, I'm free to attack if you attack first. - Fri Nov  6 15:54:01 2015
<br><br><font color=teal>*Index(Jjking217) says: So please, Make my day. - Fri Nov  6 15:54:01 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: So Muhammed has allowed you to be here? - Fri Nov  6 15:54:52 2015
<br><br><font color=teal>*Index(Jjking217) says: No shit, Sherlock. - Fri Nov  6 15:54:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'm not scared of you, Index. - Fri Nov  6 15:54:52 2015
<br><br><font color=teal>*Index(Jjking217) says: I still welcome your attempt. - Fri Nov  6 15:54:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I see. I'll double check that. - Fri Nov  6 15:54:52 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) heads towards the Kazekage's office.* - Fri Nov  6 15:57:26 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Sir, you awake? - Fri Nov  6 15:57:26 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) pays the man for a caravan.* - Fri Nov  6 16:26:27 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) arrives in Kirigakure, exitting the caravan as he approached the hidden village.
* - Fri Nov  6 16:26:27 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) enters the village, taking cautioun as he dips into the ground and traverses underneath it.* - Fri Nov  6 16:27:18 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Yeah...yeah. - Fri Nov  6 16:29:00 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) emerged from the ground. He neared the mansion of the leader, and as of yet, he sensed little. He'd approach the mansion with caution, noting a famliar girl, Mana. Had she returned? He wondered if Katsune was here.* - Fri Nov  6 16:30:43 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Greetings. - Fri Nov  6 16:30:43 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Oh...its Yan. - Fri Nov  6 16:31:34 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) didn't really remember Jirun but it was okay. If one took note of anything, they would notice that Yan would give off a friendly demeanor, and an expression which showed no ill contempt towards anyone. Of course, that was based upon who was here. "I was wondering if you would entertain an inquiry from The Hidden Sands..sir." After saying this, he would nod as to bow.* - Fri Nov  6 16:34:59 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yeah..I am Yan, sorry. I am looking for a wanted criminal by the name of Katsune. - Fri Nov  6 16:37:32 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Katsune? I'm afraid I haven't even heard the name before. - Fri Nov  6 16:38:24 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Same here. - Fri Nov  6 16:39:15 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) simply nods. "It seems the woman has dropped off the face of the earth. If you do happen to see her within your village, I'm not asking that you do anything, but could you send word to Suna? In fact, if you capture her alive, there is a two-million yen bounty on her head." He'd say, and after responses, he would bid farewell. "I am heading out. Sorry for the unorthodox arrival, I wasn't sure of the state of this place after hearing Ortho's attacks. I'll be taking my leave now."  Once it was all set and done, and everyone had said whatedver it is they were going to, he would depart.* - Fri Nov  6 16:40:57 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Oh...sounds like you might be able to make back some of your money. - Fri Nov  6 16:41:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Any notable ones that you wouldn't? - Fri Nov  6 16:44:22 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I'll judge them as they arrive. - Fri Nov  6 16:44:22 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Very well. - Fri Nov  6 16:44:22 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) heads off, unless deterred, signaling his leave with the wave of his hand. "Later," he'd say amidst his departure.* - Fri Nov  6 16:45:13 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: See ya. - Fri Nov  6 16:46:04 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) would venture to the exterior of the village, scoring a deal with one of the runners of the caravan companies that operated out of Kirigakure. After handing them their payment, and setting the destination, they would head off with Yan as their company.
* - Fri Nov  6 16:46:56 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) finally arrived within Sunagakure, having traveled by caravan across the ninja world from Kiri and back. He jumped off the caravan and headed into the village...and since he ran the guard, there was little speculation as to where he had been once a simple nod and smile was given.* - Fri Nov  6 16:47:47 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) stations himself adjacent to Hassan whereupon he'd exchnage words with the man.* - Fri Nov  6 18:07:08 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Well the church is always open to you all for confession, prayer, and sancuary - Fri Nov  6 18:07:08 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) whispers: What's the situation with Index and Katsune? - Fri Nov  6 18:07:08 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) waits for the old man to respond.* - Fri Nov  6 18:10:33 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) whispers: We'll figue that out later. - Fri Nov  6 18:19:05 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) whispers: For now I have him here. - Fri Nov  6 18:19:05 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: The life of a shinobi... sigh - Fri Nov  6 18:19:05 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: .... - Fri Nov  6 18:20:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) whispers: You can't tell me anything as to why he's here? - Fri Nov  6 18:20:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) whispers: I don't think it's good for image to have a man who was accused of killing one of our trusted ninja walking around within our village but I'll respect your decision. If shit hits the fan though. - Fri Nov  6 18:26:46 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Lera. - Fri Nov  6 18:27:37 2015
<br><br><font color=teal>*Lera(Bailey42) says: ...? - Fri Nov  6 18:27:37 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: In my travels to hunt down the murderous Katsune. - Fri Nov  6 18:27:37 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I went to Kirigakure. There's someone claiming to be the Mizukage and he's calling all the shinobi back. - Fri Nov  6 18:27:37 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I don't know your intention but I thought I'd pass the message. - Fri Nov  6 18:27:37 2015
<br><br><font color=teal>*Lera(Bailey42) says: I see, whats his name? - Fri Nov  6 18:28:28 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) tells her the name, though he oocly forgot it, she'll icly know it.* - Fri Nov  6 18:28:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: I may pay a visit, to see...but theres nothing left for me in that village. - Fri Nov  6 18:29:20 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: It didn't seem like he had the intention of forcing anyone to come back..just the way he worded it. - Fri Nov  6 18:30:11 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'd like to see you stay here to be honest. - Fri Nov  6 18:30:11 2015
<br><br><font color=teal>*Lera(Bailey42) says: We'll see. - Fri Nov  6 18:30:11 2015
<br><br><font color=teal>*Lera(Bailey42) says: I'll speak to this Mizukage. - Fri Nov  6 18:30:11 2015
<br><br><font color=teal>*Lera(Bailey42) says: Truthfully, I intended to be independant. - Fri Nov  6 18:31:02 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Lera, how is your family? Nina is your right? - Fri Nov  6 18:31:02 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: daughter* - Fri Nov  6 18:31:02 2015
<br><br><font color=teal>*Lera(Bailey42) says: ....She followed the man who killed Violet. She's made her choice. - Fri Nov  6 18:31:53 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Huh? - Fri Nov  6 18:31:53 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Well, I remember meeting her. She seemed like a sweet girl. - Fri Nov  6 18:31:53 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Oh my... and she wants to follow someone who killed her mother? - Fri Nov  6 18:31:53 2015
<br><br><font color=teal>*Lera(Bailey42) says: I thought so too...but from now, there are only two people I care for. - Fri Nov  6 18:31:53 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Too many ninja get misguided to follow the wrong people. - Fri Nov  6 18:31:53 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I know Violet is in a better place now... - Fri Nov  6 18:33:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: Indeed....I suppose I may as well head to Kirigakure now...and I hope you're right. - Fri Nov  6 18:33:36 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Be safe - Fri Nov  6 18:33:36 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: She was a good kunoichi. I wish I had the chance to apologize about some things to her. - Fri Nov  6 18:33:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: Mhm... - Fri Nov  6 18:33:36 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Lera, if you need anything, send word this way. - Fri Nov  6 18:34:27 2015
<br><br><font color=teal>*Lera(Bailey42) says: I'll likely be back. I'm not leaving the last few people I have alone. - Fri Nov  6 18:34:27 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: She's obviously talking about me. - Fri Nov  6 18:35:18 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Koji, you ready for that spar? - Fri Nov  6 18:38:43 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: We're not allowed to spar within the barracks however law of Sunagakure. - Fri Nov  6 18:41:16 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yeah, we are going to the training grounds. - Fri Nov  6 18:42:08 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) would head towards the training grounds, beckoning his comrade with the wave of a hand.* - Fri Nov  6 18:42:08 2015
