<br><font color=yellow>*Mitsuko(Sage of Six Booties) cuts him!!!!!!!!!!!

(45.6 attack speed, 12.4 speed.)* - Tue Sep 29 00:31:34 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Hrm. . .Sib. . .Ling? - Thu Oct  8 20:04:28 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Misa. - Sun Oct 11 15:04:32 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Do you have a mission for me before I take off? - Sun Oct 11 15:05:23 2015
<br><br><font color=teal>*Maloth(Gtgoku88) whispers: (Got kage verb? - Sun Oct 11 15:06:14 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Mmm. Get Malot' good foo' for travel! - Sun Oct 11 15:06:14 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: . . . I'm not your bitch. - Sun Oct 11 15:07:05 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Is 'nly mission nee' do! - Sun Oct 11 15:07:05 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Oh, it's Gojiro. - Sun Oct 11 15:09:39 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: tf - Sun Oct 11 15:09:39 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: nah - Sun Oct 11 15:09:39 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: i got exposed - Sun Oct 11 15:09:39 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: i quit - Sun Oct 11 15:09:39 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: No. - Sun Oct 11 15:12:12 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: The' no have thing for do. . hrm.. - Sun Oct 11 15:13:04 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Also. - Sun Oct 11 15:13:04 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: You eat my bird. - Sun Oct 11 15:13:04 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I'll make sure this place is a barren wasteland. - Sun Oct 11 15:13:04 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Is look lik' good. .  - Sun Oct 11 15:13:04 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Mmm. - Sun Oct 11 15:13:04 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Tr' no eat. - Sun Oct 11 15:13:04 2015
<br><br><font color=teal>*Maloth(Gtgoku88) thinks: Is hungry. .  - Sun Oct 11 15:13:55 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: .. - Sun Oct 11 15:17:20 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) whispers: (tell me wat you just said LOL) - Sun Oct 11 15:18:11 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) thinks: The female. - Sun Oct 11 15:18:11 2015
<br><br><font color=teal>*Maloth(Gtgoku88) whispers: (He's tryign to keep the bird alive to eat herself later. - Sun Oct 11 15:19:02 2015
<br><br><font color=teal>*Maloth(Gtgoku88) whispers: (SHe's*) - Sun Oct 11 15:19:02 2015
<br><br><font color=yellow>*Raitori, Amaya(Sage of Six Booties) shifted her gaze to the masked male, then Misa.

"He said that you're trying to keep the bird alive to eat later on."* - Sun Oct 11 15:19:02 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: ------ - Sun Oct 11 15:23:18 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Not. - Sun Oct 11 15:23:18 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: The Raikage... - Sun Oct 11 15:23:18 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) thinks: Did he just threaten to call someone other than himself on us? - Sun Oct 11 15:26:43 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) thinks: Actually..me? - Sun Oct 11 15:26:43 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) thinks: Surely my sister is threatening en- - Sun Oct 11 15:26:43 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) thinks: Yo... - Sun Oct 11 15:26:43 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) thinks: He's gettin' loud. - Sun Oct 11 15:27:34 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) thinks: Shit. - Sun Oct 11 15:27:34 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) thinks: I'm gonna die! - Sun Oct 11 15:27:34 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: Er... - Sun Oct 11 15:27:34 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: Uh... - Sun Oct 11 15:27:34 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: Er... - Sun Oct 11 15:27:34 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) thinks: Shit... - Sun Oct 11 15:27:34 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: .... - Sun Oct 11 15:27:34 2015
<br><br><font color=yellow>*Raitori, Amaya(Sage of Six Booties) folded her hand over her mouth, covering her small grin.* - Sun Oct 11 15:28:25 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: . . . - Sun Oct 11 15:28:25 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) thinks: I'M NOT DYIN' TODAY! - Sun Oct 11 15:30:08 2015
<br><br><font color=yellow>*Raitori, Amaya(Sage of Six Booties) sent the Kumogakure police after him.

"lynch that nigger"* - Sun Oct 11 15:30:08 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: -omit- - Sun Oct 11 15:30:08 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: ... - Sun Oct 11 15:30:59 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Really... Two tiles? - Sun Oct 11 15:30:59 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: You can only move two tiles? - Sun Oct 11 15:30:59 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: LOL - Sun Oct 11 15:30:59 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) whispers: You probably scared him shitless. It's fine. He won't mess with either of us. - Sun Oct 11 15:31:50 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) thinks: The sister!? YO, what!? - Sun Oct 11 15:33:32 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: C-Chill... - Sun Oct 11 15:33:32 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) thinks: Nah, I came to swipe bodies and fuck girls but this is all wrong! - Sun Oct 11 15:34:24 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) thinks: Writing new material... - Sun Oct 11 15:34:24 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: Er....... - Sun Oct 11 15:34:24 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: Y-Ya' g-got a-any uh...b-bodies? - Sun Oct 11 15:35:15 2015
<br><br><font color=teal>*Kagami(Chrisiotic1) says: . .  - Sun Oct 11 15:35:15 2015
<br><br><font color=teal>*Kagami(Chrisiotic1) says: Creep. - Sun Oct 11 15:35:15 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: N-no! - Sun Oct 11 15:36:06 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: I study... - Sun Oct 11 15:36:06 2015
<br><br><font color=teal>*Kagami(Chrisiotic1) says: Creep. - Sun Oct 11 15:36:06 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: The anatomy... - Sun Oct 11 15:36:06 2015
<br><br><font color=teal>*Kagami(Chrisiotic1) says: Creepy creep. - Sun Oct 11 15:36:06 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: Of the human body.. - Sun Oct 11 15:36:06 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: --- - Sun Oct 11 15:36:06 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: Yo. - Sun Oct 11 15:36:06 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: You trynna die? - Sun Oct 11 15:36:06 2015
<br><br><font color=teal>*Kagami(Chrisiotic1) says: Creepy creep is threatening me. - Sun Oct 11 15:36:06 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Ahuh. - Sun Oct 11 15:37:48 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: You got a mission for me, Lady Raikage? - Sun Oct 11 15:37:48 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Otherwise I'll be taking my leave with my brother here. - Sun Oct 11 15:37:48 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) thinks: Hol'lup.. she won't kill me because she knows what's going on here? - Sun Oct 11 15:38:40 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: . . . - Sun Oct 11 15:40:22 2015
<br><br><font color=yellow>*Raitori, Amaya(Sage of Six Booties) looked at Misa with the "bruh" face.* - Sun Oct 11 15:40:22 2015
<br><br><font color=yellow>*Raitori, Amaya(Sage of Six Booties) 

niggas got me like

http://media.giphy.com/media/yhwbyGt73DhL2/giphy.gif* - Sun Oct 11 15:42:04 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: . - Sun Oct 11 15:42:04 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Excuse me, are you high lady? - Sun Oct 11 15:42:56 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Er.. no. I'm not. - Sun Oct 11 15:43:47 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: But.. how do you... - Sun Oct 11 15:43:47 2015
<br><br><font color=yellow>*Raitori, Amaya(Sage of Six Booties) looked at the masked man.

"Chill."* - Sun Oct 11 15:44:38 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) thinks: Yo...Why she keep sayin' I'm her bro? - Sun Oct 11 15:44:38 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: Huh? - Sun Oct 11 15:45:29 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: What'd I do? - Sun Oct 11 15:45:29 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Do I know? - Sun Oct 11 15:45:29 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: ... Okay. - Sun Oct 11 15:45:29 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) thinks: How do I smash a chick that thinks I'm her brother...if I'm really no- - Sun Oct 11 15:46:20 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) thinks: Yo... - Sun Oct 11 15:46:20 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) thinks: She friend-zoned me... - Sun Oct 11 15:46:20 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) thinks: Already... - Sun Oct 11 15:46:20 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) thinks: Damn... - Sun Oct 11 15:46:20 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) thinks: That's dirty... - Sun Oct 11 15:46:20 2015
<br><br><font color=yellow>*Raitori, Amaya(Sage of Six Booties) folded her arms beneath her chest.

"Alright. You got me, I'm the Yondaime Raikage. What's your area of expertise?"* - Sun Oct 11 15:47:12 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: .... - Sun Oct 11 15:47:12 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: . . . - Sun Oct 11 15:47:12 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) whispers: Alright. Let's drop the act. - Sun Oct 11 15:47:12 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Assassination. - Sun Oct 11 15:48:03 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Hn... - Sun Oct 11 15:48:54 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: ... - Sun Oct 11 15:48:54 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: Assassination? - Sun Oct 11 15:48:54 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) thinks: Safe... - Sun Oct 11 15:49:45 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) thinks: Man...She's controlling. - Sun Oct 11 15:49:45 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: Ay.... - Sun Oct 11 15:49:45 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: You can't keep bullyin' me like this y'know? - Sun Oct 11 15:50:36 2015
<br><br><font color=teal>*Maloth(Gtgoku88) whispers: (U got kage verbs already? - Sun Oct 11 15:50:36 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) whispers: (Yas) - Sun Oct 11 15:51:28 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: . . . - Sun Oct 11 15:51:28 2015
<br><br><font color=teal>*Kagami(Chrisiotic1) says: . .  - Sun Oct 11 15:51:28 2015
<br><br><font color=teal>*Kagami(Chrisiotic1) says: Married? - Sun Oct 11 15:51:28 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: No. - Sun Oct 11 15:52:19 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: What? - Sun Oct 11 15:52:19 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: Man... - Sun Oct 11 15:52:19 2015
<br><br><font color=yellow>*Raitori, Amaya(Sage of Six Booties) drifted her gaze back to a nearby chuunin, wearing a cast over his left arm. There was a desk at the edge of the crater, where the mansion once stood.

"Hand me three scrolls." She'd state. The chuunin eagerly approached the desk, going through it's drawers and fetching two yellow and one orange scroll. The chuunin would approach Amaya, handing her the scroll then returning to his initial position. She'd briefly run her gaze throughout the text within the inside of each scroll as she opened them one by one.* - Sun Oct 11 15:52:19 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: I'm too young for marriage. - Sun Oct 11 15:53:10 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: He is my brother. - Sun Oct 11 15:53:10 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: Doesn't fit my job description. - Sun Oct 11 15:53:10 2015
<br><br><font color=teal>*Kagami(Chrisiotic1) says: . .  - Sun Oct 11 15:53:10 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) thinks: Certified pimp. - Sun Oct 11 15:53:10 2015
<br><br><font color=teal>*Kagami(Chrisiotic1) says: Incest? - Sun Oct 11 15:53:10 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: No. - Sun Oct 11 15:53:10 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: No. - Sun Oct 11 15:53:10 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: You call me a creep... - Sun Oct 11 15:53:10 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: And think I'd do incest... - Sun Oct 11 15:53:10 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: Nah... - Sun Oct 11 15:53:10 2015
<br><br><font color=teal>*Kagami(Chrisiotic1) says: Oh right, you 'sick' people prefer to it as. Wincest. - Sun Oct 11 15:53:10 2015
<br><br><font color=teal>*Kagami(Chrisiotic1) says: -o,it- - Sun Oct 11 15:54:01 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: I know wh- - Sun Oct 11 15:54:01 2015
<br><br><font color=yellow>*Raitori, Amaya(Sage of Six Booties) tossed a scroll to Misa in an underhand pass.

"Here."* - Sun Oct 11 15:54:01 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: Ay... - Sun Oct 11 15:54:52 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: So... - Sun Oct 11 15:54:52 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: Lady. - Sun Oct 11 15:54:52 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Uhuh? - Sun Oct 11 15:54:52 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: Since you're the Raikage. - Sun Oct 11 15:54:52 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: And I'm obviously not from here... - Sun Oct 11 15:54:52 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: For a 'price' I can...Work for you. - Sun Oct 11 15:54:52 2015
<br><br><font color=yellow>*Raitori, Amaya(Sage of Six Booties) crossed her arms, squinting toward him.

"Go on."* - Sun Oct 11 15:55:44 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: Well. - Sun Oct 11 15:55:44 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: My skillset requires me to have a lot of cash on hand. - Sun Oct 11 15:56:35 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: So... - Sun Oct 11 15:56:35 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Specify the cost. - Sun Oct 11 15:56:35 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: Well...My cost is high, so I'll give you an option. - Sun Oct 11 15:56:35 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: Pay a milli from the get go. - Sun Oct 11 15:57:26 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: Or pay in incriments. - Sun Oct 11 15:57:26 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: Up to a milli. - Sun Oct 11 15:57:26 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: Eh? - Sun Oct 11 15:57:26 2015
<br><br><font color=yellow>*Raitori, Amaya(Sage of Six Booties) exhaled.

"The Sandai didn't leave much funds."

<This nigga seriously left us two hundred fifty thousand to work with..psh...>* - Sun Oct 11 15:58:17 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: With a 'price' of course. - Sun Oct 11 16:00:00 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: Then incriments would be nice. - Sun Oct 11 16:00:00 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: Or. - Sun Oct 11 16:00:51 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: If you're not willin' to pay in cash. - Sun Oct 11 16:00:51 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: We can talk somethin' out later. - Sun Oct 11 16:00:51 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) thinks: Time to set up shop in Kumogakure... - Sun Oct 11 16:00:51 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: ---- - Sun Oct 11 16:00:51 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: Yo. - Sun Oct 11 16:00:51 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: You say something? - Sun Oct 11 16:01:42 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: .... - Sun Oct 11 16:01:42 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: Nah. - Sun Oct 11 16:01:42 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Thought so. - Sun Oct 11 16:02:33 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Raikage. - Sun Oct 11 16:08:32 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Yes? - Sun Oct 11 16:08:32 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Before I complete the mission, allow me to test your strength in a spar. - Sun Oct 11 16:08:32 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: Ohoho... - Sun Oct 11 16:08:32 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: I'm weak as hell. If anything Maloth is the muscle. - Sun Oct 11 16:08:32 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: Ay, I'll test ya' strength Raikage. Heh. - Sun Oct 11 16:08:32 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: omit - Sun Oct 11 16:08:32 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Still, allow me to test it. - Sun Oct 11 16:10:14 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: I'm not taking any chances... - Sun Oct 11 16:11:56 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Is it fine by you that I decline? - Sun Oct 11 16:11:56 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: No. - Sun Oct 11 16:14:30 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: ... - Sun Oct 11 16:14:30 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: I literally cannot fight. - Sun Oct 11 16:14:30 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: That's a lie. - Sun Oct 11 16:14:30 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: You can fight. - Sun Oct 11 16:14:30 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) thinks: Nigga how do you know. - Sun Oct 11 16:14:30 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: In b- With words. - Sun Oct 11 16:14:30 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) thinks: Safe... - Sun Oct 11 16:15:21 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I refuse to abide by the rules of someone who cannot defend themselves, yet alone the village. - Sun Oct 11 16:15:21 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Will you accept or not? - Sun Oct 11 16:15:21 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Jus' person for help Maloth . .. If no know. . . Maloth have har' time. . - Sun Oct 11 16:17:55 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: For. . Ergh.. - Sun Oct 11 16:17:55 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Talk? - Sun Oct 11 16:17:55 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Thin'? - Sun Oct 11 16:17:55 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: .... - Sun Oct 11 16:17:55 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: Word? - Sun Oct 11 16:17:55 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: That's wassup. - Sun Oct 11 16:17:55 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) thinks: I don't know what the fuck he just said... - Sun Oct 11 16:18:46 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Yes. .. Is was-sawp.. - Sun Oct 11 16:18:46 2015
<br><br><font color=teal>*ANBU Agent(Hellgatez) says: -- - Sun Oct 11 16:18:46 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Why test my strength when I don't have all of it? Wouldn't you have a better time fighting me when I'm actually.. I don't know, capable? - Sun Oct 11 16:21:20 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) thinks: She needs to chill. I'm not trying to demoralize my country by letting them watch me get my ass handed to. - Sun Oct 11 16:22:11 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: We're leaving. - Sun Oct 11 16:22:11 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Complete the mission whenever. Your reward's ready. - Sun Oct 11 16:23:02 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: .... - Sun Oct 11 16:23:02 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) thinks: Alright.. I've successfully evaded one ass kicking. - Sun Oct 11 16:23:53 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Wh' no figh' Maloth?! - Sun Oct 11 16:23:53 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Maybe is scare? - Sun Oct 11 16:30:43 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Quiet. .  - Sun Oct 11 16:40:57 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: I guarantee anyone can kill me. - Sun Oct 11 16:54:36 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: That's why I must grow stronger. - Sun Oct 11 16:54:36 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Hrm? Though' is why hav' Maloth. - Sun Oct 11 16:55:28 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: True... thank you for that. - Sun Oct 11 16:56:19 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Forget. . . How say is pay Maloth? - Sun Oct 11 16:57:10 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: How will I pay you back? Hn... food and equipment. Once I restore the village economically. - Sun Oct 11 16:58:01 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Like food. Mmm, gues' like 'quipment. - Sun Oct 11 17:01:26 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) thinks: Hhmmm... how to get out of this place. - Sun Oct 11 17:02:17 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Is bore.. - Sun Oct 11 17:20:12 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: I need to start regulating the village funds... and make whatever repairs I can.. - Sun Oct 11 17:20:12 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Hrm? - Sun Oct 11 17:23:37 2015
<br><br><font color=teal>***Raikage**(Sage of Six Booties) says: Ugh... so little funds... - Sun Oct 11 17:43:15 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Sigh... requests for alliances are complete. - Sun Oct 11 17:52:38 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: What happens? - Sun Oct 11 17:56:03 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Well. We're officially allies with Konoha. - Sun Oct 11 17:56:54 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Is good. .? - Sun Oct 11 17:56:54 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Very good. Means more money - Sun Oct 11 17:56:54 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) whispers: (im sending 1150 troops to konoha in exchange for 150k yen) - Sun Oct 11 18:00:19 2015
<br><br><font color=teal>*Maloth(Gtgoku88) whispers: (Shoulda charged more - Sun Oct 11 18:01:10 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) whispers: (lel i know konoha is short on cash. the troops'll arrive in 30 ooc mins though) - Sun Oct 11 18:03:44 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Give thing gfor do. - Sun Oct 11 18:51:31 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: for* - Sun Oct 11 18:51:31 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Hm... - Sun Oct 11 18:51:31 2015
<br><br><font color=yellow>*Raitori, Amaya(Sage of Six Booties) handed the male a scroll.

"I will reward you monetarily."* - Sun Oct 11 18:55:47 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: ... - Sun Oct 11 18:56:38 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Deliver wood to some residences. - Sun Oct 11 18:56:38 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Where? - Sun Oct 11 18:56:38 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Homes. - Sun Oct 11 18:57:29 2015
<br><br><font color=yellow>*Raitori, Amaya(Sage of Six Booties) doj.* - Sun Oct 11 19:35:53 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Completed your mission. - Sun Oct 11 19:45:16 2015
<br><br><font color=yellow>*Raitori, Amaya(Sage of Six Booties) handed the female her necessary reward for the mission, in addition to a Chuunin flak jacket. "Hideki said the deal went well, other than the troops being sick. He was one hundred grand short." She'd state, curling her lip and squinting some. It seemed she was displeased with the amount of money she received, none the less she was going to go with it. Allies were important.* - Sun Oct 11 19:48:41 2015
