<br><font color=yellow>*Ai(Sennalove) wants to join him but ain't it a bitch, Ai can't fly.* - Tue Sep 01 21:59:53 2015
<br><br><font color=yellow>*Ai(Sennalove) was not into the fighting thing even if she heard the word bomb. The others were more capable to take create of such problem so she moves away from them, creating her distance while playing with a sheet of paper..Yes, she was playing with paper.* - Tue Sep 01 22:23:47 2015
<br><br><font color=yellow>*Ai(Sennalove) was still playing with her paper--She was almost finish making a paper bird!* - Tue Sep 01 22:35:44 2015
<br><br><font color=yellow>*Ai(Sennalove) rapes this nigga and give him them nightmares [OMIT]* - Tue Sep 01 23:28:38 2015
<br><br><font color=yellow>*Ai(Sennalove) shook her head no.* - Tue Sep 01 23:31:12 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: So...How much for a all nighter? [Omit] - Tue Sep 01 23:44:51 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: I'll pray, don't worry, show me the goods first though [Omit] - Tue Sep 01 23:45:42 2015
<br><br><font color=teal>*Ai(Sennalove) says: ...? - Wed Oct  7 04:14:17 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) whispers: Our clan has ranged techniques. I'm not experienced enough to learn them. - Thu Oct  8 00:59:18 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: So that's all ya need then? Experience? - Thu Oct  8 01:01:00 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) whispers: Uhuh. - Thu Oct  8 01:01:00 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: Train more then! - Thu Oct  8 01:01:52 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) whispers: Haaah... - Thu Oct  8 01:03:34 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: How exactly do ya train your style? - Thu Oct  8 01:04:25 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) whispers: It's complicated. - Thu Oct  8 01:06:08 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) whispers: Well not really..I just practice normal hand to hand combat. - Thu Oct  8 01:06:08 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: Ah--Hmmm, I'm not so skill'd in Taijutsu, heh, I'm a little...Like glass. - Thu Oct  8 01:07:50 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) whispers: You're that frail? - Thu Oct  8 01:07:50 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: Well, yeah. - Thu Oct  8 01:07:50 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) whispers: Hehe.. - Thu Oct  8 01:07:50 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: I just keep my distance in a fight. - Thu Oct  8 01:08:41 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) whispers: I should build up on my burliness if I want to fight close up. - Thu Oct  8 01:09:32 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: Burliness? - Thu Oct  8 01:09:32 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) whispers: My durability. - Thu Oct  8 01:12:06 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: Oh, yeah, that'll be hopeful. - Thu Oct  8 01:12:57 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) whispers: Uhuh. - Thu Oct  8 01:12:57 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: Don't know if I should take the time and work on mines as well. - Thu Oct  8 01:12:57 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Sigh... - Thu Oct  8 01:19:47 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hello. - Thu Oct  8 01:21:29 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: Something's wrong? - Thu Oct  8 01:22:20 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: YOur the fiesty lady that dislikes That White Eyed Demon Koji right? - Thu Oct  8 01:22:20 2015
<br><br><font color=teal>*Ai(Sennalove) says: Heya. - Thu Oct  8 01:22:20 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) whispers: No, not really. - Thu Oct  8 01:22:20 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I'm not her. I'm related to her. Mizora's my name. - Thu Oct  8 01:22:20 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ah.. so you are like them too? - Thu Oct  8 01:23:12 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: What do you mean? - Thu Oct  8 01:24:03 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Like do you fight like them? - Thu Oct  8 01:24:54 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: That's business you'll find out if I ever fight someone. - Thu Oct  8 01:24:54 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Hold on.. - Thu Oct  8 01:25:45 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: Okay.... - Thu Oct  8 01:27:28 2015
<br><br><font color=teal>*Ai(Sennalove) says: ....? - Thu Oct  8 01:28:19 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: Yan's used a fifth of his chakra. Muhhamed's down to a little below half.. - Thu Oct  8 01:29:10 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: I can't see the invader yet.. - Thu Oct  8 01:29:10 2015
<br><br><font color=teal>*Ai(Sennalove) says: Something's up? - Thu Oct  8 01:30:01 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: No... nothing.. - Thu Oct  8 01:30:01 2015
<br><br><font color=teal>*Ai(Sennalove) says: ... - Thu Oct  8 01:30:52 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I know that look...Koji displays it often when we are on missions. Whats going on? - Thu Oct  8 01:33:26 2015
<br><br><font color=teal>*Ai(Sennalove) says: If I remember well, a murderer enter'd the village. - Thu Oct  8 01:34:17 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Really you know a name? - Thu Oct  8 01:34:17 2015
<br><br><font color=teal>*Ai(Sennalove) says: I'm not as strong as I want to be so I don't know if I should search for them and assist or not---Name? Of the figure? Nope. - Thu Oct  8 01:35:08 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hmmm. - Thu Oct  8 01:38:33 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hey you guys mind coming with me I want to see my grandpa fight. - Thu Oct  8 01:41:07 2015
<br><br><font color=teal>*Ai(Sennalove) says: I think she's sleeping but sure. - Thu Oct  8 01:41:07 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: The conflict's done and over with. - Thu Oct  8 01:51:21 2015
<br><br><font color=teal>*Ai(Sennalove) says: Ah. - Thu Oct  8 01:52:12 2015
<br><br><font color=teal>*Ai(Sennalove) says: Welcome back. - Thu Oct  8 02:07:34 2015
<br><br><font color=teal>*Ai(Sennalove) says: Sleepy? - Thu Oct  8 02:09:16 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: No. I seem to have exhausted my chakra more than intended. - Thu Oct  8 02:10:08 2015
<br><br><font color=teal>*Ai(Sennalove) says: Oh, be more careful then. - Thu Oct  8 02:10:59 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Right. - Thu Oct  8 02:11:50 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Er... I just recently used lots of chakra trying to sustain our clan doujutsu for a little longer than I should've.. - Thu Oct  8 02:15:15 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Hrm. . .? - Thu Oct  8 02:17:48 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: It's fine. You still have enough to function, yes? - Thu Oct  8 02:18:40 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: C'mooon... - Thu Oct  8 02:20:22 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I'm too lazy right now. - Thu Oct  8 02:20:22 2015
<br><br><font color=teal>*Ai(Sennalove) says: ... - Thu Oct  8 02:24:38 2015
<br><br><font color=teal>*Ai(Sennalove) says: Mizora, why don't ya spar her? - Thu Oct  8 02:24:38 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hmmmmm. - Thu Oct  8 02:26:20 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: whos sparing? - Thu Oct  8 02:26:20 2015
<br><br><font color=yellow>*Ai(Sennalove) wasted no time the moment she heard his voice, "You...!", quickly turning on her heels, she kicked the ground into a tackle hug, "SENSEI!!!"-Of course it has been a while since she last saw him.* - Thu Oct  8 02:41:42 2015
<br><br><font color=teal>*Ai(Sennalove) says: Nope! - Thu Oct  8 02:48:32 2015
<br><br><font color=teal>*Ai(Sennalove) says: But I missed ya! - Thu Oct  8 02:48:32 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hehe, me too kiddo..  - Thu Oct  8 02:49:23 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I sitll want that hat. - Thu Oct  8 02:50:14 2015
<br><br><font color=yellow>*Ai(Sennalove) cuddles with him tightly! Finally, someone she knows well from the old days.* - Thu Oct  8 02:51:05 2015
<br><br><font color=teal>*Ai(Sennalove) says: Mmhm, I guess it's time for me to man up a bit, right? - Thu Oct  8 02:54:30 2015
<br><br><font color=yellow>*Ai(Sennalove) finally released him.* - Thu Oct  8 02:54:30 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Just a bit.. - Thu Oct  8 02:57:04 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hey gramops said you were good at sealing things could you teach me how please? - Thu Oct  8 03:00:28 2015
<br><br><font color=yellow>*Ai(Sennalove) grins as she lets him hug her-At the moment, she was giving off a vibes that was similar to a child that have never seen their father for years-An very excited aura.* - Thu Oct  8 03:02:11 2015
<br><br><font color=yellow>*Ai(Sennalove) starts playing with her paper like always, she proceeds to tap her figure tips against each other, "Eh..Well, I kinda want to train myself a little more, at least to the point I can protect others but you know, was in a coma for a while and whatnot...Everything changed so much."* - Thu Oct  8 03:09:00 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Coma?...It makes much more sense then as to why you'd want to train yourself.. - Thu Oct  8 03:10:43 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Very well then, I'll allow it. - Thu Oct  8 03:10:43 2015
<br><br><font color=teal>*Lera(Bailey42) says: Brother, You got your memories back? - Thu Oct  8 03:11:34 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Only a certain few..I remember faces..Names little..But not about the effects I've had on those said peoples lives. - Thu Oct  8 03:12:25 2015
<br><br><font color=teal>*Ai(Sennalove) says: Thanks Sensei, I want to understand a little more about my paper techniques and improve a little more! But I still want to train under you! - Thu Oct  8 03:12:25 2015
<br><br><font color=teal>*Lera(Bailey42) says: Oh. - Thu Oct  8 03:12:25 2015
<br><br><font color=teal>*Lera(Bailey42) says: Speaking of techniques, do you have any other Katon Jutsu you can spare? - Thu Oct  8 03:13:16 2015
<br><br><font color=teal>*Lera(Bailey42) says: I'm willing to trade~ - Thu Oct  8 03:13:16 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Oh? Hmm... - Thu Oct  8 03:13:16 2015
<br><br><font color=teal>*Lera(Bailey42) says: I've gotten much better with Katon recently. - Thu Oct  8 03:13:16 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: And Ai, just continue to become great , and I'll be proud...Now then, what sort of Katon is this? - Thu Oct  8 03:14:08 2015
<br><br><font color=teal>*Lera(Bailey42) says: Anything. - Thu Oct  8 03:14:08 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Any form of sealing? - Thu Oct  8 03:14:08 2015
<br><br><font color=teal>*Lera(Bailey42) says: Er...no, I'm not good at Fuuinjutsu - Thu Oct  8 03:14:59 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm, how about the Phoenix Flower eh? - Thu Oct  8 03:14:59 2015
<br><br><font color=teal>*Lera(Bailey42) says: Mhm! I don't know that one - Thu Oct  8 03:15:50 2015
<br><br><font color=teal>*Lera(Bailey42) says: Do you want any in return...uh...You know the Mist Flames Dance? - Thu Oct  8 03:15:50 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I thought you did know it haha...I am looking to teach ya something you can use along side your niece..And No I do not. - Thu Oct  8 03:16:41 2015
<br><br><font color=teal>*Lera(Bailey42) says: Cool~ - Thu Oct  8 03:16:41 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Now,  what I am going to teach you will require personal training. - Thu Oct  8 03:17:32 2015
<br><br><font color=teal>*Lera(Bailey42) says: Ah. - Thu Oct  8 03:17:32 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: So please bother me greatly for such when you have time. - Thu Oct  8 03:17:32 2015
<br><br><font color=teal>*Lera(Bailey42) says: Okay~ - Thu Oct  8 03:17:32 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Otherwise , I'd forget haha. - Thu Oct  8 03:17:32 2015
<br><br><font color=teal>*Lera(Bailey42) says: *nod* - Thu Oct  8 03:18:24 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: So will you teach me. - Thu Oct  8 03:18:24 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I jsut want to know the basics. - Thu Oct  8 03:18:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Will you complete my Labyrinth?... - Thu Oct  8 03:18:24 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Is Hassan gone? - Thu Oct  8 03:19:15 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: i do not know what that is I'll just get graps to make you .... - Thu Oct  8 03:24:22 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: My father knows my strict rules.. - Thu Oct  8 03:24:22 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: Its like we're all related somehow... - Thu Oct  8 03:24:22 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Because every action has a major reaction.. - Thu Oct  8 03:25:13 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hater?...*sigh* Youngins always want it easy... - Thu Oct  8 03:28:38 2015
<br><br><font color=teal>*Ai(Sennalove) says: I'll be back sensei. - Thu Oct  8 03:28:38 2015
<br><br><font color=yellow>*Ai(Sennalove) runs off--She needs to cheer someone on!* - Thu Oct  8 03:29:29 2015
<br><br><font color=teal>*Ai(Sennalove) thinks: Seems they're still at it. - Thu Oct  8 03:33:45 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: You want to be baptized... are you christian? - Thu Oct  8 04:24:57 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: I like to see myself as one. - Thu Oct  8 04:24:57 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: I practice forgiveness. - Thu Oct  8 04:24:57 2015
<br><br><font color=teal>*Ai(Sennalove) says: Sensei, who's in charge? - Thu Oct  8 04:25:48 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Well if you are christin then I can baptise you - Thu Oct  8 04:26:40 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Shh... - Thu Oct  8 04:28:22 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: Saying its a mission gives me away... - Thu Oct  8 04:28:22 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: This dude is crazy. - Thu Oct  8 04:28:22 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Well, lets do this. - Thu Oct  8 04:30:56 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'm doing well. - Thu Oct  8 04:30:56 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'm glad to have actually meant her. - Thu Oct  8 04:30:56 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: She's interesting and seems to have some insight on our clans fighting style. - Thu Oct  8 04:30:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Guessin' the training is gonna be put on hold. - Thu Oct  8 04:31:47 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: We gonna handle that favor now? - Thu Oct  8 04:31:47 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Sure. - Thu Oct  8 04:31:47 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Koji! How much longer will you be awake? - Thu Oct  8 04:31:47 2015
<br><br><font color=teal>*Ai(Sennalove) says: Sensei. - Thu Oct  8 04:35:12 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: Show me the person please, I need to talk with them about my headband. - Thu Oct  8 04:36:03 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: And other things. - Thu Oct  8 04:36:03 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: I will follow. - Thu Oct  8 04:53:07 2015
<br><br><font color=teal>*Ai(Sennalove) says: Yep... - Thu Oct  8 04:58:14 2015
<br><br><font color=teal>*Ai(Sennalove) says: Day dreaming.. - Thu Oct  8 04:58:14 2015
<br><br><font color=yellow>*Ai(Sennalove) sighs.* - Thu Oct  8 04:58:14 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Bryson, could you heal me? I have a few burns from raiton chakra on my body. - Thu Oct  8 05:17:00 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Ah, there you are Ai.. - Fri Oct  9 01:12:32 2015
<br><br><font color=teal>*Ai(Sennalove) says: Hola. - Fri Oct  9 01:12:32 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Slept well I take it?... - Fri Oct  9 01:14:14 2015
<br><br><font color=teal>*Ai(Sennalove) says: Mmmmhm. - Fri Oct  9 01:18:30 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yo'.. - Fri Oct  9 01:30:27 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm? - Fri Oct  9 01:31:18 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: WHen's Taiga's memorial? - Fri Oct  9 01:33:52 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm...May need pops word on that one. - Fri Oct  9 01:34:43 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yeah, I haven't been able to talk to him today. - Fri Oct  9 01:34:43 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hey Yan.. - Fri Oct  9 01:38:59 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Do you have anymore cool moves?? - Fri Oct  9 01:39:50 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'm learning a new one right now. - Fri Oct  9 01:40:41 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: So far I know thrown stones,Mole, subterean Earth Shadow clone Head hunter and earth chakra flow. - Fri Oct  9 01:42:24 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Maybe it's time you teach me a technique. - Fri Oct  9 01:43:15 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Earth Chakra Flow? - Fri Oct  9 01:43:15 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Yeah... - Fri Oct  9 01:44:06 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: It makes stuff much harder. - Fri Oct  9 01:44:06 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Come 'ere and let's talk about it. - Fri Oct  9 01:44:06 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Show me it's power. - Fri Oct  9 01:45:48 2015
<br><br><font color=yellow>*Ai(Sennalove) leaps on her Sensei's back.* - Fri Oct  9 01:47:31 2015
<br><br><font color=yellow>*Ai(Sennalove) la cuddles into him more, "Not on duty nor can I consider myself as a shinobi yet.~"* - Fri Oct  9 01:50:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Woah. - Fri Oct  9 01:50:56 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Damn. - Fri Oct  9 01:51:47 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: A nap does a man goood. - Fri Oct  9 01:51:47 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Yan... come here a moment... - Fri Oct  9 01:52:38 2015
<br><br><font color=yellow>*Ai(Sennalove) shook her head, "Nooooooo.~ Senpai, just a little longer.~"* - Fri Oct  9 01:55:12 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Are you ready to reward us my Lord? - Fri Oct  9 01:56:03 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Are you asking me permission? - Fri Oct  9 01:56:03 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Ahhh...Yeah.. - Fri Oct  9 01:56:03 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Hassan is available. If you have ties here now, then you will have to clear it with him. - Fri Oct  9 01:56:54 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Koji! Tell gramps about how we got rid of those scoripains. - Fri Oct  9 01:57:45 2015
<br><br><font color=yellow>*Ai(Sennalove) giggles but it seems she had to cut it short for a moment since the old man was awake, "Give me a moment senpai, need to talk with the leader about something.". * - Fri Oct  9 02:02:01 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Not bad. - Fri Oct  9 02:04:35 2015
<br><br><font color=teal>*Ai(Sennalove) says: Eh..Sir? - Fri Oct  9 02:07:08 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yo. - Fri Oct  9 02:08:00 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hmm. - Fri Oct  9 02:08:51 2015
<br><br><font color=teal>*Ai(Sennalove) says: I have a few things I need to talk with ya about. - Fri Oct  9 02:09:42 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Talk to me. - Fri Oct  9 02:09:42 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Lord Hassan... can I have a momment with you? - Fri Oct  9 02:09:42 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: One at a time...He's a busy man.. - Fri Oct  9 02:10:33 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Go away farmer. - Fri Oct  9 02:10:33 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: I need to discuss a few things with him, yet it seems that will not happen. Oh well. - Fri Oct  9 02:11:24 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: ... I dont have time for this I have to leave... - Fri Oct  9 02:11:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I have me own business here... - Fri Oct  9 02:11:24 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ahhh oh really... - Fri Oct  9 02:12:16 2015
<br><br><font color=yellow>*Ai(Sennalove) pass him her Kumo head band they gave her during her academy days, "Well, it's nothing too out of place, can I be registered as a Suna shinobi now since Kumo has no control over this Village?"* - Fri Oct  9 02:12:16 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Uhhh...Yeah you need to live here for a week and learn about the village to gain citizenship. - Fri Oct  9 02:13:07 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: She's a student of mine father..She's very well trusted.. - Fri Oct  9 02:13:07 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) thinks: I wonder if Fuji Hana is eatable?? I do prefer Ramen... - Fri Oct  9 02:13:07 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Then you can consider joining the military. - Fri Oct  9 02:13:07 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Theres strict rules with being a shinobi in this village. - Fri Oct  9 02:13:07 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Like having the sunagakure insignia on your person at all times. - Fri Oct  9 02:13:07 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: And knowing what it stands for. - Fri Oct  9 02:13:58 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: That's the rules. - Fri Oct  9 02:14:49 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: What do you want, violet? - Fri Oct  9 02:14:49 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Can we talk... privately? - Fri Oct  9 02:15:40 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: .... - Fri Oct  9 02:15:40 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I almost garuntee it isn't that important. - Fri Oct  9 02:15:40 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: And I won't talk to you privately. - Fri Oct  9 02:15:40 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I'll have one of my chuunin or jounin with me. - Fri Oct  9 02:15:40 2015
<br><br><font color=yellow>*Ai(Sennalove) blinks a few times, "Eh...I am from Suna..Was in the military however you know..Kumo was in control during that time.."* - Fri Oct  9 02:16:32 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Sorry, new rules young one. - Fri Oct  9 02:17:23 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I have already informed Yan... I must speak to you... but if you insist - Fri Oct  9 02:17:23 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I am aware of the situation. - Fri Oct  9 02:17:23 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: And I am free to come alongside you two. - Fri Oct  9 02:17:23 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yan just give me a run down. - Fri Oct  9 02:17:23 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I don't have time for these games. - Fri Oct  9 02:17:23 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Eh, she wants to return to Mist. She's being called back by Kirie. - Fri Oct  9 02:17:23 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: There are so more private details that I can't really say here. - Fri Oct  9 02:17:23 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Respect the Lord's wishes here in his villlage. - Fri Oct  9 02:18:14 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: She isn't even a shinobi of this village. - Fri Oct  9 02:18:14 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I told her to clear it with you. - Fri Oct  9 02:18:14 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: She can go when she pleases. - Fri Oct  9 02:18:14 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'd like to control the flow of ninja in and out of this village more. Perhaps I could come up with a report to accomplish that. - Fri Oct  9 02:18:14 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yeah. - Fri Oct  9 02:19:05 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I'll write you a budget. - Fri Oct  9 02:19:05 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'll be working on that. - Fri Oct  9 02:19:05 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: And you can handle that. - Fri Oct  9 02:19:05 2015
<br><br><font color=teal>*Ai(Sennalove) says: Eh...Can you explain the rules to me? - Fri Oct  9 02:19:56 2015
