<br><font color=teal>*Alastor(LordxPatrick) says: Let's go, Trill. - Mon Oct  5 01:10:49 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm...This may not be the best place, seeing as there are so many people. Don't want to hurt anyone. - Tue Oct  6 03:03:53 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Anyone seen Seisuke Sensei...? - Tue Oct  6 04:10:27 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You guys have been quiet all day. - Tue Oct  6 04:51:24 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Huh? - Tue Oct  6 04:52:16 2015
<br><br><font color=yellow>*Alastor(LordxPatrick) Alastor was ready. His year-long training excursion was about to begin. He cracked his neck to either side as he quietly began his approach. He was surrounded on all sides by a large swath of trees and such greenery. It was a natural, untouched landscape. Well, all that was about to change. “LET’S GO!” He shouted to the sky as he clapped his hands. He walked to nearest tree, taking the stance he had studied for so many years. He slid his right leg back as he shifted his body so his left shoulder was slightly bent inward. His left arm came to a thirty-degree angle while his right arm bent to the same degree in the opposite direction naturally. He paused for a second, gathering his breath. “ARGH!” he shouted, as he loosed a single, hard kick towards the 
* - Tue Oct  6 04:54:49 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: Gotcha'. - Tue Oct  6 05:55:24 2015
<br><br><font color=yellow>*Alastor(LordxPatrick) Alastor was ready. His year-long training excursion was about to begin. He cracked his neck to either side as he quietly began his approach. He was surrounded on all sides by a large swath of trees and such greenery. It was a natural, untouched landscape. Well, all that was about to change. “LET’S GO!” He shouted to the sky as he clapped his hands. He walked to nearest tree, taking the stance he had studied for so many years. He slid his right leg back as he shifted his body so his left shoulder was slightly bent inward. His left arm came to a thirty-degree angle while his right arm bent to the same degree in the opposite direction naturally. He paused for a second, gathering his breath. “ARGH!” he shouted, as he loosed a single, hard kick towards the 
tree-trunk in front of him. “FUCK!” The tree-trunk was much, much harder than he had expected. He very loudly began to curse. “AGAIN!” He thought. He sent another kick, as more pain sprang towards his chest from his leg. The pain seemed to quickly shoot like lightning throughout his being, paralyzing him for a second. “AGAIN!” he thought...Once more sending another hard kick. “If I can’t do one hundred kicks...Then it’s one hundred push-ups!” he shouted to the world at random. “Four…!” he said, throwing a hard kick to the now-chipping bark of the trunk. The pain was less this time, but it was by no means painless. He winced every kick. He continued on doing this for several minutes, a few second break between each kick. Sweat dripped heavily from his brow. “FASTER!” he shouted to himself. “Ninety…” “Ninety-one…” He winced with each muscle twitch in his leg now. It felt as if someone was drilling into the very bone without end. He could not continue the kicks. “Fucking hell...Push ups then!” he shouted to the world. He would quietly, and with a bit of trouble, lower himself to his stomach. His right leg, the same one that had been kicking the tree hard as possible for several minutes, was pulsing with pain. Alastor chose to ignore this pulsing due to just how badly he wanted this...He knew he wanted to be able to be the strongest shinobi in history! He placed his hands shoulder-length apart, and moved his legs to where they were in the correct position for a worthwhile push-up. He quickly contorted into a painful expression as his right-leg could barely hold the pressure. “FUCK IF I QUIT!” he exclaimed. He would slowly raised himself up from his push-up position. “Half!” he shouted, as if this was some large accomplishment. Sweat poured from every pore on his body now. He knew he could not give up...No matter what. He lowered himself down again. “One!” He shouted. He knew the more mentally-focused he could be, the better. He raised himself up once more, this time requiring quite a deal more force. “Fu…” He gasped out, trying to control his breathing. “I can do this!” He said, closing his eyes to focus his mind. He focused not on the training, but the breath slowly coming in and out of his lungs. The soil beneath his palms. The birds chirping in the distance. He could feel himself steadily going up and down. While keeping this mental focus, the pain was almost non-existent...Though the strain was still very evident. He would do push-ups like this for the next ten minutes, getting up past a hundred rather fast. “Keep...Going…” He muttered to himself, trying to keep the picture of him standing atop a pile of rival shinobi in his mind. “I can fucking make a beast of myself.” With these thoughts pushing him, he managed to get up to one-hundred-fifty push-ups before collapsing into the dirt. “Damn it…” He muttered, knowing he could not continue at this pace. “This is SO MUCH WORK!” he shouted, wondering if maybe he had gotten to in over his head. “Fucking hell I did!” He said clearly to himself. He would quickly roll over onto his back, looking towards the Sunny sky. “Fucking hell…” Was all he managed out, deciding to take a small breather. Instead, he passed out until the next morning. He awoke the next morning, cursing himself for sleeping so long. With a shrug, he realized he could do nothing about it.
[Fuck this one-paragraph shit.]
What was on today’s agenda? Speed training. Alastor would sit down on the nearby fallen tree, just outside where he had been the previous day. He pulled out a bag that had been hidden within the tree, a smile slowly spreading across his face. He pulled out a pair of wrist and ankle weights. It was time.

He walked through the serene forest, looking around at the scenery. He saw tall trees of all kinds, various small animals screeching and running throughout the forest. He stared at the natural beauty of the world, thinking before the run. “Such a nice place.” He thought to himself. Oh what he would soon enough learn.

He cracked his neck to either side before starting. “Let’s go!” he shouted to the forest, as he began to traverse the tough terrain. He didn’t do this fairly often, especially never with such extreme weights on. The weight on each ankle was fourty pounds. This may sound light, but when you’re trying to run for two hours straight with an extra eighty pounds on your ankles, it adds up.

He controlled his breath, taking a steady pace. His goal was to keep the same pace throughout the entire two hour run. Alastor had set out a route the day before, and was following it almost exactly. His breathing became labored after about thirty minutes, but after another five he gained his second wind.

For Alastor, it was always a matter of overcoming that first drain of stamina. After that, he was good to go. He always felt tired at the start, but after a short while he would be feeling great. He was a strong-willed individual, and, if he put his mind to it, he -would- achieve it.

The uneven terrain was hell for his legs. So, added onto having an extra sixty pounds, and running two hours straight no breaks at a constant pace, the ground was full of small hills and natural debris from the animals and trees. At one point, Alastor was forced to jump several times over a wide series of trees, all of which had fallen down close to each other. It was straining to say the least, but in the end Alastor knew it would be worth it.

The weights on his wrist were also a challenge. Alastor moved his arms as he ran in order to keep balance, as almost everyone does. This meant the weights beared down on his arms with each up and down motion. His arms got tired every now and then, but when Alastor zoned off and went into an automatic movement mode, the pain resided. The pain at times was a little more than average, but once again Alastor knew that the training was worth it.

An hour into the training, he reached a dark part of the forest. The trees were so tall here most sunlight had been blocked out. Alastor was weary of traveling here, for the uneven terrain and added darkness could easily make him fall. Although this wouldn’t hurt, it would be a problem for his goal of running two hours straight. “Probably should have taken that into account.” He muttered, trying his best to see in the dim light.


Suddenly, he heard a large roar. Startled, Alastor stopped running and looked to his right. He could make out a large creature, although the physical details of the creature were a mystery to him. He slowly began to back up, although a large smile now spread across his face. “What an interesting twist.” He said out loud. 

He realized that if he had to fight right now, it wouldn’t be easy. He was a little drained from the running an hour straight, and the weights would make a large difference in the speed of his attacks. He squinted his eyes slightly, making out the creature to be an extremely large bear “Great. A super-sized bear is exactly what I need right now.”

He felt the bear roar, for it shook his entire body. “Damn, nice.” With a quick flick of his wrist, Alastor loosed his kunai and sent it towards the bear's stomach. He could barely see it hit, but he knew it did. Even so, the bear seemed unphased. “Well then…” Alastor thought, raising an eyebrow.

The bear was reared back onto it’s hind legs. With a mighty force, it landed it’s front paws onto the ground, leaving a small dent into the forest floor. The bear pushed off, racing towards Alastor with an unnaturally speed for a creature so large.

It was only about ten meters away to start off. Within a second, it was eight meters. Alastor jumped back, trying to make a little more distance between the two. The bear’s speed surprised Alastor enough to let the bear get close and hit him with a massive paw. 

Alastor was thrown to the right side, send spinning into a nearby tree. The tree trunk cracked underneath the force of the blow. Alastor lost his breath, shocked that the bear had such force. Alastor quickly regained his composure, an angry look on his face.  “Let’s go, then.”


Alastor pushed off, racing towards the bear as the bear raced towards him. The bear attempted another hard swipe, but Alastor was too fast. He slipped under the bear’s paw, loosing a quick string of blows to the bear’s underbelly. The bear did not seem fazed in the slightest, though, and simply let out a large roar. 

Alastor saw the next attacking coming, though. 

Channeling his energy, he began. It took him a few moments, but he channeled the large sum of his spiritual energy into his right hand. This was not chakra, it was simply him preparing himself to use the maximum force he could. He used this to catch the bear off guard. The bear, whom had been closing in the distance between the two, was now stunned from the force of the blow. “Gotcha.” he said.

With the bear stunned, Alastor went in for the killing blow. He quickly pushed off with his right foot, jumping towards the bear. He withdrew his kunai into his right hand, even knowing the bear’s hide was too tough to pierce with such a simple weapon. When he came down upon the stunned bear, however, he would spin his body around and launch the kunai down with a mighty thrust. Even though Alastor was no master marksman, it was fairly easy to provide enough force and accuracy from this close.

The bear did not take kindly to this. It would rear back with a mighty roar of pain, the pressure hit that had stunned it wearing off. The kunai lodged into it’s eye, it once more rushed towards Alastor. Once more, he channeled his energy into his arm and released it into the bear’s chest. The bear attempted to jump onto Alastor, it’s teeth showing as it was not amused.

Alastor jumped backwards by reflex. The bear fell to the ground after jumping, having been stunned once more. Alastor wasted no time, and jumped high into the air. With his right leg extended outward, he would use the downward momentum to enhance the kick. It’s aim? The kunai in the bear’s eye.

The kick landed successfully, jolting the kunai back and through the bear’s skull. Even with the bear’s tough hide, Alastor had found a way to defeat it. A broad smile crossed his face, as he realized the feat he had just accomplished. 

After taking a few steps away from the bear’s body, Alastor’s right leg collapsed on him. “The hell…” he thought, barely able to hold his left leg up either. Without noticing it, he had done this entire battle with the weights on. That, added with the tree-kicking yesterday, took a toll. Only the adrenaline pumping through his veins after the sudden attack had made him forget. 

“Well. What a nice way to end the day.” He muttered sarcastically to himself, trying to stand on his right leg once more. It was no use. “Guess I’ll have to stay here the night.” He thought, as he looked towards the sky. The small amount of sky that was visible showed a bit of moonlight. “How long was I fighting that thing…?!” he wondered.

Sliding his way over towards a large rock, Alastor decided to camp here for the night. “Hope there aren’t any bear cubs looking for revenge.” he joked to himself...Although, he wasn’t entirely joking. He laid next to the rock on a pile of leaves.He had taken off the weights, a hard thing to do when so worn out, and laid all four in a pile below the rock. Now, the warm night provided him all the warmth he needed to fall asleep.

~The next morning, he awoke well and rested. Judging from what he could see from the sky, it was a little after dawn. His muscles were a little tense from sleeping on the ground all night, for the leaves had made very little difference. After getting up for a quick stretching session, Alastor looking around. “Guess I gotta put those weights on and find breakfast.” He proclaimed to the forest.


He walked over to the rock, put on the weights, and stretched once more. He needed to be sure his body would not give out again under the strain. Luckily, he was rested and his muscles were somewhat better.


He decided for now the best course of action would to gather some water. He had brought no cantine with him, having assumed he’d be back before dark the previous day. He closed his eyes, listening. He heard the slow, repeated croaking of a mountain frog. “That way.”

Taking off on a fast-paced walk, he found the water source in under two minutes. It was a small lake, surrounded on the south side by an almost perfectly smooth, circular wall of stone. It looked naturally made, but was sight to behold none the less.The wall circled halfway around the lake, taking up about half of the diameter. 

The water itself was a pure-blue color. The surface was clear, although about three feet down it was suddenly black. Alastor did not know what caused this, but it gave him an eerie feeling. It was a small oasis in this mountain-forest.

There were also various frogs here for some reason, some he had never seen the likes of before. Some were purple, some a light blue; But the most interesting color was a crimson frog that matched the slash Alastor wore. There was only one here, and it was about double the size of the next largest frog. With an interested glance, he shrugged. “No time to waste.” he said.

He drank from the lake for a minute, taking in much needed water. “That should be good.” he said, his face contorting at the after-taste of the water. “Bleh.” After rising up, Alastor turned on his heel and began to walk away. However, a sudden noise made him stop in his tracks.

He turned around quickly, withdrawing another kunai. He saw a large explosion of water, and something within the geiser. “Damn it.” Water droplets rained down upon Alastor, soaking his clothes with thousands of tiny drops. He closed his eyes for a second to protect them. When he opened them back up, he saw what had caused the explosive force within the water.

A strange creature had only it’s head emerged from the water. “Is that...A giant crocodile’s head?!” Alastor thought, shaking his head. “Just my luck.” He got into his usual stance, digging his right foot into the ground for a firm stance. “Do I run…?” he muttered, this time aware of the weights.

Without any warning, the crocodile opened it’s mouth. It shot a single, condensed “pellet” of water, aimed directly at Alastor. With a quick dodge roll, Alastor was barely fast enough to move out of harm's way and readjust himself standing up on the balls of his feet.

Alastor heard the water pellet smash through three thick trees, before finally leaving a large crack in a boulder, simply through the concussive force. “That’s a water jutsu?! Perfect.” He muttered. He wasted no time though. He reached down, picked up, and threw a rock towards the crocodile.

The crocodile once more submerged underwater. The rock would hit the rock wall and bounce harmlessly into the water, floating there. Ripple shocked the water, as the crocodile slowly lifted it’s head out once more. As it began to open it’s mouth, Alastor frowned. 

The crocodile shot two more water pellets towards Alastor, one right after the other. These seemed  to be double the size of the previous one. The weights were bearing down on him, but his adrenaline had finally started pumping.

He managed to dodge the first one pellet, but the second one hit a tree directly beside Alastor. A large branch was broken from low on the tree, giving Alastor little time to react. He moved his torso out of the way, but his left arm was hit with a good deal of force. The reason for this? The weights made his movements somewhat sluggish...Definitely not what he was used to.

His left arm bruised instantly, sending a jolt of pain through Alastor’s body. He could take pain, though. Afterall...He WAS a shinobi! The only thing the creature managed to do was reinforce Alastor’s determination. “What a shame it would be to die now.” he thought, looking towards the back wall. This gave him an idea.

He began to withdraw something from his pouch. It turned out to be a second kunai with an explosive tag at the end. With a swift motion, the kunai launched towards the crocodile’s head. The crocodile simply submerged into the water, although Alastor smirked. Just above the water where the head had been, it would explode. This caused a stream of water to shoot out, and revealed the crocodiles entire body.

He sprinted to the edge of the water, standing at the edge before the land. Finally, he released the his tensed-up strength into the ground next to the water around him. This would stun anything in the surrounding area due to the shockwave, even potentially stunning large creatures: Like the crocodile. It created a small crater, some water beginning to pour into it.

The crocodile was now vulnerable. Though Alastor could not get into the water himself, the crocodile’s death was already at hand. After firing another kunai, this time with two explosive tags attached to the end,it exploded at the base of the rock wall behind the crocodile. This, in turn, causing the entire middle-section of the wall to collapse into the water. Since the croc could not move due to the the shock wave from earlier still having it stunned, it had nowhere to escape to as the large rocks tumbled into the water.

The crocodile was hit. Without a sound, it simply sank to the bottom of the lake. Alastor let out a sigh of relief. “Things are too dangerous around here.” Alastor chuckled to himself. “Time to head back to the spot.” He decided the best way to finish his training would be with a little weight-running. He tightened the ankle weights. Then, he took off. He did almost a sprinting pace towards the the starting-training spot. At walking speed, the spot would have been two hours away. With this running pace, Alastor made it back in about thirty minutes. He arrived at the spot, panting. He collapsed next to the tree where he had been training the previous day, only able to breath and fall to the ground at this point.



~~Memories~~
Alastor grunted as he dodged to the left, narrowly avoiding a set of five claws being swung at his face. Flipping into a handspring, he plucked a kunai from his pouch and flicked it with a practiced ease at his opponent, scowling when it was knocked aside by a bracer-clad forearm. Vaulting off his fingertips, he tucked into a roll in mid-air before landing on all fours, looking up just in time to see another claw swipe aimed at his head again. He spat out a series of curse words as he launched himself backwards, the laughter from his opponent only serving to irritate him even more. Alastor had always prided himself on two things; his speed and his strength. Those were the two things he had going for him in most any fight.

So of course his older brother was faster and stronger than him.

"Come on baby brother, you can do better than just dodge. Or are you a whipped dog??"

Baring his teeth, Alastor dug his feet into the ground and pushed off with an incredible amount of strength; enough that he tore up the grass and earth under foot and left a cloud of debris in his wake. His brother sidestepped the attack but didn’t follow up with a counter. Alastor landed on his hands and grunted as his arms absorbed the impact before an idea sprouted from the crevices of his mind. Leaning into the ground, he made a similar motion to a push up but at the last moment launched himself backwards, his feet held out in a donkey-kick like fashion. When he didn’t feel his feet connect with anything until he hit the ground, he glanced around and saw Xian staring at him as if he was some kind of idiot before he shot forward. His aim slowly raised and Alastor’s eyes widened as he saw his brother's hand swing forth a fully-fledged kunai. So far all his attacks had been with his non-damaging attacks but now… it appeared he was getting serious. Or annoyed.

Alastor’s legs swept around suddenly as he came within range, twisting onto his side and using his left hand to keep himself somewhat upright. He was just as surprised as his brother was when the sweeping attack connected, causing Xian to stumble in his forward assault. Quickly following up, he threw himself up off the ground, twisting around and pushing against the ground with his hands to do so, and pushed his back against the stumbling Xian. They both fell to the ground in a heap but Alastor quickly hauled himself up onto his feet and shifted his feet and weight until he settled into a basic fighting stance. As he had shifted into position, Xian regained his footing and stared at Alastor. He took his chance and darted forwards.

Xian raised his leg for a side kick as Alastor came into range, a move which the younger brother mimicked. Their ankles met for barely a second before Xian pulled back and he once again copied him, retracting his own kick. This time they both attacked with their kunai-wielding hands and clashed at the wrist once more. Xian smiled at Alastor as he grunted and tried to push his arm back. Slowly he pushed it away before putting on a burst of strength and knocking it down. With his balance shifting downwards and planting his hand on the ground, Xian unleashed a brutal shoulder tackle that had Alastor quickly backpedaling from his assault to avoid it.

He moved forward again, this time with his arm cocked back. He stepped past Xian's kunai attack towards his chest and unloaded his own swipe, straight towards his face. Xian batted the attack aside with his hand and brought his still outstretched palm around to the back of Alastor’s head, delivering a quick slap across the back of his head. The small smirk he wore was enough to make Alastor realize he was being toyed with. With a growl, he attacked furiously with kicks and punches all of which were nimbly dodged or batted aside before they connected. As he drew back for yet another wild punch, he was subject to the same kunai strike he had almost copped at the very beginning of the training match. Instead of being sent sprawling across the ground, Alastor had managed to tense a second before impact and was only sent reeling backwards. Xian followed up with another few short, quick thrusts which kept pushing him back until he had his back against a tree.

This was a bad situation and he knew it. He watched as the kunai of Xian's attack came hurtling towards his face. He knew it was most likely a fruitless effort but nevertheless he threw his hand up and whether through fate intervening or sheer dumb luck, he caught Xian’s hand with his own. Not willing to lose this advantage, he threaded his fingers between Xian's and used the tree against his back as leverage to swing both of his legs up into his older brother's side. The blow connected and he was sent toppling to the side and Alastor quickly let go of his hand as to avoid getting pulled down with him. He slammed against the ground, hard enough that he bounced and hit it again albeit a little more softly that time. Caught up in the throes of battle and not really thinking, Alastor brought his leg up as high as he could before swinging it down as fast and hard as he could heel first towards his brother's chest.

Xian’s quick reflexes kicked in and he rolled out of the way; however the heel drop still managed to clip his shoulder before he completely escaped its range. Thankfully he stayed down long enough for Alastor to regain his breath and try and clear his head a bit. The reprieve however didn’t last long as Xian was up and in his face after a few moments. Doing the only thing he could think of at that particular moment in time, he brought his head down and slammed his forehead against his brother's own as hard as he could. Fortunately for him, Xian wasn't wearing his forehead protector. Unfortunately for him, he wasn't wearing his own either. He stumbled back from the blow and shook his head to try and clear it of the loud thumping going on inside his skull. It felt like his brain was banging against the bone of his skull over and over again. Before he knew what was going on, Alastor was swept off his feet and found himself staring at the overcast sky, which was quickly blotted out by an incoming heel drop. Eerily similar to the one he had tried to deliver not a moment ago. He brought his arms up in a cross in front of his face and yelped at the heavy impact of the heel digging into his arm. He was surprised he didn’t hear a resounding crack of his bones snapping under the pressure. It certainly felt like they had broken.

He lifted the arm that hadn’t been directly hit, having been under the other arm when the heel hit, and grabbed onto Xian’s ankle before rolling over onto it. Alastor listened him cry out as he was forced to the ground to avoid snapping his ankle and the younger of the siblings used the time to quickly crawl back onto his feet and stand at least a meter away from the older brother. He didn’t want him trying the same trick he had just used. That would hurt like a bitch. He looked towards Xian as he slowly stood up and realized his vision was blurry. Bringing his hand up to his face, he realized his eyes were watering and his face itself was very tender, especially around his eyes and left cheek. His preoccupation with his current wounds led to him completely missing the incoming shoulder barge that drove Alastor straight into the ground. He stood over him and he couldn’t help but feel like some kind of insect about to get squashed. Fight or flight was the question? His instincts were screaming flight. To get the hell away from the clearly stronger predator and live to fight another day. His pride, however, demanded he continue fighting. Unfortunately for him, his pride won out.

He kicked his foot out towards Xian’s ankle and grinned when it collided and he fell to the ground. He once again found his way to his feet and was about to deliver the finishing blow when he heard clapping coming from… behind him? He spun around to see Xian standing at the edge of the cliff, smiling at him before he swung back around just in time to see the Xian on the ground before him burst into a cloud of smoke revealing it to be one of Xian's shadow clone’s. The damn thing had been a shadow clone the entire time!?

With a growl and then a sigh, he fell back on his rear end before flopping down onto the ground and staring at the sky again. He could hear Xian approaching but he didn’t really feel up to talking to him right now."Ah come on baby bro. Don’t you at least feel like you’ve learned a little bit?" The Genin grunted and nodded. "If it's any consolation, you've definitely gotten better since the last time we scrapped. You lasted at least a few minutes this time. Last time was what? Twenty seconds?"

"How many times are you going to bring that up?"

"For as long as I live, baby brother. For as long as I live."

~~End Memorie 1~~

~~Start Memorie 2~~


*Clink, clank, shhk shhk clank* The sound of shuffling feet & flesh clashing against flesh could be heard bright and early behind the family household - continuing well on into the noon hours with no sign of stopping any time soon. From an onlookers perspective, one could only interpret such noises as intensive training between two Shinobi determined to attain formidable taijutsu prowess. Well, sort of. Since Alastor had become a ninja he hadn't really had much time to spend with his old man, Alastor's father, decided it was time to do some 'bonding' using the guise of training as a reason to do so. 

At last, the blows ceased & both skid to a halt several feet away from one another panting - well, Alastor was anyway. To Alastor’s father, exchanging blows at a level slightly above Genin quality was well..child's play. “Don't tell me you're tuckered out already, son?” Alastor's father asked, raising his right hand up & swaying his index finger from side to side jeeringly. “Oh fuck off...” Alastor thought to himself, taking several deep breaths followed by slow exhales to ease his heart rate. “C'mon give me some credit! We've been at it since day break,” Alastor replied. He wondered how his father wasn't the one needing a breather considering the fact that the two had been decades apart - shouldn't old people feel the effects from this kind of thing? Then again, this was Alastor's father we were talking about. “I guess you have a point. We'll take a short break and then get right back to it. Gotta build up that stamina of yours or else you'll get left behind by your peers.” Alastor tried his hardest not to furrow his brow though for some reason he felt like it only made him look awkward.

For now, the fighting had ended & Alastor could afford himself some down time. However, while he did in fact rest his physical body - the young man’s mind had been fast at work; analyzing points in the exchange with his father that cost him time and energy. Two vital things that would do best to be conserved in the Shinobi world. “One thing's for sure: For an old man, my Father definitely is as skilled as any Leaf higher up. I couldn't break his defenses because of the time it took me to transition from-* - Tue Oct  6 06:11:37 2015
<br><br><font color=yellow>*Alastor(LordxPatrick)  offensive strikes to defensive counters..” Alastor sighed before laying his back on the soft brown dirt and green grass - funny how from this position the skies seemed not so distant.. “Man..I wish I could just drift away, forget all about this ninja nonsense...Yep, that's the life for me. Care free and easy going.”

“Son?”Just drifting along not having to worry about protecting anyone or anything.. “Son?” Riding the winds going from place to place. “Alastor!!!” “Eh? Oh, sorry about that.”

 “You've really gotta get your head out of the clouds Alastor. Lets continue.” 

“Break time over already, huh? Ah well, a man can dream.”Alastor thought to himself while getting off his back, quickly standing to his feet. After a few short & simple stretches both men were ready to pick back up where they'd left off earlier. Only this time, Alastor wouldn't forgo the capabilities of his father & even more so - entered the fray with a better understanding of his own skill. He knew what needed to be done & how to go about it, the hard part was putting what he'd learned about himself to the test. *Zzzt* The sound of Alastor's father arming himself with a single Kunai had been captured in Alastor's ears & he knew that the time for playing around had officially ended - so he did the same. 

Gripping the warmed, wrapped handle firmly in his left hand with his index finger slipped inside of the small loop on its hilt. Alastor then bent both of his legs placing his right leg shoulder length apart from the other while simultaneously sliding it up by twelve inches - somewhat of a defensive stance seeing as how his left hand raised just shy of chin level leaving his right (and empty) hand closer to his stomach. Additionally, the left heel sat at a slight elevation of two inches off the ground, Alastor made mobility in this case his top priority considering that his father was both stronger and considerably faster than he'd been. Now, he was officially ready.

For the longest time the two stood watching each other as if to be sizing one another up or simply waiting for that one minute shift to tip the scales of tranquility, the calm before the storm. Alastor's father, stoic & unwavering like a statue. Alastor, calm & calculating. It must have been a family trait because neither of their facial expressions betrayed what the other had been thinking and then - like lightning striking the ground or a snake lurching after its prey, the fighting began without warning. Alastor's father dashed forth clearing the distance between them kicking things off with a single diagonal upward strike forcing Alastor to retreat in a swift dodge though this time around the attacks were relentless. Alastor's father would not ease up as he followed through with yet another strike toward his son, this time in the form of several thrust attacks that played on their arm length. Alastor couldn't even get close. “Your enemy is aggressive and won't give you the time to mount an offensive! You'll have to think on your toes if you want to conquer them.” Alastor's father spoke through grunts of effort as he continued to swing his kunai around. 

This hadn't been anything like the first round where Alastor had been given leeway to act. Alastor's father was really going to push him to his limits. “Tch, I knew it.” Alastor thought to himself as he continued to shuck & jive, duck & dodge, Bob & weave. At this rate, he'd end up tiring himself out which was what his father was probably banking on. Admittedly, Alastor was beginning to grow frustrated and he was more than tired of running - but what could he do?! His father's constant barrage of attacks had put him in a tough spot & getting out of it wouldn't be a cake walk. “C'mon Alastor get it together! You've got to counter attack!” Alastor thought to himself before making his first attempt at attacking his father; a quick rightward swipe with his Kunai knife that had been easily deflected by his father through brute strength. Tch, so much for that plan. Before he knew it, the young Genin found himself dancing all around their back yard from end to end. “Damn! I've had enough of this!” Exclaimed Alastor which seemed to catch his father by surprise seeing as how typically speaking, Alastor was not the kind of person who would openly display his frustrations which could only mean that the child was serious about his development. 

Lurching forward once more, Alastor's father attempted a thrusting attack only to be met with an unexpected counter. Rather than try duking it out with his father, Alastor lept backwards and snapped his thigh holster open only to launch several shuriken toward his father in quick succession. “What?!” Alastor's father thought to himself while quickly attempting to recover from the vulnerable position he'd been in by placing his right leg out in front & turning to the side while using the kunai to deflect the shuriken. However, before he could move to transition in his assault again, Alastor was upon him. Thrusting, slicing & even throwing several well placed kicks in to put his father on the ropes. “Heh, I'm starting to get the hang of this.” Alastor remarked. “Not so fast.” Alastor's father replied before grabbing a hold of the young Genin and literally flinging him across the yard. 

If not for his training as a ninja Alastor probably would have landed on his back but he'd instead been able to recover in air and land, albeit with a skidding stop, on his feet. “Heh, had you worried for a second there didn't I?” Even though he hadn't quite pulled the win in their short exchange, Alastor applied a quick switch between defense & offense which for a moment, gave him an edge. To him, that was confirmation enough that he could beat a skilled opponent given enough training and time. 

“You've definitely improved just over the course of this fight - that much I will say. What you did in shifting from defense to the offensive on such short notice requires a keenness of instinct that not very many ninja have. Of course, you've still got a ways to go before you can beat your old man.” “To think he'd be able to transition with such seamless skill so early on...I never pegged him for the Taijutsu savvy type. Then again, he has always been quick in the mind.” Alastor's father thought to himself, unable to help but be proud of Alastor for his quick change in the face of a problem. 

While it wasn't exactly the conventional means of transitioning, Alastor had been able to use a combination of his Kunai and shuriken to bridge the gap in his offensive & defensive capabilities, therefore allowing him to forgo the effort and energy expenses it'd take to deal with an adversary of considerably higher level. Alastor's father only hoped that Alastor would apply this new found skill in the future as it could potentially mean the difference between being cut down & surviving. ~~End of Memory 2~~

~~Memory 3~~
The clouds above Konohagakure this morning couldn't stop the sun rays from piercing Alastor's bedroom curtains and forcing him out of bed. He was still recovering from his last team training, but he figured he shouldn't become too lazy. After a quick breakfast, he rushed out of his place to go meet with his brother Xian on the training grounds. Alastor managed to convince him to arrange a training spar this morning. His number one motive for training was to surpass him. He wanted to compare his skills against his to see how much of a way he still has to go. It wasn't in his expectation to beat him this cloudy morning. He wasn't late, but his brother tends to be early at times. It was still just a bit past dawn, and the slow wind was clearing up the clouds, to reveal a clear sky. 

The Third Training ground was still pretty much the same. Three wooden posts, the river, the solid grounds surrounded by the woods. A beautiful landscape. Alastor approached the three posts and climbed on top of the middle one, looking for signs of his brother. Xian was already a Chuunin, a middle ninja who knew his way around this training grounds. Alastor was sure that he was in for a treat. 

The sun was now completely visible and it was bothering Alastor's drowsy eyes. The sun, while blinding Alastor, almost prepared him for his brother. He came in like a flash, striking Alastor with a heavy punch and knocking him over the post.
"Heya, brother!" he screamed with a gravelly voice and a grin so wide, it wasn't even appropriate for someone his age. 
Alastor was so surprised by his brothers idiotic entrance that he was left speechless.
"Oh, sorry. I just thought you would be more prepared, brother. Especially now that you're a full genin and all" he was scratching his head while Alastor was getting back on his feet and dusting himself. 
"Buuut, I was wrong" he was provoking Alastor even more, knowing that this would get him fired up in no time. 
"Good morning, Xian!” Alastor answered with an irritated voice, sarcastically looking at his brother. 
"You ready, then?" Xian was preparing himself for the match by doing a few jumping jacks. "Come on, just come at me whenever you feel ready, lil' bro!”

Alastor speechlessly took a running start with a prepared fist and took a little jump before he faced his brother. He tried to lay a punch, but Xian ducked and dodged it. Alastor almost instinctively swinged his left foot in his brother's face, but Xian blocked it with his arm before Alastor even got it off the ground. Xian took a good grip of his brother's leg and pulled it on the side, making Alastor fall on his arse. 
