<br><font color=teal>*Engi, Ichiro(Master Roku) says: ..... - Sat Oct 31 02:01:10 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ichiro-kun, I did like the bloodlust you were emitting. - Sat Oct 31 02:02:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Were you actually trying to kill me? - Sat Oct 31 02:02:52 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Possibly. - Sat Oct 31 02:06:17 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: Ooo yay. - Sat Oct 31 02:06:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm. - Sat Oct 31 02:09:42 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Good..good.. - Sat Oct 31 02:09:42 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I might be able to get off to that.. - Sat Oct 31 02:10:33 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ..... - Sat Oct 31 02:11:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Huh? - Sat Oct 31 02:16:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What do you mean..? - Sat Oct 31 02:16:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It's like I said it.. - Sat Oct 31 02:16:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: There's a time for being a priest, and then there's a time for pleasure. - Sat Oct 31 02:16:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Huh? - Sat Oct 31 02:21:39 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're judging me.. - Sat Oct 31 02:21:39 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Such a shame.. - Sat Oct 31 02:22:30 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I expect that from the Old Hag.. - Sat Oct 31 02:22:30 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Sun Nov  1 00:38:49 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: But I won't. - Sun Nov  1 07:16:28 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: My Queen? - Sun Nov  1 07:16:28 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Orders? - Sun Nov  1 07:16:28 2015
<br><br><font color=teal>*Asteroth(Lordlol45) whispers: This one is strong. The man killer. Take this time to gather my men. (I have 2.5k forces to use) - Sun Nov  1 07:17:20 2015
<br><br><font color=teal>*Asteroth(Lordlol45) whispers: As for me. . I must relocate. I'll send in one my creatures to battle. - Sun Nov  1 07:17:20 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) whispers: Of course m'lady. - Sun Nov  1 07:19:02 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Sun Nov  1 07:23:18 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) observed Baen's actions for a mere few seconds before beginning to take off in the opposing direction. He wasn't running, no, but walking. It was more like a confident exit than one that implied a runner. However, Ichiro's eyes pointed more or less towards a specific mass of people and his hand raised in this instance. Yet it was a mere matter of timing and distance if he wanted to get the upperhand. He didn't want to be outted and killed before he could do what was needed.* - Sun Nov  1 07:24:09 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hey, we kind of need this guy to be alive for the time being. Mind letting him go until his service is done with? - Sun Nov  1 07:25:00 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Just let it go. - Sun Nov  1 07:25:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: No..no.. - Sun Nov  1 07:25:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: We actually do need him.. - Sun Nov  1 07:25:52 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: For what? - Sun Nov  1 07:26:43 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Question, why are you after him? - Sun Nov  1 07:26:43 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Make it worth my while, and I'll drop it. - Sun Nov  1 07:26:43 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) thinks: He forms blades from within the body...Of course he could turn his hand into a spear... - Sun Nov  1 07:26:43 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well...I assume Kirigakure sent you.. - Sun Nov  1 07:26:43 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Last time I spoke with them, they didn't sound too happy about his existence. - Sun Nov  1 07:27:34 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: They suggested I give it a shot. He was pretty annoying in the past so, I figured why not. But, if you make it worth my while to not kill him, i'll let him go. - Sun Nov  1 07:27:34 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Meh, what are they offering you for killing him? Could it be you're just doing it to shave off time until something more interesting comes your way? - Sun Nov  1 07:28:25 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: More or less.  - Sun Nov  1 07:28:25 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Give me something more fun or a fair enough price and i'll drop it~ - Sun Nov  1 07:28:25 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You have nothing really to gain from it. Think about it..Kirigakure doesn't have the funds comparable to all this work. - Sun Nov  1 07:29:16 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) brought his hand up as he allowed his voice to sound throughout Amegakure, pointing it towards their military forces. "One hundred required to defeat the mankiller, let us move to obey our Queen." 

In only a few seconds they proceeded to travel forth, bringing themselves back to meet at the point Ichiro initially came from. This of course was the cavalry, and Ichiro planned to gain the upper hand by introducing the element of suprise of course. Now he approached with a small force behind his back.* - Sun Nov  1 07:49:45 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Honestly. - Sun Nov  1 07:56:35 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: This guy brought me an army. - Sun Nov  1 07:56:35 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: If you let me kill them all, we'll call it square. - Sun Nov  1 07:56:35 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Alright? - Sun Nov  1 07:56:35 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well..now..let's see.. - Sun Nov  1 08:04:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What are the chances of you coming back on another day? - Sun Nov  1 08:05:07 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: I wonder when he'll tell me the price of his bones.. - Sun Nov  1 08:05:07 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well..then.. - Sun Nov  1 08:12:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It seems like things are happening. - Sun Nov  1 08:12:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hey could you guys not try to kill eachother for the moment? - Sun Nov  1 08:13:39 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm trying to do business here! - Sun Nov  1 08:13:39 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: Just steal Kirie's sword...It's basically the same thing. - Sun Nov  1 08:13:39 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So..like.. - Sun Nov  1 08:17:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: About those bones, Baen.. - Sun Nov  1 08:17:55 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'll give you one-hundred thousand for an arm. - Sun Nov  1 08:17:55 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: The speed calc is half of your speed stat ;+1 depending on the tiers of your speed perk, right - Sun Nov  1 08:25:36 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Well. - Sun Nov  1 08:27:18 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: This is about to go south, really fast. - Sun Nov  1 08:28:09 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: You didn't answer about Kirie. - Sun Nov  1 08:28:09 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: What did you ask? - Sun Nov  1 08:28:09 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: Why not just kill her? - Sun Nov  1 08:28:09 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Because she's a friend of mind. - Sun Nov  1 08:28:09 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: mine* - Sun Nov  1 08:28:09 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: Does she leech off you too? - Sun Nov  1 08:28:09 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: More like the other way around, bwahahaha. - Sun Nov  1 08:28:09 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: That's gross....have you seen her deformed toes? - Sun Nov  1 08:29:00 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: But as I was saying. Sacrifice the army, and the giant turtle and we'll be fine. I'll call it square. - Sun Nov  1 08:29:00 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I'm throwing you a "bone". - Sun Nov  1 08:29:52 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Get it? Bone. Bwahahahaha. - Sun Nov  1 08:29:52 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: Leave the jokes to Best Friend Sado. - Sun Nov  1 08:30:43 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Heh. - Sun Nov  1 08:30:43 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I'd take the offer. I get to kill some people, you guys get to live...Asteroth might die if she pushes it, but who cares. - Sun Nov  1 08:30:43 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: We'll all be happy. - Sun Nov  1 08:30:43 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: See...You're threatening our queen right there... - Sun Nov  1 08:31:34 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: That's not cool.... - Sun Nov  1 08:31:34 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well she's not -my- 'queen'. - Sun Nov  1 08:31:34 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Even so, do you really think you can kill me? - Sun Nov  1 08:32:25 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) thinks: Damn it Sado.... - Sun Nov  1 08:32:25 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) thinks: That's challenging him...right? He's basically daring him? right? - Sun Nov  1 08:32:25 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I can kill anyone if I put my mind to it. But i'm not here for you, or even Mizumi anymore. - Sun Nov  1 08:34:08 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Besides, she's attacking me. - Sun Nov  1 08:34:08 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Casualites of war, no? - Sun Nov  1 08:34:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Honestly, I'm just trying to make a deal with ya'. - Sun Nov  1 08:34:08 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Alright, well, Asteroth. It's on you. - Sun Nov  1 08:34:59 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Let me end the army, and everyone gets to live. It's a fair trade. - Sun Nov  1 08:34:59 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Also, can you tell the Mizukage that I love her? - Sun Nov  1 08:35:50 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I keep trying to tell Fickle-chan over here that she has the body comparable to that of a tree stump. - Sun Nov  1 08:36:41 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: She just won't believe me. - Sun Nov  1 08:36:41 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: They look at me as if I'm the one that's mad... - Sun Nov  1 08:36:41 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Bwahahaha, a tree stump. - Sun Nov  1 08:36:41 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Mhm..mhm..! - Sun Nov  1 08:36:41 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Oh, you must of misunderstood. All the army that is here in this area, will die. If you don't want them to die, i'd suggest calling them back, if you don't want to suffer quite a hit~ - Sun Nov  1 08:50:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hey! Flip your hair! - Sun Nov  1 08:51:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hey! - Sun Nov  1 08:51:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Uguu! - Sun Nov  1 08:51:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: HEY! - Sun Nov  1 08:51:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Fliiiiip! - Sun Nov  1 08:51:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ..... - Sun Nov  1 08:52:54 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: How about...Kill the guy in the green shi-....omit - Sun Nov  1 08:53:45 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sun Nov  1 08:59:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: My word.. - Sun Nov  1 08:59:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're really going to let him kill your men? - Sun Nov  1 09:00:35 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: Can I put a hit on Kirie? - Sun Nov  1 09:00:35 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: Can you kill Kirie for me? - Sun Nov  1 09:00:35 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: He said disperse them. Marooon. - Sun Nov  1 09:01:26 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Maroon* - Sun Nov  1 09:01:26 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: I'll teach you fire jutsus. - Sun Nov  1 09:01:26 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Learn to listen. - Sun Nov  1 09:01:26 2015
<br><br><font color=teal>*Asteroth(Lordlol45) thinks: Ughj! It sucks to suck. . If Icould fight. - Sun Nov  1 09:01:26 2015
<br><br><font color=teal>*Asteroth(Lordlol45) thinks: I would beat him up so bad! - Sun Nov  1 09:01:26 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: No..no.. - Sun Nov  1 09:01:26 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You don't understand his demands. - Sun Nov  1 09:01:26 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: He's telling you to let him kill your troops, and thingies over there! - Sun Nov  1 09:02:17 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Welp. - Sun Nov  1 09:02:17 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: This has been fun. - Sun Nov  1 09:02:17 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Everyone who enjoys life. - Sun Nov  1 09:02:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Wait.. - Sun Nov  1 09:02:17 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: --How much were you offered? - Sun Nov  1 09:02:17 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I might want to give you a job yourself. - Sun Nov  1 09:02:17 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I suggest you run. - Sun Nov  1 09:02:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Don't leave me.. - Sun Nov  1 09:02:17 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I'll give a five second grace period. - Sun Nov  1 09:03:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hey, Baen..I'll give you five-hundred thousand to walk off. - Sun Nov  1 09:03:08 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: He didnt answer me! - Sun Nov  1 09:04:00 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Well. - Sun Nov  1 09:30:27 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: That felt great. - Sun Nov  1 09:30:27 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Damn.. - Sun Nov  1 09:41:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I wonder if we can use these bones for anything.. - Sun Nov  1 09:41:32 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Uh. The way you chatted with him? - Sun Nov  1 09:56:54 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I chat with everyone, but I've met him before. - Sun Nov  1 09:56:54 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: He tried to kill me. - Sun Nov  1 09:56:54 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: The way you spoke with a level of civilness? Referred to him as 'kun'? - Sun Nov  1 09:56:54 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You know him. - Sun Nov  1 09:56:54 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I call everyone, "Kun". - Sun Nov  1 09:57:45 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I assign nicknames to everyone.. - Sun Nov  1 09:57:45 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Then again he did find me calling you a tree stump, funny.~ - Sun Nov  1 09:57:45 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So how are you going to fix those bones? - Sun Nov  1 09:57:45 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Beats me. - Sun Nov  1 09:58:36 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . And he's an idiot. - Sun Nov  1 09:58:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What are you going to close down that part of the village? - Sun Nov  1 09:58:36 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . .Just wait till I finish my next spell.. - Sun Nov  1 09:58:36 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Remove the bones. I'm sure you have something to do the trick.. - Sun Nov  1 09:58:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Eh..I probably don't. - Sun Nov  1 09:59:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I mean there could be a way, no idea. - Sun Nov  1 09:59:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You could just pay him to remove them. - Sun Nov  1 09:59:28 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I expected you to be more eager. You were so obssessed with gettign his bone before. . . Although, knowing you. You may have been being weird again. - Sun Nov  1 09:59:28 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Fuck that guy./ - Sun Nov  1 09:59:28 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I'm not paying him anything! - Sun Nov  1 09:59:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So difficult.. - Sun Nov  1 09:59:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: All you had to do was seduce him. - Sun Nov  1 10:00:19 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I mean really.. - Sun Nov  1 10:01:10 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I guess I could try to do something with these bones, but it's not the same.. - Sun Nov  1 10:01:10 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Please. I wouldn't waste my time with someone like him.. - Sun Nov  1 10:02:01 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: --And do something. Anything. - Sun Nov  1 10:02:01 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well bones are tough, but let's hope my magic can at least snap them so people can walk. - Sun Nov  1 10:02:01 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Also.. - Sun Nov  1 10:02:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Please?!~ - Sun Nov  1 10:02:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm shocked! - Sun Nov  1 10:02:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Do you wanna give me a peck on the cheek for extra encouragement? - Sun Nov  1 10:02:52 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . . - Sun Nov  1 10:03:44 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I said it in a belittling tone. - Sun Nov  1 10:03:44 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: The suggestion was ridiculous. - Sun Nov  1 10:03:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Sun Nov  1 10:03:44 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . We're not on the same page. - Sun Nov  1 10:04:35 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You should at least say, "Uguu". - Sun Nov  1 10:04:35 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: NO! - Sun Nov  1 10:04:35 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sun Nov  1 10:04:35 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Stop asking me.. - Sun Nov  1 10:04:35 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're just like Baen-kun. - Sun Nov  1 10:04:35 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Difficult. - Sun Nov  1 10:04:35 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Honestly, if he killed you I may have been sad. - Sun Nov  1 10:07:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .. - Sun Nov  1 10:12:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Uh.. - Sun Nov  1 10:12:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Blasting them? - Sun Nov  1 10:12:16 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Handle that then. - Sun Nov  1 10:12:16 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I'm going to get some shut eye. - Sun Nov  1 10:13:07 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sun Nov  1 10:13:58 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're pretty bossy for someone who just got beaten! - Sun Nov  1 10:13:58 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hahahaha! - Sun Nov  1 10:13:58 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Beaten?  I didn't fight. - Sun Nov  1 10:13:58 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: At least I'm not a coward like you.. - Sun Nov  1 10:13:58 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Oh? - Sun Nov  1 10:15:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm a coward? - Sun Nov  1 10:15:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: How so?~ - Sun Nov  1 10:15:40 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: You did nothing. - Sun Nov  1 10:16:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I did nothing because I didn't think he was actually going to raze the village. - Sun Nov  1 10:16:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Then again you guys kind of brought this upon yourselves. - Sun Nov  1 10:17:23 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: No one told you, or Ichiro-kun to act. - Sun Nov  1 10:17:23 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I had it under control. - Sun Nov  1 10:17:23 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Surrounding a person makes them desperate. - Sun Nov  1 10:18:14 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . And you suggest I just let the man come into my Kingdom and do what he pleases? - Sun Nov  1 10:19:05 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Sun Nov  1 10:20:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: No. - Sun Nov  1 10:20:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I could have easily defused the situation. - Sun Nov  1 10:20:48 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Then do it next time. - Sun Nov  1 10:22:30 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Sun Nov  1 10:23:21 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You ruined it. - Sun Nov  1 10:23:21 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You both did. - Sun Nov  1 10:23:21 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You threatened him, and he loves challenges. - Sun Nov  1 10:23:21 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Clearly this is your fault.~ You are a leader! - Sun Nov  1 10:23:21 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Whatever. . .I'd love to keep destroying your logic. But I really want to get to bed. - Sun Nov  1 10:25:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Fine..fine. - Sun Nov  1 10:25:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Go go.. - Sun Nov  1 10:25:04 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Try not to get yourself killed.- -Well, try, rather. <*Skips on off*> - Sun Nov  1 10:25:55 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: No promises as to me fixing this. - Sun Nov  1 10:25:55 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I expect it done. - Sun Nov  1 10:25:55 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: By the time I'm awake. - Sun Nov  1 10:25:55 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: No promises.~ - Sun Nov  1 10:25:55 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I don't want your good word. - Tue Nov  3 00:55:02 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I don't need the bastards. - Tue Nov  3 00:55:53 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're simply jealous. - Tue Nov  3 00:57:36 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: If that helps you sleep at night. - Tue Nov  3 01:01:00 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Tue Nov  3 01:05:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Such a shame.. - Tue Nov  3 01:13:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I guess those crow's feet do help you pull off the "Difficult Old Hag" look. - Tue Nov  3 01:13:48 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: What crow feet? - Tue Nov  3 01:14:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: P-..pfft.. - Tue Nov  3 01:14:40 2015
