<br><font color=teal>*Heiwa(Wantpark) says: Yes. - Wed Dec  9 03:28:38 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: I'm not his 'waifu'. - Wed Dec  9 07:07:05 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Waifu? - Wed Dec  9 07:07:05 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Hahh.. - Wed Dec  9 07:07:05 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Shut up. - Wed Dec  9 07:07:05 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Nevermind. - Wed Dec  9 07:07:05 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Can we just get inside? - Wed Dec  9 07:07:05 2015
<br><br><font color=teal>*Hassan, Kiyoko(HypnoticEssence) says: ... - Wed Dec  9 07:07:05 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: You implied you where bonin her, so I made the joke. - Wed Dec  9 07:07:05 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Aah. - Wed Dec  9 07:07:56 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: ....Ugh....... - Wed Dec  9 07:12:12 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: My head hurts.... - Wed Dec  9 07:12:12 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Tetsu, let's go find an inn to sleep at. - Wed Dec  9 07:13:04 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Alright. - Wed Dec  9 07:13:04 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Terries papa! - Wed Dec  9 07:13:04 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: . . . - Wed Dec  9 07:13:04 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: ..... - Wed Dec  9 07:13:55 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: . . . - Wed Dec  9 07:13:55 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: ....Shut up, Tetsu. - Wed Dec  9 07:17:20 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: I'm fine. - Wed Dec  9 07:17:20 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: One night's sleep.... - Wed Dec  9 07:17:20 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: And I'll be....fine. - Wed Dec  9 07:17:20 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: I don't need anything. - Wed Dec  9 07:18:11 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: It's nothing. - Wed Dec  9 07:18:11 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: ... then why did you callme? - Wed Dec  9 07:18:11 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: It was nothing. - Wed Dec  9 07:18:11 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: But w- ok...  - Wed Dec  9 07:19:02 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: She didn't call you. - Wed Dec  9 07:19:02 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: She said Baison. - Wed Dec  9 07:19:02 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: ... - Wed Dec  9 07:19:02 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: ... - Wed Dec  9 07:19:02 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: You know, the animal? - Wed Dec  9 07:19:02 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) thinks: Those guys are acting weird. - Wed Dec  9 07:19:02 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) thinks: ....... - Wed Dec  9 07:19:02 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) thinks: That's close. I think. - Wed Dec  9 07:19:53 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: Quite odd - Wed Dec  9 07:19:53 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Let's get going. - Wed Dec  9 07:21:36 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Yeah. - Wed Dec  9 07:21:36 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Mhm. - Wed Dec  9 07:21:36 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Ren, what are you going to make? - Wed Dec  9 07:21:36 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Depends what I can find, hoping to make something with chicken in it. - Wed Dec  9 07:22:27 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: I'm sure this village has chicken in it. - Wed Dec  9 07:22:27 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: What village doesn't? - Wed Dec  9 07:22:27 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: I see chickens. - Wed Dec  9 07:22:27 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Plenty of people running away in Konoha. - Wed Dec  9 07:22:27 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: I'm sure we'll find some running around here too. - Wed Dec  9 07:23:18 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: 'Chickens'. - Wed Dec  9 07:23:18 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Damn cannibals. - Wed Dec  9 07:23:18 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: ... - Wed Dec  9 07:23:18 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: . . . - Wed Dec  9 07:24:09 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Well, I can go for some chicken. - Wed Dec  9 07:24:09 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Heh... - Wed Dec  9 07:24:09 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Hm...? - Wed Dec  9 07:24:09 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Let's go. - Wed Dec  9 07:25:00 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Yeah. - Wed Dec  9 07:25:00 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: YOOO!~ - Wed Dec  9 07:25:00 2015
<br><br><font color=teal>*Hassan, Kiyoko(HypnoticEssence) says: Heya, mister merchan man and group. Could I speak with you off to the side for a moment? - Wed Dec  9 07:25:00 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: .... - Wed Dec  9 07:25:00 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: . . . - Wed Dec  9 07:25:00 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: What's up? - Wed Dec  9 07:25:00 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) thinks: What now....? - Wed Dec  9 07:25:00 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Want to buy some of our wares? - Wed Dec  9 07:25:00 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: We sell dolls. - Wed Dec  9 07:25:00 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: And toys. - Wed Dec  9 07:25:00 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: And dolls. - Wed Dec  9 07:25:00 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: And clothes. - Wed Dec  9 07:25:00 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: And dolls. - Wed Dec  9 07:25:00 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Not sex dolls. - Wed Dec  9 07:25:52 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: ...... - Wed Dec  9 07:25:52 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: You'll have to look elsewhere for that. - Wed Dec  9 07:25:52 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: Why does Kiyoko talk differently from before... are my predictions coming true? - Wed Dec  9 07:25:52 2015
<br><br><font color=teal>*Hassan, Kiyoko(HypnoticEssence) whispers: Kay so.... the thing is we got some information that you are terrorists in Kirigakure? We don't really much care what you did in Kirigakure since that's your business and you didn't break a law here. Just try and keep to the laws and everything will be peachy yeah? - Wed Dec  9 07:26:43 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Terrorists? - Wed Dec  9 07:26:43 2015
<br><br><font color=teal>*Hassan, Kiyoko(HypnoticEssence) thinks: Because it's been two years Bryson. -omit- - Wed Dec  9 07:26:43 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: .... - Wed Dec  9 07:26:43 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) whispers: Long story short. We know you killed someone in Kiri. We don't care- anythin happens here? Bad things happen. - Wed Dec  9 07:26:43 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) whispers: Yeah okay. - Wed Dec  9 07:26:43 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) whispers: Capische? - Wed Dec  9 07:26:43 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) whispers: IF none of your ninja decide to attack me. - Wed Dec  9 07:26:43 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) whispers: I guarantee you none of your ninja will die. - Wed Dec  9 07:27:34 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) whispers: So keep that in check. - Wed Dec  9 07:27:34 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) whispers: Sounds copesetic to me- dunno why any of our's would atta- Oh! Right. - Wed Dec  9 07:27:34 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) whispers: It was all in self defense. - Wed Dec  9 07:27:34 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) whispers: Yeah, uh.. stay away from Bryson- the one in the robes. - Wed Dec  9 07:27:34 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) whispers: Why? - Wed Dec  9 07:27:34 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) whispers: I'm already working on it. - Wed Dec  9 07:27:34 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) whispers: Dude's a priest. He'll pick up on you a mile away, chica, and he is a /zealous/ mother fucker. - Wed Dec  9 07:27:34 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) whispers: Already did. - Wed Dec  9 07:27:34 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) whispers: Welp. Good luck with that. - Wed Dec  9 07:28:25 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) whispers: I already knew he was. - Wed Dec  9 07:28:25 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: .. - Wed Dec  9 07:28:25 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) whispers: So you're saying he goes for other men's women? What a shitty priest. - Wed Dec  9 07:28:25 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Well, guess that's all then. Back to the hospital Kiyoko, or..? - Wed Dec  9 07:28:25 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) thinks: I'll let Koji deal with that. - Wed Dec  9 07:28:25 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Oh- this reminds me, actually.. Koji, we've got shit to talk about when we're both free- in private. Unless, of course, you are another person Bryson already told... - Wed Dec  9 07:28:25 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) whispers: Keep him away from us and we'll have no problem then. - Wed Dec  9 07:29:16 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Let's go get some food. - Wed Dec  9 07:29:16 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: I'm hungry. - Wed Dec  9 07:29:16 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Same. - Wed Dec  9 07:29:16 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Alright. - Wed Dec  9 07:29:16 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) thinks: Well, this is quite an interesting turn of events. - Wed Dec  9 07:30:59 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) thinks: Stupid. - Wed Dec  9 07:30:59 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: .... - Wed Dec  9 07:30:59 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: So, how about that food? I'm starving. - Wed Dec  9 07:30:59 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) thinks: And here we go.... - Wed Dec  9 07:32:41 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Hahhhh.. - Wed Dec  9 07:32:41 2015
<br><br><font color=teal>***KazeKage**(Akainu_Hellhound) says: No problem Mitsunara we can talk. - Wed Dec  9 07:33:32 2015
<br><br><font color=teal>*Hassan, Kiyoko(HypnoticEssence) thinks: What is he doing? I handled the situation... nice and peaceful like. - Wed Dec  9 07:37:48 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) whispers: Don't let him touch you. - Wed Dec  9 07:37:48 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) whispers: Know him? - Wed Dec  9 07:38:40 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) whispers: ...No I don't. - Wed Dec  9 07:38:40 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Well, long story short, we were harrassed, threatened and provoked. Then when we retaliated after numerous attempts to leave the situation, things escalated to the point one of their own had to recieve medical attention.  I offered to pay for the medical expenses, but they declined. - Wed Dec  9 07:38:40 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) whispers: I just know that if he touches you, you won't be able to move your muscles. - Wed Dec  9 07:38:40 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) whispers: How can you be so sure? That sounds pretty odd. - Wed Dec  9 07:38:40 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) whispers: You should lay down. I usually don't say these types of things, but you've got me worried.  - Wed Dec  9 07:39:31 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: No, none of us are injured. - Wed Dec  9 07:46:20 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Is it possible to speak of this at another time? We're quite tired from our travels, and it seems like fatigue as struck one of my companions pretty hard.  - Wed Dec  9 07:48:54 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: For what reason would your priest's actions have towards us? We've never laid eyes upon him before. - Wed Dec  9 07:50:36 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: ... You stain my village with darkness I stain these sands with your blood - Wed Dec  9 07:51:28 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Yo, Koji. You sure it's wise to be lettin Religous Matter's influence your political leadership so much..? Mrm... just askin. Anyway.. I'll be waitin for yah in your office, got it? - Wed Dec  9 07:51:28 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Lera, Kiyoko- see you in a bit, yeah? This shouldn't take long. - Wed Dec  9 07:51:28 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hey Lera. - Wed Dec  9 07:52:19 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Gotta agree with my wife on this one Koji...'specially about Zenaki. - Wed Dec  9 07:52:19 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Heya Kinami. - Wed Dec  9 07:52:19 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Oh, Mitsu. We should spar later on. Mhm. - Wed Dec  9 07:52:19 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: Kiyoko is blind to these actions yet again...  - Wed Dec  9 07:52:19 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Hahhh... - Wed Dec  9 07:52:19 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I just came outa one with Momura, but... maybe in a bit. - Wed Dec  9 07:53:10 2015
<br><br><font color=teal>*Hassan, Kiyoko(HypnoticEssence) thinks: Bryson is going to try and cleanse me later, I can feel it in my soul! - Wed Dec  9 07:53:10 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) thinks: I feel an exorcism comin 'on. - Wed Dec  9 07:53:10 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) thinks: ....Mrm.. - Wed Dec  9 07:53:10 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: Lord... please steady my hand... - Wed Dec  9 07:53:10 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) thinks: Cleanse the Infidel....Allahu Akbar. - Wed Dec  9 07:54:01 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Awww, Mitsu, I know you're not scared.~ - Wed Dec  9 07:54:01 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I'm not! I'm busy.~ - Wed Dec  9 07:54:52 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Those sound like nothing but excuses! - Wed Dec  9 07:54:52 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Kinami, we'll fight when I'm done with other shit. Chilll... - Wed Dec  9 07:55:44 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hehe, but fine. I'll let you be scared.~ - Wed Dec  9 07:55:44 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I've seen it before anyway, haha. - Wed Dec  9 07:56:35 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I'm not scared, woman. I have shit to finish. - Wed Dec  9 07:56:35 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I understand Mitsu. I'll kick your butt later. - Wed Dec  9 07:56:35 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: . . . - Wed Dec  9 07:57:26 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hey Geo. - Wed Dec  9 07:58:17 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hi Hiro. - Wed Dec  9 07:58:17 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: No idea. I was trying to go and train. - Wed Dec  9 07:59:08 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Goal? You're making goals without me now? - Wed Dec  9 08:00:00 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: ......I see. Okay. - Wed Dec  9 08:00:00 2015
<br><br><font color=teal>*Geo Dude(Wynokx) thinks: Shit that came out wrong. - Wed Dec  9 08:01:42 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Yo. I'ma be real embarassed if Bryson already told you what I want to talk to you about.. Ah, well - Wed Dec  9 08:03:24 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Eh? - Wed Dec  9 08:04:16 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Dada! - Wed Dec  9 08:04:16 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I'm trying to go and train. - Wed Dec  9 08:04:16 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I don't have time to deal with your secrets. - Wed Dec  9 08:04:16 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *blinks* - Wed Dec  9 08:05:07 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Wed Dec  9 08:05:58 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) thinks: I need to spar someone.. - Wed Dec  9 08:05:58 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm.. - Wed Dec  9 08:06:49 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Whats going on here? - Wed Dec  9 08:06:49 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Koji. - Wed Dec  9 08:06:49 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Can I speak with you later? - Wed Dec  9 08:06:49 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Everyone who needs to talk meet me in my quarters. - Wed Dec  9 08:07:40 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Quarters? - Wed Dec  9 08:07:40 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Da fuq? - Wed Dec  9 08:07:40 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Wed Dec  9 08:07:40 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: bitch - Wed Dec  9 08:07:40 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: u got a mansion now - Wed Dec  9 08:07:40 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Wed Dec  9 08:07:40 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Koji. - Wed Dec  9 08:08:32 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: This shit is what you're office is for. - Wed Dec  9 08:08:32 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: use it. - Wed Dec  9 08:08:32 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: Everyone is blind to the real threat... I guess I will have to handle this myself... - Wed Dec  9 08:08:32 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: As your secretary, just use your office. - Wed Dec  9 08:08:32 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Bryson, don't goa ttacking people without legal permission. - Wed Dec  9 08:08:32 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: If you do, you're gonna have a bad time. - Wed Dec  9 08:08:32 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: -- Well, aight. You the Kage. - Wed Dec  9 08:08:32 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: Dont tempet bme necro - Wed Dec  9 08:09:23 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: Dont tempt me necro* - Wed Dec  9 08:09:23 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) whispers: i suck ya dick from the back i bet ya aint ever had that - Fri Dec 11 06:38:04 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) whispers: omit - Fri Dec 11 06:38:04 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) whispers: i suck ya dick from the back i bet ya aint ever had that - Fri Dec 11 06:38:56 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) whispers: omit - Fri Dec 11 06:38:56 2015
<br><br><font color=yellow>*Fujimoro, Ren(Master Roku) shits.* - Fri Dec 11 06:54:17 2015
<br><br><font color=yellow>*Fujimoro, Ren(Master Roku) hits that cat daddy like a real nigga.* - Fri Dec 11 06:54:17 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I looked way to fast lmao - Fri Dec 11 07:43:47 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: My little girl grew up to be Invisableand joined the Fantastic 4? Nice. - Fri Dec 11 07:47:12 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: -omit- - Fri Dec 11 07:47:12 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: HELLO FROM THE OTHER WIPEE!!!!! - Fri Dec 11 07:48:03 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: -omit- - Fri Dec 11 07:48:54 2015
<br><br><font color=teal>***KazeKage**(Akainu_Hellhound) says: ^ - Fri Dec 11 08:14:30 2015
<br><br><font color=teal>***KazeKage**(Akainu_Hellhound) says: i wish i wwent to the store need cookies and milk - Fri Dec 11 08:42:40 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Leraaaaaa, Sisterrrrrrrrr! - Fri Dec 11 09:05:42 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Why you no love meee??? - Fri Dec 11 09:06:33 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: -omit- - Fri Dec 11 09:06:33 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Cuase fuck joo. - Fri Dec 11 09:06:33 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: HA, GOTEMMMM! - Fri Dec 11 09:06:33 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hello... - Fri Dec 11 09:06:33 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Its me.. - Fri Dec 11 09:06:33 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: HELLO FROM THE OTHER SIIDIDEEEEEE - Fri Dec 11 09:06:33 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: -omit - Fri Dec 11 09:06:33 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hello... - Fri Dec 11 09:07:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Is it me you're lookin for? - Fri Dec 11 09:07:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I can see it in your eyes! - Fri Dec 11 09:07:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I can see it in your smile! - Fri Dec 11 09:07:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: -omit - Fri Dec 11 09:07:24 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: hmm. - Fri Dec 11 09:28:44 2015
<br><br><font color=teal>***KazeKage**(Akainu_Hellhound) says: idk edge got fucked 3 different ways on his last attack lol - Fri Dec 11 09:29:36 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: . - Fri Dec 11 20:02:17 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Hey Ren, how long you think we should stay here? - Fri Dec 11 20:07:24 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: I don't know. - Fri Dec 11 20:08:16 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Doesn't matter to me. - Fri Dec 11 20:08:16 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: It's starting to get boring here.  Seen Midori lately? - Fri Dec 11 20:09:58 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: No. - Fri Dec 11 20:10:49 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: I wonder where she's ran off to. Speaking of which, she's been acting odd since we've came here. Any idea? - Fri Dec 11 20:12:32 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: It's a priest. - Fri Dec 11 20:13:23 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Remember how I told you of the dark arts? And how Nigen knew of them? - Fri Dec 11 20:13:23 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Yeah? - Fri Dec 11 20:14:14 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: So that priest has something to do with it? - Fri Dec 11 20:14:14 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: I've come to the assumption that a holy power affects things touched by the dark arts greatly. - Fri Dec 11 20:14:14 2015
