<br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Sheesh.. - Sat Nov  7 05:03:21 2015
Allowing his eyes to fall to his polearm, Ichiro proceeded to pause for a mere moment as he pondered on how he could expand his use of his makeshift spear. However, he failed to develop any new tactics for use and proceeded to folloq up on the same action. His hands thrusting forward as he brought the spear into another forward motion and enforced a strong stabbing motion from this. Taking back his weapon he grunted and proceeded to step inwards again, repeating this as he unleashed another into the region before himself. Of course, he was indefinetly having little to no problems with performing this series of strikes. Each one resulting in Ichiro guiding himself forward and finding his feet shuffling ever closer to the tree before himself. And thus, he gained an idea.

Releasing one hand from the weapon in his grasp, he held out the free hand and allowed it to secrete enough of his golden liquid to create another spear for use. With ease, he allowed himself to draw forth both of his golden weapons before eventually striking the tree before him. Rather than forming a stabbing motion he allowed himself to creating slashing motions. Each end of the weapons allowing the crude blades cross-cut through the bark and leave two slash marks in place as Ichiro observed. Without a problem, he repeated this motion and created several more marks along the tree, more or less focusing on accuracy as he tried to make his slashes in the same two marks he initially made.* - Thu Nov 12 00:19:37 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: . . . - Thu Nov 12 01:02:17 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) turned his head to face the presence of the female whom had just arrived, allowing himself to open both of his hands. The result of this being his two weapons of gold to clatter agaisnt the ground and crumble, hidden away by the grass now, although of course some pieces were caught by the sunlight. Regardless, he felt the need to speak, only due to the fact that Sado hadn't been around and he had no other to rely on to handle her socially.

"...Hello."* - Thu Nov 12 01:06:33 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I am. - Thu Nov 12 01:09:07 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Or at least, that's what I am considered. - Thu Nov 12 01:09:58 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: . . . . . - Thu Nov 12 01:12:32 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: Can we spar? - Thu Nov 12 01:12:32 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: I too practice Taijutsu. - Thu Nov 12 01:12:32 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Sure. I could use some entertainment. - Thu Nov 12 01:13:23 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: ...... - Thu Nov 12 01:13:23 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: We should make this interesting. - Thu Nov 12 01:13:23 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: Do you want to make a bet? - Thu Nov 12 01:13:23 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I don't see any harm in such, so sure. - Thu Nov 12 01:14:14 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: Name anything you want if you win. - Thu Nov 12 01:14:14 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Anything I want? - Thu Nov 12 01:15:05 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ..... - Thu Nov 12 01:15:05 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) thinks: There's nothing I want... - Thu Nov 12 01:15:05 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: . . . . . - Thu Nov 12 01:15:56 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: A conversation. - Thu Nov 12 01:15:56 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: Sure. - Thu Nov 12 01:15:56 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: I'd like you to teach me what you can do in Taijutsu if I win. - Thu Nov 12 01:15:56 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: You can take the first move. - Thu Nov 12 01:15:56 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) nodded as he heard that he was given the first action in the situation, "Alright."

Normally, he was used to playing the defensive, although he figured he could turn it around so that he was, indeed, the defensive party. To begin, he simply allowed himself to move forward, keeping on a straight line as he neared the girl. A single fist was thrusted forward as he aimed to go for a right straight, aiming it for the upper body in general.* - Thu Nov 12 01:19:21 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) expected something entirely different when Makoto dodged his attack. The grip and pull being rather different for him, considering none had ever attempted to lift or throw him prior to now. However, that also meant he had no considerable counter. The most he could do was accept the toss, finding himself on his back as he cast his vision upwards. Most notable however, was the fact that he was practically unphased by the damage. In response, Ichiro attempted to roll a bit, trying to gain enough distance for himself to enter a standing position as he eyed the girl. He wanted to play defense now, rather than offense.* - Thu Nov 12 01:31:18 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) observed the odd approach from Makoto, never having seen anything like such. To him, the tactics she utilized were the most impressive, leading him to believe that she was the more experienced taijutsu user while Ichiro was just a wall. However, his slow form attempted to back away but failed due to the nature of the action. Once again, he ended up on his back, letting his eyes peer up at his opponent. Rather than attempting to stand however, he tried for a simple move, aiming to throw off her balance at the least as he thrusted a single leg outwards, aiming to make a connection with Makoto's.* - Thu Nov 12 01:54:20 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) took note of the female, finding that she wasn't some sort of glass cannon in terms of strength. That was good, considering it did interest him. However he utilized the time between the two to raise up from the ground and attempt to regain his stance as he looked towards her. Of course though, he understood he was at a major disadvantage.

If he went unhindered however, he'd drop into his signature stance, letting his upperbody lower as his arms remained at his side. He knew with this stance he was dependent on his reach, planning to use such agaisnt Makoto. And of course, his first action would be a long overhead punch, planning to bring it down upon Makoto.* - Thu Nov 12 02:02:01 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) observed as Makoto seemed to trudge onwards through his initial strike, delivering her shoulder into him once again. Of course though, this was the test run of his stance, and allowed him to recognize a great flaw in it. he could move his upper-body with ease, but the fact that her motion would force him out of his space, all he could do was move with it, bring himself backwards along with her strike. A grunt came from Ichiro as he saw that he was definetly on the losing end. With a short recovery, he brought up another arm and thrust this one directly forward with the attempt to make another connection with her upper-body.* - Thu Nov 12 02:10:33 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) only responded to Makoto's devastating combo by laying out flat. This time, he hadn't even attempted to stand. The buildup of her strikes leaving an abundance of pain for him to feel this time. It was obvious that the brute, no matter how durable couldn't handle multiple throws of such force and body blows when put between a rock and a hard place. As he remained still, he released a few coughs before eventually letting out a, "You win..."* - Thu Nov 12 02:24:12 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) raised his upperbody, attempting to scoot himself back a bit to give himself some space, but never moving to stand. As he sat there, he let one hand slowly move to rub over his chest.

"I like you. You're different."* - Thu Nov 12 02:31:53 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: ...Mmm? - Thu Nov 12 02:31:53 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: Thank you. - Thu Nov 12 02:31:53 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: It's good to...actually face another Taijutsu user... - Thu Nov 12 02:32:44 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: I like sparring Taijutsu users. - Thu Nov 12 02:33:36 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: That's why I'm here. - Thu Nov 12 02:33:36 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: I'm looking for Amegakure's strongest Taijutsu users. - Thu Nov 12 02:33:36 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Ah... - Thu Nov 12 02:33:36 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Well, you fought their only one. - Thu Nov 12 02:34:27 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: Ah! - Thu Nov 12 02:34:27 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: Was that your 100% though? - Thu Nov 12 02:34:27 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Yeah. I'm not really much more than a wall, you could say. - Thu Nov 12 02:35:18 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: But, since you won, I'll have to keep up on my end of the bet. - Thu Nov 12 02:37:00 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Although...From what I saw, you're more experienced...and all I've really got to offer is my boxing stance. - Thu Nov 12 02:37:52 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: Mmmmm. - Thu Nov 12 02:37:52 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: I'd still love to learn. - Thu Nov 12 02:37:52 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Alright. - Thu Nov 12 02:38:43 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) finally raised himself from the ground, doing so a bit slowly before eventually stretching out his limbs. As he stood there now, he looked towards Makoto and began to speak.

"The first step, is to get low and let your frame drop. Just let your arms hang like a sloth I suppose."

He then of course, allowed his body to set the example as stated, letting his knees bend so he could get low and his arms begin to sway before him. It was almost like the entirety of his upper-body had gone limp. As though the entire upper half had just died off.* - Thu Nov 12 02:43:50 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) observed Makoto as she imitated him. An assertive nod was made as he looked her over.

"Alright. Now that you have the stance, the actual focus of this stance is countering. You'll want to focus on dodging, by swaying the body and responding with a counter to any oncoming attacks."

To show this, Ichiro allowed himself to begin swaying back and forth, moving his body awkwardly from side to side, front to back. It seemed that the pattern he moved his upper body in was quite unpredictable. Regardless, his feet never moved and his position always seemed to remain low.

"The best part of this stance, is that it leaves you open to strike from any direction, and from plenty of different ranges."* - Thu Nov 12 02:51:31 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) continued to sway a bit more, attempting to give Makoto something more to go off of for a bit before coming to a stop. Once he did so, he simply watched her movements. In response to her question, he nodded. Although, when referring to her stance, he simply stated, "Loosen up a bit. It'll help with your sway." Of course, trying to give some guidance to her.* - Thu Nov 12 02:56:38 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) continued to observe a bit, finding that she seemed to imrpove rather quickly. Of course, he nodded with approval while keeping his eyes locked upon her. 
"Very good. You got the basic set. Striking should come easy really. Although, that may feel a bit akward since the stance lets you throw a hit from anywhere. You could lean back pretty far and still throw a great uppercut."* - Thu Nov 12 03:23:56 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Ichiro. - Thu Nov 12 03:30:46 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: My name is Makoto. - Thu Nov 12 03:35:53 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Nice to meet you Makoto. - Thu Nov 12 03:35:53 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: Mhmm. - Thu Nov 12 03:37:36 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: Can we spar and train more?  - Thu Nov 12 03:37:36 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Sure. Shouldn't do any harm. - Thu Nov 12 03:39:18 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: Alright... - Thu Nov 12 03:46:59 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: Let's train. - Thu Nov 12 03:46:59 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: Do you know any way to train? - Thu Nov 12 03:46:59 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: That's... - Thu Nov 12 03:46:59 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: Effectif? - Thu Nov 12 03:46:59 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Thu Nov 12 03:46:59 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) thinks: Strange. - Thu Nov 12 03:46:59 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: So far, all I've done in terms of training is daily jogging and striking a tree a couple of times. - Thu Nov 12 03:47:50 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: It's basic but it gives results. - Thu Nov 12 03:47:50 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: There's no pets here. - Thu Nov 12 03:48:41 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Then..what is that thing? - Thu Nov 12 03:48:41 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: ...Huh? - Thu Nov 12 03:48:41 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: What's a .... - Thu Nov 12 03:49:32 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: 'Peto?' - Thu Nov 12 03:49:32 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: A human being, just as much as you or I a- - Thu Nov 12 03:49:32 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Thu Nov 12 03:49:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Eh.. - Thu Nov 12 03:49:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Inu.. - Thu Nov 12 03:49:32 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: ...Dog! - Thu Nov 12 03:49:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Mhm.. - Thu Nov 12 03:49:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That's what you are...related to. - Thu Nov 12 03:50:24 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: Anata wa boku no katakawa o wakaruka? - Thu Nov 12 03:50:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: At least they're trained, Ichiro. - Thu Nov 12 03:50:24 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ... - Thu Nov 12 03:50:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Speaking in runes? - Thu Nov 12 03:50:24 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: Runes? - Thu Nov 12 03:50:24 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: No, my language.~ - Thu Nov 12 03:50:24 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: I don't know what 'runes' is. - Thu Nov 12 03:50:24 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) thinks: This...is different. - Thu Nov 12 03:52:06 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) thinks: Very...different... - Thu Nov 12 03:52:06 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hmph. - Thu Nov 12 03:52:57 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ichiro.. - Thu Nov 12 03:52:57 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ... - Thu Nov 12 03:52:57 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Train your pet to speak our tongue. - Thu Nov 12 03:52:57 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: She's...not a pet. - Thu Nov 12 03:53:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What? - Thu Nov 12 03:53:48 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: And she seems to speak our language well enough. - Thu Nov 12 03:53:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well.. - Thu Nov 12 03:53:48 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Don't be so degrading. - Thu Nov 12 03:53:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Can't.. - Thu Nov 12 03:53:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It's in my blood. - Thu Nov 12 03:53:48 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Right. - Thu Nov 12 03:54:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Just teach them. - Thu Nov 12 03:54:40 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: M....mmmmm.... - Thu Nov 12 03:54:40 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: I learned a little already... - Thu Nov 12 03:54:40 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Thu Nov 12 03:54:40 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: From Bryson. - Thu Nov 12 03:54:40 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Never heard the name before. - Thu Nov 12 03:56:22 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Very strange. - Thu Nov 12 03:56:22 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Thu Nov 12 03:56:22 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Never heard of them. - Thu Nov 12 03:56:22 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Listen, "She"..you're property.. - Thu Nov 12 03:58:04 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ...She's not my property. - Thu Nov 12 03:59:47 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: ...Huh? - Thu Nov 12 03:59:47 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: She's her own person, I own nothing. - Thu Nov 12 04:02:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Eh.. - Thu Nov 12 04:02:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ichiro-kun..stop being so weak. - Thu Nov 12 04:03:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: If you fancy this harlot, why not just take her..? - Thu Nov 12 04:03:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Isn't that what people do? - Thu Nov 12 04:03:12 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I don't 'fancy' her. I've only just met her. - Thu Nov 12 04:03:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I see.. - Thu Nov 12 04:04:54 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well..do make sure you show unyielding dominance. - Thu Nov 12 04:04:54 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Thu Nov 12 04:04:54 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: ....Huh...? - Thu Nov 12 04:05:45 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: What's a harlot? - Thu Nov 12 04:05:45 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: A beautiful thing. - Thu Nov 12 04:05:45 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Thu Nov 12 04:06:36 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: . . . - Thu Nov 12 04:08:19 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: Oh.... - Thu Nov 12 04:08:19 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Yeah.. - Thu Nov 12 04:09:10 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It's a term that should empower people that hear it. - Thu Nov 12 04:10:01 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You should shout it out to the world. - Thu Nov 12 04:10:01 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: Okay. - Thu Nov 12 04:10:01 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Good..good. - Thu Nov 12 04:10:01 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Do you feel stronger? - Thu Nov 12 04:10:52 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: ...Not really! - Thu Nov 12 04:11:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You'll feel it. - Thu Nov 12 04:12:35 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Keep shouting. - Thu Nov 12 04:12:35 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You'll feel a tingling soon enough! - Thu Nov 12 04:14:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That's when the true power of the word unlocks your potential! - Thu Nov 12 04:14:17 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Thu Nov 12 04:14:17 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: . . . . . - Thu Nov 12 04:16:51 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Come on.. - Thu Nov 12 04:16:51 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You can do it.. - Thu Nov 12 04:16:51 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: Umm... - Thu Nov 12 04:19:24 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: Are you sure? - Thu Nov 12 04:19:24 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I don't recommend it. - Thu Nov 12 04:20:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Yes. - Thu Nov 12 04:20:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm sure. - Thu Nov 12 04:20:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ichiro-kun, do you not want her to reach her true potential? - Thu Nov 12 04:20:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Everyone has it in them. - Thu Nov 12 04:21:07 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I just want to help pull it out. - Thu Nov 12 04:21:07 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: There's better ways than yelling false words of 'power' - Thu Nov 12 04:21:07 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Except for the fact that this isn't false. - Thu Nov 12 04:23:40 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: Mmm..... - Thu Nov 12 04:24:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm sure you can do it. - Thu Nov 12 04:24:32 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: I don't... really trust you...... - Thu Nov 12 04:25:23 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ah. - Thu Nov 12 04:25:23 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That's fine, Harlot. - Thu Nov 12 04:25:23 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: . . . - Thu Nov 12 04:26:14 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You'll eventually learn to trust me. - Thu Nov 12 04:27:05 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Just like I trust in you to be a good pet. - Thu Nov 12 04:27:05 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Aks Ichiro-kun, he trusts me. - Thu Nov 12 04:28:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: We're like brothers. - Thu Nov 12 04:28:48 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: Mmmm..... - Thu Nov 12 04:30:30 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Come on, Harlot.. - Thu Nov 12 04:31:21 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I might wear a mask, but it is due to my religion. - Thu Nov 12 04:31:21 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm a priest. - Thu Nov 12 04:31:21 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: A priest? - Thu Nov 12 04:32:12 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: Like Bryson! - Thu Nov 12 04:32:12 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: But you wear a lot of black. - Thu Nov 12 04:32:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Huh? - Thu Nov 12 04:33:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Bryson is a priest? - Thu Nov 12 04:33:04 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: Mhm. - Thu Nov 12 04:33:04 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: He never taught me anything. - Thu Nov 12 04:33:04 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: In terms of religion. - Thu Nov 12 04:33:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Yeah, I wear a lot of black due to my religion. - Thu Nov 12 04:33:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Where is this Bryson fellow? - Thu Nov 12 04:33:55 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: We may be able to work together some time. - Thu Nov 12 04:33:55 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: Mmm? - Thu Nov 12 04:35:37 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: He lives in Sunagakure! - Thu Nov 12 04:35:37 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: He's really nice. - Thu Nov 12 04:35:37 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Thanks.~ - Thu Nov 12 04:35:37 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: See.. - Thu Nov 12 04:40:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: We can get along. - Thu Nov 12 04:40:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're such a nice pet, Harlot. - Thu Nov 12 04:40:44 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: Mmm....... - Thu Nov 12 04:41:36 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: What is a peto? - Thu Nov 12 04:41:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Thu Nov 12 04:43:18 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Uh.. - Thu Nov 12 04:43:18 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Kind of like a human..but able to do a bit more..or less depending on how you see it. - Thu Nov 12 04:44:09 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: ...Oh. - Thu Nov 12 04:46:43 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're worthy of the nickname. - Thu Nov 12 04:46:43 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I think it's pretty nice. - Thu Nov 12 04:46:43 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: ...If you say so. - Thu Nov 12 04:50:59 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I know so. - Thu Nov 12 04:52:41 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Tell me don't you like it? - Thu Nov 12 04:52:41 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: Mmm..... - Thu Nov 12 04:54:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Thu Nov 12 04:54:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Good..good. - Thu Nov 12 04:54:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I knew you would! - Thu Nov 12 04:54:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So quiet.. - Thu Nov 12 05:01:13 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You don't have to be shy. - Thu Nov 12 05:01:13 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: ..... - Thu Nov 12 05:01:13 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: I'm not shy! - Thu Nov 12 05:01:13 2015
