<br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Is Hideki still being Emo? - Thu Oct  1 19:08:35 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I hope I will... I plan to discover every feature with them - Fri Oct  2 17:53:04 2015
<br><br><font color=teal>*Lera(Bailey42) says: Good luck! Did you learn any Raiton jutsu? - Fri Oct  2 17:53:55 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Not so far... im not really sure how it would work... \ - Fri Oct  2 17:54:46 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hmmm...well I could show you the ones I know if you want. - Fri Oct  2 17:54:46 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Wether this swords have their own jutsu or I have to learn lightning jutsu - Fri Oct  2 17:54:46 2015
<br><br><font color=teal>*Lera(Bailey42) says: Well...I know one that would go perfectly with them. - Fri Oct  2 17:54:46 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Really? - Fri Oct  2 17:55:37 2015
<br><br><font color=teal>*Lera(Bailey42) says: Mhm! - Fri Oct  2 17:55:37 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: What is it - Fri Oct  2 17:55:37 2015
<br><br><font color=teal>*Lera(Bailey42) says: Its a ball of lightning. - Fri Oct  2 17:55:37 2015
<br><br><font color=teal>*Lera(Bailey42) says: Fired from between your hands....or two swords. - Fri Oct  2 17:55:37 2015
<br><br><font color=teal>*Lera(Bailey42) says: See what I mean? - Fri Oct  2 17:55:37 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I see... - Fri Oct  2 17:56:28 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Well I need to learn that as well - Fri Oct  2 17:58:11 2015
<br><br><font color=teal>*Lera(Bailey42) says: Alright. Just tell me when you're ready~ - Fri Oct  2 17:59:02 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I will... thank you... - Fri Oct  2 17:59:53 2015
<br><br><font color=teal>*Lera(Bailey42) says: Any time. - Fri Oct  2 17:59:53 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Actually when I master the mole technique I need to learn the next one... I will help me counter genjutsu users... - Fri Oct  2 18:00:44 2015
<br><br><font color=teal>*Lera(Bailey42) says: Alright~ - Fri Oct  2 18:01:36 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Lera you must be really adept at earth - Fri Oct  2 18:04:09 2015
<br><br><font color=teal>*Lera(Bailey42) says: Eh...I just know a lot of jutsu, I'm still learning that one - Fri Oct  2 18:05:00 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I see... your lucky to have three elements - Fri Oct  2 18:05:52 2015
<br><br><font color=teal>*Lera(Bailey42) says: Uhm...four. - Fri Oct  2 18:05:52 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Four??? - Fri Oct  2 18:06:43 2015
<br><br><font color=teal>*Lera(Bailey42) says: Mhm. Fuuton, Katon, Doton and Raiton. - Fri Oct  2 18:07:34 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Very greedy....couldn't just... have one. - Fri Oct  2 18:07:34 2015
<br><br><font color=teal>*Lera(Bailey42) says: I was born with these, Not like I could un-have them. - Fri Oct  2 18:08:25 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I was only born with earth and I trained hard for lightning - Fri Oct  2 18:09:16 2015
<br><br><font color=teal>*Lera(Bailey42) says: Well. I'm pretty weak physically...hit me once and i'll probably go down. - Fri Oct  2 18:11:50 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Thats what Yan said... - Fri Oct  2 18:13:32 2015
<br><br><font color=teal>*Lera(Bailey42) says: He's an elementalist like I am - Fri Oct  2 18:14:24 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I see,,, - Fri Oct  2 18:15:15 2015
<br><br><font color=teal>*Lera(Bailey42) says: We're only so good with elements, because we negelct training our bodies... - Fri Oct  2 18:15:15 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Hmm well I dont train my body much... - Fri Oct  2 18:16:57 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Should I write down your weak points for later abuse? - Fri Oct  2 18:16:57 2015
<br><br><font color=teal>*Lera(Bailey42) says: Heh, I might just blow you up~ - Fri Oct  2 18:17:48 2015
<br><br><font color=teal>*Lera(Bailey42) says: Though, I did learn something to make up for it. - Fri Oct  2 18:17:48 2015
<br><br><font color=teal>*Lera(Bailey42) says: And you're much stronger and faster than I am vi. - Fri Oct  2 18:17:48 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Thank you, Le' I try to keep up with my skills so I can get to your level - Fri Oct  2 18:19:31 2015
<br><br><font color=teal>*Lera(Bailey42) says: I'm sure you'll do it - Fri Oct  2 18:20:22 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Thanks love... - Fri Oct  2 18:26:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: You're very welcome~ - Fri Oct  2 18:27:12 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Thinking back I remember we almost got together - Fri Oct  2 18:37:26 2015
<br><br><font color=teal>*Lera(Bailey42) says: Yeah we did. I didn't really get the whole relationship thing back then - Fri Oct  2 18:40:00 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Yea, hehe, I know you didnt but it was cute. but look at you now... your with a price~ - Fri Oct  2 18:41:42 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: prince* - Fri Oct  2 18:41:42 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hehehe, I try not to think about that part. I get a little scared of what the gezo might think. - Fri Oct  2 18:41:42 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I dont think they would care... - Fri Oct  2 18:45:07 2015
<br><br><font color=teal>*Lera(Bailey42) says: I know, thats what he said - Fri Oct  2 18:45:07 2015
<br><br><font color=teal>*Lera(Bailey42) says: But I dunno what I'd do if they tried to split us apart. - Fri Oct  2 18:45:07 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Do you love him? - Fri Oct  2 18:45:58 2015
<br><br><font color=teal>*Lera(Bailey42) says: I do. - Fri Oct  2 18:47:40 2015
<br><br><font color=teal>*Lera(Bailey42) says: We're uh...well uh... - Fri Oct  2 18:47:40 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: We're gonna get married.. - Fri Oct  2 18:47:40 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Engaged? - Fri Oct  2 18:47:40 2015
<br><br><font color=teal>*Lera(Bailey42) says: Not yet. - Fri Oct  2 18:48:32 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Having a child? - Fri Oct  2 18:48:32 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Thats great... Are you going to be the princess of the Gezo then? - Fri Oct  2 18:48:32 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Maybe - Fri Oct  2 18:49:23 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: I don't really care about the titles...I just wanna be with him - Fri Oct  2 18:49:23 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Sounds fun - Fri Oct  2 18:49:23 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hey~ - Fri Oct  2 19:20:06 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Hello beautiful. - Fri Oct  2 19:21:48 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hows things? - Fri Oct  2 19:21:48 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Well. - Fri Oct  2 19:21:48 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I lost another friend yesterday. - Fri Oct  2 19:21:48 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Fri Oct  2 19:22:40 2015
<br><br><font color=teal>*Lera(Bailey42) says: It never ends does it... - Fri Oct  2 19:23:31 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: It seems it doesn't. - Fri Oct  2 19:25:13 2015
<br><br><font color=teal>*Lera(Bailey42) says: *Sigh* - Fri Oct  2 19:25:13 2015
<br><br><font color=teal>*Lera(Bailey42) says: I have something to tell you as well... - Fri Oct  2 19:26:04 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: What's up? - Fri Oct  2 19:27:47 2015
<br><br><font color=teal>*Lera(Bailey42) says: My mother contacted me. - Fri Oct  2 19:28:38 2015
<br><br><font color=teal>*Lera(Bailey42) says: Or...better to say she sent someone to 'collect' me - Fri Oct  2 19:28:38 2015
<br><br><font color=yellow>*De la Cruze, Violet(Jarrodhun20) would sit in the ground and place her swords on her lap as she meditated* - Fri Oct  2 19:28:38 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: ....Really? - Fri Oct  2 19:28:38 2015
<br><br><font color=teal>*Lera(Bailey42) says: Mhm. My step dad wanted to marry me off into some random family to increase his own status. - Fri Oct  2 19:29:29 2015
<br><br><font color=teal>*Lera(Bailey42) says: Told them where they could shove that idea. - Fri Oct  2 19:29:29 2015
<br><br><font color=teal>*Lera(Bailey42) says: Funny thing. My mother didn't even know I'd become a shinobi,. - Fri Oct  2 19:29:29 2015
<br><br><font color=teal>*Lera(Bailey42) says: kay. - Fri Oct  2 19:29:29 2015
<br><br><font color=teal>*Lera(Bailey42) says: Turns out forcing me didn't work so well. - Fri Oct  2 19:30:20 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: . . . - Fri Oct  2 19:35:28 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: Calm mind... - Fri Oct  2 19:44:51 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: So. - Fri Oct  2 20:02:46 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: You don't really. - Fri Oct  2 20:03:37 2015
<br><br><font color=teal>*Lera(Bailey42) says: Don't really...? - Fri Oct  2 20:03:37 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Well you haven't talked to your mother. - Fri Oct  2 20:03:37 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: In a while? I mean you've been a shinobi for what..? Five years? - Fri Oct  2 20:03:37 2015
<br><br><font color=teal>*Lera(Bailey42) says: Oh yeah, when she got with the new guy they just upped and left me here. - Fri Oct  2 20:04:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: That was what...six years ago? - Fri Oct  2 20:04:28 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Wow. - Fri Oct  2 20:04:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: They sent me money so I could feed myself. - Fri Oct  2 20:04:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: But other than that they just ignored me. - Fri Oct  2 20:05:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: After I uh...refused to be married off. They cut me off, no more money. Not that I'm bothered by that. - Fri Oct  2 20:05:20 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: My parents aren't mean.~ - Fri Oct  2 20:06:11 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I mean. - Fri Oct  2 20:06:11 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Lera you don't have to worry about Money. - Fri Oct  2 20:06:11 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'll always be there. - Fri Oct  2 20:06:11 2015
<br><br><font color=teal>*Lera(Bailey42) says: I know, but I'm not going to rely on you~ - Fri Oct  2 20:08:44 2015
<br><br><font color=teal>*Lera(Bailey42) says: I get enough from being a shinobi. - Fri Oct  2 20:09:36 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: It's no biggie if you want to though. - Fri Oct  2 20:09:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: Its okay, really. - Fri Oct  2 20:09:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: The house is bought and paid for and they're not taking that from me, I mean...they can try... - Fri Oct  2 20:10:27 2015
<br><br><font color=teal>*Lera(Bailey42) says: But it wouldn't go well. - Fri Oct  2 20:10:27 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: You can say that again. - Fri Oct  2 20:11:18 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Lera, was it? You stated that you have four elements right and using them is your primary specialty, right? It'd be delightful if you could aid me with learning some things. - Fri Oct  2 20:13:52 2015
<br><br><font color=teal>*Lera(Bailey42) says: Uh? I mean sure, which element were you looking for? - Fri Oct  2 20:14:43 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: I can use Katon, Doton, Suiton and Fuuton. So... anything you feel like teaching me.. - Fri Oct  2 20:15:34 2015
<br><br><font color=teal>*Lera(Bailey42) says: ...Four elements as well? Huh, You're only the second other person I've met. - Fri Oct  2 20:15:34 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Who was the first? - Fri Oct  2 20:15:34 2015
<br><br><font color=teal>*Lera(Bailey42) says: Which one is your specialty? - Fri Oct  2 20:16:25 2015
<br><br><font color=teal>*Lera(Bailey42) says: ...Oh...what was his name.. - Fri Oct  2 20:16:25 2015
<br><br><font color=teal>*Lera(Bailey42) says: Tetsu...or something like that. - Fri Oct  2 20:16:25 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: I don't have a specialty for any of them. I'm a pretty subpar shinobi, heh. - Fri Oct  2 20:17:16 2015
<br><br><font color=teal>*Lera(Bailey42) says: huh... - Fri Oct  2 20:17:16 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: I should learn normal ninjutsu, too.. - Fri Oct  2 20:17:16 2015
<br><br><font color=teal>*Lera(Bailey42) says: Well, I can teach you jutsus for one at a time. - Fri Oct  2 20:17:16 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: I'd appreciate that greatly. - Fri Oct  2 20:18:08 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Mm, I think I'm going to enter that tournament tomorroe. - Fri Oct  2 20:18:08 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Fighting that man...the one who's down for treason...? - Fri Oct  2 20:18:59 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Will...will you be okay? - Fri Oct  2 20:18:59 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) thinks: Ooh...treason. - Fri Oct  2 20:18:59 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: I'm not sure. - Fri Oct  2 20:19:50 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: He's definately stronger than I. - Fri Oct  2 20:20:41 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: I...don't know. I sort've want to stop you... - Fri Oct  2 20:22:24 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: I may be getting a promotion soon, though. - Fri Oct  2 20:22:24 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: To Sergeant Status. - Fri Oct  2 20:22:24 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: ...Still, I don't want to lose you... - Fri Oct  2 20:23:15 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: If I feel, Im in trouble, I'll forfeit. - Fri Oct  2 20:23:15 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: And it's probably. - Fri Oct  2 20:23:15 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: All the above. - Fri Oct  2 20:23:15 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Maybe with a lack of bravery. - Fri Oct  2 20:23:15 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Uh...huh. - Fri Oct  2 20:23:15 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Stupidity fits. - Fri Oct  2 20:24:06 2015
<br><br><font color=teal>*Inaba, Suzuna(Tsundere-san) says: I wonder how good I'd do working with diamond.. - Fri Oct  2 20:24:06 2015
<br><br><font color=teal>*Inaba, Suzuna(Tsundere-san) says: Kirigakure's not rich enough minerally to provide me with it. - Fri Oct  2 20:24:06 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: The Empire Sells. - Fri Oct  2 20:24:06 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Diamond weapons and armor. - Fri Oct  2 20:24:06 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: For at least Fifty Million. - Fri Oct  2 20:24:06 2015
<br><br><font color=teal>*Inaba, Suzuna(Tsundere-san) says: If I had it I'd make it for five million. - Fri Oct  2 20:24:57 2015
<br><br><font color=teal>*Inaba, Suzuna(Tsundere-san) says: I only have a fiftieth of that money anyways. - Fri Oct  2 20:24:57 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Fri Oct  2 20:25:48 2015
<br><br><font color=teal>*Inaba, Suzuna(Tsundere-san) says: Hah.... I really need to stop slacking off on training, too. - Fri Oct  2 20:25:48 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Tomorrow~ I want to take you out. - Fri Oct  2 20:26:40 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: I'm down for that~ - Fri Oct  2 20:28:22 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: So. I assume that's a no on the training. Nnnnnh... - Fri Oct  2 20:29:13 2015
<br><br><font color=teal>*Lera(Bailey42) says: We can do it tomorrow. - Fri Oct  2 20:30:56 2015
<br><br><font color=teal>*Lera(Bailey42) says: Or at least, later. - Fri Oct  2 20:30:56 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Later........ nnnnnnnnnnnnnnnnn... - Fri Oct  2 20:31:47 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: I should train some more, becasue fuck this monster on FFX - Fri Oct  2 20:33:29 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Later sounds incredibly unappealing, why not now..? - Fri Oct  2 20:33:29 2015
<br><br><font color=teal>*Lera(Bailey42) says: because i'm going to go home soon. - Fri Oct  2 20:34:20 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Haaaaaaaaaaaaaaaaah............... - Fri Oct  2 20:34:20 2015
<br><br><font color=yellow>*De la Cruze, Violet(Jarrodhun20) slowly gets to and taps on Leras shoulder... "Im going to train and take a walk Le'..."* - Fri Oct  2 20:36:54 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Can I tag along? I literally have nothing else to do. - Fri Oct  2 20:38:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: Okay, Stay safe vi~ - Fri Oct  2 20:38:36 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: ... sure.. - Fri Oct  2 20:39:28 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I wonder what I did to deserve you Lera~ - Fri Oct  2 20:41:10 2015
<br><br><font color=teal>*Lera(Bailey42) says: Oh I dunno, were probably really nice in your past life or something. - Fri Oct  2 20:46:17 2015
<br><br><font color=yellow>*De la Cruze, Violet(Jarrodhun20) sighed, she looked at the two. she cried inside missing setsuna and walked off to her calming waterfall... "I need a partner... a summon could work..." she said slowing walking off with Setsuko following.* - Fri Oct  2 20:50:33 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: An -animal- summon? - Fri Oct  2 20:52:16 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Never've learned how to do that. - Fri Oct  2 20:52:16 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Neither did I, I was saying that I needed to learn to summon one - Fri Oct  2 20:57:23 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Oh. - Fri Oct  2 20:59:56 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Are you ready to learn this earth chakra flow? - Fri Oct  2 20:59:56 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Ah.. you're gonna teach me? I'd love to. - Fri Oct  2 21:04:12 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Sure. - Fri Oct  2 21:04:12 2015
<br><br><font color=yellow>*De la Cruze, Violet(Jarrodhun20) Would pull out her blade and state "This technique is similar to that of your chakra flow technique... the difference is the that this technique uses the element of doton... secondly this technigue is about harnessing your chakra and flowing your doton charkra into your object..." she said and she showed her. 

She focused her chakra in her hands and flowed it through her sword, swords looked normal but it was harder then normal. "Feel it... feel the difference between these two blades... Once with chakra flow one without"

After she felt them she would say "Now you try, I will give you three attempts"* - Fri Oct  2 21:25:32 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Yes you did... good work... - Fri Oct  2 21:39:12 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Thank you for the help. I feel this'll be useful in the future. - Fri Oct  2 21:40:03 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: It should if you are in close range combat - Fri Oct  2 21:42:36 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Yeah.. - Fri Oct  2 21:46:01 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hello. - Fri Oct  2 22:44:03 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Hey. - Fri Oct  2 22:44:03 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Oh hey Mizumi is here. - Fri Oct  2 22:44:54 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Hi Kirie... - Fri Oct  2 22:48:19 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: How are you? - Fri Oct  2 22:50:52 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I been good... - Fri Oct  2 22:51:44 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Thats good. - Fri Oct  2 22:51:44 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: How about you... I have missed you... - Fri Oct  2 22:52:35 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Good. - Fri Oct  2 22:53:26 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Suna is interesting. - Fri Oct  2 22:53:26 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: You visited Suna? Hm.. - Fri Oct  2 22:53:26 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yeah. - Fri Oct  2 22:54:17 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Really know? Thats fun; I wish I could visit sometimes - Fri Oct  2 22:54:17 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: It is really hot. - Fri Oct  2 22:55:08 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: We could head there at some point.. - Fri Oct  2 22:55:08 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: I'm confident in my traveling ability. - Fri Oct  2 22:55:08 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Sigh... - Fri Oct  2 22:56:00 2015
<br><br><font color=yellow>*De la Cruze, Violet(Jarrodhun20) As mist flooded the area Violet would form several hand seals and melt underground in the mountain. "Who is this person and why are they doing this?" she thought to herself. As she went underground she would move the person she sensed that was away from the rest of them and swim to their location. Since she could sense the magnetic location of the target. While the clones missed her and the mist didnt deter her at all* - Fri Oct  2 23:07:05 2015
<br><br><font color=yellow>*De la Cruze, Violet(Jarrodhun20) As the target moved she could no longer sense him... the odds are he was on the water now... this was perfect... because now she knew where he was. She resurfaced from the mountain and dashed as fast as she could to the anbu agent. She quickly pulled her blades from her sheaths and aimed for the head of the agent... she watched his figure making sure she would contact him with her fast attacks.

If anything was in her way she would rip through it with ease with  her strength... The figure was trying to rip a life away from her and she would be damned if she let it happen. She would aim four strikes, 2 with each hand, at the target aiming to dismember or decapitatate him* - Fri Oct  2 23:40:22 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) thinks: The orange haired one is Violet... - Sat Oct  3 00:03:24 2015
<br><br><font color=yellow>*De la Cruze, Violet(Jarrodhun20) //Violet knew the trick to this jutsu... Tethys used it all the time and she saw him counter it. Chakra would flow to her feet and she would be free of the sticky syrup, she would have no location of him and no location. For a split second as all the she would do was help her out. She quicktly forced her sword into the ground and throw Setsuko off the water fall..."Use suimen to get free!" she yelled before she dived back under ground and appeared at the bottom of the water fall.

Her plan would be just to escape as she had to get away from the water source* - Sat Oct  3 00:19:37 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: Give me the blades... - Sat Oct  3 00:26:27 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: And no one gets hurt. - Sat Oct  3 00:26:27 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: Move...and you die.. - Sat Oct  3 00:26:27 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: The special blades that belonged to Tethys....Now. - Sat Oct  3 00:28:09 2015
<br><br><font color=yellow>*De la Cruze, Violet(Jarrodhun20) Violet didnt say a word to the user that was attacking them. She grew angry she was stuck in the sticky syrup in the thick mist where she didnt have good hearing to pin point where he was... She would break out of the syrup by forcing chakra to her feet to break free from the hold. She, however, couldnt have Setsuko from her entrapment. All she could do was force her body down on the syrup so prevent the girl from futher injury. for Violet how ever she would burst through the mist trying to escape the water source. If any clones were on her way she would burst through them and race to the side of mountain. * - Sat Oct  3 00:39:15 2015
<br><br><font color=yellow>*De la Cruze, Violet(Jarrodhun20) //As she saw a fire ball go for Setsuko she quickly formed her hand seals and formed handseals required to make a earth shadow clone... she would throw the shadow clone at the spawn of the fireball and hope to catch the person shooting it. If the clone caught the opponent then the clone would turn into mud and capture him on the wall. If the clone misses it would try to grab the wall and attempt to spew a mud river at the shadowy figure in the mist. All the while Violet would run along the mountain using suimen and get out of the mist yet again. hiding from the fire and water user.

Hopefully the fire blast would cover her plan sound wise... and she could catch him off guard since he didnt know where she was and he was occupied with the front area.* - Sat Oct  3 03:00:03 2015
<br><br><font color=yellow>*De la Cruze, Violet(Jarrodhun20) OK, so When I broke out, i ran to try to get out of the mist, but becasue i new i couldnt leave the mountain yet. so while i was on the mountain i ran to where i was one rp away from leaving the mountain but im still aware of the battle. iM not trying to leave the girl there to die; i want to avenge her... so when got as far as i could run i turned around to contine fighting... i dont want to hoe a villager and leave them to die* - Sat Oct  3 03:10:17 2015
<br><br><font color=teal>*Koeki(ZuuZuu) thinks: Damnit.. - Sat Oct  3 03:38:27 2015
<br><br><font color=yellow>*De la Cruze, Violet(Jarrodhun20) Yes I did* - Sat Oct  3 03:39:18 2015
<br><br><font color=yellow>*De la Cruze, Violet(Jarrodhun20) Her actions were stopped as she was intercepted... the clones had a good idea where she was but she was quicker. Using her reflexes she dropped to the ground and rolled out of the way of the colliding water. She hoped that Kirie went to get help as Violet was in danger. The water collided over her as she saw him again... the faint image of the man attacking her. When the water clashed she got up and ran to jump out of the mist. The would run down the mountain to find her kage... "Koeki! Im under attack!" she screamed as she needed to get away from the water if she wanted to beat him.* - Sat Oct  3 03:56:22 2015
