<br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Mon Nov  2 21:43:53 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: But I can try. - Tue Nov  3 01:58:11 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I-I know s-something about i-it... - Tue Nov  3 01:58:11 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Anywho. If you're giving away information about others, should I also reveal myself Mizukage? - Tue Nov  3 01:58:11 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I'll teach youuu...? - Tue Nov  3 01:58:11 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: If you want. - Tue Nov  3 01:58:11 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Tue Nov  3 01:58:11 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Nah. - Tue Nov  3 01:58:11 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: It is not required to do so. - Tue Nov  3 01:58:11 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: You are all now dismissed. - Tue Nov  3 01:58:11 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Also Hanai. - Tue Nov  3 01:58:11 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I expect you to show up from time to time to talk. - Tue Nov  3 01:59:02 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: I-I wonder if I should show the m-mizukage my skills.? - Tue Nov  3 01:59:02 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: At least twice a day. - Tue Nov  3 01:59:02 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: S-She'd probably b-be disappointed.. - Tue Nov  3 01:59:02 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Sure. - Tue Nov  3 01:59:53 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Why do you want p-people to die..? - Tue Nov  3 01:59:53 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: O-Okay.... - Tue Nov  3 02:00:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: .... - Tue Nov  3 02:02:27 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: . . . . .  . - Tue Nov  3 02:05:00 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Tue Nov  3 02:06:43 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Calling others monsters isn't nice. - Tue Nov  3 02:06:43 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Stichy. - Tue Nov  3 02:07:34 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: - - Tue Nov  3 02:07:34 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: The name is Thaenan. - Tue Nov  3 02:07:34 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: ............ - Tue Nov  3 02:07:34 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Or Thae. - Tue Nov  3 02:07:34 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Whichever. - Tue Nov  3 02:07:34 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-Tha-NaeNAE - Tue Nov  3 02:07:34 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-But.. - Tue Nov  3 02:09:16 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Spar...Me.. - Tue Nov  3 02:09:16 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: No thanks. - Tue Nov  3 02:09:16 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I have a scroll to read. - Tue Nov  3 02:09:16 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-But.. - Tue Nov  3 02:10:59 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Tue Nov  3 02:10:59 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: No. - Tue Nov  3 02:10:59 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: F-Fine.. - Tue Nov  3 02:11:50 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Mizukage-Senpai..H-Hanai.. - Tue Nov  3 02:11:50 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Yo. - Tue Nov  3 02:18:40 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: .... - Tue Nov  3 02:18:40 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: What's with the body? - Tue Nov  3 02:18:40 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Huh> - Tue Nov  3 02:22:04 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Sorry. - Tue Nov  3 02:22:04 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: And This male tried to kill me - Tue Nov  3 02:22:04 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Oh... - Tue Nov  3 02:22:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: M-Mizukage-Senpai. - Tue Nov  3 02:22:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: C-Can we talk alone in p-private..? - Tue Nov  3 02:22:56 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Sure, - Tue Nov  3 02:24:38 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Come with me. - Tue Nov  3 02:24:38 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: ....... - Tue Nov  3 02:26:20 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: What a scene.. - Tue Nov  3 02:56:12 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Is this. . mess going to be cleaned up? - Tue Nov  3 02:56:12 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Oh...Yeah. - Tue Nov  3 02:57:04 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: I got it. - Tue Nov  3 02:57:04 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Done. - Tue Nov  3 02:58:46 2015
<br><br><font color=teal>*Masashi Kishimoto(Tsundere-san) says: Dattebayo, Rasengan! - Tue Nov  3 03:03:02 2015
<br><br><font color=teal>*Masashi Kishimoto(Tsundere-san) says: -omit- - Tue Nov  3 03:03:02 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'm back everybody!~ - Tue Nov  3 03:11:34 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Tue Nov  3 03:11:34 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: Who is this girl? - Tue Nov  3 03:11:34 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Welcome back. - Tue Nov  3 03:12:25 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Well jeez, don't everyone go deaf at once. - Tue Nov  3 03:12:25 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Tue Nov  3 03:13:16 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Huh. I guess no one remembers me here, Ortho. - Tue Nov  3 03:14:59 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You've been gone for a while. - Tue Nov  3 03:15:50 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: These are mostly new faces. - Tue Nov  3 03:15:50 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: .... - Tue Nov  3 03:15:50 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Jeez, come on guys. Don't be so lame! - Tue Nov  3 03:17:32 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Tue Nov  3 03:18:24 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: You are? - Tue Nov  3 03:18:24 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I am Nina! The best genin in Kirigakure!~ - Tue Nov  3 03:19:15 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Tue Nov  3 03:20:06 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I see. - Tue Nov  3 03:20:06 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Thaenan. - Tue Nov  3 03:20:57 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: A pleasure I guess. - Tue Nov  3 03:20:57 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Who's the other guy? - Tue Nov  3 03:24:22 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: No clue. - Tue Nov  3 03:24:22 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I see. - Tue Nov  3 03:24:22 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Tue Nov  3 03:24:22 2015
<br><br><font color=teal>*Nina(Ninasky115) says: We- Excuse me? - Tue Nov  3 03:24:22 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: That's rude. - Tue Nov  3 03:25:13 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I am always open to someone proving me wrong. - Tue Nov  3 03:25:13 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: I hope the girl kills him, I could use another to add to my collection. - Tue Nov  3 03:25:13 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Sure. - Tue Nov  3 03:26:04 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Anywho. - Tue Nov  3 03:26:04 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: He had all killing ash bones - Tue Nov  3 03:32:03 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Mizukage. - Tue Nov  3 03:32:03 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I finished your scroll. - Tue Nov  3 03:32:03 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Elon. - Tue Nov  3 03:38:01 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Hm? - Tue Nov  3 03:38:01 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: .  . - Tue Nov  3 03:38:01 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Do you buy any chance happen to know what happened to the body that was here? - Tue Nov  3 03:38:01 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: by* - Tue Nov  3 03:38:52 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Oh, I buried it where we normally do. - Tue Nov  3 03:39:44 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: .... - Tue Nov  3 03:40:35 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Hmm. - Tue Nov  3 03:40:35 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Wow, that was really easy.~ - Tue Nov  3 04:08:44 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I thought you'd be a bit more of a challange. - Tue Nov  3 04:08:44 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Hello Nina. - Tue Nov  3 04:12:09 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Hi Mizukage. - Tue Nov  3 04:12:09 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: How are you? - Tue Nov  3 04:13:52 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'm good. - Tue Nov  3 04:13:52 2015
<br><br><font color=teal>*Nina(Ninasky115) says: How does it feel to have your favorite genin back? Hehe. - Tue Nov  3 04:15:34 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: She thinks too highly of herself. - Tue Nov  3 04:15:34 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: ... - Tue Nov  3 04:17:16 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: You're....gonna release him...right? - Tue Nov  3 04:17:16 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'm just joking around guys, Just having fun. - Tue Nov  3 04:18:08 2015
<br><br><font color=teal>*Nina(Ninasky115) says: And yeah, I will. - Tue Nov  3 04:18:08 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: Earth Jutsu? - Tue Nov  3 04:18:08 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Zzz... - Tue Nov  3 04:18:08 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Hmm where did you go? - Tue Nov  3 04:18:59 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Hm? - Tue Nov  3 04:18:59 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Oh. - Tue Nov  3 04:18:59 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I went to Sunagakure. - Tue Nov  3 04:20:41 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Tue Nov  3 04:21:32 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Anyway, Lady. - Tue Nov  3 04:24:57 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'm ready to pull my work around here, where are the hard missions at? - Tue Nov  3 04:24:57 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Hard missions? - Tue Nov  3 04:27:31 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Mhm, the C and B rank missions. You know. - Tue Nov  3 04:27:31 2015
<br><br><font color=teal>*Nina(Ninasky115) says: The hard stuff. - Tue Nov  3 04:27:31 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: There wont be any of those for the time being. - Tue Nov  3 04:28:22 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Ugh. I'd rather not sit around with these little D-rank missions. They're so lame. - Tue Nov  3 04:29:13 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I thoughts exactly. - Tue Nov  3 04:29:13 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: .... - Tue Nov  3 04:30:04 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Though, I'll take any mission. - Tue Nov  3 04:30:04 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: So. - Tue Nov  3 04:30:04 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Well. . . - Tue Nov  3 04:33:29 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Anyone want to buy a pill? It's really only for guys though... - Tue Nov  3 04:33:29 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I still have two missions to knock out. - Tue Nov  3 04:34:20 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: So. - Tue Nov  3 04:34:20 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I'm outta here. - Tue Nov  3 04:34:20 2015
<br><br><font color=teal>*Nina(Ninasky115) says: You have fun.~ - Tue Nov  3 04:34:20 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Eh? Fun really isn't the word. - Tue Nov  3 04:34:20 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I know, I remember. - Tue Nov  3 04:34:20 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Heh. - Tue Nov  3 04:36:54 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Though. - Tue Nov  3 04:36:54 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Nothing else really to do. - Tue Nov  3 04:36:54 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: So. . . - Tue Nov  3 04:36:54 2015
<br><br><font color=teal>*Nina(Ninasky115) says: How about training? - Tue Nov  3 04:36:54 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Eh? - Tue Nov  3 04:36:54 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I can't keep up with most people yet. - Tue Nov  3 04:37:45 2015
<br><br><font color=teal>*Nina(Ninasky115) says: That's the point of training. - Tue Nov  3 04:37:45 2015
<br><br><font color=teal>*Nina(Ninasky115) says: To protect people you love, that's why I do it. - Tue Nov  3 04:37:45 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Oh? - Tue Nov  3 04:37:45 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: I didn't ask why you did it though. . . - Tue Nov  3 04:37:45 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Yeah. So if you're bored, why not just train? - Tue Nov  3 04:38:36 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: No one to train with, and ever after a bit of time, training gets boring. - Tue Nov  3 04:38:36 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Why not train with this guy? - Tue Nov  3 04:39:28 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Well you are going to have to Nina. - Tue Nov  3 04:40:19 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: At least for the time being - Tue Nov  3 04:40:19 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Yeah, I get it. As always. - Tue Nov  3 04:40:19 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Mizukage. - Tue Nov  3 04:41:10 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Train with me, right now. - Tue Nov  3 04:42:01 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Tue Nov  3 04:42:01 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: .... - Tue Nov  3 04:42:01 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: This kid is rude. - Tue Nov  3 04:42:01 2015
<br><br><font color=yellow>*De la Cruze, Violet(Jarrodhun20) Would look up from her seat to see her daughter back in Kirigakure. With lightning fast speed to grasp her tightly. "Oh how I have missed you my love... You have to tell me about your travels!" she said excitedly* - Tue Nov  3 04:42:52 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: .... - Tue Nov  3 04:42:52 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: .... - Tue Nov  3 04:47:08 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: So nobody wants to buy this? - Tue Nov  3 04:47:08 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Ugh. - Tue Nov  3 04:47:08 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: Should I help? Nahhh. - Tue Nov  3 04:47:08 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Tue Nov  3 04:47:08 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: What are you selling again? - Tue Nov  3 04:48:00 2015
<br><br><font color=yellow>*De la Cruze, Violet(Jarrodhun20) As she ran to hug Nina, se heard more foot steps... it was her Love Lera! Grabbing and hugging Nina, she pulled her toward Lera to make her join the hug... "Both of my girls... im so glad you came to see me!" she said excitely* - Tue Nov  3 04:48:00 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: A pill. - Tue Nov  3 04:48:00 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Of? - Tue Nov  3 04:48:00 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Sure.... - Tue Nov  3 04:48:51 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: 'Dunno. Guy just told me it was for 'male enhancement.' Whatever that means. - Tue Nov  3 04:48:51 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Oh, sounds. . .weird. - Tue Nov  3 04:48:51 2015
<br><br><font color=teal>*Lera(Bailey42) says: Right. - Tue Nov  3 04:49:42 2015
<br><br><font color=yellow>*De la Cruze, Violet(Jarrodhun20) Takes the blades back and places them on her back covered by her thick long hair.
"Thanks my love I knew I would count on you"* - Tue Nov  3 04:53:07 2015
<br><br><font color=teal>*Nina(Ninasky115) says: How come I can't get a special sword? - Tue Nov  3 04:53:07 2015
<br><br><font color=teal>*Lera(Bailey42) says: These ones belong to Violet Hun. If there comes a time where we can give you one to train with...we'll see, but its not entirely up to me. - Tue Nov  3 04:54:49 2015
<br><br><font color=teal>*Nina(Ninasky115) says: But I want one! It'll run in the family! - Tue Nov  3 04:54:49 2015
<br><br><font color=teal>*Lera(Bailey42) says: All I can say is wait and see hun... - Tue Nov  3 04:55:40 2015
<br><br><font color=teal>*Nina(Ninasky115) says: FINE. - Tue Nov  3 04:55:40 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Fine**** - Tue Nov  3 04:55:40 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: These swords are special can have to be a secret dont tell anyone about them ok? - Tue Nov  3 04:55:40 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Yeah yeah. - Tue Nov  3 04:55:40 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Lets go back. - Tue Nov  3 04:59:56 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Ok love - Tue Nov  3 04:59:56 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Where is Lera? - Tue Nov  3 05:04:12 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: She was tired from her journy she went home - Tue Nov  3 05:05:04 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: ... - Tue Nov  3 05:08:28 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: My lady - Tue Nov  3 05:08:28 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Is it true - Tue Nov  3 05:11:02 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Is what true? - Tue Nov  3 05:15:18 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Nina. - Tue Nov  3 05:21:16 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Are you ready to head back? - Tue Nov  3 05:21:16 2015
<br><br><font color=teal>*Nina(Ninasky115) says: What, already? - Tue Nov  3 05:28:57 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: No, no. - Tue Nov  3 05:28:57 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I'm asking you. - Tue Nov  3 05:28:57 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I'll come back later. - Tue Nov  3 05:28:57 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Alright then.... - Tue Nov  3 05:29:48 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Hmm. - Tue Nov  3 05:31:31 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: So what have you learned Nina. - Tue Nov  3 05:31:31 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Kenjutsu and ninjutsu. - Tue Nov  3 05:31:31 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I see. - Tue Nov  3 05:32:22 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: You went to Sunagakure? - Tue Nov  3 05:32:22 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Mhm. - Tue Nov  3 05:33:13 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: How do you know Ortho? - Tue Nov  3 05:33:13 2015
<br><br><font color=teal>*Nina(Ninasky115) says: He's my brother. - Tue Nov  3 05:33:13 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: .... - Tue Nov  3 05:34:04 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Uhuh. - Tue Nov  3 05:34:04 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: So you are a red eyes. - Tue Nov  3 05:34:04 2015
<br><br><font color=teal>*Nina(Ninasky115) says: A what? - Tue Nov  3 05:34:04 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Red eyes. - Tue Nov  3 05:34:04 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: The crest he wears on his back. - Tue Nov  3 05:34:04 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Red eyes use them. - Tue Nov  3 05:34:04 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: it* - Tue Nov  3 05:34:04 2015
<br><br><font color=teal>*Nina(Ninasky115) says: What are you talking about red eyes? Are you okay? - Tue Nov  3 05:34:04 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: The crest on his back Nina. - Tue Nov  3 05:34:56 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Have you seen it? - Tue Nov  3 05:34:56 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Uh huh, still don't know what these red eyes are. - Tue Nov  3 05:35:47 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: A doujutsu. - Tue Nov  3 05:35:47 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Now you're just making stuff up, those don't even exist. - Tue Nov  3 05:36:38 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I have seen them with my own eye. - Tue Nov  3 05:37:29 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: There was a man named Hideki. - Tue Nov  3 05:37:29 2015
<br><br><font color=teal>*Nina(Ninasky115) says: If that's a thing, why didn't we learn about them in the academy? - Tue Nov  3 05:37:29 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: He had red eyes and wore that crest on his back. - Tue Nov  3 05:37:29 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Kirigakure hunted the red eyes untill near extinction. - Tue Nov  3 05:37:29 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: The red eyes and white eyes were hunted down long ago. - Tue Nov  3 05:38:20 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: But the hunt was called off some time ago. - Tue Nov  3 05:38:20 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Uh huh..... - Tue Nov  3 05:39:12 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Still don't know where these red eyes are talking about. - Tue Nov  3 05:39:12 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: They are there. - Tue Nov  3 05:40:54 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I do not know the specifics about them but the red eyes are there. - Tue Nov  3 05:40:54 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: My knowledge on them is limited. - Tue Nov  3 05:44:19 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: But they are there if he wears that crest in his back. - Tue Nov  3 05:44:19 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Mizukage-sama, can I be rewarded for my three daily missions? - Tue Nov  3 05:48:35 2015
<br><br><font color=teal>*Nina(Ninasky115) says: You guys need more fun around here. - Tue Nov  3 05:52:00 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Why not make some then? - Tue Nov  3 05:52:00 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Because the only way I know how is sparring, since I don't know any of you. - Tue Nov  3 05:52:00 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I see. - Tue Nov  3 05:52:51 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Well. - Tue Nov  3 05:52:51 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Oh well. - Tue Nov  3 05:52:51 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-Mizukage-sama. - Tue Nov  3 05:53:42 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Can I get my mission rewards? - Tue Nov  3 05:53:42 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Thank you.... - Tue Nov  3 05:55:24 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Is there anything I may do for you, Missus Mizukage? - Tue Nov  3 05:55:24 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: No Hanai. - Tue Nov  3 05:55:24 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Thank you. - Tue Nov  3 05:55:24 2015
<br><br><font color=teal>*Nina(Ninasky115) says: So, lady, who are all of these new people around? - Tue Nov  3 05:55:24 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Genin who graduated the academy as of recently. - Tue Nov  3 05:56:16 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . . - Tue Nov  3 05:56:16 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: I already introduced myself I thought? - Tue Nov  3 05:56:16 2015
