<br><font color=teal>*Trent(Fang7777) says: Hi. - Fri Nov  6 17:38:08 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Get stronger, improve Kirigakure, and let it prosper. - Sat Nov  7 06:20:09 2015
<br><br><font color=teal>*Mei(Fang7777) says: Those are great goals Lord Jehan. - Sat Nov  7 06:25:16 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I guess. - Sat Nov  7 06:25:16 2015
<br><br><font color=teal>*Mei(Fang7777) says: If you lean forward a little sir. I can rub your back. - Sat Nov  7 06:26:08 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Oh? - Sat Nov  7 06:26:08 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: If you say so. - Sat Nov  7 06:26:08 2015
<br><br><font color=yellow>*Mei(Fang7777) slid her hands to his upper back over his shoulder blades. She began to rub the area with some force to help massage the muscles there. 

* - Sat Nov  7 06:27:50 2015
<br><br><font color=teal>*Mei(Fang7777) says: I guess it's just a born gift. - Sat Nov  7 06:32:57 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Well. . .a better gift than most are born with. - Sat Nov  7 06:33:48 2015
<br><br><font color=teal>*Mei(Fang7777) says: I suppose so. - Sat Nov  7 06:34:40 2015
<br><br><font color=yellow>*Mei(Fang7777) stops massaging his back and places her hands to her side.

"In that case I'll stop."She said.* - Sat Nov  7 06:50:01 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Oh? - Sat Nov  7 06:50:01 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Shame. - Sat Nov  7 06:50:01 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: But alright. - Sat Nov  7 06:50:01 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Honestly. . . - Sat Nov  7 06:53:26 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I think that's the first Massage I've ever had. . . - Sat Nov  7 06:54:17 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Hm. - Sat Nov  7 06:54:17 2015
<br><br><font color=teal>*Mei(Fang7777) says: Well I'm glad you enjoy it. - Sat Nov  7 06:57:42 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I'm sure anyone would. - Sat Nov  7 06:57:42 2015
<br><br><font color=teal>*Mei(Fang7777) says: -yawns- - Sat Nov  7 06:58:33 2015
<br><br><font color=teal>*Mei(Fang7777) says: Well I guess I should head home. - Sat Nov  7 06:58:33 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: O-Oh? - Sat Nov  7 06:58:33 2015
<br><br><font color=teal>*Mei(Fang7777) says: Before I can do that. - Sat Nov  7 06:58:33 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Hmph. - Sat Nov  7 06:58:33 2015
<br><br><font color=teal>*Mei(Fang7777) says: I need to buy or pay some rent for a home. - Sat Nov  7 06:58:33 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: . . . - Sat Nov  7 06:58:33 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Do you have enough money? - Sat Nov  7 06:58:33 2015
<br><br><font color=teal>*Mei(Fang7777) says: I have two thousand ryo to put down. - Sat Nov  7 06:59:24 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Eh. . .not really enough. . . - Sat Nov  7 06:59:24 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Do you not have anywhere to go? - Sat Nov  7 06:59:24 2015
<br><br><font color=teal>*Mei(Fang7777) says: If I can't get a home then yeah. - Sat Nov  7 07:00:16 2015
<br><br><font color=teal>*Mei(Fang7777) says: I wont move back into my moms. - Sat Nov  7 07:00:16 2015
<br><br><font color=teal>*Mei(Fang7777) says: I refuse. - Sat Nov  7 07:00:16 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Look. . .I'll make you a deal. - Sat Nov  7 07:00:16 2015
<br><br><font color=teal>*Mei(Fang7777) says: Give me a discount on a home? - Sat Nov  7 07:00:16 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I can't really do that. . . - Sat Nov  7 07:00:16 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: As I don't rent the homes. - Sat Nov  7 07:00:16 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: But. - Sat Nov  7 07:00:16 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I can let you stay in my rooming. I rarely use it. . .I don't sleep much. Just don't go spreading it or I'll be in hot water. - Sat Nov  7 07:01:07 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Alright? - Sat Nov  7 07:02:49 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: At least until you can afford one yourself. - Sat Nov  7 07:03:40 2015
<br><br><font color=teal>*Mei(Fang7777) says: Oh. - Sat Nov  7 07:07:56 2015
<br><br><font color=teal>*Mei(Fang7777) says: Then what deal is it? - Sat Nov  7 07:08:48 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I can let you stay in my rooming. I rarely use it. . .I don't sleep much. Just don't go spreading it or I'll be in hot water. - Sat Nov  7 07:08:48 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Alright? - Sat Nov  7 07:08:48 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: At least until you can afford one yourself. - Sat Nov  7 07:08:48 2015
<br><br><font color=teal>*Mei(Fang7777) says: Thank you Lord Jehan but no thank you. - Sat Nov  7 07:10:30 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Hm? - Sat Nov  7 07:10:30 2015
<br><br><font color=teal>*Mei(Fang7777) says: I can just save up untill I can get my own home. - Sat Nov  7 07:11:21 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Look. I'll feel bad if you don't. . . - Sat Nov  7 07:11:21 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Consider it payment for the massage. - Sat Nov  7 07:11:21 2015
<br><br><font color=teal>*Mei(Fang7777) says: I'm sorry I cant. - Sat Nov  7 07:11:21 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: And why not? - Sat Nov  7 07:11:21 2015
<br><br><font color=teal>*Mei(Fang7777) says: I refuse to. - Sat Nov  7 07:11:21 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Why? - Sat Nov  7 07:11:21 2015
<br><br><font color=teal>*Mei(Fang7777) says: Becuase dealing with struggles in your life is how you mature even more. - Sat Nov  7 07:12:12 2015
<br><br><font color=teal>*Mei(Fang7777) says: As much as that sounds great right now. - Sat Nov  7 07:19:02 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) thinks: Though, I need to keep my distance. - Sat Nov  7 07:19:02 2015
<br><br><font color=teal>*Mei(Fang7777) says: I still have to refuse. - Sat Nov  7 07:19:02 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: And why is that? - Sat Nov  7 07:19:02 2015
<br><br><font color=teal>*Mei(Fang7777) says: It's just who I am. - Sat Nov  7 07:19:53 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: As I said. - Sat Nov  7 07:19:53 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: I refuse to allow you to be put out until you can afford a place. - Sat Nov  7 07:19:53 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: So let me put it this way. - Sat Nov  7 07:19:53 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: You can rent my room. - Sat Nov  7 07:20:44 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: And pay me with back massages. - Sat Nov  7 07:20:44 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Thus, it's as if you're paying for it. - Sat Nov  7 07:20:44 2015
<br><br><font color=teal>*Mei(Fang7777) says: . . . - Sat Nov  7 07:20:44 2015
<br><br><font color=teal>*Mei(Fang7777) says: That sounds so wrong. - Sat Nov  7 07:20:44 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Oh. . . - Sat Nov  7 07:20:44 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: I guess it does. - Sat Nov  7 07:20:44 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: I'm sorry. - Sat Nov  7 07:20:44 2015
<br><br><font color=yellow>*Mei(Fang7777) gets the awkward sweat drop on the side of her face. She was bit creeped out by his choice of words.* - Sat Nov  7 07:21:36 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Sorry for that. . .I've recently been bad at talking to people. . .after a few situations. - Sat Nov  7 07:22:27 2015
<br><br><font color=yellow>*Mei(Fang7777) reaches into her pocket and take sout a little pouch. she sets it on desk it had ryo in it. two thousand ryo.

"I'll take your deal but I'm still paying with my ryo."She said.

<There that makes it better.>she thinks* - Sat Nov  7 07:25:00 2015
<br><br><font color=yellow>*Mei(Fang7777) Follows behind him.* - Sat Nov  7 07:29:16 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Bedroom. - Sat Nov  7 07:29:16 2015
<br><br><font color=teal>*Mei(Fang7777) says: It is lovely. - Sat Nov  7 07:29:16 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Bathroom. - Sat Nov  7 07:29:16 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: And everything else. - Sat Nov  7 07:29:16 2015
<br><br><font color=teal>*Mei(Fang7777) says: It's perfect. - Sat Nov  7 07:30:08 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Good. . . - Sat Nov  7 07:30:08 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Do you mind if I still come here to get away from everyone? Or Do I need to go rent a place now haha.? - Sat Nov  7 07:30:08 2015
<br><br><font color=yellow>*Mei(Fang7777) opens the fridge looking inside before closing it.

* - Sat Nov  7 07:30:59 2015
<br><br><font color=teal>*Mei(Fang7777) says: You can come in here. - Sat Nov  7 07:30:59 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Thanks. - Sat Nov  7 07:30:59 2015
<br><br><font color=yellow>*Mei(Fang7777) Looks at Jehans face from where she was standing she kind of gets a good few. He had taken the hat off so she was able tos ee his hair a bit of his face.

"It does look bother some."She said.* - Sat Nov  7 07:32:41 2015
<br><br><font color=teal>*Mei(Fang7777) says: Yes It does. - Sat Nov  7 07:41:13 2015
<br><br><font color=teal>*Mei(Fang7777) says: My lord if you are hungry I could cook something for you. - Sat Nov  7 07:42:04 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Oh? - Sat Nov  7 07:42:04 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Really? - Sat Nov  7 07:42:04 2015
<br><br><font color=teal>*Mei(Fang7777) says: Sure. - Sat Nov  7 07:42:04 2015
<br><br><font color=teal>*Mei(Fang7777) says: I'm feeling hungry my self. - Sat Nov  7 07:42:04 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: I ususally just eat a candy bar. . . - Sat Nov  7 07:42:04 2015
<br><br><font color=teal>*Mei(Fang7777) says: Not healthy. - Sat Nov  7 07:42:04 2015
<br><br><font color=teal>*Mei(Fang7777) says: Sir. - Sat Nov  7 07:42:04 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: So, sure I guess. - Sat Nov  7 07:42:04 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Why not. - Sat Nov  7 07:42:04 2015
<br><br><font color=teal>*Mei(Fang7777) says: You know all that sugar. - Sat Nov  7 07:42:56 2015
<br><br><font color=teal>*Mei(Fang7777) says: Is bad. - Sat Nov  7 07:42:56 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Meh. . . - Sat Nov  7 07:42:56 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: I'm going to die eventually. - Sat Nov  7 07:42:56 2015
<br><br><font color=teal>*Mei(Fang7777) says: Not a good way of looking at life sir. - Sat Nov  7 07:42:56 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: If you had seen the things I have. - Sat Nov  7 07:42:56 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: You'd understand. - Sat Nov  7 07:42:56 2015
<br><br><font color=teal>*Mei(Fang7777) says: I suppose so. - Sat Nov  7 07:44:38 2015
<br><br><font color=yellow>*Mei(Fang7777) Open the fridge again. She looks in there and grabs some fish. Assuming that would be in there since this is kiri. She then goes through the quick steps of seasoning, battering, and then frying the fish up.* - Sat Nov  7 07:45:29 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) thinks: Wow. . . - Sat Nov  7 07:45:29 2015
<br><br><font color=teal>*Mei(Fang7777) says: Now do you enjoy your fish this way? - Sat Nov  7 07:46:20 2015
<br><br><font color=teal>*Mei(Fang7777) says: If not I can redo it. - Sat Nov  7 07:47:12 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Heh. . .As sad as it is. - Sat Nov  7 07:47:12 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: I'm unsure how I enjoy it. - Sat Nov  7 07:47:12 2015
<br><br><font color=teal>*Mei(Fang7777) says: Never had it? - Sat Nov  7 07:47:12 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: As I said. - Sat Nov  7 07:47:12 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: I usually just eat a candybar. - Sat Nov  7 07:47:12 2015
<br><br><font color=teal>*Mei(Fang7777) says: Oh my. - Sat Nov  7 07:47:12 2015
<br><br><font color=teal>*Mei(Fang7777) says: That's really unhealthy. - Sat Nov  7 07:47:12 2015
<br><br><font color=teal>*Mei(Fang7777) says: Your blood sugar.. - Sat Nov  7 07:47:12 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: . . . - Sat Nov  7 07:47:12 2015
<br><br><font color=teal>*Mei(Fang7777) says: -sighs- - Sat Nov  7 07:48:03 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Heh. . . - Sat Nov  7 07:48:03 2015
<br><br><font color=teal>*Mei(Fang7777) says: Stop eating that junk. - Sat Nov  7 07:48:03 2015
<br><br><font color=teal>*Mei(Fang7777) says: Before you have a heart attack. - Sat Nov  7 07:48:03 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: You don't have to worry about anything blood related. - Sat Nov  7 07:48:03 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Trust me. - Sat Nov  7 07:48:03 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) thinks: I lost all of my blood years ago. - Sat Nov  7 07:48:03 2015
<br><br><font color=yellow>*Mei(Fang7777) ||
the fish was down nice and golden brown. Now she goes about the steps to plate the fish then set the table. She also readies a glass of nice water with lemon in it for them both.* - Sat Nov  7 07:48:54 2015
<br><br><font color=teal>*Mei(Fang7777) says: I don't see how a heart attack is funny sir. - Sat Nov  7 07:49:45 2015
<br><br><font color=teal>*Mei(Fang7777) says: . - Sat Nov  7 07:49:45 2015
<br><br><font color=teal>*Mei(Fang7777) says: I suppose so sir. - Sat Nov  7 07:50:36 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Look. . . - Sat Nov  7 07:50:36 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Don't call me Sir. - Sat Nov  7 07:50:36 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Technically, I am in your home right now. - Sat Nov  7 07:51:28 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: I'm just Jehan here. - Sat Nov  7 07:51:28 2015
<br><br><font color=yellow>*Mei(Fang7777) looks at her food and smiles. She inhales then exhales softly grabing her chopsticks she readies her first bite of the nie white flakey fish with that golden crust. Seasoned just right with a little bit of a kick to it. She takes that bite and puts in her mouth chewing it a few times. Her cheek of course pokes out a little untill she swallows.* - Sat Nov  7 07:52:19 2015
<br><br><font color=teal>*Mei(Fang7777) says: I apologzie s- Jehan. - Sat Nov  7 07:52:19 2015
<br><br><font color=teal>*Mei(Fang7777) says: I was just taught to repsect the Mizukage at all times. - Sat Nov  7 07:53:10 2015
<br><br><font color=teal>*Mei(Fang7777) says: I'm glad you enjoy it. - Sat Nov  7 07:54:01 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Mhm. - Sat Nov  7 07:54:52 2015
<br><br><font color=teal>*Mei(Fang7777) says: It's my moms home fried fish. - Sat Nov  7 07:54:52 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: You mom must have be an amazing person. - Sat Nov  7 07:54:52 2015
<br><br><font color=teal>*Mei(Fang7777) says: Yes she was. - Sat Nov  7 07:54:52 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Was? - Sat Nov  7 07:55:44 2015
<br><br><font color=teal>*Mei(Fang7777) says: She passed away a few months ago. - Sat Nov  7 07:55:44 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: O-Oh. . .I'm sorry. - Sat Nov  7 07:55:44 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Are you ok? - Sat Nov  7 07:55:44 2015
<br><br><font color=teal>*Mei(Fang7777) says: I'm fine. - Sat Nov  7 07:55:44 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Are you sure? - Sat Nov  7 07:55:44 2015
<br><br><font color=teal>*Mei(Fang7777) says: Yes. - Sat Nov  7 07:55:44 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: If you say so. - Sat Nov  7 07:56:35 2015
<br><br><font color=yellow>*Mei(Fang7777) again readies another bite of the fish. Taking a sip of her water before she eats it though. This washing her tongue so she can enjoy same taste she got form first bite. With that done she puts the second bite in her mouth and chews then swallows.* - Sat Nov  7 07:56:35 2015
<br><br><font color=teal>*Mei(Fang7777) says: Thanks I guess. - Sat Nov  7 07:58:17 2015
<br><br><font color=yellow>*Mei(Fang7777) stands up taking the plates and going about the steps to dump the rest of food into the trash then wash, dry, and then putting them away.

"So Jehan mind me asking you how your childhood was like?"* - Sat Nov  7 08:00:51 2015
<br><br><font color=teal>*Mei(Fang7777) says: I see. - Sat Nov  7 08:03:24 2015
<br><br><font color=teal>*Mei(Fang7777) says: I guess I should ask. Are you okay? - Sat Nov  7 08:03:24 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: What ever do you mean? - Sat Nov  7 08:03:24 2015
<br><br><font color=teal>*Mei(Fang7777) says: If you take a childs childhood from them. They are bound to grow up very tuff I guess. I just want to make sure you are find emotionly. - Sat Nov  7 08:04:16 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: . . .Do you want a lie? Or the Truth? - Sat Nov  7 08:05:07 2015
<br><br><font color=teal>*Mei(Fang7777) says: Whatever you feel tha tneed to tell me. - Sat Nov  7 08:05:58 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: . . .The truth then, since you made me dinner. - Sat Nov  7 08:05:58 2015
<br><br><font color=teal>*Mei(Fang7777) says: Or what you want ot share. - Sat Nov  7 08:05:58 2015
<br><br><font color=teal>*Mei(Fang7777) says: to* - Sat Nov  7 08:05:58 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: I'm as good as I can be. Though, not really. - Sat Nov  7 08:05:58 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: I've see a lot. - Sat Nov  7 08:05:58 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Been through a lot. - Sat Nov  7 08:06:49 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Emotionally I'm. . .lacking. - Sat Nov  7 08:06:49 2015
<br><br><font color=teal>*Mei(Fang7777) says: Well as mature adults. We can only try to forgive the wrong doings done onto us. So we can help aid in healing of hardess wounds to heal. Those being emotions. - Sat Nov  7 08:07:40 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: You really are all about being mature aren't you? - Sat Nov  7 08:08:32 2015
<br><br><font color=teal>*Mei(Fang7777) says: I guess I am. - Sat Nov  7 08:08:32 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Well. . . - Sat Nov  7 08:09:23 2015
<br><br><font color=teal>*Mei(Fang7777) says: I am also a medic. I know I'm ment to heal wounds of the flesh but wounds done to ones emotions are even worse. - Sat Nov  7 08:09:23 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: I can't open up the emotions I lost. - Sat Nov  7 08:09:23 2015
<br><br><font color=teal>*Mei(Fang7777) says: That's fine. - Sat Nov  7 08:10:14 2015
<br><br><font color=teal>*Mei(Fang7777) says: I wasn't asking for that. - Sat Nov  7 08:10:14 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Then what are you asking for? - Sat Nov  7 08:10:14 2015
<br><br><font color=teal>*Mei(Fang7777) says: Well... I suppose I'll head to bed now. - Sat Nov  7 08:10:14 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Oh. . .already? - Sat Nov  7 08:11:05 2015
<br><br><font color=teal>*Mei(Fang7777) says: It is a bit late for me. - Sat Nov  7 08:11:05 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: So much for being mature. - Sat Nov  7 08:11:05 2015
<br><br><font color=teal>*Mei(Fang7777) says: What do you mean? - Sat Nov  7 08:11:56 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Someone mature, would stay up. - Sat Nov  7 08:11:56 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) thinks: Let's see how mature she is. - Sat Nov  7 08:12:48 2015
<br><br><font color=teal>*Mei(Fang7777) says: -chuckles- - Sat Nov  7 08:12:48 2015
<br><br><font color=teal>*Mei(Fang7777) says: Nice try. - Sat Nov  7 08:12:48 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: What ever do you mean? - Sat Nov  7 08:12:48 2015
<br><br><font color=teal>*Mei(Fang7777) says: But I have stuff that reqires me to be fully rested in the morning. - Sat Nov  7 08:13:39 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Oh? Such as? - Sat Nov  7 08:13:39 2015
<br><br><font color=teal>*Mei(Fang7777) says: Me time. - Sat Nov  7 08:14:30 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Oh? - Sat Nov  7 08:14:30 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: I see. - Sat Nov  7 08:14:30 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Then, I guess I'll be here. - Sat Nov  7 08:14:30 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Enjoy your sleep. - Sat Nov  7 08:14:30 2015
<br><br><font color=teal>*Mei(Fang7777) says: You to. - Sat Nov  7 08:14:30 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Kid-o. - Sat Nov  7 08:15:21 2015
<br><br><font color=teal>*Mei(Fang7777) thinks: Kid-o okay.. - Sat Nov  7 08:15:21 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Sorry, I'm just messing. - Sat Nov  7 08:15:21 2015
<br><br><font color=teal>*Mei(Fang7777) says: Mhm. - Sat Nov  7 08:15:21 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: I don't exactly sleep, so when my company leaves, it's a bit depressing. - Sat Nov  7 08:16:12 2015
<br><br><font color=yellow>*Mei(Fang7777) turns on her heals and walks for the bed room.* - Sat Nov  7 08:16:12 2015
<br><br><font color=teal>*Mei(Fang7777) says: Just try to get some sleep of your own I guess. - Sat Nov  7 08:16:12 2015
<br><br><font color=yellow>*Mei(Fang7777) Looks to the door. She was sitting on her bed painting her toe nails.* - Sat Nov  7 08:39:15 2015
<br><br><font color=teal>*Mei(Fang7777) says: You may enter. - Sat Nov  7 08:42:40 2015
<br><br><font color=teal>*Mei(Fang7777) says: Well it's a new place so. - Sat Nov  7 08:51:12 2015
<br><br><font color=teal>*Mei(Fang7777) says: I couldn't sleep. - Sat Nov  7 08:51:12 2015
<br><br><font color=teal>*Mei(Fang7777) says: So I'm passing the time by doing simple girl stuff. - Sat Nov  7 08:51:12 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: I see. . . - Sat Nov  7 08:52:54 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: I'm sorry for interupting you then. - Sat Nov  7 08:52:54 2015
<br><br><font color=teal>*Mei(Fang7777) says: No it's fine. - Sat Nov  7 08:54:36 2015
<br><br><font color=teal>*Mei(Fang7777) says: Did you have something to ask me or just feeling bored? - Sat Nov  7 08:54:36 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Eh. - Sat Nov  7 08:55:28 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Mostly bored. - Sat Nov  7 08:55:28 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) thinks: Just how 'mature' is this girl. - Sat Nov  7 08:55:28 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) thinks: A guy is in the room when she is in bed. - Sat Nov  7 08:55:28 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) thinks: Is she just clueless? Or trusting? - Sat Nov  7 08:56:19 2015
<br><br><font color=teal>*Mei(Fang7777) says: Well. - Sat Nov  7 08:59:44 2015
<br><br><font color=teal>*Mei(Fang7777) says: How about you share the story on how you became Mizukage? - Sat Nov  7 09:00:35 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Tell me. - Sat Nov  7 09:00:35 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Why so curious to know? - Sat Nov  7 09:01:26 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: It's quite boring. - Sat Nov  7 09:01:26 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: I simply stepped up. - Sat Nov  7 09:04:00 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: No one else wanted the spot. - Sat Nov  7 09:04:00 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: And I had the money to make the repairs. - Sat Nov  7 09:04:00 2015
<br><br><font color=teal>*Mei(Fang7777) says: Oh. - Sat Nov  7 09:04:51 2015
<br><br><font color=teal>*Mei(Fang7777) says: I'm just trying to get to know you better. - Sat Nov  7 09:04:51 2015
<br><br><font color=teal>*Mei(Fang7777) says: You are the man who leades the village now. - Sat Nov  7 09:05:42 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: I guess so. - Sat Nov  7 09:05:42 2015
<br><br><font color=teal>*Mei(Fang7777) says: Someone for us to all look up to. - Sat Nov  7 09:05:42 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: But please don't say you're trying to get to know me, while sitting in bed. . . - Sat Nov  7 09:05:42 2015
