<br><font color=teal>*Hassan, Trilliam(ZaVante) says: We dont eat rice. - Sun Dec  6 08:41:23 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Hehe is that so, nothing wrong with that. - Mon Dec  7 01:24:54 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Tsuki how's your studying going? - Mon Dec  7 01:27:28 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: It's going okay. - Mon Dec  7 01:36:00 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: I've been training to get strong like you. - Mon Dec  7 01:36:00 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: What you guys doing. - Mon Dec  7 01:37:42 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: Hanging out. - Mon Dec  7 01:42:49 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Haha, keep that spirit Tsuki that light you have is important. - Mon Dec  7 01:42:49 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: The fuck is she wearing...? WHAT HAPPENED TO HER HAIR?! - Mon Dec  7 01:48:48 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: YO! - Mon Dec  7 01:52:12 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: What's up Sanoke? - Mon Dec  7 01:52:12 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Sup Boss. - Mon Dec  7 01:53:04 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Nothing much. - Mon Dec  7 01:54:46 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What you all doin' here? - Mon Dec  7 01:54:46 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Just chillin'. - Mon Dec  7 01:54:46 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Have no clue I just figured this was where every one was. - Mon Dec  7 01:54:46 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: I came here togathere every one upFor Opertiono we  Rich! - Mon Dec  7 01:54:46 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . .  - Mon Dec  7 01:55:37 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Operation we rich? - Mon Dec  7 01:55:37 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: .... - Mon Dec  7 01:56:28 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: What's that suppose to be? - Mon Dec  7 01:56:28 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Just know it brings in a lot of jobs. - Mon Dec  7 01:57:20 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Digging Jobs. - Mon Dec  7 02:05:00 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Digging jobs? - Mon Dec  7 02:05:52 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm? Oh, you did well Hideo. I'll promote ya. - Mon Dec  7 02:05:52 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Promotion? - Mon Dec  7 02:05:52 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: --- - Mon Dec  7 02:05:52 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) thinks: Did I say that aloud? - Mon Dec  7 02:05:52 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Really? Yesssss. - Mon Dec  7 02:05:52 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Thanks! - Mon Dec  7 02:05:52 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Mhm. - Mon Dec  7 02:06:43 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Congrats Bro~ - Mon Dec  7 02:06:43 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Thanks bro!~ - Mon Dec  7 02:06:43 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Congradulation Hiro buddy. - Mon Dec  7 02:07:34 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: I belived in you. - Mon Dec  7 02:07:34 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Thanks Trill. - Mon Dec  7 02:07:34 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Now were almost the sma rank. - Mon Dec  7 02:07:34 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: See. - Mon Dec  7 02:07:34 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I even went to class today. *laughs* - Mon Dec  7 02:07:34 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Anyone seen Momura or Hanai? - Mon Dec  7 02:07:34 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I have not Kuro. - Mon Dec  7 02:07:34 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: So proud of you. - Mon Dec  7 02:07:34 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *nods*  Should be. - Mon Dec  7 02:08:25 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Congratulations. - Mon Dec  7 02:08:25 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: I saw Momura earlier, I'm not sure where she is now. - Mon Dec  7 02:08:25 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Thanks Ivel! - Mon Dec  7 02:08:25 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: I see. - Mon Dec  7 02:08:25 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: No. Why do you need them? - Mon Dec  7 02:08:25 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Hmmm. - Mon Dec  7 02:08:25 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Boss did Iza pass? - Mon Dec  7 02:09:16 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) thinks: It would be a shame if No one in the Tribe Passed. - Mon Dec  7 02:09:16 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: I hope so. - Mon Dec  7 02:10:08 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: I'm assuming she did. - Mon Dec  7 02:10:08 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: She should. - Mon Dec  7 02:10:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yes. She's certainly chunnin-capable.  - Mon Dec  7 02:10:59 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Her age, though. And she showed her maturity onc in the past. - Mon Dec  7 02:11:50 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm? - Mon Dec  7 02:14:24 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Koji. - Mon Dec  7 02:15:15 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: What the hay. . If she's dumb, I'll just demote her. - Mon Dec  7 02:15:15 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: You should go with me on that mission. - Mon Dec  7 02:15:15 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: The next time we are called. - Mon Dec  7 02:15:15 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Izanami, you and Hideo both were impressive. Even if you're a child. - Mon Dec  7 02:15:15 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hideo is becoming chunnin. And you as well -- tentatively. - Mon Dec  7 02:16:06 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: -omit_ - Mon Dec  7 02:16:06 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: Even though I'm a child, hm. - Mon Dec  7 02:17:48 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Can I become Chunnin. - Mon Dec  7 02:17:48 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Also. - Mon Dec  7 02:17:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Congrats Iza. - Mon Dec  7 02:17:48 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: The Hokuma needs a clan house. - Mon Dec  7 02:17:48 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: To you aswell.  - Mon Dec  7 02:17:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Thanks. - Mon Dec  7 02:18:40 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: So i'll be taking the funds to build it out of your account. - Mon Dec  7 02:18:40 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: Hmm looks like a party is here... - Mon Dec  7 02:18:40 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: ---Good luck Sanoke. - Mon Dec  7 02:18:40 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Ouch. . . His wallet. . .  - Mon Dec  7 02:19:31 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Say what is going on here? - Mon Dec  7 02:19:31 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Wow... - Mon Dec  7 02:20:22 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: She pulling a Rias. - Mon Dec  7 02:20:22 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Yes. - Mon Dec  7 02:20:22 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: It will be huge. - Mon Dec  7 02:20:22 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Very lavish. - Mon Dec  7 02:20:22 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: and pricey. - Mon Dec  7 02:21:13 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Not bigger than Hassan manor. - Mon Dec  7 02:21:13 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: ....... - Mon Dec  7 02:21:13 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Pfft, Ryujin manor lit. - Mon Dec  7 02:21:13 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Didn't even know that existed. - Mon Dec  7 02:21:13 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Anywho - Mon Dec  7 02:21:13 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Hassan clan ain't a noble clan no more, boy. - Mon Dec  7 02:21:13 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Ryujin manor is destroyed. - Mon Dec  7 02:21:13 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Hokuma or bust.. - Mon Dec  7 02:21:13 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Been that way for a while. - Mon Dec  7 02:21:13 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Ryujin manor got blown up. - Mon Dec  7 02:21:13 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Hence lit. - Mon Dec  7 02:21:13 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Get it. - Mon Dec  7 02:21:13 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: LIT. - Mon Dec  7 02:21:13 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Haaaaa. - Mon Dec  7 02:21:13 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Ha. - Mon Dec  7 02:21:13 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Oh my brother and sisters will build a clan house? - Mon Dec  7 02:22:04 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Yes. - Mon Dec  7 02:22:04 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Zing. - Mon Dec  7 02:22:04 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hn... - Mon Dec  7 02:22:04 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Any of you seen Testuki? - Mon Dec  7 02:22:04 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Thats wonderful news... - Mon Dec  7 02:22:56 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: That's what i've been wanting to know. - Mon Dec  7 02:22:56 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Oh sanp everyone I Need is here. - Mon Dec  7 02:22:56 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *glances at Trilliam* - Mon Dec  7 02:22:56 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: This is great news. - Mon Dec  7 02:22:56 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Koji. - Mon Dec  7 02:22:56 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Iza. - Mon Dec  7 02:22:56 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Hiro. - Mon Dec  7 02:22:56 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: And for the heck of it Ivel. - Mon Dec  7 02:22:56 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: ? - Mon Dec  7 02:22:56 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Lets go and commence operation get rich! - Mon Dec  7 02:23:47 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Whaaa? - Mon Dec  7 02:23:47 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: After I finish writing this paper due at 12 - Mon Dec  7 02:23:47 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: omit - Mon Dec  7 02:23:47 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm.  - Mon Dec  7 02:23:47 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Operation get rich? - Mon Dec  7 02:23:47 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Operation. . Get rich? - Mon Dec  7 02:23:47 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: Already time to imprison him again? - Mon Dec  7 02:23:47 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Anywho. . What-- Like you guys don't have anything to do? - Mon Dec  7 02:24:38 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Everyone is just sitting around. - Mon Dec  7 02:24:38 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Uh.. - Mon Dec  7 02:24:38 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: *whistles* - Mon Dec  7 02:24:38 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Well I guess im going back to training - Mon Dec  7 02:24:38 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Actually bryson you come to. - Mon Dec  7 02:25:29 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh, you train? - Mon Dec  7 02:25:29 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Just Incase. - Mon Dec  7 02:25:29 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Not really. - Mon Dec  7 02:25:29 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Yes Im rather new t it - Mon Dec  7 02:25:29 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: I'm ready. - Mon Dec  7 02:25:29 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Mediation time. - Mon Dec  7 02:25:29 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Im not sure how to train properly however - Mon Dec  7 02:25:29 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Say Sanoke... your fast right? - Mon Dec  7 02:26:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Somewhat/ - Mon Dec  7 02:27:12 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: How did you get so fast? - Mon Dec  7 02:28:03 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Im trying to train my speed... I need help... I have never trained before so im confused - Mon Dec  7 02:28:54 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Wore a lot of weights, then ran a lot. - Mon Dec  7 02:30:36 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: 9yeah Ai is there we fam - Mon Dec  7 02:31:28 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . . - Mon Dec  7 02:33:10 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . .  - Mon Dec  7 02:34:52 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Look at live, people. - Mon Dec  7 02:35:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Anyone want missions? - Mon Dec  7 02:35:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: C'mon. - Mon Dec  7 02:35:44 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: YO. - Mon Dec  7 02:35:44 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) thinks: Jeez. - Mon Dec  7 02:35:44 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: I'm on a break. - Mon Dec  7 02:35:44 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Why is everyone here? - Mon Dec  7 02:35:44 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Eh.. - Mon Dec  7 02:35:44 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Koji we have a mission already. - Mon Dec  7 02:35:44 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'll do a few with Koji. - Mon Dec  7 02:35:44 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: If I could do something. - Mon Dec  7 02:35:44 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: It'd be fun. - Mon Dec  7 02:35:44 2015
<br><br><font color=teal>*Hokuma, Otorius(OtoTheChannel) says: I would like a mission. I've never been on one. - Mon Dec  7 02:35:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Mirai, you should rest. - Mon Dec  7 02:35:44 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: No dammit! - Mon Dec  7 02:36:35 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Uhh.......what's going on? - Mon Dec  7 02:36:35 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Well back to training, im outside the village if people are dying - Mon Dec  7 02:36:35 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I wanna work! - Mon Dec  7 02:36:35 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Nothing. - Mon Dec  7 02:36:35 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Just a lot of people standing around. - Mon Dec  7 02:36:35 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Sanoke can't pay you over time, Mirai. - Mon Dec  7 02:36:35 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You need your rest.  - Mon Dec  7 02:36:35 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Oh. - Mon Dec  7 02:36:35 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Chikyu. - Mon Dec  7 02:36:35 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: You want a hot body? - Mon Dec  7 02:36:35 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: You want a Bugatti? - Mon Dec  7 02:36:35 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: ... - Mon Dec  7 02:36:35 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Oh. Guess I could leave then. - Mon Dec  7 02:36:35 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: You want a Maserati? - Mon Dec  7 02:36:35 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: You better work bitch! - Mon Dec  7 02:36:35 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: I'll work for it bitfch - Mon Dec  7 02:36:35 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) thinks: what the fucks a bugatti. - Mon Dec  7 02:37:26 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Where are you going nami? - Mon Dec  7 02:37:26 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) thinks: -omit- - Mon Dec  7 02:37:26 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Therefore I am working. - Mon Dec  7 02:37:26 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: -omit- - Mon Dec  7 02:37:26 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Right. Anywho, disperse. And young kid with white hair, c'mere. - Mon Dec  7 02:37:26 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Just away from everyone that's here. - Mon Dec  7 02:37:26 2015
<br><br><font color=teal>*Hokuma, Otorius(OtoTheChannel) says: Yes! - Mon Dec  7 02:37:26 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Since everyone is around? - Mon Dec  7 02:37:26 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Koji, you too. - Mon Dec  7 02:37:26 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hmmm. . .  - Mon Dec  7 02:37:26 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Oh and Kinami you boy Hiro and Iza are now chunin> - Mon Dec  7 02:38:17 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Me, Hiro, and Iza? Cool. - Mon Dec  7 02:38:17 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Indeed. - Mon Dec  7 02:38:17 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I was totally going to tell her that. . .  - Mon Dec  7 02:38:17 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: You made chunin? - Mon Dec  7 02:38:17 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) thinks: So....everyone who joined except Momura. Jeez..... - Mon Dec  7 02:38:17 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Wait. - Mon Dec  7 02:40:00 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hmm? - Mon Dec  7 02:40:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Nope! You're not going on the field, Mirai. You can do some paper work if you'd like, though. - Mon Dec  7 02:40:00 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I wanted to talk to you . . In private.  - Mon Dec  7 02:40:00 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: About what. - Mon Dec  7 02:40:00 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . . Just come on. - Mon Dec  7 02:40:00 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Yea yea. . .  - Mon Dec  7 02:40:51 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Sigh.. - Mon Dec  7 02:40:51 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: I know hiro did not just run off. - Mon Dec  7 02:41:42 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: See this is why we can't have nice things. - Mon Dec  7 02:41:42 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Let me go. - Mon Dec  7 02:41:42 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I want to take Otorius on his first mission. - Mon Dec  7 02:41:42 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Let me go on the mission or... - Mon Dec  7 02:42:33 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: Can I come too? - Mon Dec  7 02:42:33 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: Wait, I can't. - Mon Dec  7 02:42:33 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Yes let's make this a family affair. - Mon Dec  7 02:42:33 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Why not? - Mon Dec  7 02:42:33 2015
<br><br><font color=teal>*Hokuma, Otorius(OtoTheChannel) thinks: What's with that look!? - Mon Dec  7 02:42:33 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: I have to work. - Mon Dec  7 02:42:33 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Awww. - Mon Dec  7 02:43:24 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Don't over work yourself my Tsuki. - Mon Dec  7 02:43:24 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: Aye aye captain! - Mon Dec  7 02:44:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Alright, with Koji and Trilliam here. . things should go smoothly. - Mon Dec  7 02:46:49 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Koji, Trilliam, and the new guy will be the team. - Mon Dec  7 02:47:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Come to my office you four. I'll brief you all. - Mon Dec  7 02:47:40 2015
<br><br><font color=teal>*Hogo, Tethys(Uptown Realest) says: Can I have a team? - Mon Dec  7 02:47:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: No. - Mon Dec  7 02:48:32 2015
<br><br><font color=teal>*Hogo, Tethys(Uptown Realest) says: Ok. - Mon Dec  7 02:48:32 2015
<br><br><font color=teal>*Hogo, Tethys(Uptown Realest) says: Relax. - Mon Dec  7 02:48:32 2015
<br><br><font color=teal>*Hogo, Tethys(Uptown Realest) says: Stop your shit, junior. - Mon Dec  7 02:48:32 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: ....... - Mon Dec  7 02:49:23 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'm going home guys. - Mon Dec  7 02:49:23 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: See ya Mirai. - Mon Dec  7 02:49:23 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: See you all later. - Mon Dec  7 02:49:23 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Bye, Mirai.... - Mon Dec  7 02:49:23 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: No need to come see me. - Mon Dec  7 02:51:05 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'm going to sleep. - Mon Dec  7 02:51:05 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Oh, hm... - Mon Dec  7 02:51:05 2015
<br><br><font color=teal>*Hogo, Tethys(Uptown Realest) says: HA! - Mon Dec  7 02:51:56 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) thinks: So dramatic... - Mon Dec  7 02:51:56 2015
<br><br><font color=teal>*Hogo, Tethys(Uptown Realest) says: IN OTHER WORDS - Mon Dec  7 02:51:56 2015
<br><br><font color=teal>*Hogo, Tethys(Uptown Realest) says: NO PUSSY FOR YOU - Mon Dec  7 02:51:56 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: So what did I miss? - Mon Dec  7 02:51:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'll be there in a bit anyway. - Mon Dec  7 02:51:56 2015
