<br><font color=teal>*Rias(LionHunter) says: Whats happening? - Fri Nov  6 03:43:34 2015
<br><br><font color=teal>*Ziare(Meekee) says: That star there is the north star. - Sat Nov  7 05:33:13 2015
<br><br><font color=teal>*Rias(LionHunter) says: Whats so special about it - Sat Nov  7 05:34:04 2015
<br><br><font color=yellow>*Rias(LionHunter) would rest her hands on her stomach and look on with wide eyes, "This is so beautiful and romantic..." she said softly. "So it never moves... So its at the center of our axis" she finished* - Sat Nov  7 05:41:45 2015
<br><br><font color=yellow>*Rias(LionHunter) would scoot closer to Z and look at the stars. SHe took a note of all the constellations he mentioned. "You must really love stars.. but then again this is nothing new." she said as she would move alittle on the going.* - Sat Nov  7 06:03:56 2015
<br><br><font color=yellow>*Rias(LionHunter) She just wanted to cuddle, he was suprised he didnt notice. She would recite the names after him rapid fire, it was easy for her to remember. She felt his face nearing her explaining the stars and seeing his eyes... she blushed a little and pushed his glasses up for him. She would lean her head over to his.* - Sat Nov  7 06:39:47 2015
<br><br><font color=yellow>*Rias(LionHunter) sighed she would then roll over... "I need to get you a girlfriend... " she said  still looking in the sky..."Im getting sleepy... walk me home?" she said looking at him* - Sat Nov  7 07:20:44 2015
<br><br><font color=yellow>*Rias(LionHunter) would get up and dust off her clothes, "No you dont you work with me and J" she said walking home* - Sat Nov  7 07:42:56 2015
<br><br><font color=teal>*Ziare(Meekee) says: Goodnight, and stay safe. - Sat Nov  7 07:48:03 2015
<br><br><font color=teal>*Ziare(Meekee) says: Hey Rias. - Sun Nov  8 02:10:33 2015
<br><br><font color=teal>*Rias(LionHunter) says: Hi Z~ - Sun Nov  8 02:10:33 2015
<br><br><font color=teal>*Ziare(Meekee) says: What's up? - Sun Nov  8 02:11:24 2015
<br><br><font color=teal>*Rias(LionHunter) says: Nothing... I was just about to start training - Sun Nov  8 02:11:24 2015
<br><br><font color=teal>*Ziare(Meekee) says: Can I tag along? - Sun Nov  8 02:11:24 2015
<br><br><font color=teal>*Rias(LionHunter) says: Sure I dont mind - Sun Nov  8 02:12:16 2015
<br><br><font color=teal>*Ziare(Meekee) says: Where are we headed? - Sun Nov  8 02:13:07 2015
<br><br><font color=teal>*Rias(LionHunter) says: Training arena - Sun Nov  8 02:13:07 2015
<br><br><font color=teal>*Ziare(Meekee) says: Alright. - Sun Nov  8 02:13:07 2015
<br><br><font color=teal>*Rias(LionHunter) says: Come on~ - Sun Nov  8 02:13:58 2015
<br><br><font color=yellow>*Rias(LionHunter) brought up her hand seals and quickly went through them with speed. She held the last one and preformed the Bushin technique. and summon clones in front of her. She would look to Z and say, "Check ths out!" she smiled.

She placed her hand on his shoulder and his perception would change. He would see what she was sensing. It looked like blue fire orbs in his eyes, "I learned  new move for better team work" she said sensing the world around them. 

She would them then preform more  hand seals and try the aspect of her Sly mind effect by targeting Z. He wasnt in effect as long as he didnt move. She would dispell the jutsu with haste so she could work on her next jutsu.

She would twirl shuriken between her hands and throw them as she tries to put one shuriken hiding in another. Its was still a work in progress jutsu, but she was going to get it someday 
* - Sun Nov  8 03:03:28 2015
<br><br><font color=yellow>*Rias(LionHunter) Was almost done with her current skills, she would begin to intensly sense she area around her. She would feel the presence of everyone far away.  She would slowly build on her sensing so she could naturally find people and further predict their movements. 

She planned to focus her chakra and preform her signature jutsu. Her planned path was to curve her mind path so it could be harder to predict. She would push more chakra into the jutsu. She though about this for a while.

She would then add the strategy of Z adding his shadow into the target after she caught the opponent. Z's job was to immoblise the target after she caught it. Then finally  J was used as the nail in the coffin. J was her protecter and her attacker. His job was to protect mer liveless bodyand as a weapon. But was a difficult team to make, however they had the drive.* - Sun Nov  8 03:36:44 2015
<br><br><font color=teal>*Rias(LionHunter) says: Im sleepy so im going to bed... I will see you later - Sun Nov  8 05:01:13 2015
<br><br><font color=teal>*Ziare(Meekee) says: Rias is forcing me to train. - Mon Nov  9 00:26:01 2015
<br><br><font color=teal>*Ziare(Meekee) says: It's whatever, but still a pain. - Mon Nov  9 00:26:01 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: No pain no gain. - Mon Nov  9 00:26:01 2015
<br><br><font color=teal>*Ziare(Meekee) says: Right.. - Mon Nov  9 00:26:52 2015
<br><br><font color=teal>*Ziare(Meekee) says: Anyway I gotta get back to it. - Mon Nov  9 00:26:52 2015
<br><br><font color=teal>*Ziare(Meekee) says: You should train too. - Mon Nov  9 00:26:52 2015
<br><br><font color=teal>*Ziare(Meekee) says: You need to bein top shape. - Mon Nov  9 00:26:52 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Im in the best shape ever look at me. - Mon Nov  9 00:28:35 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: ... - Mon Nov  9 00:29:26 2015
<br><br><font color=yellow>*Rias(LionHunter) walks in to the training are rocking her hips from side to side. "Hi guys~" she said in her bubbly personality* - Mon Nov  9 02:21:13 2015
<br><br><font color=teal>*Ziare(Meekee) says: Oh. - Mon Nov  9 02:26:20 2015
<br><br><font color=yellow>*Rias(LionHunter) //"Hi hun~" she waved at him* - Mon Nov  9 02:26:20 2015
<br><br><font color=teal>*Ziare(Meekee) says: What's up? - Mon Nov  9 02:26:20 2015
<br><br><font color=teal>*Rias(LionHunter) says: nothing... came to check on my favorite boys~ - Mon Nov  9 02:26:20 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) thinks: I should probably stay off to the side...those guys are childhood friends so it'd be a little awkward if I just went up and started talking to them... - Mon Nov  9 02:27:12 2015
<br><br><font color=teal>*Ziare(Meekee) says: right. - Mon Nov  9 02:28:54 2015
<br><br><font color=teal>*Ziare(Meekee) says: Well we're just training.. - Mon Nov  9 02:31:28 2015
<br><br><font color=teal>*Ziare(Meekee) says: Would you like to join us? - Mon Nov  9 02:38:17 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Training. - Mon Nov  9 02:40:00 2015
<br><br><font color=teal>*Rias(LionHunter) says: Sure - Mon Nov  9 02:40:00 2015
<br><br><font color=teal>*Ziare(Meekee) whispers: Those are EZ as shit to lrn and master)) - Mon Nov  9 02:43:24 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Hmmm wahts in those? - Mon Nov  9 02:43:24 2015
<br><br><font color=teal>*Ziare(Meekee) whispers: Should take you like 5-10 rps tops)) - Mon Nov  9 02:43:24 2015
<br><br><font color=teal>*Ziare(Meekee) says: A couple bland techniques I couldn't be bothered to learn. - Mon Nov  9 02:44:16 2015
<br><br><font color=yellow>*Rias(LionHunter) would look with extreme disinterest... "Do I have to?" she said displeased* - Mon Nov  9 02:47:40 2015
<br><br><font color=teal>*Ziare(Meekee) says: Yeah, because you make me do stuff I don't want to. - Mon Nov  9 02:48:32 2015
<br><br><font color=teal>*Rias(LionHunter) says: Finnnnna - Mon Nov  9 02:48:32 2015
<br><br><font color=teal>*Ziare(Meekee) says: Get to work, you better master it by tonight. - Mon Nov  9 02:50:14 2015
<br><br><font color=teal>*Ziare(Meekee) says: If you do, i'll do something for you. - Mon Nov  9 02:50:14 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Hmmm..' - Mon Nov  9 02:55:21 2015
<br><br><font color=teal>*Ziare(Meekee) says: Oi, Rias, Slim, get to work. - Mon Nov  9 02:55:21 2015
<br><br><font color=teal>*Rias(LionHunter) says: I will you hush - Mon Nov  9 02:57:04 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Umm I have nothing to work on. - Mon Nov  9 02:57:04 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: That's strange Rias... - Mon Nov  9 03:06:27 2015
<br><br><font color=teal>*Rias(LionHunter) says: Hmm? - Mon Nov  9 03:06:27 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Usually you're the one making him train... - Mon Nov  9 03:06:27 2015
<br><br><font color=teal>*Rias(LionHunter) says: Me and Z usually train more - Mon Nov  9 03:07:18 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: What's up today then? - Mon Nov  9 03:09:00 2015
<br><br><font color=teal>*Rias(LionHunter) says: Team training - Mon Nov  9 03:10:43 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Ha traning. - Mon Nov  9 03:10:43 2015
<br><br><font color=teal>*Ziare(Meekee) says: Can't call it team training until you start. - Mon Nov  9 03:11:34 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: You don't like team training? - Mon Nov  9 03:11:34 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: I do. - Mon Nov  9 03:12:25 2015
<br><br><font color=teal>*Rias(LionHunter) says: Its fun - Mon Nov  9 03:12:25 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Oh, it's just you don't seem up for it is all. - Mon Nov  9 03:13:16 2015
<br><br><font color=teal>*Rias(LionHunter) says: I am but its tedious - Mon Nov  9 03:13:16 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I can understand that, I like to just train on my own too. - Mon Nov  9 03:14:08 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I'm not even a big fan of spars. - Mon Nov  9 03:14:08 2015
<br><br><font color=yellow>*Rias(LionHunter) form her seals and her jutsu went into motion... suddenly her body went limp and lifeless falling to her knees. Anyone noticing her would think she passed out for some reason or another. She would go through the strategy would go through her head as they started their formation.

She was the first person on the order of movement so she had an important job. She would wait for Z to start his action.* - Mon Nov  9 03:38:01 2015
<br><br><font color=yellow>*Rias(LionHunter) as he smashed the scarecrow her head would look up and she would say, "Ok, I got it from here Z." she said as she would wait till be released from the jutsu. She would then ask, "Ok so far we have the first formation down pat. We just need to increase the speed in which we can use the combo." she said  as she would start to read teh scroll that Z gave her... <Just useless> she thought as she put it up and start again.

She formed her seal once more and poured  more energy into using it. She passed out once again as she would wait for the next step on the plan once more* - Mon Nov  9 04:04:28 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: just yall be missing - Mon Nov  9 04:26:40 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) thinks: I'm not quite sure what is happening here...it's obviously a combo of sorts but... - Mon Nov  9 04:28:22 2015
<br><br><font color=yellow>*Rias(LionHunter) would come back to her senses as J would destroy the scarecrows. "Im sorry I didnt hear it but I bet it was good!" she would smile and walk to high five the giant. She looked at Z, "Isnt it good Z?" she would smile at him dusting herself off.* - Mon Nov  9 04:28:22 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) thinks: Rias looks like a meatshield for Ziare as he stands there...and that big guy just hits stuff... - Mon Nov  9 04:28:22 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) thinks: I want to ask but...I don't want to be rude... - Mon Nov  9 04:30:56 2015
<br><br><font color=teal>*Ziare(Meekee) says: Yeah,,, - Mon Nov  9 04:32:38 2015
<br><br><font color=teal>*Ziare(Meekee) says: It's not bad. - Mon Nov  9 04:34:20 2015
<br><br><font color=teal>*Rias(LionHunter) says: Its a work in progress - Mon Nov  9 04:36:03 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Uh... - Mon Nov  9 04:37:45 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Can I ask three questions..? - Mon Nov  9 04:37:45 2015
<br><br><font color=teal>*Ziare(Meekee) says: Hm? - Mon Nov  9 04:37:45 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: ...Never mind the questions can wait... - Mon Nov  9 04:38:36 2015
<br><br><font color=yellow>*Rias(LionHunter) watchs the two people come in the field as they would several destroyed scarcrows and a giant Jover. "Hi~" she said with a bubbly personality* - Mon Nov  9 04:39:28 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Yoo'. - Mon Nov  9 04:40:19 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: What you been up to? - Mon Nov  9 04:40:19 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Hello. - Mon Nov  9 04:40:19 2015
<br><br><font color=teal>*Ziare(Meekee) says: I've been chillin with my friends. - Mon Nov  9 04:43:44 2015
<br><br><font color=teal>*Ziare(Meekee) says: Yeah man, this is what they force me to do. - Mon Nov  9 04:43:44 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I mean, it's pretty...Unique... - Mon Nov  9 04:44:35 2015
<br><br><font color=teal>*Rias(LionHunter) says: Yep...builds out team work~ - Mon Nov  9 04:44:35 2015
<br><br><font color=teal>*Rias(LionHunter) says: Arent you the guy I say witht he other girl? - Mon Nov  9 04:44:35 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) thinks: Wish I had a team... - Mon Nov  9 04:44:35 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Yeah...Bet it does. - Mon Nov  9 04:45:26 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Hmmm. - Mon Nov  9 04:45:26 2015
<br><br><font color=teal>*Ziare(Meekee) says: You don't have to stay like that Slim. - Mon Nov  9 04:46:17 2015
<br><br><font color=teal>*Rias(LionHunter) says: Z you know J likes to stay that size but you should turn back... - Mon Nov  9 04:48:00 2015
<br><br><font color=teal>*Rias(LionHunter) says: Who is that with you? - Mon Nov  9 04:48:00 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I'm Owari.~ - Mon Nov  9 04:48:51 2015
<br><br><font color=teal>*Rias(LionHunter) says: Nice to meet you, im Rias~ - Mon Nov  9 04:49:42 2015
<br><br><font color=teal>*Ziare(Meekee) thinks: I wonder why he hangs around that woman so much...It'd be a pain to have to deal with women so often.. - Mon Nov  9 04:50:33 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: I'm up for a bit a fun. - Mon Nov  9 04:53:58 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Who'd like a two on one spar? - Mon Nov  9 04:53:58 2015
<br><br><font color=teal>*Ziare(Meekee) says: A spar? - Mon Nov  9 05:04:12 2015
<br><br><font color=teal>*Ziare(Meekee) says: Not my thing man. - Mon Nov  9 05:04:12 2015
<br><br><font color=teal>*Ziare(Meekee) says: Ask Slim or him. - Mon Nov  9 05:04:12 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Umm spar me... - Mon Nov  9 05:05:55 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Uh.... - Mon Nov  9 05:05:55 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: I think that would be irrespoanple Smartz you know how i get carried away. - Mon Nov  9 05:06:46 2015
<br><br><font color=teal>*Ziare(Meekee) says: He's robably strong. - Mon Nov  9 05:06:46 2015
<br><br><font color=teal>*Ziare(Meekee) says: Look how he carries himself. - Mon Nov  9 05:06:46 2015
<br><br><font color=teal>*Ziare(Meekee) says: Plus he asked for a  two on one. - Mon Nov  9 05:06:46 2015
<br><br><font color=teal>*Ziare(Meekee) says: He obviously thinks one of us wouldn't be enough to sate his strength. - Mon Nov  9 05:07:37 2015
<br><br><font color=teal>*Rias(LionHunter) says: Yea thats confidence at its finest - Mon Nov  9 05:07:37 2015
<br><br><font color=teal>*Rias(LionHunter) says: *kanye* - Mon Nov  9 05:08:28 2015
<br><br><font color=teal>*Ziare(Meekee) says: Rias, you need to get back to training. - Mon Nov  9 05:08:28 2015
<br><br><font color=teal>*Ziare(Meekee) says: I don't see you praacticing. - Mon Nov  9 05:08:28 2015
<br><br><font color=teal>*Rias(LionHunter) says: Shhhh - Mon Nov  9 05:08:28 2015
<br><br><font color=teal>*Ziare(Meekee) says: I wont hush. - Mon Nov  9 05:09:20 2015
<br><br><font color=teal>*Ziare(Meekee) says: Get back to work. - Mon Nov  9 05:09:20 2015
<br><br><font color=teal>*Ziare(Meekee) says: I told you I won't let you go home until you've perfected those techniques. - Mon Nov  9 05:11:02 2015
<br><br><font color=teal>*Rias(LionHunter) says: I will! im tired! You dont know how tiring that is - Mon Nov  9 05:11:02 2015
<br><br><font color=teal>*Ziare(Meekee) says: Exactly, - Mon Nov  9 05:11:53 2015
<br><br><font color=teal>*Ziare(Meekee) says: If you want to sleep afterwards, get back to work. - Mon Nov  9 05:11:53 2015
<br><br><font color=teal>*Rias(LionHunter) says: I agree with him! - Mon Nov  9 05:13:36 2015
<br><br><font color=teal>*Ziare(Meekee) says: ...Only this one break. - Mon Nov  9 05:14:27 2015
<br><br><font color=teal>*Ziare(Meekee) says: Then it's back to work for you. - Mon Nov  9 05:14:27 2015
<br><br><font color=teal>*Rias(LionHunter) says: Yas~ - Mon Nov  9 05:14:27 2015
<br><br><font color=teal>*Ziare(Meekee) thinks: I'll just keep working her until she collapses, then she'll never ask me to work again. - Mon Nov  9 05:14:27 2015
<br><br><font color=yellow>*Rias(LionHunter) just wanted a cup of green tea and ordered that* - Mon Nov  9 05:19:34 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Hm? - Mon Nov  9 05:19:34 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Tea? - Mon Nov  9 05:19:34 2015
<br><br><font color=teal>*Ziare(Meekee) says: You arent eating? - Mon Nov  9 05:19:34 2015
<br><br><font color=teal>*Rias(LionHunter) says: Im watching my figure - Mon Nov  9 05:20:25 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: You know if you like Tea...theres a great tea place in this village. - Mon Nov  9 05:21:16 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I go there all the time. - Mon Nov  9 05:22:08 2015
<br><br><font color=teal>*Rias(LionHunter) says: Really? - Mon Nov  9 05:22:08 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Yeah, I love tea. - Mon Nov  9 05:22:08 2015
<br><br><font color=teal>*Rias(LionHunter) says: Than I would definatly try it - Mon Nov  9 05:22:59 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I'd be happy to show you some time later if you want. - Mon Nov  9 05:23:50 2015
<br><br><font color=teal>*Rias(LionHunter) says: Its a date~ - Mon Nov  9 05:23:50 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Alright then. - Mon Nov  9 05:25:32 2015
<br><br><font color=teal>*Ziare(Meekee) says: Go for it, - Mon Nov  9 05:34:04 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: So like...That team work thing you were doing. - Mon Nov  9 05:34:56 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I don't really understand it. - Mon Nov  9 05:34:56 2015
<br><br><font color=teal>*Ziare(Meekee) says: What do you mean? - Mon Nov  9 05:34:56 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I mean, why does Rias drop to her knees suddenly, then get back up suddenly. - Mon Nov  9 05:35:47 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Why do you just sort of stand there. - Mon Nov  9 05:35:47 2015
<br><br><font color=teal>*Ziare(Meekee) says: I can't tell you that. - Mon Nov  9 05:35:47 2015
<br><br><font color=teal>*Ziare(Meekee) says: I lead them. - Mon Nov  9 05:35:47 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: And why does your friend become a giant? - Mon Nov  9 05:35:47 2015
<br><br><font color=teal>*Ziare(Meekee) says: I have a complete view of the battlefield. - Mon Nov  9 05:35:47 2015
<br><br><font color=teal>*Ziare(Meekee) says: He becomes a giant through using his chakra. - Mon Nov  9 05:35:47 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) thinks: Whoa whoa...he leads them..? But he's... - Mon Nov  9 05:36:38 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Right... - Mon Nov  9 05:36:38 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I guess the reason I don't get it is because i'm supposed to not know. - Mon Nov  9 05:37:29 2015
<br><br><font color=teal>*Ziare(Meekee) says: Yeah. - Mon Nov  9 05:37:29 2015
<br><br><font color=teal>*Ziare(Meekee) says: It goes back pretty far too. - Mon Nov  9 05:37:29 2015
<br><br><font color=teal>*Ziare(Meekee) says: Our clans are like best friends. - Mon Nov  9 05:37:29 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Huh, Interesting. - Mon Nov  9 05:37:29 2015
<br><br><font color=teal>*Ziare(Meekee) says: That's why we know each other so well. - Mon Nov  9 05:37:29 2015
<br><br><font color=teal>*Ziare(Meekee) says: We're each a future clan head. - Mon Nov  9 05:38:20 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: That makes sense I guess... - Mon Nov  9 05:38:20 2015
<br><br><font color=teal>*Ziare(Meekee) says: That's also why we all have matching earrings. - Mon Nov  9 05:38:20 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: My clan doesn't really have any 'allies' like that... - Mon Nov  9 05:38:20 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Infact...I don't see a lot of my clan any more. - Mon Nov  9 05:38:20 2015
<br><br><font color=teal>*Ziare(Meekee) says: That's a shame. - Mon Nov  9 05:39:12 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Hmm, - Mon Nov  9 05:39:12 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Not since...Well I just don't see them. - Mon Nov  9 05:39:12 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: That sorta sucks. - Mon Nov  9 05:40:03 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: It does. - Mon Nov  9 05:40:54 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I guess it's why I don't have friends like you guys have. - Mon Nov  9 05:40:54 2015
<br><br><font color=teal>*Ziare(Meekee) says: Its not all sunshine.. - Mon Nov  9 05:40:54 2015
<br><br><font color=teal>*Ziare(Meekee) says: I had to become a ninja.. - Mon Nov  9 05:40:54 2015
<br><br><font color=teal>*Ziare(Meekee) says: I don't even wanna be a ninja... - Mon Nov  9 05:40:54 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Well, I'm not sure a lot of people want to be ninja these days. - Mon Nov  9 05:42:36 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: It just sort of happens because if you aren't one...it becomes a much scarier world. - Mon Nov  9 05:42:36 2015
<br><br><font color=teal>*Ziare(Meekee) says: ...Ugh.. - Mon Nov  9 05:42:36 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: ... - Mon Nov  9 05:43:28 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Enough of this depressing shit talk we always do. - Mon Nov  9 05:43:28 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I want to know more about you guys. - Mon Nov  9 05:43:28 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I actually only know Rias by her name. - Mon Nov  9 05:44:19 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I mean, I only know Rias' name. - Mon Nov  9 05:44:19 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: You guys are just Z and slim to me. - Mon Nov  9 05:44:19 2015
<br><br><font color=teal>*Ziare(Meekee) says: My name is Ziare. - Mon Nov  9 05:45:10 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: I am Jover lucker than a four leaf clover with me by your side consider you eneimes ran over. - Mon Nov  9 05:46:01 2015
<br><br><font color=teal>*Ziare(Meekee) says: I like long naps, sexy women, and stars. - Mon Nov  9 05:46:01 2015
<br><br><font color=teal>*Ziare(Meekee) thinks: Did I miss his....His mixtape debut....? - Mon Nov  9 05:46:52 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Right right, Well you already know a lot about me. - Mon Nov  9 05:46:52 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: I like food . - Mon Nov  9 05:46:52 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Ohhhhhhhh and Punching stuff. - Mon Nov  9 05:46:52 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Can not forget the punching stuff for the love of god if there is no punching there is no purpose. - Mon Nov  9 05:47:44 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I like all different kinds of Tea, Ninjutsu and the occasional Fuuinjutsu - Mon Nov  9 05:47:44 2015
<br><br><font color=teal>*Ziare(Meekee) says: You two obviously need a way to let off some steam. - Mon Nov  9 05:47:44 2015
<br><br><font color=teal>*Rias(LionHunter) says: And I Rias the cute one~ - Mon Nov  9 05:47:44 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Well I don't have many friend Ziare. - Mon Nov  9 05:48:35 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: And I live alone so...yeah theres not much to do. - Mon Nov  9 05:48:35 2015
<br><br><font color=teal>*Rias(LionHunter) says: We are friends right? - Mon Nov  9 05:50:17 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Well...Yeah I guess. - Mon Nov  9 05:50:17 2015
<br><br><font color=teal>*Ziare(Meekee) thinks: I'm always forced to make friends around these two. - Mon Nov  9 05:52:51 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I mean, I'm paying for this meal after all. - Mon Nov  9 05:53:42 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: We gotta be friends for me to do that. - Mon Nov  9 05:53:42 2015
<br><br><font color=teal>*Ziare(Meekee) says: Ha. - Mon Nov  9 05:57:07 2015
<br><br><font color=teal>*Ziare(Meekee) says: Funny. - Mon Nov  9 05:57:07 2015
<br><br><font color=teal>*Ziare(Meekee) says: We'll have to dine and dash like last time. - Mon Nov  9 05:57:07 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Dine and dash indeed. - Mon Nov  9 05:57:07 2015
<br><br><font color=teal>*Ziare(Meekee) says: *Said it loud enough for the ramen seller to hear him* - Mon Nov  9 05:57:07 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: ... - Mon Nov  9 05:57:07 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I just said i'd pay for everything. - Mon Nov  9 05:57:07 2015
<br><br><font color=teal>*Ziare(Meekee) thinks: Fuck he ruined my plan... - Mon Nov  9 05:57:58 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Oh really akira you are soo cool. - Mon Nov  9 05:57:58 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: We should like invite him to eat with us more often. - Mon Nov  9 05:57:58 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Cause I dont pay for food. - Mon Nov  9 05:57:58 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Well I mean. - Mon Nov  9 05:57:58 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I'm only paying for the food because I invited you all out. - Mon Nov  9 05:58:49 2015
<br><br><font color=teal>*Ziare(Meekee) says: That means it's a one time thing. - Mon Nov  9 05:58:49 2015
<br><br><font color=teal>*Ziare(Meekee) says: You better go hard Slim. - Mon Nov  9 05:59:40 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Try not to go too hard, I do have to pay rent after all. - Mon Nov  9 05:59:40 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: I already ate one of everything on the menu. - Mon Nov  9 06:01:23 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Thats fine. - Mon Nov  9 06:03:05 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Like I just finshed eating it all. - Mon Nov  9 06:03:56 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: ...Right... - Mon Nov  9 06:04:48 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) thinks: Where did all that food go..? - Mon Nov  9 06:04:48 2015
