<br><font color=teal>*Reguel(Airide) says: He went somewhere with some girl. - Thu Oct  1 00:17:55 2015
"It's not that simple."* - Thu Oct  1 04:04:54 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ----- - Thu Oct  1 04:05:45 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||
Shit was not about to happen, a large white snake came out of his back once more, traveling through his arm sleeve, and wrapped itself around Misa. Stopping her from forming the handsigns.  "Take it easy, take it easy. I'm just teasing. I promise." he looked at Misa, and spoke once more. "Why did Hanabi always touch you?"* - Thu Oct  1 04:09:10 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Once you prove yourself. I will. - Thu Oct  1 04:10:52 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Could you...remove this? - Thu Oct  1 04:16:51 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Thu Oct  1 04:16:51 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Oh... - Thu Oct  1 04:17:42 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Right.. - Thu Oct  1 04:17:42 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||
The large snake disappeared in a plume of smoke, releasing Misa.* - Thu Oct  1 04:17:42 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Right..Thanks. - Thu Oct  1 04:18:33 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yeah. - Thu Oct  1 04:18:33 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Do...Do you always need blood for a summon? - Thu Oct  1 04:27:56 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yeah. - Thu Oct  1 04:27:56 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: What...What if we didn't need them? - Thu Oct  1 04:29:39 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Didn't need the blood to summon them? - Thu Oct  1 04:29:39 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Dunno. - Thu Oct  1 04:30:30 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: You don't use Blood to summon those snakes from your sleeve. - Thu Oct  1 04:30:30 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: So in a way... - Thu Oct  1 04:30:30 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Well.. - Thu Oct  1 04:30:30 2015
<br><br><font color=teal>*Hideki(Assassin241) says: These snakes are used as offensive and defense. - Thu Oct  1 04:31:21 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Like I said. - Thu Oct  1 04:31:21 2015
<br><br><font color=teal>*Hideki(Assassin241) says: When you progress your summoning more. - Thu Oct  1 04:31:21 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I'll teach you. - Thu Oct  1 04:31:21 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: How are you on pain? - Thu Oct  1 04:33:55 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Still hurts. - Thu Oct  1 04:34:46 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Why? - Thu Oct  1 04:34:46 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Well...Lucky for you... - Thu Oct  1 04:34:46 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Thu Oct  1 04:34:46 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hm? - Thu Oct  1 04:34:46 2015
<br><br><font color=yellow>*Hideki(Assassin241) raised an eyebrow as he saw Misa smile widely. He nodded his head. "Alright, I trust you.." to be honest, Hideki was more paranoid than Ushinawa in all honesty, but who could really blame him? The snake slithered its way toward his ribcage, as it bit and released it's medical power. He started to feel a slight soothing sensation, the pain started to go away as he looked at Misa. "You....You did this for me?"* - Thu Oct  1 04:44:09 2015
<br><br><font color=yellow>*Hideki(Assassin241) saw Misa's face turn a soft shade of pink. "I see....Thank you, and the pain is gone now... Thanks.." the snake finally dispersed from his muscular frame, as he continued to lay there, looking at Misa. Amazed by her snake ability. It truely was unique. He grabbed her hand, and looked into her eyes. "Thank you Misa. I really do appreciate it." after saying that, he released his hand from hers, and gently placed it back on his lap.* - Thu Oct  1 04:50:08 2015
<br><br><font color=yellow>*Hideki(Assassin241) shook his head. "No, it's okay. I'm fine now..Tha-" he noticed Misa's eyes, and they were magnificent. He cleared his throat. "Thanks, Misa." he stated as his eyes fixated onto Misa's.* - Thu Oct  1 04:56:57 2015
<br><br><font color=yellow>*Hideki(Assassin241) a large white snake, once again wrapped around Misa, stopping her from forming the handsigns, considering the technique itself was instanteous and required no handseals. Hideki stared at Misa. "I told you, one is perfectly fine. Why do you persist on giving me two...." he stated, rather annoyed that Misa tried giving Hideki another dosage, when he was perfectly fine with one.* - Thu Oct  1 05:07:12 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||
The large white snake unwrapped itself from her grasp. As it disappeared in a plume of smoke once more. Hideki stared blankly for a second toward Misa. His cold heartless eyes making contact with hers. He then laid on the pillow, staring at the ceiling. Hideki usually wouldn't have done that, but after what happened a couple of weeks ago. He had very little people he could trust.* - Thu Oct  1 05:11:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Pfft - Thu Oct  1 05:11:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: omit - Thu Oct  1 05:11:28 2015
<br><br><font color=yellow>*Hideki(Assassin241) started to snooze.* - Thu Oct  1 05:26:49 2015
<br><br><font color=yellow>*Hideki(Assassin241) pulled up to the scene in his wheel chair.* - Thu Oct  1 21:02:56 2015
<br><br><font color=teal>*Heiwa(PythonJedi) whispers: ((*Ushinawa reaches into his eye-sockets and hands Heiwa both of his eyes.) - Thu Oct  1 21:04:38 2015
<br><br><font color=teal>*Heiwa(PythonJedi) whispers: ("I have regular eyes in my posession that will have to be implanted. I want you to have these son.. I want you to carry on my legacy, and protect your mother should something happen to me.. Speak to Hideki about what they do."*) - Thu Oct  1 21:05:29 2015
<br><br><font color=yellow>*Hideki(Assassin241) strolled away in his wheel chair back at his house.* - Thu Oct  1 21:07:12 2015
<br><br><font color=teal>*Hideki(Assassin241) says: How are you, Heiwa? - Thu Oct  1 21:12:19 2015
<br><br><font color=yellow>*Hideki(Assassin241) raised an eyebrow, rather paranoid of what was about to happen to him. Yes indeed he was very vulnerable. But he scooted over and patted the bed next to him. "Come Heiwa, what is it?" he could tell the child was scared. And he would do anything to help his nephew. He winced in pain slightly though, considering his ribcage injury was a pain in the ass.* - Thu Oct  1 21:18:17 2015
<br><br><font color=yellow>*Hideki(Assassin241) reached for the dresser, which was next to him, opening it slowly and taking out a container that had water inside, he opened it and looked at Heiwa. "Put it....In here...quickly.." he stated, hoping he would follow his orders. Hideki however, started to shed tears. He lost his best friend, no not just his best friend, but someone who's been there for him, through thick and thin. Someone that was there for him and protected him from those that dared to harm Hideki. He was in shock no less. He closed his eyes slowly, as tears continued to rush his face.

He started to rub his face, as he could only assume what happened to Ushinawa, he probably gave his son his eyes so no one else can take his eyes. No, -no one- was to have the sharingan power. No one was to even wield the eyes unless they were a part of the clan. Hideki started to speak toward Heiwa. "These....eyes, possess ocular powers. There visual prowess so far is unmatched by any doujutsu. They are extremely powerful, and if caught in the wrong hands, could lead to.......Yeah... I think you can plug two and two together, Heiwa." 

After he was done explaining a bit of information on the eyes, he patted Heiwa's head. As tears continued to fall from his face and land on the bed sheet. He spoke toward his nephew "What about....Mariana?" he asked rather curious. He barely had any family members left, if anything his only remaining family was Kush, Misa, Niza, and Heiwa. He clenched his fists and teeth, he slowly reopened his eyes as his eyes forming the sharingan, two tomoe.

"Whoever did this.....To Ushinawa......will pay dearly...."* - Thu Oct  1 21:32:48 2015
<br><br><font color=yellow>*Hideki(Assassin241) patted the boys head, he slowly got on his wheel chair, his sharingan still active as he started to stroll out of the room. But before he did so, he closed the cap on the container and placed it in his cloak. "Let's go see your mother, Heiwa." he deactivated his sharingan and started to go toward the hospital.* - Thu Oct  1 21:49:00 2015
<br><br><font color=yellow>*Hideki(Assassin241) came strolling into the place in his wheel chair, his nephew next to him. As he looked around.* - Thu Oct  1 21:54:08 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Where is Niza.. - Thu Oct  1 21:56:41 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Alright, I'll find his body then - Thu Oct  1 22:12:54 2015
<br><br><font color=teal>*Hideki(Assassin241) says: omit - Thu Oct  1 22:12:54 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: .... - Thu Oct  1 22:14:36 2015
<br><br><font color=teal>*Reguel(Airide) says: Yo. - Thu Oct  1 22:14:36 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hm? - Thu Oct  1 22:14:36 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Anyone seen Niza? - Thu Oct  1 22:17:10 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..Why do you..need to see Niza? - Thu Oct  1 22:18:52 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I need to speak with him. - Thu Oct  1 22:18:52 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Over..dad? - Thu Oct  1 22:19:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: .....Yes. - Thu Oct  1 22:19:44 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ..... - Thu Oct  1 22:23:08 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: What happened? - Thu Oct  1 22:23:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: . . . . - Thu Oct  1 22:23:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Ushinawa died. - Thu Oct  1 22:24:00 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ------------ - Thu Oct  1 22:24:00 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Lord Ushinawa is dead? - Thu Oct  1 22:24:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yes.. - Thu Oct  1 22:24:00 2015
<br><br><font color=yellow>*Hideki(Assassin241) looked at his hands, just staring at them.* - Thu Oct  1 22:24:51 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Everyone around me dies. - Thu Oct  1 22:24:51 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Was it Tetsujin? - Thu Oct  1 22:24:51 2015
<br><br><font color=teal>*Hideki(Assassin241) says: No idea. - Thu Oct  1 22:24:51 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: .... - Thu Oct  1 22:25:42 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Hanabi died...Ushinawa died...I just hope Mariana is okay.. - Thu Oct  1 22:25:42 2015
<br><br><font color=teal>*Reguel(Airide) says: ... - Thu Oct  1 22:36:48 2015
<br><br><font color=teal>*Reguel(Airide) says: Anyways, where's this medic I've been hereing about? - Thu Oct  1 22:36:48 2015
<br><br><font color=yellow>*Hideki(Assassin241) continued to stare at his, his emotions just bottling up inside. He looked oever toward Heiwa, his life no depended on Hideki. Tears began to fall from his face, and land onto his lap. He clenched his fists, he couldn't believe this was happening. First it was Hanabi, and at that time he even tried his best to grab her and retreat. But instead Erebus had to ruin it for him, Erebus -killed- Hanabi, for no fucking reason. He was frustrated, he wanted revenge. He wanted to avenge Ushinawa's death, he didn't even know what happened to his cousin.

Hideki slowly closed his eyes, as he inhaled slowly, and exhaled slowly. He gribbed the katana that was on his lap, he gripped it tightly. His veins buldging on his hand. Tears continued to fall. It was at this point in time that Hideki himelf made up his mind on what he was going to do, and that was to avenge his two mentors. Ushinawa and Hanabi. They were the only two to actually take notice of Hideki. To actually train him, to take him in and get him stronger.

Hideki slowly reopened his eyes, his cornea however was a red color, followed by two tomoe's rotating around his iris. As tears continued to fall from his face, it was not stopping anytime soon. He blamed himself for being weak, he blamed himself for letting his friends get hurt infront of him. Looking back at it, Mamoru also got himself hurt from trying to protect Hideki, Mariana herself tried protecting Hideki, and also got injured. Everyone that was near him got injured.

He continued to clench his teeth. "Why...Why can't I protect those that I love...Why..."he placed his hands on his head, gripping his hair, it was like Hideki was losing his sanity. He was losing everyone, everyone he ever loved kept dying. Who would be next he wondered? Would it be Niza? Misa? Hiewa? he had no idea what was going to happen next.

He ungripped his hair, gently placing his hands on his lap. He murmured to himself. "...I've made up my mind....Erebus is next on the list...Katsune and Kilm can wait.." He looked at Heiwa. "I have something to teach you, Heiwa." yes he was going to teach Heiwa something useful this time, he was in a wheel chair. But this would not prevent him from teaching his nephew how to defend himself.* - Thu Oct  1 22:38:30 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||
In an instant, a large white snake came out of his back, traveling through his arm sleeve and wrapped around Reguel, it was immobolizing him for the moment. He looked at Reguel, his eyes filled with sorrow, and hate. He unsheathed his katana with his free hand, and placed the tip of it on Reguel's jugular, not applying pressure to it just yet. As he spoke toward him "Next time you try that...It will be your head..Understand..." The large white snake however, tightened it's bind on the male.* - Thu Oct  1 22:58:59 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||
Sheathed the katana, as the snake poofed into a plume of smoke. Although, it was just brought to his attention, that Ushinawa's body was infront of him, he once again sent forth another large white snake that came out of his back, and wrapped it around Ushinawa's corpse. Securing it safely within the snakes grasp. The snake brought Ushinawa's corpse closer toward him, as he took out a single kunai, and looked at Ushinawa's eyes. No one was to wield the sharingan power, it belonged to the faithful Uchiha clan, and if there was any non uchiha who possessed such a power. They too will feel Hideki's wrath, wielders of the sharingan and byakugan were always hunted.

So it made it hard to trust anyone, he looked at Reguel, and then back at Ushinawa's eyes, as the kunai itched closer toward Ushinawa's right eye.* - Thu Oct  1 23:10:56 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Release.....My wrist. - Thu Oct  1 23:16:03 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Hideki. - Thu Oct  1 23:16:03 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: What you're doing, right now. Is a disgrace to Ushinawa's life. - Thu Oct  1 23:16:03 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: If you continue with this, You're snuffing out his experiences. - Thu Oct  1 23:16:03 2015
<br><br><font color=teal>*Reguel(Airide) says: Also, I won't hesitate to take out those eyes of yours. - Thu Oct  1 23:16:54 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: His pain, his suffering, But also his happiness and joy. - Thu Oct  1 23:16:54 2015
<br><br><font color=teal>*Hideki(Assassin241) says: It's my fault anyway, Seisuke. I think you fail to understand... - Thu Oct  1 23:16:54 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: That is the story of his life Hideki, And if it is your fault, Why do you seek to destroy it? - Thu Oct  1 23:16:54 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Mamoru got injured because of me, Mariana got injured because of me, fucking Hanabi died because I wasn't strong enough to grab her and run. - Thu Oct  1 23:16:54 2015
<br><br><font color=teal>*Reguel(Airide) says: So you're holding a kunai at the person because it's your faut? - Thu Oct  1 23:16:54 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: .... - Thu Oct  1 23:16:54 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Shut...The fuck up, Mongrel. - Thu Oct  1 23:16:54 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Stay out of it. - Thu Oct  1 23:18:36 2015
<br><br><font color=teal>*Reguel(Airide) says: No. - Thu Oct  1 23:18:36 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You aren't involved at all. - Thu Oct  1 23:18:36 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Hideki, Allow me to say this. - Thu Oct  1 23:18:36 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Ushinawa, was the first person who gave me a chance in this land. - Thu Oct  1 23:18:36 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: A debt I can never repay. - Thu Oct  1 23:18:36 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Ushinawa was also my best friend, Seisuke. - Thu Oct  1 23:18:36 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I may never come to understand the bond you two have shared Hideki, I won't try. I won't lie and say I understand. - Thu Oct  1 23:19:28 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I won't tell you it'll get better. - Thu Oct  1 23:19:28 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: This world, is trash, and so are it's people. - Thu Oct  1 23:20:19 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: But Ushinawa, He was someone who desired to see the Dawn. - Thu Oct  1 23:20:19 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Reguel, is next on my list. - Thu Oct  1 23:20:19 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: That is a dream, A History, a Legacy. - Thu Oct  1 23:21:10 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You fail to understand the situation I am in, Seisuke. - Thu Oct  1 23:21:10 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Then tell me Hideki, I won't say I understand. - Thu Oct  1 23:21:10 2015
<br><br><font color=yellow>*Hideki(Assassin241) spoke toward Seisuke, his two tomoe was obviously in view of Seisuke as he spoke. "I am going to fulfill what he wanted me to do, Seisuke. And you are interferring with just that.." he stated as he struggled trying to stab the kunai into's Ushinawa's eye, he tried to destroy it completely, -no one- was to have it's visual prowess. But none the less Seisuke's grip on Hideki's wrist was strong, which causing his hand to struggle.* - Thu Oct  1 23:23:44 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Trust no one.. - Thu Oct  1 23:29:42 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||
The words Seisuke told Hideki hit him deep, it hurt knowing the truth, and what Hideki was doing was destroying his memories of Ushinawa, he sighed inhaling slowly and then exhaling slowly. He stopped struggling, as he looked at Seisuke. "What do you plan on doing....." he stated, rather curious. It was rather odd that once a strong person dies, people flood the room curious, wondering what happened, but in this case, it seemed Seisuke wanted something more, something else. Could it be Ushinawa's eyes?* - Thu Oct  1 23:34:49 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: If I wasn't hurt right now.. - Thu Oct  1 23:34:49 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I would've took Ushinawa's body and ran. - Thu Oct  1 23:35:40 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ...... - Thu Oct  1 23:37:23 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: . . . . . - Thu Oct  1 23:38:14 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||
Suddenly however he looked away from Seisuke and the others for a brief moment, as his tomoe's disappeared as three spikes form along his iris, quickly they transcend into the cornea's layers, the iris however is center around a dome-like strucut where spikes protrude. He let go of the kunai, his white snake that wrapped around Ushinawa's body poofed into a plume of smoke, as his corpse lay flat on the ground. He placed his hands onto his face, as he started to laugh rather evily, as he slowly dropped his hands to his lap.

"I see....What you ment now Ushinawa....When you said I'd one day unlock the eyes true power..." However, he deactivated his newly formed sharingan, he was going to save it for someone speical. As he inhaled slowly, and exhaled slowly. * - Thu Oct  1 23:46:46 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: . . . . . . . . . . - Thu Oct  1 23:57:52 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) thinks: Is it over? - Thu Oct  1 23:57:52 2015
<br><br><font color=teal>*Reguel(Airide) says: Hm? - Thu Oct  1 23:57:52 2015
<br><br><font color=yellow>*Hideki(Assassin241) looked at Seisuke, his eyes rather normal for now. "Do what you want with Ushinawa's body, be sure to visit soon, though." he stated as he started to roll away in his wheel chair.* - Fri Oct  2 00:04:41 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yeah.. - Fri Oct  2 00:07:15 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Hm. - Fri Oct  2 00:10:40 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: To where he would want to be, May I ask who you are? - Fri Oct  2 00:12:22 2015
<br><br><font color=teal>*Hideki(Assassin241) says: That's his kid, Seisuke. - Fri Oct  2 00:13:13 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I see. - Fri Oct  2 00:13:13 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Could you promise me one thing, Little man? - Fri Oct  2 00:13:13 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..What? - Fri Oct  2 00:13:13 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Cling to this existence you call life, and become Stronger. Strong enough to beat me. - Fri Oct  2 00:14:04 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: -omit- - Fri Oct  2 00:14:04 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Become a man, Your father would be proud of. - Fri Oct  2 00:14:04 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: If you don't. - Fri Oct  2 00:14:04 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'll knock you on your ass, and make you try again. - Fri Oct  2 00:14:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: You hear me? - Fri Oct  2 00:14:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: And. - Fri Oct  2 00:17:29 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Don't look at the ground. - Fri Oct  2 00:17:29 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: No matter who is speaking to you. - Fri Oct  2 00:18:20 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Look them in their eyes. - Fri Oct  2 00:18:20 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Show them you're not afraid. - Fri Oct  2 00:18:20 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ... - Fri Oct  2 00:18:20 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'll be back soon. - Fri Oct  2 00:20:54 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Ahem... - Fri Oct  2 03:52:32 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . ..  - Fri Oct  2 06:16:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Fri Oct  2 06:16:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hi. - Fri Oct  2 06:16:44 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Hi - Fri Oct  2 06:18:27 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: How are you feeling today? - Fri Oct  2 06:18:27 2015
<br><br><font color=teal>*Hideki(Assassin241) says: . . . .Like death - Fri Oct  2 06:18:27 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Do you need me to help again? - Fri Oct  2 06:19:18 2015
<br><br><font color=teal>*Hideki(Assassin241) says: No.... - Fri Oct  2 06:19:18 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: ...Why not? - Fri Oct  2 06:19:18 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Unlocking this new power.....What does it mean, Ushinawa.. - Fri Oct  2 06:19:18 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Because Misa, I lost my last mentor.. - Fri Oct  2 06:20:09 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: I know you lost Hanabi..but I lost her too... - Fri Oct  2 06:21:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I lost Ushinawa....Misa. - Fri Oct  2 06:21:00 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . - Fri Oct  2 06:21:00 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Y-you're....lying.. - Fri Oct  2 06:21:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: No.... I'm not. - Fri Oct  2 06:21:52 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: I...I don't believe you.. - Fri Oct  2 06:21:52 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You don't have to believe me, but know this. It will start to get harder to survive. - Fri Oct  2 06:22:43 2015
<br><br><font color=teal>*Hideki(Assassin241) says: She's dead too. - Fri Oct  2 06:23:34 2015
<br><br><font color=teal>*Hideki(Assassin241) says: She died at the hospital. - Fri Oct  2 06:23:34 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: I know you're lying... - Fri Oct  2 06:24:25 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Hideki this is a sick joke.,, - Fri Oct  2 06:24:25 2015
<br><br><font color=yellow>*Hideki(Assassin241) sighed, as he inhaled and exhaled slowly. "You can believe what you want, but these eye's that I have now...Don't tell lies.." he closed his eyes and reopened them slowly, as this time, Hideki has three tomoe swirl around his iris. As he stared across the room.* - Fri Oct  2 06:26:08 2015
<br><br><font color=yellow>*Hideki(Assassin241) he continued to stare blankly at the wall. "These eyes of mine Misa, they've seen a lot of things. They've seen sorrow, pain, hate. They've seen it all...Even death..." he stated rather blankly, now not caring who knew of his sharingan, considering it was only a matter of time before someone comes and tries to kill him for his eyes, or worse, come to destroy the rest of his lineage.* - Fri Oct  2 06:29:32 2015
<br><br><font color=yellow>*Hideki(Assassin241) allowed her head to touch his shoulder. "I guess.... It's time for no more secrets, Misa. I've hid a lot of things from you, but it's time I finally open up to you. The reason people are after eyes such as mine, or any one else with a doujutsu, is mainly because of their visual prowess their capable of performing. They even used to have bounties against eyes such as mine. But they took it down, but now they have a bounty against those with one ring around their iris. And a lavander color to there eyes. It's a shame really... That their being hunted down, innocent people." he stated rather depressed, his only family now is Kush Misa, Niza, and Hiewa. And his only close friends he had now are Kuro, Misa, and Mamoru. 

Yes, Hideki is slowly losing his sanity, but his motive were definately clear none the less. He wanted revenge, and no one was to stop him from acheive this goal.* - Fri Oct  2 06:36:22 2015
<br><br><font color=yellow>*Hideki(Assassin241) received a half hug from Misa. "It's not your fault, it's mainly my fault... Everyone around me dies....Everyone." he stated as he close his eyes, and slowly reopened them, his eyes reverting from his sharingan state.* - Fri Oct  2 06:40:38 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Save your tears, Misa. - Fri Oct  2 06:43:12 2015
<br><br><font color=yellow>*Hideki(Assassin241) stroked Misa's hair, as he looked at Misa. "It's a shame..It really is..." he stopped stroking her hair and gently placed his own hand on his lap. Tightening his grip on the katana in his hand, his veins buldging from his hand. He knew what he had to do, and that was to avenge those that have died around him, but was Kuro right about Hideki? Was he really going down the wrong path? Was going down this path even worth it?* - Fri Oct  2 06:46:36 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I have unlocked a new power though, Ushinawa...I hope you're watching. - Fri Oct  2 06:47:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I'm thinking what I'm going to do next. - Fri Oct  2 06:49:10 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Which is? - Fri Oct  2 06:49:10 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I think, I'm going to avenge my mentors. - Fri Oct  2 06:49:10 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Is that what they would have wanted? - Fri Oct  2 06:50:01 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: You could be killed... - Fri Oct  2 06:50:01 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Could. - Fri Oct  2 06:50:01 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I could be killed.... - Fri Oct  2 06:50:01 2015
<br><br><font color=yellow>*Hideki(Assassin241) laughed evily as he inhaled deeply.* - Fri Oct  2 06:50:52 2015
<br><br><font color=teal>*Hideki(Assassin241) says: .....Highly... Doubt... - Fri Oct  2 06:50:52 2015
