<br><font color=teal>*Ambrocio(XenoKuthric) says: ... - Thu Oct  8 22:10:46 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Lost five friends. - Fri Oct  9 04:00:38 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Well, that won't happen to me. - Fri Oct  9 04:00:38 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Fri Oct  9 04:00:38 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'll make friends, get teachers, become a better kunoichi in all. - Fri Oct  9 04:00:38 2015
<br><br><font color=yellow>*Hideki(Assassin241) watched as Xia Ping carried Lyala. "....Who are you and what are you doing with Lyala."* - Fri Oct  9 04:01:29 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Fuck this guy.. - Fri Oct  9 04:01:29 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Taking her to the hospital. - Fri Oct  9 04:01:29 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) thinks: OneTwoThreeFour... - Fri Oct  9 04:01:29 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) whispers: You guys said you were going ot the bathroom! - Fri Oct  9 04:01:29 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: The hospital's messed up. - Fri Oct  9 04:01:29 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: I'm a shinobi of Kumogakure. I'm taking her to my house so she can rest. She's battered up. - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: H-Hideki.... take me to your home.... - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Hideki(Assassin241) says: No. - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Alright. - Fri Oct  9 04:02:20 2015
<br><br><font color=yellow>*Hideki(Assassin241) went over to go grab Lyala, if not stopped by anyone. * - Fri Oct  9 04:03:12 2015
<br><br><font color=yellow>*Hideki(Assassin241) grabbed Lyala, carrying her to his place.* - Fri Oct  9 04:03:12 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: I hope you didn't think I had malicious intentions. - Fri Oct  9 04:03:12 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You never know nowadays.. - Fri Oct  9 04:03:12 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: I'm loyal to Kumogakure. I never, and never will betray my comrades. - Fri Oct  9 04:04:03 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Easier said than done. - Fri Oct  9 04:04:03 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: That's a self-rule I'll abide by. Especially if I plan on becoming Raikage some day. - Fri Oct  9 04:04:03 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Right. - Fri Oct  9 04:04:03 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Come along, Ambrocio. - Fri Oct  9 04:04:54 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: Mind if I tag along.. or? - Fri Oct  9 04:04:54 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ------ - Fri Oct  9 04:04:54 2015
<br><br><font color=yellow>*Hideki(Assassin241) crashed through the room. Not caring whoever the fuck was in here. He was ready to take names.* - Fri Oct  9 04:06:36 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: -omit- - Fri Oct  9 04:08:19 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Sh - Fri Oct  9 04:09:10 2015
<br><br><font color=teal>*Hideki(Assassin241) says: omit - Fri Oct  9 04:09:10 2015
<br><br><font color=yellow>*Hideki(Assassin241) walked into the room.* - Fri Oct  9 04:12:35 2015
<br><br><font color=yellow>*Hideki(Assassin241) grabbed her hand. "It's my fault, and I apologize for that. Really, I am sorry." he stated rather depressed about the whole situation. He doesn't even know if Kush, Misa was still alive, or if Niza was still alive by this point, but he had to hope for the best. He leaned against the wall however, staring blankly into the distance. His hand however was still grabbing onto Lyala's.* - Fri Oct  9 04:16:00 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Pffft. Nah. - Fri Oct  9 04:16:51 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: It's not your fault...hun. - Fri Oct  9 04:16:51 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: And d-don't be sorry, I promise. - Fri Oct  9 04:16:51 2015
<br><br><font color=teal>*Nina(Ninasky115) thinks: Guess I got ignored again..... - Fri Oct  9 04:17:42 2015
<br><br><font color=teal>*Hideki(Assassin241) says: It's okay though, Nina. - Fri Oct  9 04:17:42 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You're still yung. - Fri Oct  9 04:17:42 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Agh, don't worry about it. - Fri Oct  9 04:18:33 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: But.... - Fri Oct  9 04:18:33 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: I'm not mean. - Fri Oct  9 04:18:33 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'm sorry... - Fri Oct  9 04:18:33 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Why did you even try fightng though, why didn't you run.. - Fri Oct  9 04:18:33 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: B-Because... innocents were being hurt... - Fri Oct  9 04:18:33 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I see. - Fri Oct  9 04:19:24 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I promise Hideki, next time I'll do something. - Fri Oct  9 04:19:24 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You're too young to even do anything, Nina. - Fri Oct  9 04:20:16 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I don't care! - Fri Oct  9 04:20:16 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I suggest waiting until you are stronger. - Fri Oct  9 04:20:16 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I can get stronger, and I can help! - Fri Oct  9 04:20:16 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: The good always die young. - Fri Oct  9 04:20:16 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Niza was all about peace. - Fri Oct  9 04:21:07 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Shame. - Fri Oct  9 04:21:07 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I can...... - Fri Oct  9 04:21:07 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I can find a teacher, I can train my own body, I can try to create jutsu if I have to. - Fri Oct  9 04:21:07 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I can...... - Fri Oct  9 04:21:07 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I can form a team! - Fri Oct  9 04:21:07 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I'm probably.. - Fri Oct  9 04:21:07 2015
<br><br><font color=teal>*Hideki(Assassin241) says: The only Jounin left in the village. - Fri Oct  9 04:21:07 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: -- - Fri Oct  9 04:21:58 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: What? - Fri Oct  9 04:21:58 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Y-You became a Jounin? - Fri Oct  9 04:21:58 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I don't know if I'm the only Jounin or not- - Fri Oct  9 04:21:58 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yeah. - Fri Oct  9 04:21:58 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: C-Congratulations!! - Fri Oct  9 04:21:58 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Thanks, it's nothing..Really. - Fri Oct  9 04:21:58 2015
<br><br><font color=teal>*Nina(Ninasky115) says: ...... - Fri Oct  9 04:22:49 2015
<br><br><font color=yellow>*Hideki(Assassin241) hugged her gently, not trying to hurt her or anything like that.* - Fri Oct  9 04:22:49 2015
<br><br><font color=teal>*Nina(Ninasky115) thinks: I need someone close to me like that............ - Fri Oct  9 04:23:40 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ..... - Fri Oct  9 04:24:32 2015
<br><br><font color=teal>*Lyala(BoyFlareon) thinks: Bbaby u are 9 years old - Fri Oct  9 04:24:32 2015
<br><br><font color=teal>*Nina(Ninasky115) thinks: I still have no friends but 1!!! - Fri Oct  9 04:25:23 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Hrn... I can't believe I am dating a Jounin, haha. - Fri Oct  9 04:27:05 2015
<br><br><font color=yellow>*Hideki(Assassin241) slid down the wall and sat his ass on the floor. "Yeah, I was recently promoted. It's pretty cool I guess." he chilled, having his back against the wall. "You don't mind if I rest here for a bit, do you?"* - Fri Oct  9 04:27:56 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: You can rest here besides me, in bed if you want. - Fri Oct  9 04:28:48 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||
Ain't got to tell Hideki twice, ya boy slid in them sheets like they were DMs.* - Fri Oct  9 04:29:39 2015
<br><br><font color=yellow>*Hideki(Assassin241) was cuddling with Lyala when Xia walked in.


To make the porno now or later. (omit this line.)* - Fri Oct  9 04:33:55 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: ----------------------------------------- - Fri Oct  9 04:34:46 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: ------------ - Fri Oct  9 04:34:46 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ... - Fri Oct  9 04:35:37 2015
<br><br><font color=yellow>*Hideki(Assassin241) slid out of the bed, his three tomoe sharingan connected with Xia's eyes. "Where is the individual that gave the four venomous bites." he asked rather curious. He looked over toward Ambrocio. "Ambrocio, you stay here and gaurd the room, you let -no- one touch Lyala, or Nina. Do you understand? I'll be back here as soon as possible." he stated, as he started to leave the room. By this point? Hideki was beyond fucking pissed. He lost so many fucking people, Ushinawa, Mariana, Hanabi, Seisuke, Suitengu, and now Niza? There was Hell to fucking pay.* - Fri Oct  9 04:39:02 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Mmn.. *He nodded in return.* - Fri Oct  9 04:39:02 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Oh, that's Heiwa Ambrocio, make sure he's not harmed either. - Fri Oct  9 04:39:02 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: .... - Fri Oct  9 04:39:53 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Stay here for now, Heiwa. - Fri Oct  9 04:39:53 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I have to go do something. - Fri Oct  9 04:39:53 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: W-What? - Fri Oct  9 04:39:53 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: But..Mister Raikage.. - Fri Oct  9 04:40:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You stay here Lyala. That's final. - Fri Oct  9 04:40:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Same with you Heiwa. - Fri Oct  9 04:40:44 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: --- - Fri Oct  9 04:40:44 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: But... - Fri Oct  9 04:40:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: No. - Fri Oct  9 04:40:44 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: I have to go, you can't d-- - Fri Oct  9 04:40:44 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: .... - Fri Oct  9 04:40:44 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: You can't just leave... what if the village needs the second higher up in command? You.  - Fri Oct  9 04:41:36 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Take me to her....I do what I wish, woman. - Fri Oct  9 04:41:36 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Hideki... don't do nothing craz--- Agh....please, I cannot loose anymore people. - Fri Oct  9 04:42:27 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: Go to her on your own. I have business to attend to. Go ahead and add to the kill count, see just how worse Kumogakure gets from it. - Fri Oct  9 04:42:27 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: There're right in the other bedroom. - Fri Oct  9 04:43:18 2015
<br><br><font color=teal>*Hideki(Assassin241) says: It's already gone down to shit since Ushinawa died. - Fri Oct  9 04:43:18 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: Don't know who that is. - Fri Oct  9 04:43:18 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Shame. - Fri Oct  9 04:43:18 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: Gonna go see who's alive. - Fri Oct  9 04:43:18 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I won't go, Heiwa. I promise. - Fri Oct  9 04:43:18 2015
<br><br><font color=yellow>*Hideki(Assassin241) entered the room.* - Fri Oct  9 04:44:09 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ----- - Fri Oct  9 04:44:09 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Kind of figured Misa was the cause then. - Fri Oct  9 04:45:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: What the hell are you doing.. - Fri Oct  9 04:45:00 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Hideki, did Heiwa go get you? - Fri Oct  9 04:45:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: No he didn't. - Fri Oct  9 04:45:00 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: This girl killed the Raikag- - Fri Oct  9 04:45:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Some chick with orange eyes did. - Fri Oct  9 04:45:00 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: .....Where is Heiwa then! - Fri Oct  9 04:45:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: In the other room being gaurded by my personal gaurd. I wouldn't go in there. - Fri Oct  9 04:45:52 2015
<br><br><font color=teal>*Hideki(Assassin241) says: However, what are you doing to this woman. - Fri Oct  9 04:45:52 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: I sent him to get Hideki....but he's in the other room? - Fri Oct  9 04:45:52 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: I just told you... - Fri Oct  9 04:46:43 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: Hideki...This isn't the time to do this... - Fri Oct  9 04:46:43 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I doubt, she killed the Raikage. - Fri Oct  9 04:46:43 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: He was wounded, and she took him away from all of the medics. - Fri Oct  9 04:47:34 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: And I found her over his corpse. - Fri Oct  9 04:47:34 2015
<br><br><font color=yellow>*Hideki(Assassin241) diverted his gaze to the fan next to the bed, to where it had the same Uchiha crest on his back. He then looked at Misa. "Heal the woman. I'll question her in the other room."* - Fri Oct  9 04:48:25 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I know what I'm doing, no one is to touch the raikage's body. He is to -stay- here until further notice. I want to question this woman, if she -truly- killed the Raikage. - Fri Oct  9 04:53:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: And I understand we have had some bad bonds as of late. - Fri Oct  9 04:53:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: And I'll apologize for that. - Fri Oct  9 04:53:32 2015
<br><br><font color=yellow>*Hideki(Assassin241) took notice of what was on her neck, to where he raised an eyebrow. However, he continued to stand there, waiting for Misa to heal the individual to where he could quesiton about what really happened.* - Fri Oct  9 05:01:13 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: She's not waking up anytime soon... - Fri Oct  9 05:01:13 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: She took four type zero snakes.... - Fri Oct  9 05:02:04 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Fujitora.. - Fri Oct  9 05:15:44 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Yes? - Fri Oct  9 05:15:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Look at her fan. - Fri Oct  9 05:15:44 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||
Notes her fan has the Uchiha Crest symbol on it.* - Fri Oct  9 05:15:44 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: The same crest on his own shirt. - Fri Oct  9 05:16:35 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: Hmm those red eyes are scattered everywhere. - Fri Oct  9 05:16:35 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: I see..She's one of us. - Fri Oct  9 05:16:35 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: I wonder if there any more white eyes aroud - Fri Oct  9 05:17:26 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) whispers: I saw one here in Kumogakure and two in Suna.) - Fri Oct  9 05:17:26 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: I saw one here in Kumogakure and two in Suna. - Fri Oct  9 05:18:17 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: Then there was that one I killed in Konoha. - Fri Oct  9 05:18:17 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: Four total. - Fri Oct  9 05:18:17 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: Oh look he has one as well. - Fri Oct  9 05:18:17 2015
<br><br><font color=yellow>*Hideki(Assassin241) proceeded to leave the room, to many people. Makes him nervous.* - Fri Oct  9 05:20:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Just me I swear. - Fri Oct  9 05:20:51 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ...Hnnngh.. - Fri Oct  9 05:20:51 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ....... - Fri Oct  9 05:22:33 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I came. - Fri Oct  9 05:22:33 2015
<br><br><font color=teal>*Hideki(Assassin241) says: To fuck. - Fri Oct  9 05:22:33 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Lyala. - Fri Oct  9 05:22:33 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ---- - Fri Oct  9 05:22:33 2015
<br><br><font color=teal>*Hideki(Assassin241) says: omit - Fri Oct  9 05:22:33 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: -- - Fri Oct  9 05:23:24 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: MAN - Fri Oct  9 05:23:24 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Hideki, you are alright? - Fri Oct  9 05:24:16 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yeah. - Fri Oct  9 05:24:16 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Fujitora and Kirie are here though. - Fri Oct  9 05:25:07 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Who are they? - Fri Oct  9 05:25:07 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Fujitora is my cousin. - Fri Oct  9 05:25:07 2015
<br><br><font color=teal>*Hideki(Assassin241) says: However, Kirie is just....a friend. - Fri Oct  9 05:25:07 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Ohhh, yeah you did mention him before. - Fri Oct  9 05:25:07 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Theres another survivor of our clan though. - Fri Oct  9 05:25:07 2015
<br><br><font color=teal>*Lyala(BoyFlareon) thinks: Good thing, he didn't go do anything crazy.. - Fri Oct  9 05:25:07 2015
<br><br><font color=teal>*Nina(Ninasky115) says: ...... - Fri Oct  9 05:25:58 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Kirie is the white haired lady, right? - Fri Oct  9 05:25:58 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yeah. - Fri Oct  9 05:25:58 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I'm surprised Ambrocio didn't break any bones yet. - Fri Oct  9 05:25:58 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: He's improving. - Fri Oct  9 05:25:58 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Which is good. - Fri Oct  9 05:25:58 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: He's RPing now, everybody take cover. - Fri Oct  9 05:26:49 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: omit - Fri Oct  9 05:26:49 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Fri Oct  9 05:26:49 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You good Ambrocio? - Fri Oct  9 05:26:49 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Fine. - Fri Oct  9 05:26:49 2015
<br><br><font color=teal>*Nina(Ninasky115) says: ...Can I go now? I feel out off place here. Nothing but family and friends here, and I feel like that random girl. - Fri Oct  9 05:27:40 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Besides, I need to train, pretty hard. - Fri Oct  9 05:27:40 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: But you are none of that, you are part of us now. - Fri Oct  9 05:27:40 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ... - Fri Oct  9 05:27:40 2015
<br><br><font color=teal>*Hideki(Assassin241) says: If you want to train Nina, I suggest you be careful. - Fri Oct  9 05:27:40 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: A friend. - Fri Oct  9 05:27:40 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Bitch I ain't apart of you. - Fri Oct  9 05:27:40 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Omit - - Fri Oct  9 05:27:40 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: AMBROCIO IM GON FUCK YOU UP - Fri Oct  9 05:27:40 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: . - Fri Oct  9 05:27:40 2015
<br><br><font color=yellow>*Hideki(Assassin241) zips up pants. Pats Ambrocios shoulder. "You did good."



omit* - Fri Oct  9 05:28:32 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: You are our friend. - Fri Oct  9 05:30:14 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: So, our group. - Fri Oct  9 05:30:14 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Yeah, sure. - Fri Oct  9 05:30:14 2015
<br><br><font color=teal>*Nina(Ninasky115) says: But I really would like to go and train, I'm not losing anyone else. - Fri Oct  9 05:30:14 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: If you want to train.. you can go. - Fri Oct  9 05:31:05 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: But just becareful, alright? - Fri Oct  9 05:31:05 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Be careful of whom? - Fri Oct  9 05:31:05 2015
<br><br><font color=yellow>*Hideki(Assassin241) got out the way for Nina to leave.* - Fri Oct  9 05:31:05 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: .... - Fri Oct  9 05:31:05 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Just, becareful. If you see anything suspicious or dangerous, send a letter or run to us. - Fri Oct  9 05:31:56 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: My iphone is not charged, so u cant call me. - Fri Oct  9 05:31:56 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Fri Oct  9 05:31:56 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Sorry, only galaxy's around me. - Fri Oct  9 05:31:56 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Nigga using Iphones, Get a Galaxy Note 5.  - Fri Oct  9 05:31:56 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: That shit is whats fly. - Fri Oct  9 05:31:56 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Omit - - Fri Oct  9 05:31:56 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Would anyone like to come with me? - Fri Oct  9 05:32:48 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ........ - Fri Oct  9 05:32:48 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ......................... - Fri Oct  9 05:32:48 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Anybody? It's more fun to train with more than one person. - Fri Oct  9 05:33:39 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You won't train with Ambrocio. - Fri Oct  9 05:33:39 2015
<br><br><font color=teal>*Hideki(Assassin241) says: And not with Heiwa either. - Fri Oct  9 05:33:39 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Fighting Heiwa would just be unfair. - Fri Oct  9 05:33:39 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) thinks: ..Heh.. - Fri Oct  9 05:33:39 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Lyala, is your arm better? - Fri Oct  9 05:33:39 2015
<br><br><font color=teal>*Nina(Ninasky115) says: So what you're saying is I'm just not training with anyone, gotcha... - Fri Oct  9 05:33:39 2015
<br><br><font color=teal>*Hideki(Assassin241) says: For right now, you won't be. - Fri Oct  9 05:34:30 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Yeah... I'll be fine, Heiwa.~ - Fri Oct  9 05:34:30 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Just don't worry about me, much, mkay? - Fri Oct  9 05:34:30 2015
<br><br><font color=yellow>*Hideki(Assassin241) tripped this cunt.



omit* - Fri Oct  9 05:35:21 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Omit - - Fri Oct  9 05:37:55 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I don't want anybody else to get hurt. - Fri Oct  9 05:37:55 2015
<br><br><font color=yellow>*Hideki(Assassin241) rested in the bed, ready to snooze. "Well...I'm getting uh, kind of tired. So I'm going to re- Ambrocio don't do anything stupid while I'm resting." squinting at Ambrocio.* - Fri Oct  9 05:40:28 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ... - Fri Oct  9 05:41:20 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: JOHN CEEENAA! - Fri Oct  9 05:41:20 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||
Got RKO'd* - Fri Oct  9 05:41:20 2015
<br><br><font color=yellow>*Hideki(Assassin241) omit* - Fri Oct  9 05:41:20 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: ....I feel so in charge. - Fri Oct  9 05:43:02 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Killing Himura has changed things. - Fri Oct  9 05:43:02 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Omit - - Fri Oct  9 05:43:02 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: You can sleep with, Hideki, Heiwa. - Fri Oct  9 05:43:53 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Fri Oct  9 05:43:53 2015
<br><br><font color=teal>*Nina(Ninasky115) says: What about me?? - Fri Oct  9 05:43:53 2015
<br><br><font color=yellow>*Hideki(Assassin241) got out of the bed, and slept on the floor instead. "You can take the bed."* - Fri Oct  9 05:44:44 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ... - Fri Oct  9 05:45:36 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: --- - Fri Oct  9 05:46:27 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: We ain't fina play who take what bed and shit. People in hell want icewater but they can't get it, so one of yall best get to the bed and sleep befo I fuck you all up. - Fri Oct  9 05:46:27 2015
<br><br><font color=teal>*Hideki(Assassin241) says: No, you sleep on the bed. Final answer Heiwa. - Fri Oct  9 05:47:18 2015
