<br><font color=teal>*Hideki(Assassin241) says: omit - Sun Oct  4 05:08:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: now* - Sun Oct  4 18:02:27 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ... - Sun Oct  4 18:02:27 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: So Kilm wants to be a snitch. - Sun Oct  4 18:02:27 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: And have his possie after me. - Sun Oct  4 18:02:27 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: What a pussy.. - Sun Oct  4 18:02:27 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: .... - Sun Oct  4 18:02:27 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Hideki I need to speak with you. - Sun Oct  4 18:02:27 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Sure. - Sun Oct  4 18:02:27 2015
<br><br><font color=teal>*Kuro(Ichigo10101) thinks: Is something going on? - Sun Oct  4 18:02:27 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: So...I spoke with Kilm earlier today. - Sun Oct  4 18:04:09 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: He says you wanted revenge for Orakuru? - Sun Oct  4 18:04:09 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Mhm. - Sun Oct  4 18:04:09 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Then... - Sun Oct  4 18:04:09 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Why target Kilm and Katsune? - Sun Oct  4 18:05:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Katsune was the killer of Orakuru, Kilm finally spoke the truth. However.... - Sun Oct  4 18:05:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Kilm ratted Katsune out so quickly. - Sun Oct  4 18:05:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Made me want to believe he also attempted to kill Orakuru. - Sun Oct  4 18:05:00 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: .... - Sun Oct  4 18:05:52 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hm? - Sun Oct  4 18:06:43 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: To set things straight. - Sun Oct  4 18:06:43 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Orakuru died in the battle at Konohagakure, not by Katsune's hand or Kilm's. - Sun Oct  4 18:07:34 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I refuse to believe you. - Sun Oct  4 18:07:34 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: You should believe me. - Sun Oct  4 18:07:34 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Considering I was there. - Sun Oct  4 18:08:25 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I think you fail to understand......I already attacked Kilm, and he was lucky enough to survive. However if he does have his little gang come after me.. - Sun Oct  4 18:08:25 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Then I will not hesitate to kill everyone he knows and loves. - Sun Oct  4 18:08:25 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Hideki. - Sun Oct  4 18:09:16 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: You must learn to control this hatred you have. - Sun Oct  4 18:09:16 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: It does no good for one's mind to be clouded by thoughts of revenge. - Sun Oct  4 18:09:16 2015
<br><br><font color=teal>*Hideki(Assassin241) says: My hatred is fueled to it's maximum right now.. - Sun Oct  4 18:10:59 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Then I suggest you rid of it before you do something you regret. - Sun Oct  4 18:10:59 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I've already k- - Sun Oct  4 18:11:50 2015
<br><br><font color=yellow>*Hideki(Assassin241) stares at the red head* - Sun Oct  4 18:11:50 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ..... - Sun Oct  4 18:11:50 2015
<br><br><font color=teal>*Hideki(Assassin241) says: As I was saying.. - Sun Oct  4 18:11:50 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I already killed one person for revenge. - Sun Oct  4 18:12:41 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Seisuke however, is next. - Sun Oct  4 18:12:41 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: .... - Sun Oct  4 18:12:41 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You know what Seisuke did? - Sun Oct  4 18:12:41 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I do not. - Sun Oct  4 18:12:41 2015
<br><br><font color=teal>*Hideki(Assassin241) says: He took Ushinawa's body from me. - Sun Oct  4 18:12:41 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: .... - Sun Oct  4 18:12:41 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I fear the worst. - Sun Oct  4 18:12:41 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I do as well but... - Sun Oct  4 18:13:32 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Heed my words... - Sun Oct  4 18:13:32 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Do -not- provoke Seisuke. - Sun Oct  4 18:13:32 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: It will not turn out well. - Sun Oct  4 18:13:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ..... - Sun Oct  4 18:13:32 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: For anyone. - Sun Oct  4 18:13:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I see.. - Sun Oct  4 18:13:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: How about.... - Sun Oct  4 18:14:24 2015
<br><br><font color=teal>*Hideki(Assassin241) says: We have a spar, Niza. - Sun Oct  4 18:14:24 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: .... - Sun Oct  4 18:14:24 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I suppose I could do with one. - Sun Oct  4 18:15:15 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Then let's be off. - Sun Oct  4 18:15:15 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Right. - Sun Oct  4 18:16:06 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: You may begin. - Sun Oct  4 18:16:57 2015
<br><br><font color=yellow>*Hideki(Assassin241) nodded his head.

His three tomoe sharingan examined Niza's figure, however Hideki wasn't as skilled as Ushinawa when using this stage of sharingan. But he did his best to prove himself. Quickly he started to form several handsigns, having chakra manifest within his bodies system for a short while, and after he completed the handsigns he ran forward toward Niza's current location.* - Sun Oct  4 18:19:31 2015
<br><br><font color=yellow>*Hideki(Assassin241) held the last handsign for his technique, however Niza's jutsu took it's effect on him, his approach was slowed down, having his balance go to shit, as he fell on his ass for a second, and then quickly getting back up, he thrusted his hand forward, as five hidden snakes came out of his sleeve toward Niza's current position, there goal? It was to immobolize him, if it was a success the snakes would wrap around Niza's figure.* - Sun Oct  4 18:28:03 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||
Niza was fast, that's for a fact, but thanks to his sharingan he gained some precognitive skills, seeing the clothesline coming toward him at a very fast pace, he used the technique Niza showed him a month ago, and that was the Misdirect technique, quickly and effectively Hideki raised his right arm up to knock Niza's arm away, assuming that's what he used for the clothesline, and if it was successful he would send a knee attack toward Niza's gut region.* - Sun Oct  4 18:37:26 2015
<br><br><font color=yellow>*Hideki(Assassin241) got grabbed by Niza, having Niza grab Hideki and throw him over his standing form, which caused Hideki to slam his body against the cobble floor, he quickly wielded a single handsign as raiton chakra manifested within his bodies system, having the chakra mold, and once it was done molding, he executed the technique, having raiton chakra lash out from his body and onto Niza, this however would not shock Niza, but it would probably numb him, that's what Hideki was looking for.* - Sun Oct  4 18:53:39 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||
Noticed Niza's change as Niza underwent a lycanthropic state, however in a quick motion, Hideki created a series of kicking attacks, first and foremost he started off with a low kick, attempting to knock Niza off balance. This technique that he has is still pretty new, so he won't know if it's successful or not.* - Sun Oct  4 19:06:27 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||
Niza was no push over, however Hideki had plenty of tricks up his sleeve, the technique he was going to use required no handsigns whatsoever, As a large white snake came out of his back, traveling through his arm sleeve, in an attempt to wrap around his figure and keep him immobolized. However, this was a fast motion, and if it was successful he would plan on doing one thing, and one thing in general. He planned to send two punches toward Niza's face, one toward his jaw, the other toward his cheek.

Hideki held back on the punches of course, this was a spar after all.* - Sun Oct  4 19:21:48 2015
<br><br><font color=yellow>*Hideki(Assassin241) saw that he trapped Niza, and while Niza was figuring out how to get out of the technique, Hideki released it, as the large snake disappeared in a puff of smoke. He looked at Niza and bowed respectfully. "Thank you, for allowing me to spar you. I have one question though, how can I get promoted."* - Sun Oct  4 19:30:20 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I see. - Sun Oct  4 19:32:54 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Thanks again, for the spar. - Sun Oct  4 19:32:54 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: No problem. - Sun Oct  4 19:33:45 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Ur fkin dun kid - Sun Oct  4 19:34:36 2015
<br><br><font color=teal>*Hideki(Assassin241) says: omit - Sun Oct  4 19:34:36 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Sun Oct  4 19:40:35 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: That's pretty hardcore. - Sun Oct  4 19:40:35 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Sun Oct  4 19:40:35 2015
<br><br><font color=teal>*Hideki(Assassin241) says: oh. - Sun Oct  4 19:40:35 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Niza-sama. - Sun Oct  4 19:40:35 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: .... - Sun Oct  4 19:44:51 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Sun Oct  4 19:44:51 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Yes, Hideki? - Sun Oct  4 19:44:51 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I'll be going to Amegakure for a visit, if that's okay with you. - Sun Oct  4 19:45:42 2015
<br><br><font color=teal>*Callis, Ajax(SuckMyHairyNutz) says: Wow. . . I guess that's what I looks like when someone loses, huh? - Sun Oct  4 19:45:42 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: That should be fine. - Sun Oct  4 19:45:42 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Just return safely. - Sun Oct  4 19:45:42 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I will, thanks. - Sun Oct  4 19:45:42 2015
<br><br><font color=yellow>*Hideki(Assassin241) took a caravan to Amegakure.* - Sun Oct  4 19:45:42 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ur fkin dun kid - Sun Oct  4 19:46:33 2015
<br><br><font color=teal>*Hideki(Assassin241) says: omit - Sun Oct  4 19:46:33 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: --- Hello, Hideki - Sun Oct  4 19:47:24 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hey, Suitengu. - Sun Oct  4 19:48:16 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Do you know where icecream is. - Sun Oct  4 19:48:16 2015
<br><br><font color=yellow>*Hideki(Assassin241) arrived to the scene, with three tomoe sharingan obviously showing. His eyes however, scanned the woman infront of Suitengu* - Sun Oct  4 19:49:07 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Icecream? - Sun Oct  4 19:49:07 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Yes. - Sun Oct  4 19:49:07 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hm.. - Sun Oct  4 19:49:07 2015
<br><br><font color=teal>*Hideki(Assassin241) says: No I don't. - Sun Oct  4 19:49:07 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: I see.. So what brings you here? - Sun Oct  4 19:49:58 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Thought I'd visit.. - Sun Oct  4 19:49:58 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Are these the people you rescued? - Sun Oct  4 19:49:58 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: She managed to make it out on her own, I brought the other two. - Sun Oct  4 19:50:49 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Sun Oct  4 19:51:40 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: She could be a fuuinjutsu specialist. - Sun Oct  4 19:51:40 2015
<br><br><font color=yellow>*Hideki(Assassin241) quickly and effectively, sent a backhand strike toward the woman that patted Suitengu's head.* - Sun Oct  4 19:52:32 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||
<Paper?> he wondered how this individual was able to perform such a unique technique, however he shifted his gaze to Suitengu, as he noticed arms coming out of the young boys body, however Hideki's reflexive ability was not to be underestimated, quickly and effectively he jumped back to avoid getting grabbed. As he looked at the woman in pink hair, and back at Suitengu. "My apologizes, I thought that she may have placed a fuuinjutsu on you..Or something like that, I was just being caustious is all."* - Sun Oct  4 20:02:46 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: It's fine. - Sun Oct  4 20:04:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: But anyway, Kumogakure is competely fine. - Sun Oct  4 20:05:20 2015
<br><br><font color=teal>*Reisen(BigBootyJudy) says: . . .Suitengu. You make all the decisions. I just follow. . . - Sun Oct  4 20:05:20 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Sun Oct  4 20:05:20 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Who are you? - Sun Oct  4 20:06:11 2015
<br><br><font color=teal>*Reisen(BigBootyJudy) says: Reisen. . .A friend of Suitengu from Konohagakure. I'm making sure he's always fine. . . - Sun Oct  4 20:07:02 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Oh, you actually made friends Suitengu? - Sun Oct  4 20:07:53 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: What is that suppose to mean? - Sun Oct  4 20:07:53 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Sun Oct  4 20:07:53 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Well I mean.... - Sun Oct  4 20:07:53 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You're always quiet. - Sun Oct  4 20:07:53 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: -Omit - Sun Oct  4 20:08:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ..... - Sun Oct  4 20:08:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You have a nice personality, Reisen.  - Sun Oct  4 20:09:36 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I'm glad you're friends with Suitengu. - Sun Oct  4 20:09:36 2015
<br><br><font color=teal>*Reisen(BigBootyJudy) says: He needs people there for him. . .not just wanting him to train his heart out without taking care of himself. . .He needs to smile. - Sun Oct  4 20:10:27 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I see. - Sun Oct  4 20:13:00 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Okay. - Sun Oct  4 20:14:43 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Now that you two are acquainted. How is the word in Kumogakure? - Sun Oct  4 20:14:43 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Kumogakure so far, everything is going okay. - Sun Oct  4 20:14:43 2015
<br><br><font color=teal>*Hideki(Assassin241) says: However. - Sun Oct  4 20:14:43 2015
<br><br><font color=teal>*Hideki(Assassin241) says: People there tend to get on my nerves.. - Sun Oct  4 20:14:43 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Someone by the name of Reguel, shows a lot of disrespect toward me, just like Himura. - Sun Oct  4 20:15:34 2015
<br><br><font color=teal>*Hideki(Assassin241) says: And we know how he turned out.. - Sun Oct  4 20:15:34 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Mm.. - Sun Oct  4 20:17:16 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Has anyone from Konohagakure ended up there? - Sun Oct  4 20:18:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yes. - Sun Oct  4 20:18:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I rescued two people from that beast that attacked. - Sun Oct  4 20:18:08 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Thats good. Not everyone was crushed by it then. - Sun Oct  4 20:18:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yeah. - Sun Oct  4 20:18:59 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) thinks: ..tch.. - Sun Oct  4 20:20:41 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) thinks: Pathetic.. - Sun Oct  4 20:21:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hm... - Sun Oct  4 20:21:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Is this everyone that got rescued? - Sun Oct  4 20:21:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: .. - Sun Oct  4 20:24:57 2015
<br><br><font color=yellow>*Hideki(Assassin241) nudeged Suitengu.* - Sun Oct  4 20:25:48 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Hmmm? - Sun Oct  4 20:25:48 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Is this everyone you rescued? - Sun Oct  4 20:25:48 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Yes. - Sun Oct  4 20:26:40 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Sun Oct  4 20:26:40 2015
<br><br><font color=teal>*Hideki(Assassin241) says: No one else? - Sun Oct  4 20:26:40 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Just these two? - Sun Oct  4 20:26:40 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Why do you keep asking. - Sun Oct  4 20:27:31 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I thought you would've rescued more people than this. - Sun Oct  4 20:27:31 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Sun Oct  4 20:27:31 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: .... - Sun Oct  4 20:28:22 2015
<br><br><font color=teal>*Hideki(Assassin241) says: However.. - Sun Oct  4 20:29:13 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I wish to spar the man with the black hair, right there. - Sun Oct  4 20:29:13 2015
<br><br><font color=yellow>*Hideki(Assassin241) points toward Hideyoshi.* - Sun Oct  4 20:29:13 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Sun Oct  4 20:30:04 2015
<br><br><font color=teal>*Hideki(Assassin241) says: But, if he doesn't want to spar.. - Sun Oct  4 20:30:04 2015
<br><br><font color=teal>*Hideki(Assassin241) says: That's up to him.. - Sun Oct  4 20:30:04 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Sun Oct  4 20:30:04 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: Why is he talking to me...Please just go away.... - Sun Oct  4 20:30:56 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Sun Oct  4 20:30:56 2015
<br><br><font color=teal>*Hideki(Assassin241) says: What about you. - Sun Oct  4 20:30:56 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: ... - Sun Oct  4 20:31:47 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Its their choice, I don't care if you spar or not. - Sun Oct  4 20:31:47 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: Why do people always want to spar others? - Sun Oct  4 20:32:38 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Sun Oct  4 20:33:29 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I'll go a round. - Sun Oct  4 20:34:20 2015
<br><br><font color=teal>*Hideki(Assassin241) says: If you don't want to you don't ha- - Sun Oct  4 20:34:20 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Oh. - Sun Oct  4 20:34:20 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Cool. - Sun Oct  4 20:34:20 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Let's go down here. - Sun Oct  4 20:34:20 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You ready? - Sun Oct  4 20:35:12 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Mhm. - Sun Oct  4 20:35:12 2015
<br><br><font color=yellow>*Hideki(Assassin241) decided to take things nice and slow, he didn't know the boys abilitie yet, and of course he wanted to test them. Quickly and effectively, Hideki ran toward Ortho, and if he was to reach him, he would quickly attempt to send a knee attack at the lad's gut.


(Attack Speed 5.)* - Sun Oct  4 20:36:54 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||
Ortho seemed very versitile, however, his sharingan granted him precognitive abilities, however Hideki could tell that the boy was mustering up a technique of the sorts, and with that he decided not to knee the young lad, but instead shunshin away from him, by wielding a single handsign, although, after he got away, he laid his eyes upon Baen.* - Sun Oct  4 20:46:17 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: What's up. - Sun Oct  4 20:52:16 2015
<br><br><font color=teal>*Hideki(Assassin241) says: What are you doing here. - Sun Oct  4 20:52:16 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Standing? - Sun Oct  4 20:52:16 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I mean, besides that. - Sun Oct  4 20:52:16 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Smartass. - Sun Oct  4 20:53:07 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Standing. - Sun Oct  4 20:53:07 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Sun Oct  4 20:53:07 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Breathing. - Sun Oct  4 20:53:07 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Living. - Sun Oct  4 20:53:07 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Why are you in -Amegakure- in general. - Sun Oct  4 20:53:07 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Standing. - Sun Oct  4 20:53:07 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: To stand. - Sun Oct  4 20:53:07 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: To breath. - Sun Oct  4 20:53:07 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: To Live. - Sun Oct  4 20:53:07 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Anyways. - Sun Oct  4 20:53:07 2015
<br><br><font color=teal>*Hideki(Assassin241) says: What's your name? - Sun Oct  4 20:53:07 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Suitengu. - Sun Oct  4 20:53:07 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I met Taiga. - Sun Oct  4 20:53:58 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Sun Oct  4 20:53:58 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ...Cool. - Sun Oct  4 20:53:58 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Cool indeed. - Sun Oct  4 20:53:58 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Not you. - Sun Oct  4 20:53:58 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Doesn't matter. - Sun Oct  4 20:53:58 2015
<br><br><font color=teal>*Hideki(Assassin241) says: It does matter. - Sun Oct  4 20:54:49 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Not really. - Sun Oct  4 20:54:49 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yes. - Sun Oct  4 20:54:49 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: If you say so, Hideki. - Sun Oct  4 20:54:49 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Sun Oct  4 20:54:49 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: He knows my name? - Sun Oct  4 20:54:49 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: What the fuck.. - Sun Oct  4 20:54:49 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I DON'T EVEN KNOW THIS MANS NAME. - Sun Oct  4 20:54:49 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Definitely. - Sun Oct  4 20:55:40 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Hassan's got him under his watch. - Sun Oct  4 20:55:40 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: I don't suppose you happened to br- Mmm.. I see why then. - Sun Oct  4 20:55:40 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: He knows something's up.  - Sun Oct  4 20:55:40 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I tried to inflitrate but, meh. Not going that well.  - Sun Oct  4 20:56:32 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: So who runs Amegakure? - Sun Oct  4 20:57:23 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) thinks: If I remember my knowledge of Hassan corr- - Sun Oct  4 20:57:23 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: I don't believe there is an official position of power here at the moment, but I suppose it would be me currently. - Sun Oct  4 20:58:14 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Good. - Sun Oct  4 20:59:05 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I'll be staying here for a while. - Sun Oct  4 20:59:05 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Feel free to do so. - Sun Oct  4 20:59:05 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Also. - Sun Oct  4 20:59:56 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Hideki. - Sun Oct  4 20:59:56 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hm? - Sun Oct  4 20:59:56 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: You scared of me or something? - Sun Oct  4 20:59:56 2015
<br><br><font color=teal>*Hideki(Assassin241) says: No. I was just wondering why you were here. - Sun Oct  4 20:59:56 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Nervous? - Sun Oct  4 20:59:56 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Nope. - Sun Oct  4 21:00:48 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Heheh. - Sun Oct  4 21:00:48 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I actually want to spar you. - Sun Oct  4 21:00:48 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I'd rather not kill you. - Sun Oct  4 21:00:48 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Sun Oct  4 21:00:48 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Although. - Sun Oct  4 21:00:48 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: That fan is nice. - Sun Oct  4 21:00:48 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Oh? - Sun Oct  4 21:01:39 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Nah, nah. I'll wait on it. - Sun Oct  4 21:01:39 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You like it? - Sun Oct  4 21:01:39 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I said it was nice. - Sun Oct  4 21:01:39 2015
