<br><font color=teal>*Komaru(JustCallMeGnar) says: S-Stop being so mean.. - Wed Oct  7 03:47:50 2015
<br><br><font color=yellow>*Nina(Ninasky115) turned her head as she looked off into the distance once again, staring off at the fence. Without looking back at him, she'd pull her hands up slowly and flow through the handseals neccesary to use a jutsu.

Cocking her head back, she'd feel her wind in her lungs begin to get infused with chakra, as if the chakra was moulding it already. Molding it as it moved up her throat, she felt the chakra leech its way up her esophogus, ready to be released.

Pushing her lips forward, she'd spew the one wind bullet out towards the fence, hearing it connect pretty bluntly against the fence, leaving just a small noticable dent in where it had connected to said fence.* - Thu Oct  8 11:58:56 2015
<br><br><font color=teal>*Nina(Ninasky115) says: My mother. - Thu Oct  8 12:31:21 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Why don't you learn from her then? - Thu Oct  8 12:38:11 2015
<br><br><font color=teal>*Nina(Ninasky115) says: She died a while ago. - Thu Oct  8 12:38:11 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: .... - Thu Oct  8 12:41:36 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Who do you live with then? - Thu Oct  8 12:44:09 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Myself, kiddo.~ - Thu Oct  8 12:44:09 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: I really am the only black dude here. - Thu Oct  8 16:05:32 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: Chink bastards. - Thu Oct  8 16:05:32 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Ummm, hi everybody. - Thu Oct  8 16:07:15 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Yo. - Thu Oct  8 16:07:15 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I like your style. - Thu Oct  8 16:07:15 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: Then again, only lesbians wear long coats. - Thu Oct  8 16:08:06 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Sup, sis. - Thu Oct  8 16:08:57 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Hi. - Thu Oct  8 16:08:57 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I wanted to congratulate you on making Head Medic. - Thu Oct  8 16:09:48 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Thank you. - Thu Oct  8 16:10:40 2015
<br><br><font color=yellow>*Nina(Ninasky115) blinked a little when she saw the man in front of her become sad, or what she percieved as sad. Walking up to him, she'd lift one hand and move it forward, aiming to poke him in the center of the belly softly. "Hey, mister, what's wrong?"* - Thu Oct  8 16:11:31 2015
<br><br><font color=yellow>*Nina(Ninasky115) continued to poke him in the stomach playfully while looking up at his face. She was still young, so she couldn't tell the difference between emotions as well as everyone else in the area. "But you look so sad!~" She'd smile and poke him a little harder, as if it was a light punch. "Lets go and play."* - Thu Oct  8 16:17:29 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: And that is why annoying people die first. - Thu Oct  8 16:18:20 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Ortho. - Thu Oct  8 16:20:54 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: How are you. . . - Thu Oct  8 16:20:54 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) thinks: That name. - Thu Oct  8 16:20:54 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Damn.. Think Ima pay a visit to Suna. - Thu Oct  8 16:21:45 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Damn, he's confessing his love to his sister? - Thu Oct  8 16:27:44 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: He admitted to masturbating to her when she slept - Thu Oct  8 16:27:44 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Kojiro the type of nigga to think, "my little sister can't be this cute". - Thu Oct  8 16:27:44 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: We all heard it - Thu Oct  8 16:27:44 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: puse - Thu Oct  8 16:27:44 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: what - Thu Oct  8 16:27:44 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: omit - Thu Oct  8 16:27:44 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: What? - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: --------? - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You know. - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I don't.. - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You told us yesterday that you touched Gene - Thu Oct  8 16:28:35 2015
<br><br><font color=yellow>*Nina(Ninasky115) frowned a little as she was pretty much ignored. "I was only trying to help." She'd turn back to walk back to where she came from, then simply took a seat on the ground, looking down at her hands all by herself.* - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: NO! - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I DIDNT! - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: And that you masturbated on her when she was asleep - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: . . . - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Stop lying. - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: What. . .  - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: . . . . - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: She's lying. - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: What. - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I can get Amon here - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: He wont lie - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Get AMON. - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: He is your 'bro' - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I will. - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Just you wait. - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: He said he was just messing with me anyway. - Thu Oct  8 16:28:35 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: No - Thu Oct  8 16:29:26 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I am being serious - Thu Oct  8 16:29:26 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: That's. . . - Thu Oct  8 16:29:26 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Gene you might want to lock your doors - Thu Oct  8 16:29:26 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: So am I. - Thu Oct  8 16:29:26 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: disgusting. . . . . . . . - Thu Oct  8 16:29:26 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Get a dead bolt - Thu Oct  8 16:29:26 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You ever woke up all crusty? - Thu Oct  8 16:29:26 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: . . . - Thu Oct  8 16:29:26 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Now you know the reason - Thu Oct  8 16:29:26 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I will get Amon to confirm this Idiot N.1 - Thu Oct  8 16:30:17 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: You like making me mad. - Thu Oct  8 16:32:00 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Oct  8 16:32:00 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: But that shit isn't funny. - Thu Oct  8 16:32:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Its fucking hilarious from where I am standing. - Thu Oct  8 16:32:00 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: I thought she was giving me that look then... - Thu Oct  8 16:32:00 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: It's kinda like me saying to some you know. - Thu Oct  8 16:32:51 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: You finger your sister. - Thu Oct  8 16:32:51 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Oct  8 16:32:51 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Problem? - Thu Oct  8 16:32:51 2015
<br><br><font color=teal>*Asteroth(Lordlol45) thinks: Disgusting. . . All of them. - Thu Oct  8 16:32:51 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Yes, it's a fucking problem. - Thu Oct  8 16:32:51 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hmm. - Thu Oct  8 16:32:51 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Is it? - Thu Oct  8 16:33:42 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Not from where I am standing. - Thu Oct  8 16:33:42 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Oct  8 16:33:42 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: You're just an asshole. - Thu Oct  8 16:33:42 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Change the subject. - Thu Oct  8 16:33:42 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: And you are too overly sensitive. - Thu Oct  8 16:33:42 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: You're both...not very nice people... - Thu Oct  8 16:33:42 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: You made my sister walk off. - Thu Oct  8 16:33:42 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: -Change- the subject. - Thu Oct  8 16:33:42 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Because you rubbed one off when she was asleep. - Thu Oct  8 16:34:33 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I feel uncomfortable, therefore others must to-- so change it. - Thu Oct  8 16:34:33 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: *Sigh* - Thu Oct  8 16:37:07 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) thinks: I need to find my siblings and get them away from the menace. - Thu Oct  8 16:37:07 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: . . . - Thu Oct  8 16:37:58 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: . . . That's nasty if you did do it. - Thu Oct  8 16:37:58 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Okay. . . - Thu Oct  8 16:38:49 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'm just gonna go and train.... - Thu Oct  8 16:38:49 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Ortho, help this girl train. - Thu Oct  8 16:39:40 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: She is not my responsibility. How much I teach her if I too am unknowing..? - Thu Oct  8 16:39:40 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Who is this child? - Thu Oct  8 16:39:40 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I just graduated not too long ago... - Thu Oct  8 16:40:32 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: Why does Ortho get so much recognisation... - Thu Oct  8 16:40:32 2015
<br><br><font color=teal>*Nina(Ninasky115) says: So I guess I'm a nobody. - Thu Oct  8 16:40:32 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I'll come as well. - Thu Oct  8 16:41:23 2015
<br><br><font color=teal>*Nina(Ninasky115) says: You want to come with me? - Thu Oct  8 16:42:14 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: If Ortho goes. - Thu Oct  8 16:42:14 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Oct  8 16:42:14 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Tch... - Thu Oct  8 16:42:14 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'm worth it, I promise! - Thu Oct  8 16:42:14 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..tch.. - Thu Oct  8 16:43:05 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Very well. - Thu Oct  8 16:43:05 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I'll go.. - Thu Oct  8 16:43:05 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Anyone mind if I go a long..? - Thu Oct  8 16:43:05 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I don't really...want to listen to these two argue...about vulgar things.. - Thu Oct  8 16:43:05 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Come along, Takeda. - Thu Oct  8 16:43:56 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I've been meaning to leech some techniques off of you. - Thu Oct  8 16:43:56 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Well...Only if you teach me some stuff as well... - Thu Oct  8 16:43:56 2015
<br><br><font color=teal>*Asteroth(Lordlol45) thinks: Leeches. . .The whole lot of them. - Thu Oct  8 16:43:56 2015
<br><br><font color=yellow>*Nina(Ninasky115) popped up from her seated position, running off towards the training field. More friends are always better!* - Thu Oct  8 16:44:48 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: If I have jutsus you don't, I'll be sure to provide them to you. - Thu Oct  8 16:44:48 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Thanks. - Thu Oct  8 16:44:48 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: I'm not losing my left arm too, fuck that. - Thu Oct  8 16:45:39 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: . .  No. - Thu Oct  8 16:45:39 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: She's a medical shinobi. - Thu Oct  8 16:45:39 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: . . Med. . di. . .cool? - Thu Oct  8 16:46:30 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: She fixes... - Thu Oct  8 16:46:30 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Okay, so what's first?~ - Thu Oct  8 16:48:12 2015
<br><br><font color=yellow>*Nina(Ninasky115) blinked a little bit as she looked at Ortho while he talked. She was happy for a long time hat he decided o come and help her out, but after he had finished talking and turned around, she felt as though she was simply thrown away to do her own thing. She might as well had come and done it on her own, there was no way she could really impress him if she wasn't given anything to work with.

Sighing lightly to herself, she'd bring her hands up before looking forward. In the space that was between the two who had joined her, she'd nod to herself and inhale deeply, pushing just one foot forward to stabilize herself and looked forward in a straight line. Raising her hand up to her mouth, she'd use it s if aiming and straightening the attack that she was going to use.

Finally, forcing the chakra out of her mouth, she'd exhale the bullets quickly, allowing them to shoot forward quickly and confidently. After a while, they'd simply fall to the ground, leaving a small yet visible dent in the ground. There wasn't much to do with that, but the training was simply good enough for her to work with.* - Thu Oct  8 17:17:13 2015
<br><br><font color=teal>*Nina(Ninasky115) says: So mister Ortho, when do I get to learn something...? - Thu Oct  8 17:57:20 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You're rushing yourself too quick. Master the techniques you have thus far and advance at a pace where you don't burden yourself. - Thu Oct  8 17:58:11 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I am merely here to oversee your progress, not to hand you techniques when you haven't mastered the ones you already have. - Thu Oct  8 17:58:11 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Yes sir. - Thu Oct  8 17:59:02 2015
<br><br><font color=yellow>*Nina(Ninasky115) closed her eyes as she exhaled softly, as if releasing some pent up carbon dioxide that she had in her body. Opening her eyes slowly, she'd let the sunlight seep into her eyes, as if bringing new light to a dark abyss. After her eyes had opened completely, she'd look forward towards the fence in front of her, aiming to hit said fence with her bullets.

Taking a few steps forward, she'd bring her hands up to her chest again, pulling a confident wave of air into her nostrils  while doing them. After being side by side with Ortho, who seemed to be her trainer at the moment, Nina would cock her head back and allow chakra to seep into her lungs once again, aiming to use it in an attack.

After all of this was done, which wouldn't really take all that long, she'd cock her head back and bring her hand up to her mouth, allowing a finger to curl around just in front of her lips, as if to guide her aim. Shooting them forward quickly, she'd watch as the bullets of wind went forward, gliding through the air until they each smacked against the fence, the sound traveling all the way back to her ears.* - Thu Oct  8 18:04:09 2015
<br><br><font color=yellow>*Nina(Ninasky115) watched as the bullets went forward and heard them clang against the fence in front of her, even though it was quite a bit of ways away. She felt an accomplishment in herself that she had increased herself in a way that she hadn't done since her graduation in the academy. Though, this was no time to celebrate, she had to keep it going and continue increasing through the ranks, whether it was for a good teacher or for herself.

Pulling her hands up quickly, her eyes focused on the fence in front of her once again, her eyes snapping to it almost instantly. She'd focus solely on one place in the fence, her hands being pulled up to her chest once again. With a smile, she couldn't help but think that, against an enemy, these attacks would be devastating against aan enemy, even if they were of a higher rank.

Her hands would quickly snap together once again before they started moving fluidly into one another, forming seals that were so familiar to her as if they were hardwired into her brain. Of course she had been using this jutsu for a long time so in a sense it really was hard wired, but it didn't really matter since training it was the focus of this, and it was only making it even more hard wired.

Moving forward once more, she'd poke out her lips and allow the wind to take shape, coming up her esophogus and into her mouth. As they were exhaled out of her mouth, they'd quickly be formed into that of a spinning bullet, cutting through the air and moving towards the fence at a high speed. She could feel the chakra needed was lessened now, and it seemed a bit more powerful and slightly faster.* - Thu Oct  8 18:11:50 2015
<br><br><font color=yellow>*Nina(Ninasky115) watched the bullets whizz through the air once again, they'd shoot forward with pretty good speed before clanking up against the fence further down the road. She'd look towards Ortho just to see if she had any type of expression on his face about her. Though, whether he did or not, she'd turn back towards the fence and prepare to do the same thing. It was pretty repetitive, but she could feel herself increasing in her prowess for the jutsu.

Once again, she'd pull her hands up to her chest, her eyes focusing now on, instead of the fence entirely, the holes in the fence. This would help her aim a bit more than simply hitting the fence as a whole. Her face turned into a bright smile now, thinking that this was a wonderful idea that she had come up with all on her own. Her eyes scanned through one section of the fence, and took her aim. Instead of one, she'd aim to go through multiple holes.

Pulling her hands up, she'd clap them together softly, but hard enough for a sound to be heard by both of her spectators who were in the area. Her hands would move through the handseals quickly, almost quicker than ever before since she had used the jutsu so much and since her mastery was going up so quickly, that it was as if she was becoming a master by the end of the day.

By now, her chakra had already began seeping into the wind in her lungs, it was clear that she was doing this on instinct by now. She used much, much less chakra this time than she had ever done, so it was a clear sign that her mastery over the jutsu was increasing. She had always progressed pretty quickly, even when she was a small child.

Shooting forward, she'd allow the wind to form in her mouth, her lips pushing forward and allowing the bullet to shoot out quickly. The aim of the bullets improved as well, and the bullets would quickly shoot out of her mouth at an extremely quick pace. Moving forward towards the fence, she'd watch them cut through the holes, the sound completely silent as they passed through the holes.* - Thu Oct  8 18:24:38 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Hey, I'm getting better aren't I?~ - Thu Oct  8 18:24:38 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Hmm. - Thu Oct  8 18:26:20 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Don't you think so? - Thu Oct  8 18:27:12 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I do. - Thu Oct  8 18:28:03 2015
<br><br><font color=teal>*Nina(Ninasky115) says: So should I keep going?~ - Thu Oct  8 18:31:28 2015
<br><br><font color=yellow>*Nina(Ninasky115) sighed lightly as she looked towards the fence once again. Without another sound, she'd look at the fence once more, looking at it hard and picking her spots like she always does. Her eyes picked up specific things now, one of them being one of the holes in the fences, and the other being some of the bigger and easier things to hit.

Pulling her hands up quickly, she'd clap them together at chest level and begin flowing through the handseals that she knew and loved so much. Of course it was her only jutsu, so it was quite helpful, and she'd probably used it well over fifty times so it was nothing but natural to her by now.

Pushing her lips forward quickly, she'd chuckle before allowing the bullets to begin shooting out, hitting her marks pretty will considering that she hadn't really tried to practice her aim at all. But with her bullets, her aim was pretty well overall.* - Thu Oct  8 19:05:36 2015
<br><br><font color=yellow>*Nina(Ninasky115) sighed as she turned her head towards Takeda, then looked back forward at the fence in front of her. She was kind of tired of training, but it's seriously helping her in the long run. This would hopefully be the last time that she had to do this overall, of course when it came to this spammage of training that she was doing anyway.

Bringing her hands up, she'd focus her hands on the handseals once more. Looking up at the wall, she'd flow her hands through the series quickly and quietly, her hands moving in almost a flash due to her new mastery over the jutsu. Her progression was serious outstanding when it came to everything.

As she increased her jutsu through the hard training, she'd sigh once more. Pulling in another breath after doing so, she'd lean forward and allow her her chakra to focus into the wind that was built into her chest. And with that, the jutsu was already in motion and there was no stopping her now. And now, she'd allow it to go off.

The balls of wind would quickly be formed into those that seemed like bullets, before she released them forward, not caring what she really hit in all honesty. It was just about the training now. She had to master this technique already, it was simply a must.

After blasting the jutsu outwards, she'd sigh and turn her head towards Takeda. "I'm bored. This training is really getting old now. She'd sigh to herself once again, needing a but more fun in her life. * - Thu Oct  8 19:55:05 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hey. - Thu Oct  8 19:56:48 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Hi Hideki!~ - Thu Oct  8 19:57:39 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Training is boring but it still has to be done if you want to get stro- - Thu Oct  8 19:57:39 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Hello... - Thu Oct  8 19:57:39 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Did you master the jutsu I taught you Nina? - Thu Oct  8 19:57:39 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Mhm.~ And I mastered the jutsu that I used against you.~ - Thu Oct  8 19:57:39 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hm... - Thu Oct  8 19:58:30 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Learn this one next. - Thu Oct  8 20:00:12 2015
<br><br><font color=teal>*Lyala(BoyFlareon) thinks: He never taught me none of that... - Thu Oct  8 20:00:12 2015
<br><br><font color=teal>*Lyala(BoyFlareon) thinks: And I'm his girlfriend.  - Thu Oct  8 20:00:12 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I feel a disturbence.... - Thu Oct  8 20:00:12 2015
<br><br><font color=yellow>*Nina(Ninasky115) picked up the scroll and unraveled it, noticing that it was a weapon jutsu. Frowning a bit, she'd look up at Hideki. "Awww, can I get something else? I don't use weapons much.~"* - Thu Oct  8 20:01:04 2015
<br><br><font color=teal>*Hideki(Assassin241) says: *Coughs* - Thu Oct  8 20:01:55 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I don't really have the wind element, so I really can't teach you anything in that category. - Thu Oct  8 20:01:55 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Awww, that sucks... - Thu Oct  8 20:02:46 2015
<br><br><font color=teal>*Hideki(Assassin241) says: So I thought maybe some non elemental techniques could work for you, Nina. - Thu Oct  8 20:02:46 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I could teach you the wind jutsu I know - Thu Oct  8 20:02:46 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: But I suck at it currently. - Thu Oct  8 20:02:46 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ... - Thu Oct  8 20:02:46 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I've seen you somewhere.. - Thu Oct  8 20:03:37 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Hmm, okay.~ - Thu Oct  8 20:03:37 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Me? Yeah probably. - Thu Oct  8 20:03:37 2015
<br><br><font color=teal>*Nina(Ninasky115) says: And Hideki, I want you to teach me another element.~ It doesn't seem like a lot of people have wind. - Thu Oct  8 20:03:37 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I'm usually with Ortho and Suitengu. - Thu Oct  8 20:03:37 2015
<br><br><font color=teal>*Hideki(Assassin241) says: A lot of people have wind Nina, the Raikage even has wind. - Thu Oct  8 20:04:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Weren't you also with Erebus? - Thu Oct  8 20:04:28 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Uh...Not really. - Thu Oct  8 20:04:28 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I never see them. But I still want to learn another element, if that's okay. - Thu Oct  8 20:04:28 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: That was a long while ago now. - Thu Oct  8 20:04:28 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Before Konoha was even destroyed. - Thu Oct  8 20:04:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: It will take a long time Nina, and a lot of training sessions. - Thu Oct  8 20:04:28 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'll put in the work. I'm like a genius around here.~ - Thu Oct  8 20:05:20 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Learning elements if fun. - Thu Oct  8 20:05:20 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Whats your name? <@Takeda> - Thu Oct  8 20:05:20 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: is* - Thu Oct  8 20:05:20 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: My name is Takeda. - Thu Oct  8 20:05:20 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I see, nice to meet you Takeda, my name is Hideki. - Thu Oct  8 20:05:20 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Likewise. - Thu Oct  8 20:05:20 2015
<br><br><font color=teal>*Nina(Ninasky115) says: But I wanna go too. - Thu Oct  8 20:06:11 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ------ - Thu Oct  8 20:06:11 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: If you need help with Elements Nina, I can help. - Thu Oct  8 20:06:11 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: No, we are going to do somethings. - Thu Oct  8 20:06:11 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Sorry. - Thu Oct  8 20:06:11 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Thu Oct  8 20:07:02 2015
