<br><font color=teal>*Nina(Ninasky115) says: Yeah yeah. - Tue Nov  3 04:55:40 2015
<br><br><font color=yellow>*Nina(Ninasky115) turned her head to look at Violet as she arrived, her course being redirected towards Violet. Walking over to her, deciding not to look at her at all but rather look down at the ground, she'd simply wrap her arms around Violet's waist and embrace her, tears attacking Violet's midsection. "I'm sorry that this happened, I only came to visit my moms. I hope you don't blame me." Then after that, Nina would turn away and once again begin walking away, before downright sprinting as quickly as she possibly could away from the village. Her eyes were planted on the ground. She just had to get away from this depression.* - Tue Nov  3 08:44:22 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: I'm not going to let her be alone. . .from what I can gather bad things must keep happening. - Tue Nov  3 09:13:23 2015
<br><br><font color=yellow>*Nina(Ninasky115) turned her head over towards Thaenan. "No, my hands are fine. You shouldn't even be here with me."* - Tue Nov  3 09:14:14 2015
<br><br><font color=yellow>*Nina(Ninasky115) turned around and began walking, keeping her ears perked to hear anything behind her. "I said I'm fine. I don't need my hands checked." As she said that, she'd grab at her cloak and rip a few strips, using them to wrap around her wounded hands and to stop the bleeding. It was painful, but it would do.* - Tue Nov  3 09:18:30 2015
<br><br><font color=yellow>*Nina(Ninasky115) continued walking forward, turning her head back. "Because you saw what happened, and I don't know what'll happen next." After saying that, she'd turn her head forward and continue walking on.* - Tue Nov  3 09:22:46 2015
<br><br><font color=yellow>*Nina(Ninasky115) watched as she moved in front of him, and simply side-stepped around him and continued walking. Without caring much for what he was talking about, she decided to make an easy decision on how to decide if he would follow or not. Paying money to a Caravan, she'd step one foot into it before turning around and pushing a hand out. "Stay or go, last chance. You better decide well."* - Tue Nov  3 09:29:36 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Before we get where we're going. - Tue Nov  3 09:37:16 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Mind if I show you my first reason? - Tue Nov  3 09:38:08 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Fine. - Tue Nov  3 09:38:08 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: As I'll need to hide it where we're going as well. - Tue Nov  3 09:38:08 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I see, that's quite unique. What is the other reason? - Tue Nov  3 09:42:24 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: - - Tue Nov  3 09:42:24 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I decided to stick with you. - Tue Nov  3 09:43:15 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I saw you back there, and simply made the choice. - Tue Nov  3 09:43:15 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Hm. - Tue Nov  3 09:43:15 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Now lets go, Ortho should be right around here. - Tue Nov  3 09:44:57 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . .Oh? - Tue Nov  3 09:44:57 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Let's go then. - Tue Nov  3 09:45:48 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) whispers: You gotta skype?) - Tue Nov  3 09:47:31 2015
<br><br><font color=teal>*Nina(Ninasky115) whispers: (ninasky2115) - Tue Nov  3 09:47:31 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) whispers: Added.) - Tue Nov  3 09:48:22 2015
<br><br><font color=yellow>*Nina(Ninasky115) 's eyes locked on to Ortho as she walked forward, her hands flowing through hands silently. Moving forward, she'd purse her lips and suddenly begin shooting out wind bullets, all of them aiming to smack into the back of his head. These bullets were blunt, and were meant to cause damage, especially since he was off guard.* - Tue Nov  3 09:49:13 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'm not playing, what the hell was that!? - Tue Nov  3 09:57:45 2015
<br><br><font color=teal>*Nina(Ninasky115) says: You think you can do things like that and get away with it? What if you hurt Violet or Lera?!? - Tue Nov  3 09:58:36 2015
<br><br><font color=teal>***Concealed Figure**(TenaciousRiven) thinks: And what if she had hurt me? Only care who gets hurt when she knows them, then? - Tue Nov  3 10:02:01 2015
<br><br><font color=teal>*Nina(Ninasky115) says: You know what. - Tue Nov  3 10:02:52 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I have had it with these monkey fighting androids. In this monday to friday timeline! - Tue Nov  3 10:02:52 2015
<br><br><font color=yellow>*Nina(Ninasky115) crossed her arms and stared at Ortho. It seemed that any trace of innocence and childhood that she had in her body had seemingly been whisped away and out of her body. "You're staying with me from now on, nothing else to it. Training or dates, we stay together." Turning her head back to Thaenan, she'd point at him and then look back to Ortho. "He's joining us as well." After speaking as such, she'd cross her arms back and turn towards the chick who was....talking to a plant? She got that they were interesting, but could they really hold a conversation? All questions for later. "Who's she?"* - Tue Nov  3 10:06:17 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) whispers: I have plenty of money. - Tue Nov  3 10:12:16 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) whispers: Hmph. I'll cover you. - Tue Nov  3 10:12:16 2015
<br><br><font color=yellow>*Nina(Ninasky115) crossed her arms tighter, as if they had gotten into a competition. "Oh, speaking of money, I'd like some please. Or I'd at least like a sword better than this regular old Katana." Smirking a little, she'd look Ortho directly in the eyes. "And I want you to givve me a kiss on my forehead. It's probably a bad decision, but it's mine to make."* - Tue Nov  3 10:13:07 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Jeez, can't even get a kiss from my brother. - Tue Nov  3 10:20:48 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Bummer. - Tue Nov  3 10:20:48 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Tue Nov  3 10:20:48 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: I'm glad I'm a single child. - Tue Nov  3 10:20:48 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I have you to protect, kiddo. - Tue Nov  3 10:20:48 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Can't have you killing me yet. - Tue Nov  3 10:20:48 2015
<br><br><font color=teal>***Concealed Figure**(TenaciousRiven) thinks: Is that offspring is like---oh brother.... I guess...he doesn't look that old. - Tue Nov  3 10:21:39 2015
<br><br><font color=teal>***Concealed Figure**(TenaciousRiven) says: *that what - Tue Nov  3 10:21:39 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Anyway, what now? - Tue Nov  3 10:22:30 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I just got done destroying a village. - Tue Nov  3 10:24:12 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I'm.. going to kick my foot up and relax. - Tue Nov  3 10:24:12 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Maybe try to get this Um- female to talk. - Tue Nov  3 10:24:12 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: See what she's about. - Tue Nov  3 10:24:12 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: While -you- and your new boyfriend train. - Tue Nov  3 10:25:04 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: - - Tue Nov  3 10:25:04 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: Boyfriend? What? - Tue Nov  3 10:25:04 2015
<br><br><font color=teal>*Nina(Ninasky115) says: My new boyfriend? - Tue Nov  3 10:25:04 2015
<br><br><font color=teal>*Nina(Ninasky115) says: At least he'd kiss me before my own brother, hmph. - Tue Nov  3 10:25:04 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Tue Nov  3 10:25:04 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: If he kisses you, I'll feed his lips to Manda. - Tue Nov  3 10:25:55 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Tue Nov  3 10:25:55 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: I could just attach a new pair . . - Tue Nov  3 10:25:55 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Haha, good luck with that. - Tue Nov  3 10:25:55 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: Might look ugly. - Tue Nov  3 10:25:55 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..Bet. - Tue Nov  3 10:25:55 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Hey Thaenan, show him what you can do. - Tue Nov  3 10:25:55 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Yes, Thaenan. - Tue Nov  3 10:26:46 2015
<br><br><font color=teal>***Concealed Figure**(TenaciousRiven) says: Why....do you want your brother to kiss you? - Tue Nov  3 10:26:46 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Show the big bad- - Tue Nov  3 10:26:46 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..... - Tue Nov  3 10:26:46 2015
<br><br><font color=teal>*Nina(Ninasky115) says: W-....What? - Tue Nov  3 10:26:46 2015
<br><br><font color=teal>*Nina(Ninasky115) says: It was a joke. - Tue Nov  3 10:26:46 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Because I knew he wouldn't do it. - Tue Nov  3 10:26:46 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Kirigakure? - Tue Nov  3 10:31:02 2015
<br><br><font color=teal>*Nina(Ninasky115) whispers: Go on Thaenan, show him what you can do. - Tue Nov  3 10:31:02 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I see, I see- - Tue Nov  3 10:31:02 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Yes. - Tue Nov  3 10:31:02 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Tue Nov  3 10:31:53 2015
<br><br><font color=teal>*Nina(Ninasky115) whispers: Grab his foot or something, go. - Tue Nov  3 10:31:53 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) whispers: And do you want me to lose a piece of my body that badly? - Tue Nov  3 10:33:36 2015
<br><br><font color=teal>*Nina(Ninasky115) whispers: He won't do anything. - Tue Nov  3 10:33:36 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) whispers: He just roasted half of Kiri. - Tue Nov  3 10:33:36 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) whispers: And you're telling me. . . - Tue Nov  3 10:33:36 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) whispers: He won't do anything? - Tue Nov  3 10:33:36 2015
<br><br><font color=teal>*Nina(Ninasky115) whispers: He did, and didn't lay a finger on me or you. - Tue Nov  3 10:33:36 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Alright.. - Tue Nov  3 10:38:43 2015
<br><br><font color=yellow>*Nina(Ninasky115) clapped her hands together and began flowing through handseals quickly, already knowing what jutsu it would be based on the handseals themselves. As the wind bullets began coming forward, her earth wall would quickly shoot up out of nowhere, being quite sturdy and thick. It was capable of taking a beating.* - Tue Nov  3 10:46:24 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) thinks: Fuck it. - Tue Nov  3 10:47:15 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) thinks: I'll take them both on. - Tue Nov  3 10:48:06 2015
<br><br><font color=teal>*Ume(TenaciousRiven) thinks: Ewwwwwwy - Tue Nov  3 10:49:48 2015
<br><br><font color=yellow>*Nina(Ninasky115) quickly turned her head towards the earth that was coming up from the ground. Moving quickly, Nina would unsheath her sword and, flowing wind elemental chakra into it just to make sure it got the job done, she'd cut through the earth before they could really do any damage to Thaenan or wrap him up in an attempt to immobilize him. Nope, none of that was allowed.* - Tue Nov  3 10:54:04 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You missed a good fight, Nina. - Wed Nov  4 05:16:35 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Wed Nov  4 05:41:20 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Ortho. - Wed Nov  4 05:42:11 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: You know damn well who did it. - Wed Nov  4 05:42:11 2015
<br><br><font color=yellow>*Nina(Ninasky115) 's eyes focused on the dead body of Violet. After all of the death that she had seen in her life, the events with Kenshin and Ortho on Manda, this was one final one. This was the one that pushed her over her limit, caused her to lose herself. Her body seemed to shake uncontrollably. So far, she could only see one person in her mother's blood, the only person that he saw holding her corpse. And on top of that, the only one that Ortho had blamed for being the one who killed his adopted mother.

She felt betrayed, but that was the understatement of the year. Moving forward as quickly as possible, she'd quickly grab and unsheath her katana while flowing fire through it. As she ran forward, she aimed to swing it high at Thaenan's neck, completely beheading him and moving on with his head rolling along the ground. Her eyes focused on Ortho then, the flaming sword still in her hand as she stopped in front of him. "What. Happened." She had no tone of compassion or love for anyone at that certain moment, it was as if a demon had taken control.* - Wed Nov  4 05:46:27 2015
<br><br><font color=yellow>*Nina(Ninasky115) was blasted by water, causing her body to roll back against the ground before eventually coming towards a skidding halt on her feet. It was clear who had done it now, she knew exactly what happened. Sheathing her blade, she'd walk up to Thaenan and grab Violet's body lightly. After doing such, she would spin around and begin walking off without any words to any of them.* - Wed Nov  4 05:59:15 2015
<br><br><font color=yellow>*Nina(Ninasky115) stopped walking for a second and turned her head. "If you weren't such an asshole of a brother and a piece of shit human, she wouldn't be dead right now either." And with that, she'd turn and walk off to have her peaceful meeting with her mother for the last time.* - Wed Nov  4 06:02:40 2015
<br><br><font color=yellow>*Nina(Ninasky115) had simply continued walking away. She was ignoring the outside word, this was something that meditation wouldn't help for a long while.* - Wed Nov  4 06:10:20 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..Leave her. - Wed Nov  4 06:13:45 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Let her have her moment. - Wed Nov  4 06:14:36 2015
<br><br><font color=yellow>*Nina(Ninasky115) lied down Violet's body, her head turning towards the ground beside her. Moving her hands quickly, she'd allow a small earth wall to pop up, making it the perfect size of a body, especially being Violet's body size. It was almost perfect to her. Laying her on the ground, she'd allow a few tears to fall down her face. Nina would move forward to kiss her on the dead forehead, her last moment with the woman. And her last moment with her alive was her basically leaving Violet alone. This would ache in the back of her head forever, but she knew that she was going to get revenge. On both Ortho, and Kirigakure. They were also involved in this, and she knew that.* - Wed Nov  4 06:17:10 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . . - Wed Nov  4 06:17:10 2015
<br><br><font color=yellow>*Nina(Ninasky115) turned her head towards Sanoke, her eyes void of any emotion, but her face showing the streaks of tears that had been flowing down her face just a few moments before. Stepping out of the grave without any words, she'd simply turn her body and touch the wall made of earth that she had created. Pushing it over on top of the grave, it would land lightly over Violet's body just before crushing her.

Dropping down to her knees, she'd kiss the ground just above her body and say, "Your daughter Nina, and your beloved  Lera, loves you very much. This will not be forgotten, nor forgiven." After that, she'd walk cautiously around the grave, a good amount past respectful that seemed to just be rediculous. Turning her head back over towards Sanoke, she'd quickly mutter a phrase. "Leave. This is a private and untouched place." And with that, Nina would do a quick flash of handseals that caused a large dome out of the surrounding earth to shoot above the grave, making sure it was untouched by the random animals passing by.* - Wed Nov  4 06:29:58 2015
<br><br><font color=yellow>*Nina(Ninasky115) turned her head to Sanoke as she felt the hand on her shoulder. She paused for a moment, and then turned and continued to walk back to where she was coming from. "Leave me alone."* - Wed Nov  4 06:35:56 2015
<br><br><font color=yellow>*Nina(Ninasky115) turned her hand and swatted his hand, using all of her strength with said swat. "I said leave me the FUCK alone! Can't you take a god damned hint, I don't want to talk to you!"* - Wed Nov  4 06:36:48 2015
<br><br><font color=yellow>*Nina(Ninasky115) turned back towards the direction that she was walking. "My heart is already hardened." And after that, she'd begin walking away once again, and she wasn't stopping this time.* - Wed Nov  4 06:40:12 2015
<br><br><font color=yellow>*Nina(Ninasky115) looked up at Sanoke, and placed a hand on her Katana. "Leave. Me. Alone."* - Wed Nov  4 06:41:04 2015
<br><br><font color=teal>*Nina(Ninasky115) says: No. Now leave me alone. - Wed Nov  4 06:42:46 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I can't. Well. . No, I won't. - Wed Nov  4 06:42:46 2015
<br><br><font color=yellow>*Nina(Ninasky115) simply walked around him now. "You'll be alright. I have my own place to stay."* - Wed Nov  4 06:44:28 2015
<br><br><font color=yellow>*Nina(Ninasky115) just continued walking.* - Wed Nov  4 06:45:20 2015
<br><br><font color=yellow>*Nina(Ninasky115) unsheaths her katana, allowing wind to flow through it and increase its sharpness. "Don't try me Sanoke. Don't risk our friendship because you want a little girly pet."* - Wed Nov  4 06:47:53 2015
<br><br><font color=yellow>*Nina(Ninasky115) turned her eyes and nodded. "Good, go and take her home. I don't need nor want your charity. And I damn sure don't want to go with you."* - Wed Nov  4 06:51:18 2015
<br><br><font color=yellow>*Nina(Ninasky115) continued walking back to where she had come from.* - Wed Nov  4 06:54:43 2015
<br><br><font color=teal>*** Peasant Girl **(TenaciousRiven) thinks: She's back. - Wed Nov  4 06:55:34 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: Such a drag. - Wed Nov  4 06:56:25 2015
<br><br><font color=teal>*** Peasant Girl **(TenaciousRiven) says: Are the other villages like the water place? - Wed Nov  4 06:57:16 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Which one of you took it. - Wed Nov  4 06:57:16 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Took what, sis'? - Wed Nov  4 06:58:59 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: And, now I'm fucked. - Wed Nov  4 06:58:59 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Don't call me sis, my name is Nina. - Wed Nov  4 06:58:59 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Who took her swords. They were a gift from Lera. - Wed Nov  4 06:58:59 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: True, true.- - Wed Nov  4 06:58:59 2015
<br><br><font color=teal>*Nina(Ninasky115) says: They're being buried with her, I want them now. - Wed Nov  4 06:58:59 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: A Kirigakure shinobi took it from her corpse. - Wed Nov  4 06:59:50 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . .Some kid in Kirigakure. - Wed Nov  4 06:59:50 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Despite Thaenan's efforts to get them. - Wed Nov  4 06:59:50 2015
<br><br><font color=teal>*Nina(Ninasky115) says: ...... - Wed Nov  4 06:59:50 2015
<br><br><font color=teal>*Nina(Ninasky115) says: So they couldn't help her fight, but they took her swords. - Wed Nov  4 06:59:50 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Kirigakure led to her death. - Wed Nov  4 06:59:50 2015
<br><br><font color=teal>*** Peasant Girl **(TenaciousRiven) says: They all stood and watched.... - Wed Nov  4 07:00:41 2015
<br><br><font color=teal>*Nina(Ninasky115) says: You were a part of it too, asshole. - Wed Nov  4 07:00:41 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: -leard her to her death*- - Wed Nov  4 07:00:41 2015
<br><br><font color=teal>*Nina(Ninasky115) says: And you'll pay for it as well. - Wed Nov  4 07:00:41 2015
<br><br><font color=teal>*Nina(Ninasky115) says: But first, I'm focusing on them as well. - Wed Nov  4 07:00:41 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Yeah, yeah. Whatever. Blame me for the foolish mindset that Kirigakure brainwashed her with. - Wed Nov  4 07:00:41 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I blame you for being the one who killed her, and you know thisl - Wed Nov  4 07:01:32 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: My mission was to destroy their military. Violet's false pride for the village led to her death. - Wed Nov  4 07:01:32 2015
<br><br><font color=teal>*Nina(Ninasky115) says: So stop playing so innocent. - Wed Nov  4 07:01:32 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Now. - Wed Nov  4 07:01:32 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: No. I admit to piercing her chest. - Wed Nov  4 07:01:32 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I admit to it with pride. - Wed Nov  4 07:01:32 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: And.. joy. - Wed Nov  4 07:01:32 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: Did I perhaps pick the wrong group to accidently join into? - Wed Nov  4 07:01:32 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Ortho. - Wed Nov  4 07:01:32 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Shut the fuck up. - Wed Nov  4 07:01:32 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I left her with numerous opportunities to leave the batt- - Wed Nov  4 07:02:24 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: No.. - Wed Nov  4 07:02:24 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Enough of your bitching.. - Wed Nov  4 07:02:24 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Grow up.. - Wed Nov  4 07:02:24 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I can't baby you, or at least try to. - Wed Nov  4 07:02:24 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I have grown up, you never being around made sure of that. - Wed Nov  4 07:02:24 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Fuck it.. - Wed Nov  4 07:03:15 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: Damn. . . - Wed Nov  4 07:03:15 2015
<br><br><font color=teal>*Nina(Ninasky115) says: And now I get a family and you kill them as well. - Wed Nov  4 07:03:15 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Me being around did you -good-. - Wed Nov  4 07:03:15 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I've grown up quite enough. - Wed Nov  4 07:03:15 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Enough to know who I'm good around and who I'm not. - Wed Nov  4 07:03:15 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Hell, if it weren't for my love that I had for you as my brother, I wouldn't even acknowledge you. - Wed Nov  4 07:03:15 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Apparently not enough. You still hold malice for me when I didn't even pay attention to Violet until -she- came at me. - Wed Nov  4 07:03:15 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I was fine with letting her live until she made the wrong move. - Wed Nov  4 07:03:15 2015
<br><br><font color=teal>*Nina(Ninasky115) says: So take your "joy" in killing as well as your "joy" of losing your sister. - Wed Nov  4 07:04:06 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Hate me? Fine, good. Do that. - Wed Nov  4 07:04:06 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Losing my sister? Pssh. - Wed Nov  4 07:04:06 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Yeah, okay. - Wed Nov  4 07:04:06 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You'll eventually see. - Wed Nov  4 07:04:06 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You'll see perfectly clear what I'm talking about. - Wed Nov  4 07:04:06 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Everything is falling into place. All you have to do.. is see. - Wed Nov  4 07:04:57 2015
<br><br><font color=yellow>*Nina(Ninasky115) turned her eyes back towards Thaenan. "Come on, lets go and train." After saying that, she'd turn and begin walking past Ortho, her face void of emotion.* - Wed Nov  4 07:04:57 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) thinks: She's close.. - Wed Nov  4 07:05:48 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) thinks: Very close.. - Wed Nov  4 07:05:48 2015
<br><br><font color=yellow>*Nina(Ninasky115) turned her eyes back towards Ortho. "Remember to sleep with one eye open and a weapon on hand, bro."* - Wed Nov  4 07:05:48 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Mhm. I'll tuck you later tonight after your glass of apple juice. - Wed Nov  4 07:06:40 2015
<br><br><font color=teal>*Nina(Ninasky115) says: And I'll bring my sword to cut your fucking head off. - Wed Nov  4 07:06:40 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Slice neatly. - Wed Nov  4 07:07:31 2015
<br><br><font color=yellow>*Nina(Ninasky115) was trying to keep a leveled head, but she was being pushed into a corner of hate, and she wasn't going to go down without a fight. She had finally broken. Shooting forward towards Ortho with her katana unsheathed, she'd quickly leap forward with as much speed as she could, which she doesn't have much of, she'd send a powerful horizontal slash towards his throat, similar to what she had attempted on Thaenan.* - Wed Nov  4 07:09:13 2015
<br><br><font color=yellow>*Nina(Ninasky115) felt the threads wrapping around her body, her eyes quickly turning back at Thaenan. Grunting in anger, she'd turn her head over towards Ortho and his water gun that was shooting towards her. Gripping her katana tightly, she'd look up into the sky and let out a yell that seemed to shake the heavens and put anyone in dragon ball z to shame. With this scream, she'd allow her lightning element to suddenly surge out, both electricuting the water as well as the threats around her body.

This was intent on damaging Thaenan to the point where he would have to let her go, as well as send the lightning current up the water gun and hopefully effect him as well. She was new to this lightning element, but she was thinking more logically than anything else right now. That's right, she could make jokes while doing this.* - Wed Nov  4 07:16:54 2015
<br><br><font color=yellow>*Nina(Ninasky115) was pulled away from the water, her eyes looking down at the threads. "Let me go..."* - Wed Nov  4 07:29:42 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: You wanted to go train right? - Wed Nov  4 07:29:42 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Take your anger out on me then, - Wed Nov  4 07:29:42 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) thinks: This guy brave as hell. - Wed Nov  4 07:29:42 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) thinks: Haha, fool. - Wed Nov  4 07:29:42 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Agree to that, and I'll let you go. - Wed Nov  4 07:31:24 2015
<br><br><font color=teal>*Nina(Ninasky115) says: ......Fine. We can train here then. - Wed Nov  4 07:31:24 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Wed Nov  4 07:32:16 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: We're going away from Ortho for now. - Wed Nov  4 07:32:16 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Show someone what they have coming for them. - Wed Nov  4 07:32:16 2015
<br><br><font color=teal>*Nina(Ninasky115) says: No, I'm not. - Wed Nov  4 07:32:16 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: I don't need to be -seen- getting kicked around like a rag doll. - Wed Nov  4 07:32:16 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I don't want to risk a 'stray' attack. - Wed Nov  4 07:33:07 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Too bad. That's the deal. - Wed Nov  4 07:33:07 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Last I checked. . . - Wed Nov  4 07:33:07 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I was the one holding onto you? - Wed Nov  4 07:33:58 2015
<br><br><font color=teal>*** Peasant Girl **(TenaciousRiven) says: So like I asked earlier. What are the other villages like? - Wed Nov  4 07:33:58 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: - - Wed Nov  4 07:33:58 2015
<br><br><font color=teal>*Nina(Ninasky115) says: And last I checked, I was the one who was going to behead you. - Wed Nov  4 07:33:58 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Don't test me right now. - Wed Nov  4 07:33:58 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Wed Nov  4 07:33:58 2015
<br><br><font color=yellow>*Nina(Ninasky115) shrugged and took her blade, sheathing it quickly. "Oh well." Turning her head over towards Ortho now, she'd sit on the ground, her face twisted in anger and hate. One could only imagine of the horrible things she could be thinking right now.* - Wed Nov  4 07:35:40 2015
