<br><font color=teal>*Uchiha, Mitarashi(Maruka) says: It's worth a shot. - Wed Dec  9 02:34:52 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: I wonder if he's a virgin.. - Wed Dec  9 05:11:53 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Clearly she wants the Leader Dick.. - Wed Dec  9 05:11:53 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Nahhhh, humans always taste good. - Wed Dec  9 05:13:36 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Kumogakure has the best flavors, I don't think I want your Suna dead. - Wed Dec  9 05:13:36 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: They probably taste like cat litter. - Wed Dec  9 05:13:36 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Know who taste even better? - Wed Dec  9 05:13:36 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: You.~ - Wed Dec  9 05:14:27 2015
<br><br><font color=teal>*Takuma(Brosis55) says: --- - Wed Dec  9 05:14:27 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: .... - Wed Dec  9 05:14:27 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Yo. - Wed Dec  9 05:14:27 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: No. - Wed Dec  9 05:14:27 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: NAh. - Wed Dec  9 05:14:27 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Wait. - Wed Dec  9 05:14:27 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) thinks: Damn. - Wed Dec  9 05:14:27 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: There's no reason to attack Kono now. - Wed Dec  9 05:16:09 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Or you're going to find that the wrath of Sunagakure burning like no other. - Wed Dec  9 05:17:00 2015
<br><br><font color=yellow>*Takuma(Brosis55) scratched the top of his head.

"Who are you talking too. . " he asked, until he turned on his heels. "Oh."* - Wed Dec  9 05:17:52 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Maybe he's deaf. - Wed Dec  9 05:18:43 2015
<br><br><font color=yellow>*Takuma(Brosis55) grabbed a pebble.

Threw said pebble at the male.* - Wed Dec  9 05:18:43 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Can I eat him? - Wed Dec  9 05:19:34 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: So you think you're grown. - Wed Dec  9 05:19:34 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: No. - Wed Dec  9 05:19:34 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Hmph. - Wed Dec  9 05:19:34 2015
<br><br><font color=yellow>*Takuma(Brosis55) grabbed a rock.

Threw the rock at the male.* - Wed Dec  9 05:19:34 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Where are your prisoners? - Wed Dec  9 05:19:34 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: So you can eat them? - Wed Dec  9 05:19:34 2015
<br><br><font color=teal>*Takuma(Brosis55) says: -- - Wed Dec  9 05:19:34 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: ...yeah? - Wed Dec  9 05:20:25 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Hey. - Wed Dec  9 05:20:25 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Guy. - Wed Dec  9 05:20:25 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: .... - Wed Dec  9 05:20:25 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Nah.. - Wed Dec  9 05:20:25 2015
<br><br><font color=teal>*Takuma(Brosis55) says: You're bleeding. - Wed Dec  9 05:20:25 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: ...we had a deal. - Wed Dec  9 05:20:25 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: You went to Takuma. - Wed Dec  9 05:21:16 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Not me. - Wed Dec  9 05:21:16 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Ye. - Wed Dec  9 05:21:16 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: ....Your village made a dea--no I went to YOU and you fell the FUCK to SLEEP. - Wed Dec  9 05:21:16 2015
<br><br><font color=teal>*Takuma(Brosis55) says: --- - Wed Dec  9 05:21:16 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Yoooooooooooooooooo. - Wed Dec  9 05:21:16 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Well... - Wed Dec  9 05:21:16 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: That is pretty accurate. - Wed Dec  9 05:21:16 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: But. - Wed Dec  9 05:21:16 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: My prisoners.... - Wed Dec  9 05:21:16 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Do they really deserve to be eaten alive? - Wed Dec  9 05:22:08 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: No. - Wed Dec  9 05:22:08 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Well, some do. - Wed Dec  9 05:22:08 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: But thats besides the point. - Wed Dec  9 05:22:08 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Your village has a deal with me, the deal was made! I healed YOUR shinobi because the deal was formed, do I need to undo what I did to fix his shoulder? DO I? - Wed Dec  9 05:22:08 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Tch. - Wed Dec  9 05:22:08 2015
<br><br><font color=teal>*Takuma(Brosis55) says: --- - Wed Dec  9 05:22:08 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: You ask too much of me. - Wed Dec  9 05:22:59 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I only asked for a deal for those that are being executed, THAT'S PRETTY FUCKING REASONABLE. - Wed Dec  9 05:22:59 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Oh. - Wed Dec  9 05:22:59 2015
<br><br><font color=yellow>*Takuma(Brosis55) did a bunch of hand motion shit.

"Yo, we all just need to calm down."* - Wed Dec  9 05:23:50 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I'll calm down, WHEN YOU UPHOLD YOUR END OF THE DEAL. - Wed Dec  9 05:26:24 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I didn't agree to anything. - Wed Dec  9 05:26:24 2015
<br><br><font color=teal>*Takuma(Brosis55) says: To be honest. - Wed Dec  9 05:26:24 2015
<br><br><font color=teal>*Takuma(Brosis55) says: You made the deal with me. - Wed Dec  9 05:26:24 2015
<br><br><font color=teal>*Takuma(Brosis55) says: So technically. - Wed Dec  9 05:27:15 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Sly-kun, I'm going to bite you now. Kay?  - Wed Dec  9 05:27:15 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I'm at fault. - Wed Dec  9 05:27:15 2015
<br><br><font color=yellow>*Takuma(Brosis55) jumped back, forming several hand signs, kneading chakra in his bodys system for a short while. Takuma looked rather angered, that his own comrade took the hit for him. Takuma clenched his teeth. "Release him. . . . I'm not playing anymore games." he stated, a hit of anger in his voice. He held the last hand sign, not yet releasing the technique.* - Wed Dec  9 05:33:13 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: They're going to fuck. - Wed Dec  9 05:41:45 2015
<br><br><font color=yellow>*Takuma(Brosis55) out of his back pocket, he slid a box of condoms across to Sogeki. It hit against the heel of his right foot.* - Wed Dec  9 05:41:45 2015
<br><br><font color=yellow>*Takuma(Brosis55) slid across the ground.

"Yo, let me borrow those. . .I want to pull a prank."

omit.* - Wed Dec  9 05:45:10 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) thinks: She's a biter. - Wed Dec  9 05:48:35 2015
<br><br><font color=yellow>*Takuma(Brosis55) left the scene to go sleep at home.* - Wed Dec  9 05:48:35 2015
<br><br><font color=yellow>*Takuma(Brosis55) kept his distance from the two individuals infront of him. Last person he let get close to him, bit his shoulder off.

"Can I help you?"* - Wed Dec  9 20:42:01 2015
<br><br><font color=teal>*Ziare(Meekee) says: Do you know where the tea shop is? - Wed Dec  9 20:44:35 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Hm. . We don't really have a tea shop here. . .Say. . .Weren't you guys in Sunagakure? - Wed Dec  9 20:44:35 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) says: N-No Tea? - Wed Dec  9 20:45:26 2015
<br><br><font color=teal>*Ziare(Meekee) says: Uhh..At one point. - Wed Dec  9 20:45:26 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) thinks: Worthless village. - Wed Dec  9 20:45:26 2015
<br><br><font color=teal>*Ziare(Meekee) says: No where here sells tea? - Wed Dec  9 20:45:26 2015
<br><br><font color=teal>*Ziare(Meekee) says: At all? - Wed Dec  9 20:45:26 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Nope. We sell Ramen. - Wed Dec  9 20:45:26 2015
<br><br><font color=teal>*Ziare(Meekee) says: ...Mmm... - Wed Dec  9 20:45:26 2015
<br><br><font color=teal>*Ziare(Meekee) says: I see... - Wed Dec  9 20:46:17 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I kid, I kid. - Wed Dec  9 20:46:17 2015
<br><br><font color=teal>*Ziare(Meekee) says: Phew... - Wed Dec  9 20:46:17 2015
<br><br><font color=teal>*Takuma(Brosis55) says: We got a tea shop, and a ramen shop in one building. - Wed Dec  9 20:46:17 2015
<br><br><font color=teal>*Ziare(Meekee) says: You had me going there.. - Wed Dec  9 20:46:17 2015
<br><br><font color=teal>*Takuma(Brosis55) says: My bad homie. - Wed Dec  9 20:46:17 2015
<br><br><font color=teal>*Ziare(Meekee) says: Can you point me towaards it? - Wed Dec  9 20:46:17 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) says: . . . - Wed Dec  9 20:46:17 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) thinks: I was about to leave. - Wed Dec  9 20:46:17 2015
<br><br><font color=yellow>*Takuma(Brosis55) pointed toward the direction of the ramen/tea shop.

"Just go right, it's a pretty big building. You shouldn't miss it."* - Wed Dec  9 20:47:08 2015
<br><br><font color=teal>*Takuma(Brosis55) says: You two have fun now. - Wed Dec  9 20:51:24 2015
<br><br><font color=yellow>*Takuma(Brosis55) takes out of his robe pocket a box of condoms, throws some at Ziare.

"You can never be to sure."* - Wed Dec  9 20:52:16 2015
<br><br><font color=teal>*Ziare(Meekee) says: ... - Wed Dec  9 20:53:58 2015
<br><br><font color=yellow>*Takuma(Brosis55) grabbed the box of condoms, and placed them back into his robe pockets.

"Alright, well you two have fun now." he stated.

He walked off into the distance, he needed to get some training done. There wasn't really much pervertedness going on, he didn't really know what Saika's problem was with a box of condoms. How was Ziare to know if she had an STD? However, Takuma continued to trail out of their view.* - Wed Dec  9 21:00:48 2015
<br><br><font color=yellow>*Takuma(Brosis55) pulled up to the scene with his ceiling missin.

"Yo, Eiyu. When you're done, think you could teach me Shunshin?"* - Wed Dec  9 21:08:28 2015
<br><br><font color=teal>*Dahyun(BoyFlareon) says: So, what do I have to do then? - Wed Dec  9 21:13:36 2015
<br><br><font color=teal>*Dahyun(BoyFlareon) says: Raikage. - Wed Dec  9 21:13:36 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I'm going to teach you all a basic technique. - Wed Dec  9 21:13:36 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Deez nuts. - Wed Dec  9 21:13:36 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Basic Sealing. - Wed Dec  9 21:13:36 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: It's important. - Wed Dec  9 21:14:27 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: For several reasons. - Wed Dec  9 21:14:27 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Can anyone tell me why? - Wed Dec  9 21:14:27 2015
<br><br><font color=teal>*Dahyun(BoyFlareon) says: Okay, I'll just watch from the back. - Wed Dec  9 21:14:27 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Deez nutz? - Wed Dec  9 21:14:27 2015
<br><br><font color=teal>*Takuma(Brosis55) says: That's my favorite. - Wed Dec  9 21:15:18 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: LOL - Wed Dec  9 21:15:18 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: No, you won't. - Wed Dec  9 21:15:18 2015
<br><br><font color=teal>*Dahyun(BoyFlareon) says: I don't want to learn that. When you teach the technique to run on water, call me. - Wed Dec  9 21:15:18 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) thinks: It seems I must unleash my weapon when all is said and done. - Wed Dec  9 21:15:18 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I can. - Wed Dec  9 21:15:18 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: But. - Wed Dec  9 21:15:18 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: You're fairly rude. - Wed Dec  9 21:16:09 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Why is that? - Wed Dec  9 21:16:09 2015
<br><br><font color=teal>*Dahyun(BoyFlareon) says: I don't know, I'm injured. - Wed Dec  9 21:16:09 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: .... - Wed Dec  9 21:17:00 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: You should just accept this. - Wed Dec  9 21:17:00 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: It's a vital tool. - Wed Dec  9 21:17:52 2015
<br><br><font color=yellow>*Takuma(Brosis55) picks up a pebble.

Throws at Eiyu.

Awaits for bitching.* - Wed Dec  9 21:17:52 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: But I will not fight you- - Wed Dec  9 21:17:52 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Beat. - Wed Dec  9 21:17:52 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: His. - Wed Dec  9 21:17:52 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Ass. - Wed Dec  9 21:17:52 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Fuck you. - Wed Dec  9 21:17:52 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Fuck you too. - Wed Dec  9 21:17:52 2015
<br><br><font color=teal>*Takuma(Brosis55) says: No. - Wed Dec  9 21:17:52 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Fuck you! - Wed Dec  9 21:17:52 2015
<br><br><font color=teal>*Takuma(Brosis55) says: -- - Wed Dec  9 21:17:52 2015
<br><br><font color=teal>*Takuma(Brosis55) says: yo. - Wed Dec  9 21:17:52 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Teach me that. - Wed Dec  9 21:17:52 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Sure. - Wed Dec  9 21:18:43 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Can I beat taught that too? - Wed Dec  9 21:18:43 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Fuck this guy. - Wed Dec  9 21:18:43 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Teach me first. - Wed Dec  9 21:18:43 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Or be taught at the same time? - Wed Dec  9 21:18:43 2015
<br><br><font color=teal>*Takuma(Brosis55) says: -- - Wed Dec  9 21:18:43 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Fuck that guy. - Wed Dec  9 21:18:43 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Teach me first. - Wed Dec  9 21:18:43 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Or.. - Wed Dec  9 21:18:43 2015
<br><br><font color=teal>*Dahyun(BoyFlareon) says: Hm. - Wed Dec  9 21:20:25 2015
<br><br><font color=yellow>*Takuma(Brosis55) sprints out of the scene.

"I'll be back. Go ahead and uh, train that guy first."

Takuma darted out the scene.* - Wed Dec  9 21:22:59 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: The Raikage isn't around at the moment. - Thu Dec 10 02:06:17 2015
<br><br><font color=teal>*Rotori(Tyrone From State Farm) says: But who might I ask -is- the Raikage. - Thu Dec 10 02:07:08 2015
<br><br><font color=teal>*Rotori(Tyrone From State Farm) thinks: Did I hit a nerve....or do they not know.. - Thu Dec 10 02:13:07 2015
<br><br><font color=teal>*Rotori(Tyrone From State Farm) says: Well....It seems I'm taking your time. I'll depart now. - Thu Dec 10 02:16:32 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: His name is Eiyu. - Thu Dec 10 02:17:23 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Good. - Thu Dec 10 04:38:11 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: You? - Thu Dec 10 04:38:11 2015
<br><br><font color=teal>*Rotori(Tyrone From State Farm) says: Fine, just fine. A bit....Underwhelmed by the village...but good. - Thu Dec 10 04:40:44 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: I see. - Thu Dec 10 04:43:18 2015
<br><br><font color=teal>*Takuma(Brosis55) says: . . .Has Eiyu been sleepin this whole time? - Thu Dec 10 04:43:18 2015
<br><br><font color=teal>*Rotori(Tyrone From State Farm) says: Possibly, I don't know his schedule. - Thu Dec 10 04:44:09 2015
<br><br><font color=teal>*Rotori(Tyrone From State Farm) says: You are? - Thu Dec 10 04:44:09 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Takuma. . . . - Thu Dec 10 04:45:00 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I'm the Power House of Kumogakure. - Thu Dec 10 04:45:00 2015
<br><br><font color=teal>*Rotori(Tyrone From State Farm) says: Good to know, Rotori. - Thu Dec 10 04:45:52 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Nice to meet ya. - Thu Dec 10 04:45:52 2015
<br><br><font color=teal>*Takuma(Brosis55) says: What's your profession? - Thu Dec 10 04:45:52 2015
<br><br><font color=teal>*Rotori(Tyrone From State Farm) says: I haven't really given much thought about that. - Thu Dec 10 04:45:52 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I see. - Thu Dec 10 04:46:43 2015
<br><br><font color=teal>*Rotori(Tyrone From State Farm) says: What about you? - Thu Dec 10 04:46:43 2015
<br><br><font color=teal>*Rotori(Tyrone From State Farm) says: What does the 'Power House' do? - Thu Dec 10 04:46:43 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I'm an elementalist. - Thu Dec 10 04:47:34 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I'm skilled in Katon and Doton. - Thu Dec 10 04:47:34 2015
<br><br><font color=teal>*Rotori(Tyrone From State Farm) says: That's good. How proficient are you? - Thu Dec 10 04:54:24 2015
<br><br><font color=teal>*Takuma(Brosis55) says: That's a secret. - Thu Dec 10 04:56:06 2015
<br><br><font color=teal>*Rotori(Tyrone From State Farm) says: Oh? I thought we were all buddies...comrades and the like. - Thu Dec 10 04:56:06 2015
<br><br><font color=teal>*Takuma(Brosis55) says: We are. - Thu Dec 10 04:57:48 2015
<br><br><font color=teal>*Takuma(Brosis55) says: However. - Thu Dec 10 04:57:48 2015
<br><br><font color=teal>*Takuma(Brosis55) says: There have been . . . . - Thu Dec 10 04:57:48 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Some traitors before hand. - Thu Dec 10 04:57:48 2015
<br><br><font color=teal>*Rotori(Tyrone From State Farm) says: Were those traitors apprehended? - Thu Dec 10 04:57:48 2015
<br><br><font color=teal>*Takuma(Brosis55) says: And not to mention, we just got done being in a war with Sunagakure. - Thu Dec 10 04:57:48 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Of course. - Thu Dec 10 04:58:40 2015
<br><br><font color=teal>*Rotori(Tyrone From State Farm) says: Were they dealt with? - Thu Dec 10 05:02:56 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Of course. - Thu Dec 10 05:02:56 2015
<br><br><font color=teal>*Rotori(Tyrone From State Farm) says: Who were they? - Thu Dec 10 05:02:56 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Secret. - Thu Dec 10 05:02:56 2015
<br><br><font color=teal>*Rotori(Tyrone From State Farm) says: Why? - Thu Dec 10 05:03:47 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Cause I can do that - Thu Dec 10 05:03:47 2015
<br><br><font color=teal>*Rotori(Tyrone From State Farm) says: . . . - Thu Dec 10 05:03:47 2015
<br><br><font color=yellow>*Takuma(Brosis55) shook his head.

"As a Tokubetsu Jonin. I can't give much information out." he stated, smiling. Hands remained in his robe pockets.* - Thu Dec 10 05:09:45 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Shabalabadingdong. - Thu Dec 10 05:13:10 2015
<br><br><font color=teal>*Rotori(Tyrone From State Farm) says: Shabala-....I'm going to call you Dong. - Thu Dec 10 05:25:07 2015
<br><br><font color=teal>*Rotori(Tyrone From State Farm) says: So....What do you do for fun here? - Thu Dec 10 05:25:58 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Panty Raids. - Thu Dec 10 05:25:58 2015
<br><br><font color=teal>*Rotori(Tyrone From State Farm) says: I don't see many women. - Thu Dec 10 05:31:05 2015
<br><br><font color=teal>*Takuma(Brosis55) says: You just go to search man. - Thu Dec 10 05:31:56 2015
<br><br><font color=teal>*Rotori(Tyrone From State Farm) says: Seems like a hassle. - Thu Dec 10 05:31:56 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: smh - Fri Dec 11 01:29:10 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: What you guys up to? - Fri Dec 11 01:34:17 2015
<br><br><font color=teal>*Takuma(Brosis55) says: . . . - Fri Dec 11 01:34:17 2015
<br><br><font color=teal>*Dahyun(BoyFlareon) says: About to train some technique! - Fri Dec 11 01:34:17 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Yo, which one of you guys stole my undergarments? - Fri Dec 11 01:34:17 2015
<br><br><font color=teal>*Dahyun(BoyFlareon) says: Ew. - Fri Dec 11 01:35:08 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Someone broke into my house. - Fri Dec 11 01:35:08 2015
<br><br><font color=teal>*Takuma(Brosis55) says: And stole my undergarments. - Fri Dec 11 01:35:08 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Ya'll vilage. - Fri Dec 11 01:35:08 2015
<br><br><font color=teal>*Takuma(Brosis55) says: vile* - Fri Dec 11 01:35:08 2015
<br><br><font color=yellow>*Takuma(Brosis55) walked into the scene.

Why the fuck this man naked.* - Fri Dec 11 03:03:53 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Ur S rank is to kill Sanoke. - Fri Dec 11 03:20:06 2015
<br><br><font color=yellow>*Takuma(Brosis55) looked at  Eiyu.

"Heh, I'm up for the challenge. Lay it on me."* - Fri Dec 11 03:20:06 2015
<br><br><font color=yellow>*Takuma(Brosis55) nodded his toward Dahyun.

"Nice to meet ya, names Takuma." he stated, his hands in his robe pockets, as he awaited what mission Eiyu would give Takuma for the time being.* - Fri Dec 11 03:24:22 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I saw that. .  - Fri Dec 11 03:26:56 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: You ain't slick. - Fri Dec 11 03:26:56 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: No idea what you're talking about... - Fri Dec 11 03:26:56 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Spar a lower ranked shinobi. . . - Fri Dec 11 03:28:38 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Hey Eiyu. Can we spar? - Fri Dec 11 03:28:38 2015
<br><br><font color=yellow>*Takuma(Brosis55) shook his head.

He walked toward the two individuals.

"I shake my head at you, Eiyu."* - Fri Dec 11 03:33:45 2015
<br><br><font color=yellow>*Takuma(Brosis55) stared at Ai.

"What village are you from?. . .I'm one of the higher ups."* - Fri Dec 11 03:38:01 2015
<br><br><font color=yellow>*Takuma(Brosis55) omit* - Fri Dec 11 03:43:08 2015
<br><br><font color=yellow>*Takuma(Brosis55) walked out of the ramen shop.* - Fri Dec 11 03:43:08 2015
<br><br><font color=yellow>*Takuma(Brosis55) pulled up to the scene.* - Fri Dec 11 03:55:05 2015
<br><br><font color=yellow>*Takuma(Brosis55) stared at the female, arms crossed.

"Nice headband. But the details about the problem Kumogakure and Sunagakure had, is top secret information." Takuma wasn't going to let anyone in just because they flashed a Kumogakure head band. * - Fri Dec 11 04:04:28 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: How did you obtain said head-protector? - Fri Dec 11 04:06:11 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: I was from this village. - Fri Dec 11 04:06:11 2015
<br><br><font color=teal>*Takuma(Brosis55) says: "was" - Fri Dec 11 04:07:02 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: During Niklaus days. - Fri Dec 11 04:07:02 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: The Yondaime said the same thing before I exiled her. - Fri Dec 11 04:07:53 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: However, I seek no trouble. - Fri Dec 11 04:07:53 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Who's Yondaime? - Fri Dec 11 04:07:53 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Then you should get going. - Fri Dec 11 04:07:53 2015
<br><br><font color=teal>*Takuma(Brosis55) says: If you don't want to seek any trouble. - Fri Dec 11 04:07:53 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: The previous Raikage. - Fri Dec 11 04:08:44 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Why would you ever leave? - Fri Dec 11 04:08:44 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Whether you allow entry is up to Takuma. - Fri Dec 11 04:09:36 2015
<br><br><font color=yellow>*Takuma(Brosis55) turned around, hands in his robe pockets getting ready to leave.

"You can decide that for me. Sorry, but I'm getting kind of tired." he stated.* - Fri Dec 11 04:09:36 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Was assign'd to Suna back then since Kumo had complete control over it. That was the days when Konoha was under slavery. - Fri Dec 11 04:09:36 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I see.. - Fri Dec 11 04:10:27 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Takuma.. - Sat Dec 12 13:21:39 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Care to spar? - Sat Dec 12 13:21:39 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Sure, was going to ask if someone could spar me for one of my missions. - Sat Dec 12 13:21:39 2015
<br><br><font color=teal>*Takuma(Brosis55) says: -- - Sat Dec 12 13:22:30 2015
<br><br><font color=teal>*Takuma(Brosis55) says: . . .Actually, give me like. . . - Sat Dec 12 13:22:30 2015
