<br><font color=yellow>*Termine, Jover(Bosshoggoutlaw) Boxer and big eater* - Mon Nov  2 22:10:20 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: Mmmm..... - Fri Nov  6 04:13:26 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: We'll see how it goes. - Fri Nov  6 04:13:26 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: I'm not a good Kage, Takeda. - Fri Nov  6 04:13:26 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Well, you won't see how it goes. - Fri Nov  6 04:13:26 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: You're just going to take off and leave me to wander in the dark. - Fri Nov  6 04:14:17 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Funnily enough, just like most of the people I meet. - Fri Nov  6 04:15:08 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: Stop your babbling, Takeda. - Fri Nov  6 04:15:08 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: You're letting your emotions take ahold of you. - Fri Nov  6 04:15:08 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Maybe I want them to take hold of me. - Fri Nov  6 04:16:00 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Maybe I feel like being the real me once in a fucking while. - Fri Nov  6 04:16:51 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: . . . . .  - Fri Nov  6 04:17:42 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: Sigh. - Fri Nov  6 04:17:42 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Sorry Zeus, I'm finding it real hard to by sympathetic to you when you drop this shit show on me. - Fri Nov  6 04:22:49 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Not like you even fucking care. - Fri Nov  6 04:23:40 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I just wasted my time here. - Fri Nov  6 04:23:40 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: . . . . . . - Fri Nov  6 04:23:40 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Fuck it, I said my piece. - Fri Nov  6 04:25:23 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: If you refuse to even hear me out, i'm done here. - Fri Nov  6 04:25:23 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Doesn't even matter if the private exam won't kill me, being Hokage sure will. - Fri Nov  6 04:26:14 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: . . . . . . . . . . - Fri Nov  6 04:27:05 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: Takeda.  - Fri Nov  6 04:29:39 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: Come with me for a second. - Fri Nov  6 04:29:39 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: I want to explain to you the reason why I'm having you do these exams. - Fri Nov  6 04:29:39 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Fri Nov  6 04:29:39 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: Should I even bother..? - Fri Nov  6 04:29:39 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: Does it even matter at this point..? - Fri Nov  6 04:30:30 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: Come. - Fri Nov  6 04:31:21 2015
<br><br><font color=yellow>*Termine, Jover(Bosshoggoutlaw) he reaches in his bag and pulls out a bag of  chips and begins to eat them "Ohhh where are those two at."* - Fri Nov  6 17:08:16 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: ? - Fri Nov  6 17:38:08 2015
<br><br><font color=teal>*Kurt(Zygman) says: Greetings. - Fri Nov  6 20:22:49 2015
<br><br><font color=teal>*Garachi(Moonsplitter) says: Excuse me, anyone know where i can find some chakra paper? - Fri Nov  6 20:43:18 2015
<br><br><font color=teal>*Kurt(Zygman) says: Sorry, No. - Fri Nov  6 20:44:09 2015
<br><br><font color=teal>*Garachi(Moonsplitter) says: Kyu where did you get that embeded - Fri Nov  6 20:45:52 2015
<br><br><font color=teal>*Garachi(Moonsplitter) says: *omit* - Fri Nov  6 20:45:52 2015
<br><br><font color=teal>*Garachi(Moonsplitter) says: *on your prof* - Fri Nov  6 20:45:52 2015
<br><br><font color=teal>*Kurt(Zygman) says: Hm, Greetings to you as well. - Fri Nov  6 21:43:02 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Hm? - Fri Nov  6 21:46:27 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Me? - Fri Nov  6 21:46:27 2015
<br><br><font color=teal>*Kurt(Zygman) says: Mhm. - Fri Nov  6 21:47:18 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Yeah, Hi. - Fri Nov  6 21:48:09 2015
<br><br><font color=yellow>*Termine, Jover(Bosshoggoutlaw) he walks into the trainign field eating three sandwchies at once "Yo smartz Whats going dine." he would have yell.* - Mon Nov  9 00:25:10 2015
<br><br><font color=teal>*Ziare(Meekee) says: Rias is forcing me to train. - Mon Nov  9 00:26:01 2015
<br><br><font color=teal>*Ziare(Meekee) says: It's whatever, but still a pain. - Mon Nov  9 00:26:01 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: No pain no gain. - Mon Nov  9 00:26:01 2015
<br><br><font color=teal>*Ziare(Meekee) says: Right.. - Mon Nov  9 00:26:52 2015
<br><br><font color=teal>*Ziare(Meekee) says: Anyway I gotta get back to it. - Mon Nov  9 00:26:52 2015
<br><br><font color=teal>*Ziare(Meekee) says: You should train too. - Mon Nov  9 00:26:52 2015
<br><br><font color=teal>*Ziare(Meekee) says: You need to bein top shape. - Mon Nov  9 00:26:52 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Im in the best shape ever look at me. - Mon Nov  9 00:28:35 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: ... - Mon Nov  9 00:29:26 2015
<br><br><font color=teal>*Ziare(Meekee) says: Oh. - Mon Nov  9 02:26:20 2015
<br><br><font color=teal>*Ziare(Meekee) says: What's up? - Mon Nov  9 02:26:20 2015
<br><br><font color=teal>*Rias(LionHunter) says: nothing... came to check on my favorite boys~ - Mon Nov  9 02:26:20 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) thinks: I should probably stay off to the side...those guys are childhood friends so it'd be a little awkward if I just went up and started talking to them... - Mon Nov  9 02:27:12 2015
<br><br><font color=teal>*Ziare(Meekee) says: right. - Mon Nov  9 02:28:54 2015
<br><br><font color=teal>*Ziare(Meekee) says: Well we're just training.. - Mon Nov  9 02:31:28 2015
<br><br><font color=teal>*Ziare(Meekee) says: Would you like to join us? - Mon Nov  9 02:38:17 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Training. - Mon Nov  9 02:40:00 2015
<br><br><font color=teal>*Rias(LionHunter) says: Sure - Mon Nov  9 02:40:00 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Hmmm wahts in those? - Mon Nov  9 02:43:24 2015
<br><br><font color=teal>*Ziare(Meekee) says: A couple bland techniques I couldn't be bothered to learn. - Mon Nov  9 02:44:16 2015
<br><br><font color=teal>*Ziare(Meekee) says: Yeah, because you make me do stuff I don't want to. - Mon Nov  9 02:48:32 2015
<br><br><font color=teal>*Rias(LionHunter) says: Finnnnna - Mon Nov  9 02:48:32 2015
<br><br><font color=teal>*Ziare(Meekee) says: Get to work, you better master it by tonight. - Mon Nov  9 02:50:14 2015
<br><br><font color=teal>*Ziare(Meekee) says: If you do, i'll do something for you. - Mon Nov  9 02:50:14 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Hmmm..' - Mon Nov  9 02:55:21 2015
<br><br><font color=teal>*Ziare(Meekee) says: Oi, Rias, Slim, get to work. - Mon Nov  9 02:55:21 2015
<br><br><font color=teal>*Rias(LionHunter) says: I will you hush - Mon Nov  9 02:57:04 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Umm I have nothing to work on. - Mon Nov  9 02:57:04 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: That's strange Rias... - Mon Nov  9 03:06:27 2015
<br><br><font color=teal>*Rias(LionHunter) says: Hmm? - Mon Nov  9 03:06:27 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Usually you're the one making him train... - Mon Nov  9 03:06:27 2015
<br><br><font color=teal>*Rias(LionHunter) says: Me and Z usually train more - Mon Nov  9 03:07:18 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: What's up today then? - Mon Nov  9 03:09:00 2015
<br><br><font color=teal>*Rias(LionHunter) says: Team training - Mon Nov  9 03:10:43 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Ha traning. - Mon Nov  9 03:10:43 2015
<br><br><font color=teal>*Ziare(Meekee) says: Can't call it team training until you start. - Mon Nov  9 03:11:34 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: You don't like team training? - Mon Nov  9 03:11:34 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: I do. - Mon Nov  9 03:12:25 2015
<br><br><font color=teal>*Rias(LionHunter) says: Its fun - Mon Nov  9 03:12:25 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Oh, it's just you don't seem up for it is all. - Mon Nov  9 03:13:16 2015
<br><br><font color=teal>*Rias(LionHunter) says: I am but its tedious - Mon Nov  9 03:13:16 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I can understand that, I like to just train on my own too. - Mon Nov  9 03:14:08 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I'm not even a big fan of spars. - Mon Nov  9 03:14:08 2015
<br><br><font color=yellow>*Termine, Jover(Bosshoggoutlaw) He would would see that everything was going acooridng to plan he would the rapidly burn caliroes and make his body expand he would grow 5 ft taller than what he was his arms woulld become ripped and musculur. "Jover Smash" he would then put his hands in a axhandle like postion and slam them down on the scarcrow. Pounding it tinto the ground.

* - Mon Nov  9 03:49:58 2015
<br><br><font color=yellow>*Termine, Jover(Bosshoggoutlaw) he would still be big as hell hw wouldget a runing start and punt kick thed of the scarecorw he woudl then follow up with a spining elbow smash. "Le Gavelush" he would look at the others "That sounds like a cool name for a move doesnt it. he wood nod his head.* - Mon Nov  9 04:17:16 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: just yall be missing - Mon Nov  9 04:26:40 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) thinks: I'm not quite sure what is happening here...it's obviously a combo of sorts but... - Mon Nov  9 04:28:22 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) thinks: Rias looks like a meatshield for Ziare as he stands there...and that big guy just hits stuff... - Mon Nov  9 04:28:22 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) thinks: I want to ask but...I don't want to be rude... - Mon Nov  9 04:30:56 2015
<br><br><font color=teal>*Ziare(Meekee) says: Yeah,,, - Mon Nov  9 04:32:38 2015
<br><br><font color=teal>*Ziare(Meekee) says: It's not bad. - Mon Nov  9 04:34:20 2015
<br><br><font color=teal>*Rias(LionHunter) says: Its a work in progress - Mon Nov  9 04:36:03 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Uh... - Mon Nov  9 04:37:45 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Can I ask three questions..? - Mon Nov  9 04:37:45 2015
<br><br><font color=teal>*Ziare(Meekee) says: Hm? - Mon Nov  9 04:37:45 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: ...Never mind the questions can wait... - Mon Nov  9 04:38:36 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Yoo'. - Mon Nov  9 04:40:19 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: What you been up to? - Mon Nov  9 04:40:19 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Hello. - Mon Nov  9 04:40:19 2015
<br><br><font color=teal>*Ziare(Meekee) says: I've been chillin with my friends. - Mon Nov  9 04:43:44 2015
<br><br><font color=teal>*Ziare(Meekee) says: Yeah man, this is what they force me to do. - Mon Nov  9 04:43:44 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I mean, it's pretty...Unique... - Mon Nov  9 04:44:35 2015
<br><br><font color=teal>*Rias(LionHunter) says: Yep...builds out team work~ - Mon Nov  9 04:44:35 2015
<br><br><font color=teal>*Rias(LionHunter) says: Arent you the guy I say witht he other girl? - Mon Nov  9 04:44:35 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) thinks: Wish I had a team... - Mon Nov  9 04:44:35 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Yeah...Bet it does. - Mon Nov  9 04:45:26 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Hmmm. - Mon Nov  9 04:45:26 2015
<br><br><font color=yellow>*Termine, Jover(Bosshoggoutlaw) He woudl rub  his chin still a whoel five feet bigger than what he would normaly be.* - Mon Nov  9 04:46:17 2015
<br><br><font color=teal>*Ziare(Meekee) says: You don't have to stay like that Slim. - Mon Nov  9 04:46:17 2015
<br><br><font color=teal>*Rias(LionHunter) says: Z you know J likes to stay that size but you should turn back... - Mon Nov  9 04:48:00 2015
<br><br><font color=teal>*Rias(LionHunter) says: Who is that with you? - Mon Nov  9 04:48:00 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I'm Owari.~ - Mon Nov  9 04:48:51 2015
<br><br><font color=teal>*Rias(LionHunter) says: Nice to meet you, im Rias~ - Mon Nov  9 04:49:42 2015
<br><br><font color=teal>*Ziare(Meekee) thinks: I wonder why he hangs around that woman so much...It'd be a pain to have to deal with women so often.. - Mon Nov  9 04:50:33 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: I'm up for a bit a fun. - Mon Nov  9 04:53:58 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Who'd like a two on one spar? - Mon Nov  9 04:53:58 2015
<br><br><font color=yellow>*Termine, Jover(Bosshoggoutlaw) he would shurg it was in dead true he likes staying big as hell it helped him hone his skills he would then exhale as he did he would shrink back to  his normal size he would then reach in his bag and begin to eat his special forulated chips.* - Mon Nov  9 04:59:56 2015
<br><br><font color=teal>*Ziare(Meekee) says: A spar? - Mon Nov  9 05:04:12 2015
<br><br><font color=teal>*Ziare(Meekee) says: Not my thing man. - Mon Nov  9 05:04:12 2015
<br><br><font color=teal>*Ziare(Meekee) says: Ask Slim or him. - Mon Nov  9 05:04:12 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Umm spar me... - Mon Nov  9 05:05:55 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Uh.... - Mon Nov  9 05:05:55 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: I think that would be irrespoanple Smartz you know how i get carried away. - Mon Nov  9 05:06:46 2015
<br><br><font color=teal>*Ziare(Meekee) says: He's robably strong. - Mon Nov  9 05:06:46 2015
<br><br><font color=teal>*Ziare(Meekee) says: Look how he carries himself. - Mon Nov  9 05:06:46 2015
<br><br><font color=teal>*Ziare(Meekee) says: Plus he asked for a  two on one. - Mon Nov  9 05:06:46 2015
<br><br><font color=teal>*Ziare(Meekee) says: He obviously thinks one of us wouldn't be enough to sate his strength. - Mon Nov  9 05:07:37 2015
<br><br><font color=teal>*Rias(LionHunter) says: Yea thats confidence at its finest - Mon Nov  9 05:07:37 2015
<br><br><font color=teal>*Rias(LionHunter) says: *kanye* - Mon Nov  9 05:08:28 2015
<br><br><font color=teal>*Ziare(Meekee) says: Rias, you need to get back to training. - Mon Nov  9 05:08:28 2015
<br><br><font color=teal>*Ziare(Meekee) says: I don't see you praacticing. - Mon Nov  9 05:08:28 2015
<br><br><font color=teal>*Rias(LionHunter) says: Shhhh - Mon Nov  9 05:08:28 2015
<br><br><font color=teal>*Ziare(Meekee) says: I wont hush. - Mon Nov  9 05:09:20 2015
<br><br><font color=teal>*Ziare(Meekee) says: Get back to work. - Mon Nov  9 05:09:20 2015
<br><br><font color=teal>*Ziare(Meekee) says: I told you I won't let you go home until you've perfected those techniques. - Mon Nov  9 05:11:02 2015
<br><br><font color=teal>*Rias(LionHunter) says: I will! im tired! You dont know how tiring that is - Mon Nov  9 05:11:02 2015
<br><br><font color=teal>*Ziare(Meekee) says: Exactly, - Mon Nov  9 05:11:53 2015
<br><br><font color=teal>*Ziare(Meekee) says: If you want to sleep afterwards, get back to work. - Mon Nov  9 05:11:53 2015
<br><br><font color=teal>*Rias(LionHunter) says: I agree with him! - Mon Nov  9 05:13:36 2015
<br><br><font color=teal>*Ziare(Meekee) says: ...Only this one break. - Mon Nov  9 05:14:27 2015
<br><br><font color=teal>*Ziare(Meekee) says: Then it's back to work for you. - Mon Nov  9 05:14:27 2015
<br><br><font color=teal>*Rias(LionHunter) says: Yas~ - Mon Nov  9 05:14:27 2015
<br><br><font color=teal>*Ziare(Meekee) thinks: I'll just keep working her until she collapses, then she'll never ask me to work again. - Mon Nov  9 05:14:27 2015
<br><br><font color=yellow>*Termine, Jover(Bosshoggoutlaw) he sits down and orders his regualre one of everthing on the menu.* - Mon Nov  9 05:17:52 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Hm? - Mon Nov  9 05:19:34 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Tea? - Mon Nov  9 05:19:34 2015
<br><br><font color=teal>*Ziare(Meekee) says: You arent eating? - Mon Nov  9 05:19:34 2015
<br><br><font color=teal>*Rias(LionHunter) says: Im watching my figure - Mon Nov  9 05:20:25 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: You know if you like Tea...theres a great tea place in this village. - Mon Nov  9 05:21:16 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I go there all the time. - Mon Nov  9 05:22:08 2015
<br><br><font color=teal>*Rias(LionHunter) says: Really? - Mon Nov  9 05:22:08 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Yeah, I love tea. - Mon Nov  9 05:22:08 2015
<br><br><font color=teal>*Rias(LionHunter) says: Than I would definatly try it - Mon Nov  9 05:22:59 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I'd be happy to show you some time later if you want. - Mon Nov  9 05:23:50 2015
<br><br><font color=teal>*Rias(LionHunter) says: Its a date~ - Mon Nov  9 05:23:50 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Alright then. - Mon Nov  9 05:25:32 2015
<br><br><font color=teal>*Ziare(Meekee) says: Go for it, - Mon Nov  9 05:34:04 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: So like...That team work thing you were doing. - Mon Nov  9 05:34:56 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I don't really understand it. - Mon Nov  9 05:34:56 2015
<br><br><font color=teal>*Ziare(Meekee) says: What do you mean? - Mon Nov  9 05:34:56 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I mean, why does Rias drop to her knees suddenly, then get back up suddenly. - Mon Nov  9 05:35:47 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Why do you just sort of stand there. - Mon Nov  9 05:35:47 2015
<br><br><font color=teal>*Ziare(Meekee) says: I can't tell you that. - Mon Nov  9 05:35:47 2015
<br><br><font color=teal>*Ziare(Meekee) says: I lead them. - Mon Nov  9 05:35:47 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: And why does your friend become a giant? - Mon Nov  9 05:35:47 2015
<br><br><font color=teal>*Ziare(Meekee) says: I have a complete view of the battlefield. - Mon Nov  9 05:35:47 2015
<br><br><font color=teal>*Ziare(Meekee) says: He becomes a giant through using his chakra. - Mon Nov  9 05:35:47 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) thinks: Whoa whoa...he leads them..? But he's... - Mon Nov  9 05:36:38 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Right... - Mon Nov  9 05:36:38 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I guess the reason I don't get it is because i'm supposed to not know. - Mon Nov  9 05:37:29 2015
<br><br><font color=teal>*Ziare(Meekee) says: Yeah. - Mon Nov  9 05:37:29 2015
<br><br><font color=teal>*Ziare(Meekee) says: It goes back pretty far too. - Mon Nov  9 05:37:29 2015
<br><br><font color=teal>*Ziare(Meekee) says: Our clans are like best friends. - Mon Nov  9 05:37:29 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Huh, Interesting. - Mon Nov  9 05:37:29 2015
<br><br><font color=teal>*Ziare(Meekee) says: That's why we know each other so well. - Mon Nov  9 05:37:29 2015
<br><br><font color=teal>*Ziare(Meekee) says: We're each a future clan head. - Mon Nov  9 05:38:20 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: That makes sense I guess... - Mon Nov  9 05:38:20 2015
<br><br><font color=teal>*Ziare(Meekee) says: That's also why we all have matching earrings. - Mon Nov  9 05:38:20 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: My clan doesn't really have any 'allies' like that... - Mon Nov  9 05:38:20 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Infact...I don't see a lot of my clan any more. - Mon Nov  9 05:38:20 2015
<br><br><font color=teal>*Ziare(Meekee) says: That's a shame. - Mon Nov  9 05:39:12 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Hmm, - Mon Nov  9 05:39:12 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Not since...Well I just don't see them. - Mon Nov  9 05:39:12 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: That sorta sucks. - Mon Nov  9 05:40:03 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: It does. - Mon Nov  9 05:40:54 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I guess it's why I don't have friends like you guys have. - Mon Nov  9 05:40:54 2015
<br><br><font color=teal>*Ziare(Meekee) says: Its not all sunshine.. - Mon Nov  9 05:40:54 2015
<br><br><font color=teal>*Ziare(Meekee) says: I had to become a ninja.. - Mon Nov  9 05:40:54 2015
<br><br><font color=teal>*Ziare(Meekee) says: I don't even wanna be a ninja... - Mon Nov  9 05:40:54 2015
<br><br><font color=yellow>*Termine, Jover(Bosshoggoutlaw) his food arrives and he begins to eat like a mad man he had quite the work out today he would be drinking ramen like it was soup any thing that come in contact with his mouth was as good as gone.* - Mon Nov  9 05:40:54 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Well, I'm not sure a lot of people want to be ninja these days. - Mon Nov  9 05:42:36 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: It just sort of happens because if you aren't one...it becomes a much scarier world. - Mon Nov  9 05:42:36 2015
<br><br><font color=teal>*Ziare(Meekee) says: ...Ugh.. - Mon Nov  9 05:42:36 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: ... - Mon Nov  9 05:43:28 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Enough of this depressing shit talk we always do. - Mon Nov  9 05:43:28 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I want to know more about you guys. - Mon Nov  9 05:43:28 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I actually only know Rias by her name. - Mon Nov  9 05:44:19 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I mean, I only know Rias' name. - Mon Nov  9 05:44:19 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: You guys are just Z and slim to me. - Mon Nov  9 05:44:19 2015
<br><br><font color=teal>*Ziare(Meekee) says: My name is Ziare. - Mon Nov  9 05:45:10 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: I am Jover lucker than a four leaf clover with me by your side consider you eneimes ran over. - Mon Nov  9 05:46:01 2015
<br><br><font color=teal>*Ziare(Meekee) says: I like long naps, sexy women, and stars. - Mon Nov  9 05:46:01 2015
<br><br><font color=teal>*Ziare(Meekee) thinks: Did I miss his....His mixtape debut....? - Mon Nov  9 05:46:52 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Right right, Well you already know a lot about me. - Mon Nov  9 05:46:52 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: I like food . - Mon Nov  9 05:46:52 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Ohhhhhhhh and Punching stuff. - Mon Nov  9 05:46:52 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Can not forget the punching stuff for the love of god if there is no punching there is no purpose. - Mon Nov  9 05:47:44 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I like all different kinds of Tea, Ninjutsu and the occasional Fuuinjutsu - Mon Nov  9 05:47:44 2015
<br><br><font color=teal>*Ziare(Meekee) says: You two obviously need a way to let off some steam. - Mon Nov  9 05:47:44 2015
<br><br><font color=teal>*Rias(LionHunter) says: And I Rias the cute one~ - Mon Nov  9 05:47:44 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Well I don't have many friend Ziare. - Mon Nov  9 05:48:35 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: And I live alone so...yeah theres not much to do. - Mon Nov  9 05:48:35 2015
<br><br><font color=teal>*Rias(LionHunter) says: We are friends right? - Mon Nov  9 05:50:17 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Well...Yeah I guess. - Mon Nov  9 05:50:17 2015
<br><br><font color=teal>*Ziare(Meekee) thinks: I'm always forced to make friends around these two. - Mon Nov  9 05:52:51 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I mean, I'm paying for this meal after all. - Mon Nov  9 05:53:42 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: We gotta be friends for me to do that. - Mon Nov  9 05:53:42 2015
<br><br><font color=yellow>*Termine, Jover(Bosshoggoutlaw) he swallows the last of his food "Yeahh hummm Smartz left my wallet at home so this is all on you okay.: he would grin.* - Mon Nov  9 05:53:42 2015
<br><br><font color=teal>*Ziare(Meekee) says: Ha. - Mon Nov  9 05:57:07 2015
<br><br><font color=teal>*Ziare(Meekee) says: Funny. - Mon Nov  9 05:57:07 2015
<br><br><font color=teal>*Ziare(Meekee) says: We'll have to dine and dash like last time. - Mon Nov  9 05:57:07 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Dine and dash indeed. - Mon Nov  9 05:57:07 2015
<br><br><font color=teal>*Ziare(Meekee) says: *Said it loud enough for the ramen seller to hear him* - Mon Nov  9 05:57:07 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: ... - Mon Nov  9 05:57:07 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I just said i'd pay for everything. - Mon Nov  9 05:57:07 2015
<br><br><font color=teal>*Ziare(Meekee) thinks: Fuck he ruined my plan... - Mon Nov  9 05:57:58 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Oh really akira you are soo cool. - Mon Nov  9 05:57:58 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: We should like invite him to eat with us more often. - Mon Nov  9 05:57:58 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Cause I dont pay for food. - Mon Nov  9 05:57:58 2015
