<br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Ehh? - Tue Dec  8 12:34:20 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) tilted her head up with his guidance and tilted her head off to the side to match his own. Eventually she had to break the kiss for air and shifted off to the side to rest her face in against his neck and hugged him chest to chest. Sighing out heavily as her body was tense and her heart thumping hard against his chest.* - Fri Dec 11 09:07:47 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) rest there against his chest with warm breath against his neck in the cold mountain air and trembled slightly from her adrenaline and the cold. Whispering out in a murmur against his neck and collar bone, "I never thought I would say that to anyone... hah... did you hypnotize me?"* - Fri Dec 11 09:16:19 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Mnnn... never going to deny that--...hah.. that's going to be a problem when my brother finds out. - Fri Dec 11 09:21:26 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: ----- - Fri Dec 11 09:22:17 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Forgot about him- Ehh.. makes no difference to me. - Fri Dec 11 09:22:17 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: I'm growing up...I'm sure he'll be fine. He leaves me to do what I want anyhow, so might as well leave me to chose who I want. - Fri Dec 11 09:23:08 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: You think he'll have a problem with you choosing someone.. or who you chose? - Fri Dec 11 09:24:51 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: ..If.. he'll have a problem or not. - Fri Dec 11 09:25:42 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Mn... I think he would like you... course he doesn't even know you exist... you two have never met right? - Fri Dec 11 09:25:42 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Once, but no conversation. - Fri Dec 11 09:25:42 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: And it's more so just that he wants to make sure whoever I've done something with will be with me forever... apparently that didn't apply to girls though... --...eh... yeah, but uhm... he probably will demand you marry me or something like he normally does. - Fri Dec 11 09:26:33 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Marry you huh? - Fri Dec 11 09:26:33 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Oh hush, don't get your hopes up. - Fri Dec 11 09:27:24 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) shifted further against him and practically into his lap now as she twisted so her back was against his chest and she was pretty much sitting on one of his legs with her small body.* - Fri Dec 11 09:29:07 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: If I -have- to, I wouldn't feel forced. - Fri Dec 11 09:32:32 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: You know you are a terrible liar? - Fri Dec 11 09:33:23 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) smiled a sly grin as her eyes closed and she didn't seem to mind his hand placement.* - Fri Dec 11 09:33:23 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Mmm..~ - Fri Dec 11 09:35:05 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: I don't know.. - Fri Dec 11 09:35:05 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: I mean.. if I -haaaaaave- to? - Fri Dec 11 09:35:05 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: No questions asks.~ I'll do it. - Fri Dec 11 09:35:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Oh only if you -haaaaaave- to huh? - Fri Dec 11 09:35:56 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: ....... - Fri Dec 11 09:35:56 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: I just got myself into trouble, didn't I. - Fri Dec 11 09:35:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: ...what? No? - Fri Dec 11 09:36:48 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) looked over her shoulder towards him as her head leaned back far to peer up at him from against his chest.* - Fri Dec 11 09:37:39 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Phew. - Fri Dec 11 09:37:39 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Why would you be in trouble? - Fri Dec 11 09:37:39 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Noothing.~ Nothing..~ - Fri Dec 11 09:38:30 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Nah say it, because you can say anything to me. - Fri Dec 11 09:39:21 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: True, true. I thought maybe me saying if I -haaaaaave- to would suggest thath's the -only- reason I'd marry you. - Fri Dec 11 09:40:12 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: I'd end up in trouble- listen. - Fri Dec 11 09:40:12 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Tell me you want to get married, and it'll happen. - Fri Dec 11 09:41:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: See... I already know you want to marry me. -That- was the lie. - Fri Dec 11 09:41:04 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: ..Why do you catch on to everything? - Fri Dec 11 09:41:55 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Because ...... - Fri Dec 11 09:41:55 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: I love you? - Fri Dec 11 09:41:55 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Why does it make me sick feeling in a good way to say that. - Fri Dec 11 09:41:55 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Good point. - Fri Dec 11 09:41:55 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Plus... I'm smarter than you.~ - Fri Dec 11 09:42:46 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Denied. - Fri Dec 11 09:42:46 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Um, let's see... I knew you were letting me win from the beginning but I let you think I didn't know. You played along not because you thought that I was playing a game with you but because you actually thought I was stupid enough to believe I was that good.~ - Fri Dec 11 09:43:37 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Mmmmmuaaah~ - Fri Dec 11 09:44:28 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Such a liiiiiiiiiiar. - Fri Dec 11 09:45:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: A BAD liar. - Fri Dec 11 09:45:20 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Mmuuuuuaaah~ - Fri Dec 11 09:45:20 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) giggled and wrinkled her nose up as he gave her the kisses. Nuzzling back against him.* - Fri Dec 11 09:45:20 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: I win. - Fri Dec 11 09:47:53 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Soooooo, anywaaaays~ - Fri Dec 11 09:47:53 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Hmmmm?~ - Fri Dec 11 09:49:36 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: How was your traveling this time? - Fri Dec 11 09:50:27 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Boring... I've been pretty lonely lately. Sort of just like training by myself but I did make a friend so I hang out with him a lot and train together. The group sort of went traveling without me so yeah... - Fri Dec 11 09:52:09 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Can't you roam arou- - Fri Dec 11 09:55:34 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Nice, nice. - Fri Dec 11 09:55:34 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Hm? - Fri Dec 11 09:55:34 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: You beat his ass too? - Fri Dec 11 09:55:34 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: ...yes. - Fri Dec 11 09:55:34 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: I tried something stupid though and ended up with the breath knocked out of me. - Fri Dec 11 09:57:16 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: He had tried to bear tackle me so I wacked him upside the temple with my elbow and he dropped me on the ground. I hadn't thought that part out... it really hurt. - Fri Dec 11 09:58:59 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Do you wish I was here more often? - Fri Dec 11 11:16:38 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Yeah, but like I said.. I want you to continue doing what makes you feel 'right'. - Fri Dec 11 11:17:29 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: I'm not so certain it's right anymore...I get left behind a lot. - Fri Dec 11 11:19:12 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Do you think you'd have that same thrill by staying here? - Fri Dec 11 11:20:03 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: I got you... - Fri Dec 11 11:20:54 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Was.. that the wrong question..? - Fri Dec 11 11:21:45 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Umm.. - Fri Dec 11 11:22:36 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: I'm going to talk to Eiyu, don't get your hopes up about it...but I might ask for a different mission or have him have me...accepted back. - Fri Dec 11 11:22:36 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: I have a mission- a few missions rather.. out of the village. - Fri Dec 11 11:22:36 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: O-Oh, okay then. - Fri Dec 11 11:23:28 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: I like being out in the world... so maybe he will let me do the missions with you? Maybe like... get a feel about doing missions like that rather than living undercover. - Fri Dec 11 11:23:28 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: ...if you want me. - Fri Dec 11 11:23:28 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: ....... - Fri Dec 11 11:24:19 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Whaaa? - Fri Dec 11 11:25:10 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: You know I wouldn't mind, Kari. - Fri Dec 11 11:25:10 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Oh, duh.. I was trying to be polite. - Fri Dec 11 11:26:01 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Ew. - Fri Dec 11 11:26:01 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) widened her eyes and then realized what she had done, "EWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWW."* - Fri Dec 11 11:26:52 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: YOUR LOVE, IT'S CONTAGIOUS. - Fri Dec 11 11:26:52 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: STOP IT. - Fri Dec 11 11:26:52 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) reached up and tried to flick his nose, then his forehead, then his ear, flick flick flick... all over him trying to make up for the kindness.* - Fri Dec 11 11:27:44 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: We.. can do this all day~ - Fri Dec 11 11:28:35 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) gasped out as he flicked her and she kicked his thigh and hip trying to push him away from her but of course she didn't have the strongest attacks and was only playing with him right now. Small giggles and grunts of pain sounded as she tried to fight him off.* - Fri Dec 11 11:31:08 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) || "Agh!" she shook her head and squirmed against him as her hood fell back and her lengthy hair went flying. She was struggilng and being much weaker than normal since no tactic was going into her trying to get away. She held onto his arm wrapped about her waist under her breasts to keep her on his lap and shut her eyes tightly. "STAWWWWWP! heh."* - Fri Dec 11 11:34:33 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) squirmed about and when he started to feel about for a ticklish spot she bucked agains thim and yelped out as she shot her head back against his chest and her hair fell out of the way of the eye on her forehead for a moment as she was squirming and crying out in torment and laughter. "SOGEKI OH MY GOOOOOOD STAAAAAWP!!!!"* - Fri Dec 11 11:42:14 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) was ontop of Sogeki's lap, hood back, hair all over the place as she giggled and shriekd while Sogeki held her firmly against him and tickled her torso. "S-s-s-sogek-kiiiiiii!!!" Whining out as she tried to get free helplessly, what was it about being tickled that made a person so weak feeling?* - Fri Dec 11 11:47:21 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) jumped every time he poked her side and tried to squirm. By now some of her hands were digging nails into his arms and others were trying to pull his arm off and stop the other from poking her. She had yet to notice Eiyu of course because of the tickle assault. "P-pleaaaaaase! S-stawwwwwp!"* - Fri Dec 11 11:52:28 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) feeling him slow down eased off her tension and he had just saved himself from an uppercut! She bit down on her lip and sighed out slumping against his hand that was pulling her sweater up a bit to reveal her lower belly and belly button.* - Fri Dec 11 12:06:59 2015
<br><br><font color=teal>*Rotori(Tyrone From State Farm) says: . . . - Fri Dec 11 13:51:56 2015
<br><br><font color=teal>*Rotori(Tyrone From State Farm) thinks: Once again this has turned out to be rather....dissappointing...might have to see what other villages are up to. - Fri Dec 11 13:52:48 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) poked Sogeki's side while whistling innocently.* - Sat Dec 12 05:25:29 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) puased her whistling and looked at him innocently, "Hm?~"* - Sat Dec 12 05:28:54 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) widened her eyes and  looked away quickly as her cheeks pinkened up.* - Sat Dec 12 05:30:36 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) felt herself being pulled onto his lap and rested back into him with some tenseness resting in her form. She felt the kiss and that helped her relax a small amount but she was fairly on edge in fear of what he might do. "Nothing nothing, how about we train?"* - Sat Dec 12 05:33:10 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Nngn... - Sat Dec 12 05:37:26 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Anything but sitting around. - Sat Dec 12 05:37:26 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You could test new poisons... or... we could just do a good work out... or we could spar... but that seems pointless nowadays... I can't beat you anymore. - Sat Dec 12 05:38:17 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Can't beat me..? - Sat Dec 12 05:38:17 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Haha, you're kidding. - Sat Dec 12 05:38:17 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: And.. new poisons.. - Sat Dec 12 05:40:51 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I have a few new techniques, mastered bout one and a half. - Sat Dec 12 05:40:51 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Do you make new poisons? I wasn't sure. - Sat Dec 12 05:41:42 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Uhh.. I wouldn't say -new-.. just stronger. - Sat Dec 12 05:42:33 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...but you kill things with the other one. - Sat Dec 12 05:42:33 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: True.. I just have to be more careful with the latest version of my poison. - Sat Dec 12 05:43:24 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Besides. - Sat Dec 12 05:43:24 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: her* - Sat Dec 12 05:44:16 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .....that sounds dirty. - Sat Dec 12 05:44:16 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ....... - Sat Dec 12 05:45:07 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Hmmm.. - Sat Dec 12 05:45:07 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) squinted at him. "We could test the poison if you need to."* - Sat Dec 12 05:48:32 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) blinked a bit, "you don't want to test it?"* - Sat Dec 12 05:51:05 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: What way then? - Sat Dec 12 05:52:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: I mean normally you use poison.... to do things sexually to me... is it something else you had in mind? - Sat Dec 12 05:52:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Something ....dangerous? - Sat Dec 12 05:52:48 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: It's exactly -that- which I want to use the poison for.. I mean, just the thought of using this advanced version is dangerous and., and an extreme turn on. - Sat Dec 12 05:54:30 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: I mean.... could it kill me? - Sat Dec 12 05:57:55 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: If I use too much, yes.. course I wouldn't even make it get to that point. - Sat Dec 12 05:58:46 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: ....what will it do to me? - Sat Dec 12 05:59:37 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: The same thing. I have it under control. - Sat Dec 12 06:01:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: ...Then how is it more powerful? It doesn't even do a different thing? Lame. - Sat Dec 12 06:03:02 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .......................... - Sat Dec 12 06:03:02 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: #Nope. - Sat Dec 12 06:03:53 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) tried to get up, fuck invisible poison.* - Sat Dec 12 06:03:53 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) inhaled sharply and froze as he held it against her bicep. "How is it invisible?"* - Sat Dec 12 06:06:27 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) trembled a bit as he ran the sharp edge over her arm but didn't cut her. "S-sogeki.....nng...that's... possible?"* - Sat Dec 12 06:08:09 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) groaned out in embarrassment and her eyes darted around to see if anyone was in the area. "W-what are you doing? Doing that out here?!" Whispering in distress as she trembled and felt heat coursing through her body from the pleasure as he touched her in places she hadn't been touched in several months.* - Sat Dec 12 06:15:50 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Giving me a wedgy...hmph. - Sat Dec 12 06:20:06 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: O-okay... your p-place... just cut it out with this public stuff...ngng.. - Sat Dec 12 06:20:57 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) groaned at his comment about being caught. When he laid her down she propped herself up on her elbows and looked up towards him. She stared up at him and as the arrow pressed against her chest she wasn't as worried since it was through clothing. All the same her heart was beating heavily.* - Sat Dec 12 06:31:12 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) trembled as she had herself propped up and felt him running the arrow down her body and then lifting her sweater. "Nng..." she bit down on her lip and watched him reveal her toned belly and then pricked her side. She jerked a bit and hissed out as the prick managed to break her skin. All the while she was trying to focus on him as much as possible while he was pulling her top further and further up threatening to reveal her lower portion of bra--which she had recently bought something nice for Sogeki... she wore a black lacy bra instead of her normal sports bra.* - Sat Dec 12 06:41:26 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) looked away and turned light red in her cheeks with embarrassment. "I thought... you might like this better, I know it's not much but it's... more than what I normally do..yeah?" She cut off as one of her elbows slipped and she started to fall back from weakness in her muscles. "Erg..." she hated and loved the sensation of what happens when she is poisoned. She inhaled sharply at the warmth of his tongue going over her breast and leaned her head back some with a shudder. "S-sogeki... what do you have planned exactly?" She was a bit nervous since he sounded like he had big plans for this time around.* - Sat Dec 12 06:52:32 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) widened her eyes as she felt her body weaken further. "Something -who- knew?" She began to panic at him mentioning someone else, a man no less! She trembled but soon enough lost all control over her body. As he clamped his lips about her nipple she gasped out and was feeling a small amount of residual feeling still residing in her. She leaned her head off to the side against the pillow and clenched her fingers. With fingers trailing down her body and into her pants, he'd be able to feel her lacy black panties to match the new bra. Her soft bare lips warm to the touch and his fingertips made a tingle go through her entire form with a heavy exhale.* - Sat Dec 12 07:02:46 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) growled under her breath as she tried to move to grip his hair or flick him but was forced to lay still. "Ugh... WHO? You better not bring anyone in here... I swear Sogeki...this isn't funny," she sounded like she was putting on a tough girl angry act but really she was terrified if he would ever try something like what had just flashed through her mind. His fingers invading her cleft only made her feel more violated and a shudder of nerves went through her body as she tried to keep it together. "Nng..." * - Sat Dec 12 07:35:12 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) opened her eyes wider at how Sogeki stated it so bluntly. She watched him for a short while curiously, he clearly had a good hold on her... in terms of emotions.  When he pressed upon her clit she gasped out with a tiny whining sound going high pitch. As the very tip of his finger slid inside of her warm and tight walls she trembled and found herself having a hard time holding still---course, that would be if she could move at all..instead her body twitched in reaction to his stroking. 

Her eyes suddenly shot open at his last few words, "I-in my face? H-heh....o-oh..." She tried to play it off like it wasn't a big deal.* - Sat Dec 12 07:55:40 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) watched him licking his fingers clean and she wanted to gag just from the sight of it. She had to close her eyes halfway through just to resist the noise in her throat. She reopened her eyes and looked up to him ---but then his cock was in her face! She panicked and paled ghost white as she could -smell- his groin as he stroked over her lower face and bobbed his cock up and down. She tried to force her lips together tightly and groaned as he was able to easily open her mouth and jaw so that her lips were parted and her tongue lax behind her lower row of teeth. She whined out some and felt violated extremely so now, she wanted to stop him but couldn't. Kari's entire body trembled as she stared at his cock in fear and terrible ideas went through her head about the taste... about choking to death... and  more.* - Sat Dec 12 08:14:27 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) whined out lightly and closed her eyes tightly just as his cock touched her bottom lip's inner curve. When he pulled back she opened her eyes thinking he had decided against it but then his cock was being shoved into her mouth and against her tongue! She could taste the salty sex flavor and retracted her tongue as a tiny gag sound was made out of instinct of something foreign she didn't recognize being on her taste buds. She could hold down her spicy food but was a little baby about having a little head in her mouth it seemed. She let out a low growly groan of anquish but didn't move as he invaded her mouth and left a small mark of his sex on her lips and tongue.* - Sat Dec 12 08:30:40 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) groaned out again and jerked a bit as he slid more of his cock into her mouth and now she couldn't stop him from touching her tongue. She tried to get her tongue away but only ended rubbing it against his head as she tried to push her tongue to the left and then right to get away. A heavy gag forced her chest to hitch and her head to shift forward for a moment as she tried to hold it together. "Nnngngngngg... soogjjj--" she tried to talk but couldn't from how he was holding her chin and stuffing her mouth.* - Sat Dec 12 08:40:54 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) closed her eyes tightly and felt them burning from her sinuses shifting from the motion of her mouth and the start of the back of her throat. She gasped out for air through her nostrils with flaring cartlidge and then looked up at him in panic as he started to face fuck her back and forth. She was thinking, <This is enough! Too much, too fast!> She twitched with her head trying to pull away but being very unsuccessful as she groaned out with some anger this time. "S-soooogjjjekkkehhh.. n-nnnnoooooahhhh Mooooarrr.." whining out helplessly which he might just like more than what she already was behaving like with her whines but she gagged heavily a few more times the further he went back into her throat and she felt her body becoming hot from shame and the feeling of trying to stop from gagging.* - Sat Dec 12 08:59:40 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) felt herself getting under control as he pulled back and her lips tried to close but couldn't entirely since she was lacking total control at the moment. Her lips remained coated in saliva and drool slowly slid down her lip and onto her chin and from the corner of her mouth along her cheek from the small amount of face fucking. She shifted her eyes in shame as his cock rested on her bottom lip and she breathed out against the tip since every time she tried to breathe through her nose now, all she could smell was cock.* - Sat Dec 12 09:11:37 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) looked up to him as he was pulling away fully now. The drool driping down her jaw and making her feel dirty... she really felt filthy now just from having her face fucked. As he flipped her over she grunted and closed her eyes for a moment and the drool was rubbed against the pillow beneath her face. "Stupid...fucking...poison," muttered out as she wanted to be able to move... to act, to speak more clearly rather than slurring her words. She tried to speak up as she stared at the wall, "H-hey... wh-what are you doing now?" she gasped out suddenly and moaned as he flicked her clit a few times and then started to torment her with his tongue. Shudders went through her body and she tried to keep her moans to herself but soon enough they were singing out for Sogeki's efforts in praise. She wanted to talk about what he had done to her mouth, but he wasn't giving her the chance.* - Sat Dec 12 09:32:06 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) grumbled in pleasure as he gripped her large cheeks but when he slapped her she growled out with a small hiss of pain. When he started to tongue fuck her she gasped out heavily in hot pants against the pillow and then moaned out a length high pitched moan as the tongue fucking quickly managed to push her to the edge of her little climax cliff. "S-sogekiiiiiii, ughhghhhmn..."* - Sat Dec 12 09:50:01 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) trembled heavier and throughout her lack of movement and twitches she wanted to desperately move! She wanted to push her hips up against his face and bend over for him to go deeper... to lick what hasn't been licked. The thought of how gross she found it left her mind and she focused on the feeling rather than the thoughts or sounds of his slurping. It wasn't until he started to suck at her outer lips as a whole that a second orgasm screamed through her as she trembled like she was seizing and moaned out loudly enough to echo off the corner of the room. 

"FUUUUUUUUUUUUUCK, OOOH... S-SOGEKI..HOLY...WHAT...ARE YOU? NNGNG.."

She rubbed her nose against the pillow only able to move a small amount as drool kept her face wet and she didn't care how filthy she felt in that moment, it was worth it for this....* - Sat Dec 12 10:01:58 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) walked in the house carrying several grocery bags and then froze instantly when she realized someone was in the house. Running her eyes over the area and seeing just who it was she rose a brow. "Oh...its just you guys..." <how long has it even been?>* - Sat Dec 12 22:20:57 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Oh look. - Sat Dec 12 22:20:57 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: It's your sister. - Sat Dec 12 22:20:57 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: She's as adorable as ever. - Sat Dec 12 22:21:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You're looking.... really good Shiro-chan. - Sat Dec 12 22:21:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: I like her hair better this way. - Sat Dec 12 22:21:48 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: I don't swing that way. - Sat Dec 12 22:21:48 2015
