<br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: -- - Sat Nov 28 00:28:09 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .....you aren't going to kiss me now right becuase that's -exactly- what she said. - Sat Nov 28 02:42:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sat Nov 28 02:43:50 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Of course I am. - Sat Nov 28 02:43:50 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm not only going to kiss you, but I'm going to have my way with you. - Sat Nov 28 02:43:50 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: And like one kiss is enough for one da----------- - Sat Nov 28 02:43:50 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) stepped back quickly.* - Sat Nov 28 02:44:41 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .......you are playing...right? - Sat Nov 28 02:51:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What? - Sat Nov 28 02:53:13 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Why would I be playing?~ - Sat Nov 28 02:53:13 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...You aren't going to touch me. - Sat Nov 28 02:55:47 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) 's tone was turning dark.* - Sat Nov 28 02:55:47 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Come on.~ Why are you being so mean to little ol' me?~ - Sat Nov 28 02:56:38 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Nng... it's not being mean, I just don't want to be touched. - Sat Nov 28 03:02:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Just accept it.~ - Sat Nov 28 03:02:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You should be happy someone wants to touch you.~ - Sat Nov 28 03:02:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Oh.. - Sat Nov 28 03:05:10 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...No... I shouldn't.. - Sat Nov 28 03:06:01 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Come on.. - Sat Nov 28 03:06:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're not actually against it. - Sat Nov 28 03:06:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You really want it. - Sat Nov 28 03:06:52 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: No I really don't and I might just puke. - Sat Nov 28 03:06:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Really? - Sat Nov 28 03:07:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Don't lie to yourself.. - Sat Nov 28 03:07:44 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ... Yeah well I'm not the one that is going to be trying to kiss a girl and have her puking into my mouth. - Sat Nov 28 03:08:35 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Who can find that attractive? - Sat Nov 28 03:09:26 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm not afraid of that.. - Sat Nov 28 03:11:08 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...that's...really disgusting. - Sat Nov 28 03:11:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I tend to enjoy gambles.. - Sat Nov 28 03:11:08 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) stepped the fuck back.* - Sat Nov 28 03:11:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I just don't know what's come over me..~ - Sat Nov 28 03:12:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Stop running away, you're hurting my feelings.. - Sat Nov 28 03:12:51 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...boo hoo. - Sat Nov 28 03:13:42 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) didn't seem to care about his feelings, she continued to step back if he stepped foward.* - Sat Nov 28 03:13:42 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Thank the gods. - Sat Nov 28 03:17:58 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Apparently they'll come soon. - Sat Nov 28 03:17:58 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Oh good. - Sat Nov 28 03:18:49 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well..where were we? - Sat Nov 28 03:19:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Right..you were going to allow me to have my way with you. - Sat Nov 28 03:19:40 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...No. - Sat Nov 28 03:19:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Yes..yes. - Sat Nov 28 03:21:23 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I feel as if you just haven't warmed up to someone touching you. - Sat Nov 28 03:21:23 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....and I won't ever. - Sat Nov 28 03:22:14 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You are just doing this because you know it get's a rise out of me. - Sat Nov 28 03:22:14 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Really? - Sat Nov 28 03:23:05 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That's not true. - Sat Nov 28 03:23:05 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I actually feel for you. - Sat Nov 28 03:23:05 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Let us become closer. - Sat Nov 28 03:23:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .... - Sat Nov 28 03:23:56 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) blew a bubble and popped it, speaking was a waste of time now.* - Sat Nov 28 03:24:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Right..right.. - Sat Nov 28 03:25:39 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Don't worry, I'll be gentle. - Sat Nov 28 03:25:39 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) stepped back in reaction and said nothing. Blowing another bubble, it seemed she was done giving him a reaction other than moving away.* - Sat Nov 28 03:28:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Come on, friend.~ - Sat Nov 28 03:30:46 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Just let me hold you. - Sat Nov 28 03:30:46 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I don't think we are friends. - Sat Nov 28 03:30:46 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Business associates. - Sat Nov 28 03:30:46 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Lovers? - Sat Nov 28 03:30:46 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...N-no. - Sat Nov 28 03:31:37 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) turned her head away as a flush came over her cheeks, even if she didn't enjoy these things they could still embarrass her.* - Sat Nov 28 03:32:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sat Nov 28 03:34:11 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Wait..a minute.. - Sat Nov 28 03:34:11 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: How old are you? - Sat Nov 28 03:34:11 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....Fifteen. - Sat Nov 28 03:35:02 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sat Nov 28 03:35:02 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Fourteen* - Sat Nov 28 03:35:02 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: Crap.. - Sat Nov 28 03:35:02 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Right..right..well.. - Sat Nov 28 03:35:02 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I was just joking.. - Sat Nov 28 03:35:02 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Definitely joking. - Sat Nov 28 03:35:02 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Uhuh, now that I'm jail bate you reconsidered your perversions. - Sat Nov 28 03:35:53 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ..... - Sat Nov 28 03:35:53 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I have no idea what you're talking about. - Sat Nov 28 03:35:53 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Sureeeeeeee. - Sat Nov 28 03:35:53 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Silence.. - Sat Nov 28 03:35:53 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Also..none of this will be spoken about.. - Sat Nov 28 03:35:53 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Sure it won't, I'm sue the woman will love to hear about how you wanted to swallow my puke. - Sat Nov 28 03:36:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ..... - Sat Nov 28 03:37:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What are you talking about? - Sat Nov 28 03:37:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I never said anything. - Sat Nov 28 03:37:36 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Sure.~ - Sat Nov 28 03:39:18 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sat Nov 28 03:41:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I never said that I would swallow your puke. - Sat Nov 28 03:41:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: If anything I said..I'd gamble. - Sat Nov 28 03:42:43 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sat Nov 28 03:49:32 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....right. - Sat Nov 28 03:52:06 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Well... - Sat Nov 28 03:52:06 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sat Nov 28 03:52:57 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...So ... - Sat Nov 28 03:54:40 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Where are they? - Sat Nov 28 03:54:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Huh? - Sat Nov 28 03:54:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I don't know. - Sat Nov 28 03:54:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Probably goofing off. - Sat Nov 28 03:55:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Also.. - Sat Nov 28 03:55:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You better not say anything about that. - Sat Nov 28 03:55:31 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I will say something. - Sat Nov 28 03:56:22 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Unless you tell me about the purification. - Sat Nov 28 03:56:22 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Gotcha.~ - Sat Nov 28 03:56:22 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) 's lips slowly curled up into a devilish grin.* - Sat Nov 28 03:56:22 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'll tell you not a thing. - Sat Nov 28 03:58:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Guess the girl and my -brother- are going to LOVE hearing about this. - Sat Nov 28 03:58:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You know his rule? - Sat Nov 28 03:58:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: If a person touches me then they have to marry me. - Sat Nov 28 03:58:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sat Nov 28 04:00:38 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ugh.. - Sat Nov 28 04:00:38 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I refuse to marry a child. - Sat Nov 28 04:00:38 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...I'm not a child. - Sat Nov 28 04:00:38 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You even referred to yourself as "Jailbait". - Sat Nov 28 04:01:29 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're a child. - Sat Nov 28 04:01:29 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Only because it bothered you. - Sat Nov 28 04:01:29 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Clearly you have a sense for the law. - Sat Nov 28 04:01:29 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I on the other hand, only care for the law when it suites me. - Sat Nov 28 04:01:29 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: No. - Sat Nov 28 04:01:29 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You misunderstand. - Sat Nov 28 04:02:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I have my own restrictions. - Sat Nov 28 04:02:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I don't care about any village rules. - Sat Nov 28 04:02:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I just don't like children. - Sat Nov 28 04:02:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .... - Sat Nov 28 04:02:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: And because you assume I am a child you don't like me. - Sat Nov 28 04:02:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You are a child. - Sat Nov 28 04:03:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I don't even know what children like.. - Sat Nov 28 04:05:45 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What..candy? - Sat Nov 28 04:05:45 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .... I mean I like gum, that's the only candy I like. - Sat Nov 28 04:06:36 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: But I told you I'm not a child. - Sat Nov 28 04:06:36 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You see children in this village all over, do you really think me the same as them? - Sat Nov 28 04:06:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Probably.. - Sat Nov 28 04:10:01 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You all look the same.. - Sat Nov 28 04:10:01 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .....You can literally only see my face. - Sat Nov 28 04:10:01 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Yep.. - Sat Nov 28 04:10:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You still look the same as all of the other rugrats. - Sat Nov 28 04:10:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It's okay, you little baby.~ - Sat Nov 28 04:10:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'll buy you some cotton candy, later. - Sat Nov 28 04:10:52 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...right. - Sat Nov 28 04:10:52 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Huh...seems the jester isn't entirely useless. - Sat Nov 28 04:12:35 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: He just informed me that the woman and my brother left Konoha. - Sat Nov 28 04:12:35 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sat Nov 28 04:12:35 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Really? - Sat Nov 28 04:12:35 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Yep. - Sat Nov 28 04:12:35 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well..they'll be headed here soon. - Sat Nov 28 04:12:35 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Good. - Sat Nov 28 04:13:26 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....how is Ichiro going to get into the village? - Sat Nov 28 04:13:26 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: He is banished.... - Sat Nov 28 04:13:26 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: We'll just meet them outside of the village. - Sat Nov 28 04:14:17 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You can purify me in the wilderness? - Sat Nov 28 04:14:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Come..come. - Sat Nov 28 04:14:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I can purify you anywhere. - Sat Nov 28 04:15:08 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: We are going now? - Sat Nov 28 04:16:51 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Remember.. - Sat Nov 28 04:18:33 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Not a word.. - Sat Nov 28 04:18:33 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...Why shouldn't I? You didn't tell me about the purification. - Sat Nov 28 04:18:33 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Or are you going to molest me if I say something? - Sat Nov 28 04:18:33 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm not marrying you. - Sat Nov 28 04:19:24 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) chuckled deviously.* - Sat Nov 28 04:19:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You know..they might take the boat across. - Sat Nov 28 04:19:24 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .... - Sat Nov 28 04:19:24 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Where do you want to wait? - Sat Nov 28 04:20:16 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Hm... - Sat Nov 28 04:21:07 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: The woman will probably be mad I'm covering up, I don't want to get punted. - Sat Nov 28 04:21:58 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: But we are -really- out in the open here..... - Sat Nov 28 04:21:58 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sat Nov 28 04:21:58 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) seemed to be talking to herself. She looked around and spotted guards, "nah... can't here."* - Sat Nov 28 04:21:58 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Are you trying to look pretty for her? - Sat Nov 28 04:22:49 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: No, not pretty. - Sat Nov 28 04:22:49 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sat Nov 28 04:22:49 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...so this is a bad spot. - Sat Nov 28 04:24:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Why? - Sat Nov 28 04:24:32 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I don't think they will come this close to the gate. - Sat Nov 28 04:25:23 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: What would your people do? - Sat Nov 28 04:25:23 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Really? - Sat Nov 28 04:25:23 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Would they wait outside or find a way inside? - Sat Nov 28 04:25:23 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: As if these guards would scare Shiro? - Sat Nov 28 04:25:23 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Because no one who  is banished and hated this much is going to walk up to the gate next to guards. - Sat Nov 28 04:25:23 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Shiro. - Sat Nov 28 04:25:23 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: That's her name. - Sat Nov 28 04:25:23 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Shiro. - Sat Nov 28 04:25:23 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Shiro isn't banished. - Sat Nov 28 04:26:14 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Ichiro is. - Sat Nov 28 04:26:14 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: And she isn't welcome. - Sat Nov 28 04:26:14 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That's not the case. - Sat Nov 28 04:26:14 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: She's under my protection. - Sat Nov 28 04:26:14 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Well they certainly don't like her. - Sat Nov 28 04:27:05 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: The shinobi at least. - Sat Nov 28 04:27:05 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That's fine, I could care less what they like. - Sat Nov 28 04:27:05 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...Could you please focus? - Sat Nov 28 04:27:05 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I don't know what you're nervous about..showing.. - Sat Nov 28 04:27:05 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: We need to find them and they should be here already. - Sat Nov 28 04:27:05 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: They aren't going to walk up to the gate. - Sat Nov 28 04:27:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I know him, he won't walk up here. - Sat Nov 28 04:27:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It does take a while to travel from Konoha to Kiri. - Sat Nov 28 04:27:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: It's -stupid-. - Sat Nov 28 04:27:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sat Nov 28 04:27:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Fine..fine. - Sat Nov 28 04:27:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...Oh look. - Sat Nov 28 04:27:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You are an idiot. - Sat Nov 28 04:27:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sat Nov 28 04:27:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Because they did go into the village. - Sat Nov 28 04:27:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Like I said they would. - Sat Nov 28 04:27:56 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sat Nov 28 04:27:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Be quiet. - Sat Nov 28 04:27:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: So how about we move away from the stupid ass gate guards. - Sat Nov 28 04:28:48 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) thinks: Oh. - Sat Nov 28 04:28:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: And get some mother fucking privacy. - Sat Nov 28 04:28:48 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) thinks: Right. - Sat Nov 28 04:28:48 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) thinks: There's more than one guard. - Sat Nov 28 04:28:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sat Nov 28 04:28:48 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ---- - Sat Nov 28 04:28:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I had to stay with this little girl..for so long. - Sat Nov 28 04:28:48 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: .... - Sat Nov 28 04:28:48 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Who is it? - Sat Nov 28 04:29:39 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...I am not a little girl. - Sat Nov 28 04:29:39 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: She's apparently Ichiro-kun's sister. - Sat Nov 28 04:29:39 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You'd know, wouldn't you Sado-san? - Sat Nov 28 04:29:39 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Shut it. - Sat Nov 28 04:29:39 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: With all your flirtations. - Sat Nov 28 04:29:39 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: No one flirted with you. - Sat Nov 28 04:29:39 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ...... - Sat Nov 28 04:29:39 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Master Sado. - Sat Nov 28 04:29:39 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Sat Nov 28 04:29:39 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Oh so that's his sister. - Sat Nov 28 04:29:39 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: You were flirting with Ichiro's little sister? - Sat Nov 28 04:29:39 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Ani-san, Sado-san is really such a tease. - Sat Nov 28 04:29:39 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I thought she was cute too, don't worry. - Sat Nov 28 04:29:39 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I was not. - Sat Nov 28 04:29:39 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: It's okay, Master Sado. - Sat Nov 28 04:30:30 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: He could barely keep his hands off me. - Sat Nov 28 04:30:30 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ..... - Sat Nov 28 04:30:30 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: What? - Sat Nov 28 04:30:30 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Honestly, I had to hold him back. - Sat Nov 28 04:30:30 2015
