<br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Fuckk.. I have nooothing.. - Mon Dec  7 09:02:17 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Kariudo still has a phat- - Mon Dec  7 22:17:36 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I will grant this request. - Mon Dec  7 22:44:03 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: This will help morale, but I do trust my shinobi to exercise discipline. - Mon Dec  7 22:44:03 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ...Really? - Mon Dec  7 22:45:45 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Wow... - Mon Dec  7 22:45:45 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Yes. - Mon Dec  7 22:45:45 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Alright.. uhh.. - Mon Dec  7 22:45:45 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Cool. - Mon Dec  7 22:45:45 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: In return. - Mon Dec  7 22:45:45 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: No more hurting yourself. - Mon Dec  7 22:45:45 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: That entirely.. cuts out my argume- - Mon Dec  7 22:45:45 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Right.. - Mon Dec  7 22:46:36 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: If I must. - Mon Dec  7 22:46:36 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I will employ tactics I don't wish to ensure you do not harm yourself. - Mon Dec  7 22:46:36 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: You don't just live for yourself. - Mon Dec  7 22:46:36 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Remember that. - Mon Dec  7 22:46:36 2015
<br><br><font color=teal>*Takuma(Brosis55) says: -- - Mon Dec  7 22:48:19 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: This is a gank. - Mon Dec  7 22:48:19 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: omit - Mon Dec  7 22:49:10 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I understand. I will be giving you more missions that require a lot of skill. - Mon Dec  7 22:50:52 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Thank you. - Mon Dec  7 22:51:44 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Oh, by the way. Sunagakure has invited us to a Festival. - Mon Dec  7 22:51:44 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I have something to give you as well, Takuma-San. - Mon Dec  7 22:51:44 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: --- - Mon Dec  7 22:51:44 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) thinks: I'm good.. - Mon Dec  7 22:51:44 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: ... - Mon Dec  7 22:51:44 2015
<br><br><font color=teal>*Takuma(Brosis55) says: What do you have to give? - Mon Dec  7 22:51:44 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: You possess the Katon element, no? - Mon Dec  7 22:52:35 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Of course. - Mon Dec  7 22:52:35 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: So.. - Mon Dec  7 22:56:51 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Besides the liquor. - Mon Dec  7 22:56:51 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: What else did you want to discuss. - Mon Dec  7 22:56:51 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Is that it? - Mon Dec  7 22:56:51 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Ummm. - Mon Dec  7 22:57:42 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Oh, yeah. - Mon Dec  7 22:57:42 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: One last thing. - Mon Dec  7 22:57:42 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Just one. - Mon Dec  7 22:57:42 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Respect. - Mon Dec  7 22:58:33 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: You look good, babe.. - Mon Dec  7 23:00:16 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) walked over in front of Eiyu after Sogeki had whispered to her. She sighed out heavily as she looked to him, "what you said outside sounded permanent..."* - Mon Dec  7 23:03:40 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: So you are relieving me as a shinobi..... - Mon Dec  7 23:05:23 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: And is that really what -you- want? - Mon Dec  7 23:06:14 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: No. - Mon Dec  7 23:06:14 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Then what are you doing you big headed idiot? - Mon Dec  7 23:06:14 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Because I'm not taking anymore chances. - Mon Dec  7 23:07:05 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ..so because you don't trust me. - Mon Dec  7 23:07:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You are throwing me away.... - Mon Dec  7 23:07:56 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: That is someway to put it, and not correct in the slightest. - Mon Dec  7 23:07:56 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: You wanted this. - Mon Dec  7 23:07:56 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Not I. - Mon Dec  7 23:07:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ......no I didn't. - Mon Dec  7 23:07:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You think this is what I want but it isn't. - Mon Dec  7 23:07:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I been doing what I want to do. - Mon Dec  7 23:08:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Working for you but being able to live with my brother. - Mon Dec  7 23:08:48 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Then what do you want, Kari? Yes, you have... But you are - But I have no way of knowing what you've been doing. - Mon Dec  7 23:08:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Your mistrust just keeps growing and growing when no one in the village even thinks of me as a traitor anymore. - Mon Dec  7 23:08:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I send you reports! - Mon Dec  7 23:09:39 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: You do. - Mon Dec  7 23:09:39 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Then what the hell?! - Mon Dec  7 23:09:39 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) was getting very worked up.* - Mon Dec  7 23:09:39 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: It's not a simple matter...... - Mon Dec  7 23:09:39 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: You are in a sticky situation. - Mon Dec  7 23:09:39 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: What if they use your brother as a tool? What if they tell you to kill Ichiro in return for your brother? What if they do someting to you? - Mon Dec  7 23:10:30 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: There are so many. - Mon Dec  7 23:10:30 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: This has been going on for the last eight months and NOW you think that I'm a traitor? NOW you think that you need to let me go? I am the most LOYAL PERSON TO YOU. - Mon Dec  7 23:10:30 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Rotues. - Mon Dec  7 23:10:30 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: ..... - Mon Dec  7 23:10:30 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) was panting heavily as her hands had been used in gestures and waved all about in her uproar. "You sealed my tongue so I couldn't speak of Kumogakure! You betrayed -me-, I didn't complain after that one conversation and I've had to tip toe around them ever since!"* - Mon Dec  7 23:11:21 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: My own BROTHER doesn't know I am still allied to you! - Mon Dec  7 23:11:21 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Out of everyone in the village I come back to see YOU AND SOGEKI. - Mon Dec  7 23:12:12 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: That's IT. - Mon Dec  7 23:12:12 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) widened her eyes but hadn't jumped back from him when he grabbed her. There was a moment she nearly did but had stopped herself due to the look in his eyes... she trusted him far to much. Turning her head away as he tried to look in her eyes she shamefully was lectured and jutted out her lower lip as her cheeks turned pink from thoughts in her head she tried not to think of. "I... " she didn't understand half of what he had said about it being the Raikage who betrayed him, he was the Raikage so that was confusing.

"I know I don't..." whispered out pathetically and she tried to think of a way to solve this issue. After he had released her, the girl's head lowered down and she sighed out, "interrogate me."* - Mon Dec  7 23:19:02 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: To do.. - Mon Dec  7 23:25:52 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...yes... you can... - Mon Dec  7 23:25:52 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Something. - Mon Dec  7 23:25:52 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I'm giving permission for interrogation. - Mon Dec  7 23:26:43 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) didn't know about the jutsu, she was requesting real traditional interrogation.* - Mon Dec  7 23:26:43 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: . . .. ...I see.... - Mon Dec  7 23:26:43 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) was wary when he formed handseals, was he going to hurt her first? She closed her eyes tightly soon after looking at the seals in fear but then she was forced into a different  'dimension' of her mind's eye. She opened her eyes again looking up at him but everything else was dark and blurred around her, no pain.. just nothing but his words and image. <What is this? No pain?> She then cleared her throat and spoke up to answer him immediately as she was forced to speak. "Ichiro is of my bloodline, because of that he can use the same techniques I use but isn't very good at them. He uses taijutsu and is a care free spirit, he simply goes with the flow and does what makes him feel happy. He feels 'right' with the group he is staying with, it isn't his faction. He is a body guard to the woman. She is not the leader either, there is a 'Master' but he is never present with the group, I have no seen him since the first day I met the group. Ichiro isn't hiding anything that I know of but if he is, he is hiding it from me too. He is willing to eat human flesh without remorse if he is hungry, and he is willing to commit evil acts if it means making him happy. The only thing I do while I am there is train with them, make food for them occasionally, and they tease me. As I told you before I am treated like a little sister or 'mascot'. It makes spying relatively easy."* - Mon Dec  7 23:35:15 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) heard his words and continued to be unmoving as her body trembled from the questions asked, "I am utterly loyal to Eiyu Minatabi, if there was another kage I'm not certain how loyal I would be... except that you said you'd be a shinobi and as you were loyal to this village then... so would I be loyal to the village. ---Sogeki is also undyingly loyal to the village.. so I remain loyal because of him aswell. It is the -people- that make me loyal to Kumogakure, not the location or morals of the village. I am not originally from Kumogakure but from the land of rice... because of that it never really felt as if this is truly my 'home'. It feels that the people I live with now are my 'home' because it feels 'right' but I still remain loyal to the people I care for in this village. The loyalty I have to my brother is a bond of sibling attraction, nothing my brother does, good or evil, is wrong in my eyes because he is and always will be my brother. It is why I have gone through such an effort to assure that Kumogakure is untouched by the group I live with and spy on." She gasped out from being out of breath and hesitated now.

When she got to the next question she tried to resist and because of that began to feel pain. Her body shuddered and ached as she tried to resist screaming.* - Mon Dec  7 23:42:56 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) resisted further as he insisted on her speaking. She knew if she lied she would feel more pain, it was obvious just by her resisting to speak in the first place. "I am entirely loyal to Eiyu Minatabi, I would die for him if I thought his life was needed longer than mine in this world, I...I was asked once if I would d---" she tried to resist again and screamed out now.

Panting heavily as her body was forced to remain standing but was slumped in the shoulders and sweat upon her brow. "Even though I am with Sogeki, I have feelings for Eiyu Minatabi, I care deeply for h-him and in another r-reality would have been with him had S-sogeki not come along."* - Mon Dec  7 23:50:36 2015
<br><br><font color=teal>*Akito(KazutoAyamu) thinks: ..... - Mon Dec  7 23:51:28 2015
<br><br><font color=teal>*Akito(KazutoAyamu) thinks: And here I thought that I was the only one that is fucked in the head - Mon Dec  7 23:52:19 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) fell to the ground as the genjutsu was released and she gasped out as the pain was gone but the mental state she was in from what she had just revealed was terrible, she had worse secrets of course...but this was still bad enough to torment her. She rest with hair covering her face and unaware that Akito was even there, she had yet to hear him even speak.* - Tue Dec  8 00:00:00 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Haku-san? - Tue Dec  8 00:08:32 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Who the fuck is Haku-san? - Tue Dec  8 00:09:23 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .... - Tue Dec  8 00:16:12 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) looked up to the two with hatred in her eyes, "it wasn't as if I ever wanted to admit to that.. he forced me to to prove my loyalty to the village. I would never act on such feelings." She turned her head away and mumbled out, "is the interrogation over ... or were you simply stunned and released me."* - Tue Dec  8 00:17:04 2015
<br><br><font color=teal>*Akito(KazutoAyamu) thinks: ....... - Tue Dec  8 00:25:36 2015
<br><br><font color=teal>*Akito(KazutoAyamu) thinks: Interesting... - Tue Dec  8 00:25:36 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....Nothing. - Tue Dec  8 00:50:20 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) stood up and crossed her several arms over her front. She kept her head down in shame and muttered out, "I guess I'll just wait here..." She couldn't exactly leave without Eiyu saying the interrogation was over.* - Tue Dec  8 00:53:45 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) thinks: It was needed. - Tue Dec  8 00:58:52 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Do you rescend relieving me of duty.... - Tue Dec  8 00:59:44 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I do. - Tue Dec  8 00:59:44 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....alright..... - Tue Dec  8 01:00:35 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: .... - Tue Dec  8 01:00:35 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Fun is over? - Tue Dec  8 01:00:35 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: What. - Tue Dec  8 01:00:35 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) turned to leave now as she was released. Fuck Akito.* - Tue Dec  8 01:00:35 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: I thought you two were going to consumate those feelings for each other. - Tue Dec  8 01:00:35 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: It wasn't fun... I - Oh. - Tue Dec  8 01:00:35 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I have missions. - Tue Dec  8 01:00:35 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: That need completion. - Tue Dec  8 01:00:35 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: And I have some homework. - Tue Dec  8 01:00:35 2015
<br><br><font color=teal>*Takuma(Brosis55) says: -- - Tue Dec  8 01:01:26 2015
<br><br><font color=teal>*Takuma(Brosis55) says: So Kariduo is leaving? - Tue Dec  8 01:01:26 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Forever? - Tue Dec  8 01:01:26 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: No. - Tue Dec  8 01:01:26 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Oh. - Tue Dec  8 01:01:26 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Hm. - Tue Dec  8 01:01:26 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....No.... jeez. - Tue Dec  8 01:01:26 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Fucking dramatic. - Tue Dec  8 01:01:26 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Oh Eiyu. - Tue Dec  8 01:02:17 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) kept walking, she needed some fucking air.* - Tue Dec  8 01:02:17 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: I'm so freaking embarrassed.... - Tue Dec  8 01:03:08 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: What happen? - Tue Dec  8 01:09:07 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Eiyu was doubting me... and was going to relieve me of duty entirely... so I offered to permit interrogation. - Tue Dec  8 01:11:40 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: He asked me what I...thought of him. - Tue Dec  8 01:11:40 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: At the end. - Tue Dec  8 01:11:40 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: And that bit of what you asked me...came out. - Tue Dec  8 01:12:32 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: I tried not to say it but it came out. - Tue Dec  8 01:12:32 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: The pain was too much and it forced me to say it. - Tue Dec  8 01:12:32 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: So now he knows that I had feelings at some point. - Tue Dec  8 01:12:32 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Yeah...and then Akito...heard all that. - Tue Dec  8 01:12:32 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: And was being a dick and tormenting us. - Tue Dec  8 01:12:32 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: About 'love confessions'. - Tue Dec  8 01:12:32 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: nothing* - Tue Dec  8 01:14:14 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: He rescended relieving me of duty... I guess I earned his trust with everything else said...but now things are awkward as fuck. - Tue Dec  8 01:15:05 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: It'll be alright. - Tue Dec  8 01:15:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: You mad? - Tue Dec  8 01:15:56 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) wanted to reach out for his hand--hell she wanted to hug him after not seeing him for so long but this was making things weird.* - Tue Dec  8 01:16:48 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: No. I have no reason to be. - Tue Dec  8 01:17:39 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) bit down on her inner cheek and then tried to hug him---because she wanted to but also to test his reaction to the situation.* - Tue Dec  8 01:18:30 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: You are lyin' arent you? - Tue Dec  8 01:22:46 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) hugged him tightly and closed her eyes as she hugged him.* - Tue Dec  8 01:22:46 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Do I need to have you interrogate me too? - Tue Dec  8 01:22:46 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Just.. let me know if those feelings are still there.. - Tue Dec  8 01:23:37 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: For him? - Tue Dec  8 01:23:37 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: I care deeply for him and am entirely loyal to him...but, I have no desire to be with him. I'm yours. - Tue Dec  8 01:23:37 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: You are the only person for me. - Tue Dec  8 01:24:28 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Then that's all I need to know. - Tue Dec  8 01:25:20 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: I'm not mad. - Tue Dec  8 01:25:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: You certain? - Tue Dec  8 01:25:20 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Very. - Tue Dec  8 01:25:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Good. - Tue Dec  8 01:25:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: I missed the hell out of you. - Tue Dec  8 01:26:11 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Ugh..we should probably go to that. - Tue Dec  8 01:27:02 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Nah.. I haven't seen you in a while.. - Tue Dec  8 01:27:53 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Okay... - Tue Dec  8 01:28:44 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Up for ditching it? - Tue Dec  8 01:28:44 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: It's on you. - Tue Dec  8 01:28:44 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) nuzzled into him further, "I don't want to go but it might look bad."* - Tue Dec  8 01:29:36 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Alright.. We'll attend. - Tue Dec  8 01:30:27 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) kissed back and didn't want it to break it seemed like, it had been so long since they kissed and she had found herself missing it. "O-okay. Where are we suppose to go?"* - Tue Dec  8 01:33:00 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hm. - Tue Dec  8 01:55:12 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Your brother say's that he's attempting to restore. - Tue Dec  8 01:55:12 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Your native home. - Tue Dec  8 01:56:03 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: So he will be out. - Tue Dec  8 01:56:03 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Is this where the revealing of the landmark is? - Tue Dec  8 01:56:03 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: No. - Tue Dec  8 01:56:54 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: It will be. - Tue Dec  8 01:56:54 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: The center of the village. - Tue Dec  8 01:56:54 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: It's why that portion has been covered for sometime. - Tue Dec  8 01:57:45 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Hm.. - Tue Dec  8 01:57:45 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Let's view it now. - Tue Dec  8 01:57:45 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) stood beside Sogeki and listened on in silence, she knew his words were dangerous but she had known for a while he was going to break away from Sunagakure due to information she had aquired through picking at Eiyu in subtle ways. When he had finished his speech, or came to a pause at least, she glanced up to Sogeki and then back towards Eiyu in front of the memorial stone. She had nothing to really say since it was a formal event.* - Tue Dec  8 02:16:32 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: I will not doubt be in danger from here on out. - Tue Dec  8 02:17:23 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: But what I intend to pass down to you. - Tue Dec  8 02:18:14 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Is the fact that we are to be a free people, and even if Sunagakure intends to subjugate us. - Tue Dec  8 02:18:14 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: It will fail. - Tue Dec  8 02:18:14 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: For our people demand to be free, and they will have to kill us all before they can call us Sunagakure. - Tue Dec  8 02:18:14 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Missions can wait. - Tue Dec  8 02:20:48 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Me? I'm just a wandering monk. I used to live here a while ago. - Tue Dec  8 02:39:34 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Alright. - Tue Dec  8 02:39:34 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: You? - Tue Dec  8 02:39:34 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: I recall seeing you in Suna not too long ago. - Tue Dec  8 02:39:34 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Yeah, was there for awhile. - Tue Dec  8 02:39:34 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Got taught a technique, and left. - Tue Dec  8 02:40:25 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) thinks: What is the point of serving a village...Everyone around me is dead... - Tue Dec  8 02:40:25 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ...... - Tue Dec  8 02:42:08 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Hm... - Tue Dec  8 02:46:24 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: You've returned, Kuro. - Tue Dec  8 02:46:24 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: What kind of name is Kuro. - Tue Dec  8 02:47:15 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: This man is a fuckboy. - Tue Dec  8 02:47:15 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Yes, I have. I haven't visited in a while, so I figured I'd see how things are going. - Tue Dec  8 02:47:15 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: After all, this is still my home. - Tue Dec  8 02:47:15 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I suppose it is. - Tue Dec  8 02:47:15 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I take it you've gotten word? - Tue Dec  8 02:47:15 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Word of? - Tue Dec  8 02:48:06 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) started to blow bubbles with her gum and then reached out for Sogeki's hand, she was bored.* - Tue Dec  8 02:49:48 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Kumogakure will remain on high alert. - Tue Dec  8 02:52:22 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: For the time being. - Tue Dec  8 02:52:22 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Sunagakure shinobi who are present - do not harm them, simply keep an eye on them with our forces, along with Konohagakures. We will ensure everything goes down smoothly. - Tue Dec  8 02:53:13 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: What's going on? - Tue Dec  8 02:53:13 2015
