<br><font color=teal>*Sanoke(Gamuhz2) says: He's too carefree. - Tue Dec  1 02:05:00 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: Nah. - Tue Dec  1 04:42:01 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: One of these days it might get you hurt. . . Or worse. - Tue Dec  1 04:42:52 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: ...... - Tue Dec  1 04:42:52 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: What doesn't kill you, makes you stronger. - Tue Dec  1 04:42:52 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: Hehe... - Tue Dec  1 04:42:52 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: You already on thin ice. - Tue Dec  1 04:42:52 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Witth most of my family. - Tue Dec  1 04:43:44 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: That's cool. - Tue Dec  1 04:43:44 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *shrugs*  You right. - Tue Dec  1 04:43:44 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: For saying my gramps was a idot. - Tue Dec  1 04:43:44 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Perhaps you should take a breather and meditate. - Tue Dec  1 04:43:44 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: That's cool. - Tue Dec  1 04:43:44 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Hmm - Tue Dec  1 04:43:44 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: .... - Tue Dec  1 04:44:35 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: What did he say about my father...? - Tue Dec  1 04:44:35 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Damn. . We back at this. - Tue Dec  1 04:44:35 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: He called Gramps an Idot. - Tue Dec  1 04:44:35 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: .... - Tue Dec  1 04:44:35 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: I thought about doing something then Kinami was and Ivel. - Tue Dec  1 04:44:35 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: But we all got sorta stopped. - Tue Dec  1 04:44:35 2015
<br><br><font color=teal>*Aoi(ByeFelicia) thinks: What is he even saying... - Tue Dec  1 04:44:35 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Didnt want any of us to go to jail. - Tue Dec  1 04:45:26 2015
<br><br><font color=teal>*Aoi(ByeFelicia) thinks: He seems to just be rambling... - Tue Dec  1 04:45:26 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: .... - Tue Dec  1 04:45:26 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: Hot. - Tue Dec  1 04:45:26 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Allah Appears to be on his side. - Tue Dec  1 04:46:17 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: Who? - Tue Dec  1 04:46:17 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm? Quite the troublemaker. - Tue Dec  1 04:47:08 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Um, I believe that's a deity. - Tue Dec  1 04:48:00 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: God. - Tue Dec  1 04:48:51 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: Nah. - Tue Dec  1 04:49:42 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: I don't got anything like that. - Tue Dec  1 04:49:42 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: So. I was thinking about opening a casino. - Tue Dec  1 04:49:42 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What you guys think? - Tue Dec  1 04:49:42 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Would I be able to get in? - Tue Dec  1 04:49:42 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: You want to make me even richer...? - Tue Dec  1 04:50:33 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: How old are you again? - Tue Dec  1 04:50:33 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Gambling is a sin - Tue Dec  1 04:50:33 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: 13. - Tue Dec  1 04:50:33 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: The house always wins, Lera. - Tue Dec  1 04:50:33 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Your mother was a sin. I did her anyway. - Tue Dec  1 04:50:33 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: And eh. . Sure, why not? - Tue Dec  1 04:50:33 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: Hey. - Tue Dec  1 04:51:24 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Then I think it would be a great idea. - Tue Dec  1 04:51:24 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Not when you're me. - Tue Dec  1 04:51:24 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: Who wants to donate to the Fund-A-Yuda foundation? - Tue Dec  1 04:51:24 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: ...... - Tue Dec  1 04:51:24 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: What of a temple? - Tue Dec  1 04:51:24 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: For only ninety-nine cents a day....You can save a starving Yuda... - Tue Dec  1 04:51:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: A temple for what? - Tue Dec  1 04:52:16 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Or in this case um..A church?  - Tue Dec  1 04:52:16 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Bryson is the village's priest. - Tue Dec  1 04:52:16 2015
<br><br><font color=yellow>*Yuda(Booty Eater) shows a poorly drawn image of a bald, starving image of himself.* - Tue Dec  1 04:52:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Church is so lame, though.. - Tue Dec  1 04:52:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: My master tried to teach me the gospel of some. . Sage person or whatever. - Tue Dec  1 04:52:16 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Bite your tongue - Tue Dec  1 04:53:58 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Nah. That hurts. - Tue Dec  1 04:53:58 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: --That's not very nice, y'know. - Tue Dec  1 04:53:58 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Muslim is the way to go. - Tue Dec  1 04:54:49 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Dont disrecpect the church like that - Tue Dec  1 04:54:49 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Bryson. Remember when you told me about that Jesus Christ guy. . ? - Tue Dec  1 04:54:49 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: C'mon. . . - Tue Dec  1 04:54:49 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: He has to be like some super ninja, right? - Tue Dec  1 04:54:49 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: If he wanted to, he could come right here and greet us, right? - Tue Dec  1 04:54:49 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: He is not a ninja - Tue Dec  1 04:54:49 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: But he will come to the earth one day - Tue Dec  1 04:55:40 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: His is all powerful - Tue Dec  1 04:55:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: But how did he do that if he isn't a ninja? - Tue Dec  1 04:56:32 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Becasue he is a miricale worker - Tue Dec  1 04:57:23 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm. . . And why isn't he here again? - Tue Dec  1 04:57:23 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Dab!!!!!! - Tue Dec  1 04:57:23 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *cough* - Tue Dec  1 04:57:23 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Becasue he is in heaven - Tue Dec  1 04:58:14 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oooh. That's cool. . And why is he comin' back then? - Tue Dec  1 04:58:14 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: I heard church was for faggots that touch little boys. - Tue Dec  1 04:59:05 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Man.. - Tue Dec  1 04:59:05 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: Just a rumor though. - Tue Dec  1 04:59:05 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Are you having a competition to see who can be the most infuriating? - Tue Dec  1 04:59:05 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: He is winning. - Tue Dec  1 04:59:05 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: I wasn't before. - Tue Dec  1 04:59:05 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: Now I am. - Tue Dec  1 04:59:56 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Like Yuda why? - Tue Dec  1 04:59:56 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: He will come back when the world ends and send all those who are good to heavan and the rest will suffer for not repenting for their sins - Tue Dec  1 04:59:56 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: It's just the way I am. - Tue Dec  1 04:59:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Pfft. The world ain't ever going to end. -- Oooh. - Tue Dec  1 04:59:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Question. If these guys are true. Who'd win in a fight.. - Tue Dec  1 04:59:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Jesus or Jashin? - Tue Dec  1 04:59:56 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Who is jesus? - Tue Dec  1 05:00:48 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: ... is that a joke? - Tue Dec  1 05:00:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . .  - Tue Dec  1 05:00:48 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: Jesus is a joke. - Tue Dec  1 05:00:48 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Jesus is your lord and savior... - Tue Dec  1 05:00:48 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: Nah. - Tue Dec  1 05:00:48 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: Praise Jashin. - Tue Dec  1 05:01:39 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: We about to face some divine retribution type shit. . .  - Tue Dec  1 05:01:39 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Oh... - Tue Dec  1 05:01:39 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Religion. - Tue Dec  1 05:01:39 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: No thanks. - Tue Dec  1 05:01:39 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Tue Dec  1 05:01:39 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) thinks: That Yuda guy is going to die... - Tue Dec  1 05:03:21 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: You test my patience boy... - Tue Dec  1 05:04:12 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: Will the work be better without him? - Tue Dec  1 05:04:12 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: When did this become a battle of religion? - Tue Dec  1 05:04:12 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: So. - Tue Dec  1 05:05:04 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: Who's Jashin? - Tue Dec  1 05:05:04 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Watch you mouth about mt religion - Tue Dec  1 05:05:04 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I dunno. . .All of this junk is complicated. - Tue Dec  1 05:05:55 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: Sounds like it. - Tue Dec  1 05:05:55 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm. . .What other buildings would you guys like to see? - Tue Dec  1 05:05:55 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: I'm not the religious type anyways. - Tue Dec  1 05:05:55 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: A theatre... - Tue Dec  1 05:07:37 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: A mall. - Tue Dec  1 05:07:37 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: A mall? But we already got a bunch of shops. All good suggestions, though. - Tue Dec  1 05:08:28 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: A spar or a sauna... - Tue Dec  1 05:08:28 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: Somethin' like that. - Tue Dec  1 05:08:28 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: I know you people need your relaxation... - Tue Dec  1 05:08:28 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: A spar? That's not relaxing, kid. - Tue Dec  1 05:08:28 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: An opium shed -omit- - Tue Dec  1 05:09:20 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: .... - Tue Dec  1 05:09:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: A mall would be convinent in the sense all the shopping areas would be one area. - Tue Dec  1 05:09:20 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: It is for some. - Tue Dec  1 05:10:11 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Also, we could make like...an arena.~ An official one. - Tue Dec  1 05:10:11 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Instead of just a dusty lot surrounded by walls. - Tue Dec  1 05:10:11 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: What of a meditation waterfall? - Tue Dec  1 05:10:11 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Somewhere where you can get piece and quiet. - Tue Dec  1 05:11:02 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: I'm sure there's some individuals who can use suiton, and others who can use doton.   - Tue Dec  1 05:11:02 2015
<br><br><font color=teal>*Aoi(ByeFelicia) says: What about Peace and Quiet? - Tue Dec  1 05:11:02 2015
<br><br><font color=teal>*Aoi(ByeFelicia) says: It sounds like a better combination. - Tue Dec  1 05:11:02 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: A dusty lot su-....That's this whole village... - Tue Dec  1 05:11:02 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: It's all sand... - Tue Dec  1 05:11:53 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: My point exactly.. - Tue Dec  1 05:12:44 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: A greenhouse would be nice as well... - Tue Dec  1 05:13:36 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: ..... - Tue Dec  1 05:13:36 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: This place needs a bit of green. - Tue Dec  1 05:13:36 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: Heh...Yeah...A greenhouse. - Tue Dec  1 05:13:36 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: We have a colliseuilm - Tue Dec  1 05:13:36 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: An Oasis. - Tue Dec  1 05:14:27 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: That could serve as the green and the peace and quiet. - Tue Dec  1 05:14:27 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: Get some uh...Castor Bean plants... - Tue Dec  1 05:14:27 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: It'll be great.... - Tue Dec  1 05:14:27 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Wow, this is a lot. Not sure we'll have enough money. - Tue Dec  1 05:14:27 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: We could use the colliseuilm to raise money. - Tue Dec  1 05:14:27 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: We could have participants buy their way into a large tournament; but of course you'd need a prize worth the time. - Tue Dec  1 05:15:18 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: .... - Tue Dec  1 05:16:09 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Yeah. - Tue Dec  1 05:16:09 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: I been said we should have like a gaint festivle. - Tue Dec  1 05:16:09 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: And Ivinte everyoen were allied with. - Tue Dec  1 05:17:00 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: I can sell wine and art like crazy then. - Tue Dec  1 05:17:00 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: And we wont have to worry about anyone other than a suna nin winning the torunment. - Tue Dec  1 05:17:52 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Because like were all amazing. - Tue Dec  1 05:17:52 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yeah. I have plans in the works, nothing immediate, however. - Tue Dec  1 05:19:34 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Be sure to be available in a week or two. The final portion of the chunnin exam should be good. - Tue Dec  1 05:20:25 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: What's the final portion? - Tue Dec  1 05:20:25 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: Can I watch? - Tue Dec  1 05:20:25 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: *sigh* - Tue Dec  1 05:23:50 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) thinks: Always missing these things... - Tue Dec  1 05:23:50 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: I'll be there. - Tue Dec  1 05:23:50 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hey maybe to make it more instesrting we can add the Kiri side in there. - Tue Dec  1 05:24:41 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yes. - Tue Dec  1 05:28:06 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: It'll be a tournament. - Tue Dec  1 05:28:06 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: --And no. It's too late. - Tue Dec  1 05:28:06 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmm. - Tue Dec  1 05:28:06 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: I want to get faster. - Tue Dec  1 05:28:57 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: So I can join right? Before it gets too far? - Tue Dec  1 05:28:57 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Any Ideals? - Tue Dec  1 05:28:57 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: No. You missed two portions. - Tue Dec  1 05:28:57 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Wear weights. - Tue Dec  1 05:28:57 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: What. - Tue Dec  1 05:28:57 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: You liar. - Tue Dec  1 05:28:57 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmm. - Tue Dec  1 05:31:31 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Where can i get these? - Tue Dec  1 05:31:31 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: And how much will they cost me. - Tue Dec  1 05:31:31 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: You know Im like poor. - Tue Dec  1 05:31:31 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: ... - Tue Dec  1 05:32:22 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) thinks: I'll have to try and get promoted the ol fashioned way... - Tue Dec  1 05:32:22 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Hey Sanoke. - Tue Dec  1 05:32:22 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Give me a mission. - Tue Dec  1 05:32:22 2015
<br><br><font color=yellow>*Yuda(Booty Eater) caught Sasuke aka Izanami.

"No Mangekyou for you motherfucker."* - Tue Dec  1 05:32:22 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Ohhh I wanan go to. - Tue Dec  1 05:32:22 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: omit - Tue Dec  1 05:32:22 2015
<br><br><font color=teal>*Aoi(ByeFelicia) says: So...Who's going to start saying, "duck...Duck..Goose" whilst tapping our heads? -omit- - Tue Dec  1 05:33:13 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *blinks* - Tue Dec  1 05:33:13 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: A mission? Not many at the moment. The Daimyo doesn't want to overwork us. - Tue Dec  1 05:33:13 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: So I have to wait a whole year to get promoted? - Tue Dec  1 05:34:04 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Overwork us? - Tue Dec  1 05:34:04 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Bah - Tue Dec  1 05:34:04 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: I need to do -something- - Tue Dec  1 05:34:04 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Since I can't participate in the chuunins anymore. - Tue Dec  1 05:34:04 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yes. Who cares, you're only like 4 years old.. - Tue Dec  1 05:34:56 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: Give her a mission. - Tue Dec  1 05:34:56 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: I'm 10.. - Tue Dec  1 05:34:56 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Just because i'm young doesn't mean i'm not a shinobi, Sanoke. - Tue Dec  1 05:34:56 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: You have to respect it. - Tue Dec  1 05:34:56 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmm. - Tue Dec  1 05:38:20 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Just do something amazing Ivel. - Tue Dec  1 05:38:20 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Apperantly thats what I did. - Tue Dec  1 05:38:20 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: I'll just go call up the next global dictator. - Tue Dec  1 05:38:20 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: There are more of those oh wow? - Tue Dec  1 05:39:12 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: Do that mission hottie. - Tue Dec  1 05:39:12 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hey I know. - Tue Dec  1 05:39:12 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: ... - Tue Dec  1 05:39:12 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: You want me to be a messenger...? - Tue Dec  1 05:39:12 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: Yeah. - Tue Dec  1 05:40:03 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: Do it for the village. - Tue Dec  1 05:40:03 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Which village and what message? - Tue Dec  1 05:40:03 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Should be in the scroll. - Tue Dec  1 05:40:03 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Can I go with her? - Tue Dec  1 05:40:03 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: No. - Tue Dec  1 05:40:03 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You ugly. - Tue Dec  1 05:40:03 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Sure. - Tue Dec  1 05:40:03 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Cool.~ - Tue Dec  1 05:40:54 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: So. - Tue Dec  1 05:40:54 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: How about me~ - Tue Dec  1 05:40:54 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hey. - Tue Dec  1 05:40:54 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Nah. I hate your hair. - Tue Dec  1 05:40:54 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: Can I know what day you're all planning to kill me? - Tue Dec  1 05:40:54 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Sit your ass down. - Tue Dec  1 05:40:54 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Wow. - Tue Dec  1 05:40:54 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: So I can mark it on my calendar. - Tue Dec  1 05:40:54 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Sure. - Tue Dec  1 05:40:54 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: So I can be there to die on time. - Tue Dec  1 05:40:54 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Cool. - Tue Dec  1 05:40:54 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: How about now. - Tue Dec  1 05:40:54 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hey me and Ivel can like go do something fun to. - Tue Dec  1 05:40:54 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: Alright. - Tue Dec  1 05:40:54 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: I'm ready. - Tue Dec  1 05:40:54 2015
<br><br><font color=yellow>*Yuda(Booty Eater) dies.* - Tue Dec  1 05:41:45 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: omit - Tue Dec  1 05:41:45 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Send me and Ivel on a job Tor-tata. - Tue Dec  1 05:41:45 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmm. - Tue Dec  1 05:51:08 2015
