<br><font color=teal>*Ketsuki(SephirothSage) says: !? - Sat Oct 31 01:26:11 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: It's nothing. - Sat Oct 31 01:26:11 2015
<br><br><font color=teal>*Ziare(Meekee) says: Takeda. - Sat Oct 31 01:26:11 2015
<br><br><font color=teal>*Ziare(Meekee) says: We can't do anything. - Sat Oct 31 01:27:02 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: A'right then... I'm headed out to the training field, I think. - Sat Oct 31 01:27:02 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Sat Oct 31 01:27:02 2015
<br><br><font color=teal>*Ziare(Meekee) says: Can I tag along? - Sat Oct 31 01:27:02 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Peace out for now, yeah? - Sat Oct 31 01:27:02 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Hrm? Sure, if you want.  - Sat Oct 31 01:27:02 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Neither do you Aden. - Sat Nov  7 19:23:31 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: You've seen some death, congradulations. - Sat Nov  7 19:23:31 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: That's the life of a Shinobi. - Sat Nov  7 19:24:22 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: I'm actualy talking like someone thats near me is acting like a child yet wants to talk down on other people. - Sat Nov  7 19:24:22 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: YOu don't need to be all morbid and depressing about it. - Sat Nov  7 19:24:22 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: If you don't like what I have to say. - Sat Nov  7 19:24:22 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Is that why he is acting like this? - Sat Nov  7 19:24:22 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Too bad. - Sat Nov  7 19:24:22 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Yes, That's why. - Sat Nov  7 19:24:22 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Wow. - Sat Nov  7 19:24:22 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: You don't know my reasons. - Sat Nov  7 19:24:22 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: He keeps trying to talk us down. - Sat Nov  7 19:24:22 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: His more of a child then I thought. - Sat Nov  7 19:24:22 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Saying he knows life harder than us. - Sat Nov  7 19:24:22 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: He keeps going on about the massacre of Kumo. - Sat Nov  7 19:25:13 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: So? - Sat Nov  7 19:25:13 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: He wasn't there when it happened. - Sat Nov  7 19:25:13 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I know, Then he's using that as an excuse to 'motivate' us into working harder. - Sat Nov  7 19:25:13 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Have you seen what's left? - Sat Nov  7 19:25:13 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: You. - Sat Nov  7 19:25:13 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Yo* - Sat Nov  7 19:25:13 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Do you know that could be us? - Sat Nov  7 19:25:13 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Bitch boy. - Sat Nov  7 19:26:04 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: It was us. - Sat Nov  7 19:26:04 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Or rather.. It's only a matter of time.-- - Sat Nov  7 19:26:04 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: I'm from kumo. - Sat Nov  7 19:26:04 2015
<br><br><font color=yellow>*Kyushiki(Maruka) shows his headband.* - Sat Nov  7 19:26:04 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Then you're a coward. - Sat Nov  7 19:26:04 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: I was there when everyone was being killed. - Sat Nov  7 19:26:04 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: - - Sat Nov  7 19:26:04 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: I'm a coward? - Sat Nov  7 19:26:04 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: I got blown the fuck up. - Sat Nov  7 19:26:04 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: I take you ran for your life? - Sat Nov  7 19:26:04 2015
<br><br><font color=yellow>*Kyushiki(Maruka) eye twitched.* - Sat Nov  7 19:26:56 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: This guy. - Sat Nov  7 19:26:56 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Oh this guy. - Sat Nov  7 19:26:56 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: So you dish shit out, but you can't take it... - Sat Nov  7 19:26:56 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Your pushing buttons you shouldn't be pushing. - Sat Nov  7 19:26:56 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Then don't push mine. - Sat Nov  7 19:26:56 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: So you wanted this man to die with his village instead of one day returning it to glory? - Sat Nov  7 19:26:56 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Don't talk as if you knew what happened there. - Sat Nov  7 19:27:47 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Allow them to talk. Your comments aren't helping, redhead. - Sat Nov  7 19:27:47 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: I've -seen- it. - Sat Nov  7 19:27:47 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Neither are Adens. - Sat Nov  7 19:27:47 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: I didn't see you. - Sat Nov  7 19:27:47 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: The aftermath. - Sat Nov  7 19:27:47 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: I doubt you would see me.. - Sat Nov  7 19:27:47 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: You were too busy. - Sat Nov  7 19:27:47 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: I don't give a fuck about no aftermath - Sat Nov  7 19:27:47 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Getting blown the fuck up. - Sat Nov  7 19:27:47 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: I was there in the middle of it. - Sat Nov  7 19:27:47 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: When everyone was being killed. - Sat Nov  7 19:28:38 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: And our kage ran away. - Sat Nov  7 19:28:38 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: *Laughs* - Sat Nov  7 19:28:38 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: I watched as others were blown into bits and pieces. - Sat Nov  7 19:28:38 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: As me and two others only survived. - Sat Nov  7 19:28:38 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: So then you no more than anyone why we should be doing more than just sitting around. - Sat Nov  7 19:29:29 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: You've seen what happens. - Sat Nov  7 19:29:29 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Then why do you not care to rebuild Kumo? To work hard and make up for those who died? - Sat Nov  7 19:29:29 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Who knows... Konohagakure could be next? - Sat Nov  7 19:29:29 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: To prevent where you're at from suffering that. - Sat Nov  7 19:29:29 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: You talking to me?@Heiwa? - Sat Nov  7 19:30:20 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I am. - Sat Nov  7 19:30:20 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) thinks: These guys are so damn morbid. - Sat Nov  7 19:30:20 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Because. - Sat Nov  7 19:30:20 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) thinks: All I want to do is relax a while. - Sat Nov  7 19:30:20 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: One man can't rebuild and entire village. - Sat Nov  7 19:30:20 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: We're shinobis. - Sat Nov  7 19:31:12 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: We change reality every day. - Sat Nov  7 19:31:12 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: You only can't when you give up and accept you can't. - Sat Nov  7 19:31:12 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Yes because I have enough funds to rebuild and etire village back up from scratch. - Sat Nov  7 19:31:12 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Work for it. - Sat Nov  7 19:31:12 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: F-Fuck up. - Sat Nov  7 19:32:03 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Shut the fuck up. - Sat Nov  7 19:32:03 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: You tell me to work for it yet you don't know what I'm doing here. - Sat Nov  7 19:32:03 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: You're arguing with a man that is telling others to work and help prepare for the village's collapse. - Sat Nov  7 19:32:03 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: That's what you're doing. - Sat Nov  7 19:32:54 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Not really. - Sat Nov  7 19:32:54 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: If you believe in rebuilding Kumogakure and making up for those that died then what is your problem with Aden? - Sat Nov  7 19:32:54 2015
<br><br><font color=teal>*Ziare(Meekee) says: Listen man. - Sat Nov  7 19:33:45 2015
<br><br><font color=teal>*Ziare(Meekee) says: If you die tonight, you die tonight. - Sat Nov  7 19:33:45 2015
<br><br><font color=teal>*Ziare(Meekee) says: Nothing else about it. - Sat Nov  7 19:33:45 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: I don't belive in the rebuilding of Kumo. - Sat Nov  7 19:33:45 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Is that a threat? - Sat Nov  7 19:33:45 2015
<br><br><font color=teal>*Ziare(Meekee) says: No. - Sat Nov  7 19:33:45 2015
<br><br><font color=teal>*Ziare(Meekee) says: It's an answer. - Sat Nov  7 19:33:45 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: What are you telling me? - Sat Nov  7 19:33:45 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Then what do you believe in? Are you willingly uncaring of those that died? - Sat Nov  7 19:34:36 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: To be honest. I don't have to answer any of that. - Sat Nov  7 19:34:36 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: I'm talking to you.. What did you fucking mean by that? - Sat Nov  7 19:35:28 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: What I belive is what I belive in. - Sat Nov  7 19:35:28 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: What I'm fighting for is what I'm fighting for. - Sat Nov  7 19:35:28 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: What the people that died at Kumo was fighting for abandoned them - Sat Nov  7 19:36:19 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: No. - Sat Nov  7 19:36:19 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Oh? - Sat Nov  7 19:36:19 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: The only one who abandoned them was you. - Sat Nov  7 19:36:19 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Yes because I left them to die. - Sat Nov  7 19:36:19 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Or were they already dead? - Sat Nov  7 19:37:10 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Being unable to save someone can happen. That's not immoral. - Sat Nov  7 19:37:10 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Allowing them to die for nothing is. - Sat Nov  7 19:37:10 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: What they died for is the village and their kage. - Sat Nov  7 19:38:52 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Who left them. - Sat Nov  7 19:38:52 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: The kage ran with her tail between her legs. - Sat Nov  7 19:38:52 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Not a single word of retreat or anything. - Sat Nov  7 19:41:26 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: If you intend to kill me that's fine. - Sat Nov  7 19:42:17 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Talking to me? - Sat Nov  7 19:42:17 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: But let me show you just how much distance - No. - Sat Nov  7 19:43:08 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: The boy. - Sat Nov  7 19:43:08 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: With his threats. - Sat Nov  7 19:43:08 2015
<br><br><font color=teal>*Ziare(Meekee) says: I'm not killing you. - Sat Nov  7 19:43:08 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: He didn't threaten you....... - Sat Nov  7 19:43:08 2015
<br><br><font color=teal>*Ziare(Meekee) says: That's way too much work. - Sat Nov  7 19:43:08 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Then what did you mean? - Sat Nov  7 19:43:08 2015
<br><br><font color=teal>*Ziare(Meekee) says: I'd rather take a nap. - Sat Nov  7 19:43:08 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: He answered your question. - Sat Nov  7 19:43:08 2015
<br><br><font color=teal>*Ziare(Meekee) says: It was a statement my dad say. - Sat Nov  7 19:44:00 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: He means that by talking this way to everyone. - Sat Nov  7 19:44:00 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Someone is going to bury you. - Sat Nov  7 19:44:00 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: One day. - Sat Nov  7 19:44:00 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Don't have to be today or tommorow. - Sat Nov  7 19:44:00 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: *Chuckles* I understand if your father told you that saying.. But which is one is going to bury me..? It certainly wont be any of you. - Sat Nov  7 19:44:00 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: . . . .  - Sat Nov  7 19:44:00 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Your stupid. - Sat Nov  7 19:44:00 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Hm, and you're a coward. - Sat Nov  7 19:44:51 2015
<br><br><font color=yellow>*Kyushiki(Maruka) removes his bandages from his body and face.

"Wanna try me then? My wounds are pretty much healed already."* - Sat Nov  7 19:45:42 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: Violence from an argument. I'd expect that from Kojiro..guess he really is from Kumo. - Sat Nov  7 19:47:24 2015
<br><br><font color=teal>*Ziare(Meekee) says: Let's not fight. - Sat Nov  7 19:47:24 2015
<br><br><font color=yellow>*Kyushiki(Maruka) pulled from his hoodie a bubble pipe as he ran forward and leaped up into the branches. Once in the banches, he began to channel chakra into the soap that was inside of is pipe and blew into it. While letting a dozens of bubbles escape from his pipe, Kyushiki pushed off the tree as Aden's Stone Dragon came after him.

While he was flying towards the right, he had removed his bubble pipe from his mouth and pulled out from his pocket three shurikens. Throwing them at Aden's right hand side, aiming for his shoulder and the area he would be if he had desided to move towards the right. But as this happened, Kyushiki commanded his bubbles to flow from the trees and fly towards Aden from the left side. If the bubbles made contact with Aden they would explode on contact.* - Sat Nov  7 20:01:55 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Hand- - Sat Nov  7 20:22:24 2015
<br><br><font color=yellow>*Kyushiki(Maruka) 's bubbles would have made it to Aden before he could deploy his jutsu.

But as for Ziare's deployment of shadow imitation, Kyushiki would command a single bubble out of the 60 bubbles went towards Ziare and aimed to hit him on his forehead.

If Kyushiki's bubble had hit Ziare and cancled Ziare's shadowimitation, he'd threw his shuriken anyways to hit Aden all over his torso.* - Sat Nov  7 20:27:31 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Would be more - - Sat Nov  7 20:32:38 2015
<br><br><font color=yellow>*Kyushiki(Maruka) shifted he gaze at Ziare.

"Fine."* - Sat Nov  7 20:52:16 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Do you want to continue? - Sat Nov  7 20:56:32 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Because he isn't going to be there to save you next time. - Sat Nov  7 20:56:32 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: What was that..? Genjutsu? - Sat Nov  7 21:01:39 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: I don't think they saw a trigger. - Sat Nov  7 21:01:39 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Okay. - Sat Nov  7 21:04:12 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Welp, I'm going for a walk. - Sat Nov  7 21:05:04 2015
<br><br><font color=teal>*Ziare(Meekee) thinks: Man this guy talks alot... - Sat Nov  7 22:32:06 2015
<br><br><font color=teal>*Ziare(Meekee) says: Nori.. - Sat Nov  7 22:34:40 2015
<br><br><font color=teal>*Ziare(Meekee) says: Can you teach me about picking plants? - Sat Nov  7 22:34:40 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Huh? - Sat Nov  7 22:36:22 2015
<br><br><font color=teal>*Ziare(Meekee) says: Yeah. - Sat Nov  7 22:38:04 2015
<br><br><font color=teal>*Ziare(Meekee) says: Don - Sat Nov  7 22:38:04 2015
<br><br><font color=teal>*Ziare(Meekee) says: Don't you deal with herbs? - Sat Nov  7 22:38:56 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: I am still studying them. - Sat Nov  7 22:38:56 2015
<br><br><font color=teal>*Ziare(Meekee) says: You don't know how to pick them? - Sat Nov  7 22:38:56 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: I just slowly cut them from under the roots. - Sat Nov  7 22:39:47 2015
<br><br><font color=teal>*Ziare(Meekee) says: Could you show me? - Sat Nov  7 22:39:47 2015
<br><br><font color=teal>*Ziare(Meekee) says: Hm? - Sat Nov  7 22:45:45 2015
<br><br><font color=teal>*Ziare(Meekee) says: Someone new? - Sat Nov  7 22:45:45 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: How? - Sat Nov  7 22:46:36 2015
<br><br><font color=teal>*Ziare(Meekee) says: Come on Nori, just show me. - Sat Nov  7 22:46:36 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Just lightly pull the plant with one hand, have a kunai out and lightly cut through the stem of the plant with the other. - Sat Nov  7 22:47:28 2015
<br><br><font color=teal>*Kurt(Zygman) says: Greetings again. - Sat Nov  7 22:47:28 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Yeah. - Sat Nov  7 22:48:19 2015
<br><br><font color=teal>*Kurt(Zygman) says: Aden, Are you able to spar today? - Sat Nov  7 22:48:19 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Nah, I broke my chest bone. - Sat Nov  7 22:48:19 2015
<br><br><font color=teal>*Kurt(Zygman) says: Chest bone? - Sat Nov  7 22:48:19 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Im tryna take a leak too. - Sat Nov  7 22:48:19 2015
<br><br><font color=teal>*Ziare(Meekee) says: I'll probably screw it up, nevermind anyway. - Sat Nov  7 22:48:19 2015
<br><br><font color=teal>*Ziare(Meekee) says: Sounds like too much. - Sat Nov  7 22:48:19 2015
<br><br><font color=teal>*Ziare(Meekee) says: Heh.. - Sat Nov  7 22:49:10 2015
<br><br><font color=teal>*Ziare(Meekee) says: That's funny. - Sat Nov  7 22:49:10 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Oh look, a helpless naked lady in distress.. If only some Kenjutsu wielding god could save them!? - Sat Nov  7 22:49:10 2015
<br><br><font color=teal>*Ziare(Meekee) says: You wanna comemy way now? - Sat Nov  7 22:49:10 2015
<br><br><font color=teal>*Kurt(Zygman) says: Aden, Are you afraid? - Sat Nov  7 22:50:01 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Nah, gotta use the bathroom. - Sat Nov  7 22:50:52 2015
<br><br><font color=teal>*Kurt(Zygman) says: For how long? - Sat Nov  7 22:50:52 2015
<br><br><font color=teal>*Ziare(Meekee) says: Aden is his name? - Sat Nov  7 22:50:52 2015
<br><br><font color=teal>*Kurt(Zygman) says: Mhm. - Sat Nov  7 22:50:52 2015
<br><br><font color=teal>*Ziare(Meekee) says: Before you came he wanted to act holier than thou. - Sat Nov  7 22:50:52 2015
<br><br><font color=teal>*Ziare(Meekee) says: He insulted everyone here. - Sat Nov  7 22:50:52 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: I don't remember that. - Sat Nov  7 22:51:44 2015
<br><br><font color=teal>*Ziare(Meekee) says: Tried to make us sympathize with the Kumo massacre. - Sat Nov  7 22:51:44 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Nah. - Sat Nov  7 22:51:44 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Wasn't me. - Sat Nov  7 22:51:44 2015
<br><br><font color=teal>*Kurt(Zygman) says: . . . - Sat Nov  7 22:51:44 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: But uh. - Sat Nov  7 22:51:44 2015
<br><br><font color=teal>*Kurt(Zygman) says: Aden. - Sat Nov  7 22:51:44 2015
<br><br><font color=teal>*Ziare(Meekee) says: And then when he met a survivor. - Sat Nov  7 22:51:44 2015
<br><br><font color=teal>*Kurt(Zygman) says: Be honest. - Sat Nov  7 22:51:44 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: See you later. - Sat Nov  7 22:51:44 2015
<br><br><font color=teal>*Ziare(Meekee) says: He tried to fight him. - Sat Nov  7 22:51:44 2015
<br><br><font color=teal>*Kurt(Zygman) says: Are you afraid of me? - Sat Nov  7 22:51:44 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Well, there's afraid, and then there's. - Sat Nov  7 22:51:44 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: St-.. No. - Sat Nov  7 22:51:44 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: I'm not afraid. - Sat Nov  7 22:51:44 2015
<br><br><font color=teal>*Kurt(Zygman) says: You've been trying to avoid me though. - Sat Nov  7 22:52:35 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Nah. - Sat Nov  7 22:57:42 2015
<br><br><font color=teal>*Kurt(Zygman) says: I'm sure if you sparred me once, You would get over your fear. - Sat Nov  7 22:57:42 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: I'm pretty sure I don't want to. - Sat Nov  7 22:58:33 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Spar. - Sat Nov  7 22:58:33 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Right this instance. - Sat Nov  7 22:58:33 2015
<br><br><font color=teal>*Kurt(Zygman) says: Tomorrow? - Sat Nov  7 22:58:33 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Yeah, I promise. - Sat Nov  7 22:58:33 2015
<br><br><font color=teal>*Kurt(Zygman) says: Very well. - Sat Nov  7 22:58:33 2015
<br><br><font color=teal>*Kurt(Zygman) says: I hope for your sake, I don't obtain the second gate by tomorrow. - Sat Nov  7 22:58:33 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Spaced out for a second. . - Sat Nov  7 22:59:24 2015
<br><br><font color=teal>*Ziare(Meekee) says: I can tell. - Sat Nov  7 22:59:24 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) thinks: Glad I'll be out of Konohagakure by then... Think I'll leave now. - Sat Nov  7 22:59:24 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Gonna get something to eat. - Sat Nov  7 22:59:24 2015
<br><br><font color=teal>*Kurt(Zygman) says: Mhm. - Sat Nov  7 23:00:16 2015
<br><br><font color=teal>*Kyushiki(Maruka) thinks: And I'm the coward? - Sat Nov  7 23:00:16 2015
<br><br><font color=teal>*Kurt(Zygman) says: Anyway, That was strange. - Sat Nov  7 23:04:32 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Evening. - Sat Nov  7 23:51:28 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: ...... - Tue Nov 10 01:30:27 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Whats up? - Tue Nov 10 01:35:34 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Greetings. - Tue Nov 10 01:35:34 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: You got an invintation here too? - Tue Nov 10 01:37:16 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: You can say that.. - Tue Nov 10 01:38:08 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: I kind've.. own the place. - Tue Nov 10 01:38:08 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Oh. - Tue Nov 10 01:41:32 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: So your the one that sent the invitation? - Tue Nov 10 01:41:32 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: I am. - Tue Nov 10 01:43:15 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Looking for a selective few people ot join my.. cause. - Tue Nov 10 01:43:15 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: What cause? - Tue Nov 10 01:44:06 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Simply put: change. - Tue Nov 10 01:46:40 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Mhm? - Tue Nov 10 01:52:38 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: We are currently outcasted by Sunagakure. Be intentionally or not, but we need to bring back the glory days of the other villages. - Tue Nov 10 01:56:03 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: So basicly rebuild the other villages? - Tue Nov 10 01:57:45 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Correct. - Tue Nov 10 02:02:01 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: How are you going to do that? - Tue Nov 10 02:02:52 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: I'm.. not going to be able to do it all in my life time. - Tue Nov 10 02:03:44 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: That is why I wish to start something new. Instead of trying to do it all on my own, I wish to form my own village. - Tue Nov 10 02:03:44 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Teach the next generation and let them know the shinobi system is corrupt. - Tue Nov 10 02:04:35 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Soon enough.. change will happen. - Tue Nov 10 02:04:35 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: I see...... - Tue Nov 10 02:13:58 2015
