<br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Doing what must be done.. It isn't just the people that want this, but the shinobi, and I. - Tue Dec  8 06:53:00 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: They are able to fly. - Wed Dec  9 02:28:54 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Scouts, and sensors. - Wed Dec  9 02:28:54 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: That's definately a problem. - Wed Dec  9 02:28:54 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hmm. - Wed Dec  9 02:29:45 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: If we could, take control of the mountains to the North we'd have the uphill advantage. - Wed Dec  9 02:29:45 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: The Kunai launchers could take care of the people with the ability to fly. - Wed Dec  9 02:29:45 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Yes, I have shinobi posted there as we-.. Indeed... - Wed Dec  9 02:30:36 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hm. - Wed Dec  9 02:30:36 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Hm... - Wed Dec  9 02:30:36 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Menma. - Wed Dec  9 02:30:36 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Hm? - Wed Dec  9 02:30:36 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I think I will have you tasked with doing battle formations in conjunction with myself. - Wed Dec  9 02:30:36 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: This will be very helpful. - Wed Dec  9 02:30:36 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: You seem to have a mind for battle. - Wed Dec  9 02:30:36 2015
<br><br><font color=teal>*Takuma(Brosis55) says: What's the current situation? - Wed Dec  9 02:30:36 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: I wouldn't say that. - Wed Dec  9 02:30:36 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Right now it's a stalemate. - Wed Dec  9 02:31:28 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: There was a war a few years ago. - Wed Dec  9 02:31:28 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: With Zetsumo. - Wed Dec  9 02:31:28 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: I think that... - Wed Dec  9 02:31:28 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: If we emply a tactic used.. - Wed Dec  9 02:31:28 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: It could be beneficial. - Wed Dec  9 02:31:28 2015
<br><br><font color=teal>*Takuma(Brosis55) says: . . . - Wed Dec  9 02:31:28 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Hm. . . - Wed Dec  9 02:31:28 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Sunagakure sent a flock of birds over Konohagakure which dropped numerous bombs which sent poison through their forces. - Wed Dec  9 02:32:19 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Then using that time they attacked. - Wed Dec  9 02:32:19 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: If we equipped our troops with Gas masks... - Wed Dec  9 02:32:19 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: This would be valuable. - Wed Dec  9 02:32:19 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: ...That is... - Wed Dec  9 02:32:19 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hmm.. - Wed Dec  9 02:32:19 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: How much is this going to cost us? - Wed Dec  9 02:32:19 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Hm... - Wed Dec  9 02:32:19 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: You sure thats a good idea? - Wed Dec  9 02:32:19 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I need an estimate. - Wed Dec  9 02:32:19 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Potentially. - Wed Dec  9 02:32:19 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Approximately Ten Million or so. - Wed Dec  9 02:32:19 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Ten million. - Wed Dec  9 02:33:10 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: They will just godmode it. - Wed Dec  9 02:33:10 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: How much afor the Kunai Launchers? - Wed Dec  9 02:33:10 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Hm... - Wed Dec  9 02:33:10 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: A Million a piece, probably. - Wed Dec  9 02:33:10 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) thinks: War is costly. - Wed Dec  9 02:33:10 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Raikage.. - Wed Dec  9 02:33:10 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hm? - Wed Dec  9 02:33:10 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: You're thinking too hard. - Wed Dec  9 02:33:10 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: You specialize in Fuuinjutsu, yes? - Wed Dec  9 02:33:10 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: We're outnumbered, Soge- Yes. - Wed Dec  9 02:33:10 2015
<br><br><font color=teal>*Takuma(Brosis55) says: If you use those poison bombs. . .If they use a fuuton technique, it will be blown back toward us. - Wed Dec  9 02:33:10 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Not quite, if they're trying to impose an embargo. - Wed Dec  9 02:34:01 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Regardless. - Wed Dec  9 02:34:01 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: A simple scroll. Rig it so once it's opened, it unleashes explosive tags, kunai's, shuriken, poison bombs.. - Wed Dec  9 02:34:01 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: They have to distance us to maintain contact, and avoid continuous confrontation. - Wed Dec  9 02:34:01 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: The receiver? - Wed Dec  9 02:34:01 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: The Kazekage. - Wed Dec  9 02:34:01 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: The Kazekage is no fool. I'm sure he'd never open it himself.. - Wed Dec  9 02:34:52 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: But I see. - Wed Dec  9 02:34:52 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: A simple label - Wed Dec  9 02:34:52 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Truce? - Wed Dec  9 02:34:52 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Of "peace treatyu" - Wed Dec  9 02:34:52 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: treaty* - Wed Dec  9 02:34:52 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Thats not a bad Idea. - Wed Dec  9 02:34:52 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: It's worth a shot. - Wed Dec  9 02:34:52 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Sogeki. - Wed Dec  9 02:35:44 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: We mask the seal for the trigger behind a bunch of words. - Wed Dec  9 02:35:44 2015
<br><br><font color=teal>*Takuma(Brosis55) whispers: I need to teach you Shadow Clone jutsu, when you have time. - Wed Dec  9 02:35:44 2015
<br><br><font color=teal>*Takuma(Brosis55) whispers: (This nigga Sanoke suppose to be here rn?) - Wed Dec  9 02:35:44 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: Thanks for the info.  - Wed Dec  9 02:39:08 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: But yeah.... - Wed Dec  9 02:39:08 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'll be on the lookout for them. - Wed Dec  9 02:39:08 2015
<br><br><font color=teal>*Takuma(Brosis55) whispers: Sogeki. . . - Wed Dec  9 03:06:27 2015
<br><br><font color=teal>*Takuma(Brosis55) whispers: If he decides to meet with him in the middle. - Wed Dec  9 03:06:27 2015
<br><br><font color=teal>*Takuma(Brosis55) whispers: We're going inside my toad. - Wed Dec  9 03:06:27 2015
<br><br><font color=teal>*Takuma(Brosis55) whispers: And I want you to ready arrows. - Wed Dec  9 03:06:27 2015
<br><br><font color=teal>*Takuma(Brosis55) whispers: Do you understand? - Wed Dec  9 03:09:00 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Sooo - Wed Dec  9 03:09:52 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: This is a trap. - Wed Dec  9 03:19:15 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Most likely. - Wed Dec  9 03:19:15 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: But people are following him - Wed Dec  9 03:19:15 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: I can't shake that feeling, - Wed Dec  9 03:19:15 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: That this is... - Wed Dec  9 03:19:15 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Deja vu. - Wed Dec  9 03:19:15 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: What do you mean? - Wed Dec  9 03:19:15 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: This is exactly, how Ortho and Eri died. - Wed Dec  9 03:19:15 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: They went to Sunagakure alone to confront the enemy. - Wed Dec  9 03:20:06 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Given a chance of false hope. - Wed Dec  9 03:20:06 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: You have any way of tracking them? - Wed Dec  9 03:20:06 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Of course. - Wed Dec  9 03:20:06 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Neat. - Wed Dec  9 03:26:56 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: You could say that. - Wed Dec  9 03:27:47 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Although I'm debating what to do in the meanwhile...Probably train. - Wed Dec  9 03:27:47 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: What happened? - Wed Dec  9 03:32:03 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Kumogakure is free. - Wed Dec  9 03:32:03 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: .... - Wed Dec  9 03:32:03 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: We've won. - Wed Dec  9 03:32:03 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: That's great. - Wed Dec  9 03:32:03 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I wouldn't. .  - Wed Dec  9 03:32:03 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Celebrate just yet. - Wed Dec  9 03:32:03 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I know. - Wed Dec  9 03:32:54 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: We will take this . - Wed Dec  9 03:32:54 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Time. - Wed Dec  9 03:32:54 2015
<br><br><font color=teal>*Takuma(Brosis55) says: What if this is all an act. . - Wed Dec  9 03:32:54 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: To turn this place into a fortress. - Wed Dec  9 03:32:54 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: It probably is. - Wed Dec  9 03:32:54 2015
<br><br><font color=teal>*Takuma(Brosis55) says: After all. . . - Wed Dec  9 03:32:54 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Why did they just give up? - Wed Dec  9 03:32:54 2015
<br><br><font color=teal>*Takuma(Brosis55) says: It's ust a piece of paper. - Wed Dec  9 03:32:54 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Let us begin the construction effort. - Wed Dec  9 03:32:54 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: We will no longer be passive. - Wed Dec  9 03:32:54 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: War has changed me. - Wed Dec  9 03:32:54 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: People understand power more than anything. - Wed Dec  9 03:32:54 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: If so, we will give them a display they will never forget. - Wed Dec  9 03:33:45 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Kunai Launcher's begin. - Wed Dec  9 03:33:45 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Now. - Wed Dec  9 03:33:45 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: But my question is. - Wed Dec  9 03:33:45 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Why did they just give up? - Wed Dec  9 03:33:45 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hm? - Wed Dec  9 03:33:45 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: They did not wish to fight forever. - Wed Dec  9 03:33:45 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: So they march here. - Wed Dec  9 03:35:28 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Either way... - Wed Dec  9 03:35:28 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Get their troops killed for nothing..... - Wed Dec  9 03:35:28 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: We should set up outposts. - Wed Dec  9 03:35:28 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Indeed. - Wed Dec  9 03:36:19 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Were you able to find out anything regarding purchasing a sword? - Wed Dec  9 03:37:10 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I will. - Wed Dec  9 03:38:01 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Now. - Wed Dec  9 03:38:01 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I know there is a blacksmith in . - Wed Dec  9 03:38:52 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Sunagakure. - Wed Dec  9 03:38:52 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: But I will give it a bit. - Wed Dec  9 03:38:52 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Yeah I've met him. - Wed Dec  9 03:38:52 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: He's...Eh. - Wed Dec  9 03:38:52 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I wouldn't trust him. - Wed Dec  9 03:38:52 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: We need to hire our own blacksmith. - Wed Dec  9 03:38:52 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Only fifty kills.. - Wed Dec  9 03:38:52 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: That's all I got..? - Wed Dec  9 03:38:52 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Out of the massive amount of troops they had!? - Wed Dec  9 03:38:52 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: FIFTY!? - Wed Dec  9 03:38:52 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: ...I'm pathetic... - Wed Dec  9 03:38:52 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: I need to step my game up! - Wed Dec  9 03:39:44 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: I ain't kill a single one. Can I get my heroic perk, and pull a kronos? -omit- - Wed Dec  9 03:39:44 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) thinks: Multiply that by 5 and you got like..... 250 kills - Wed Dec  9 03:39:44 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Eiyu. - Wed Dec  9 03:53:23 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Hm? - Wed Dec  9 03:53:23 2015
<br><br><font color=teal>*Takuma(Brosis55) says: When you have time, think you could teach me Shunshin? - Wed Dec  9 03:54:14 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Atleast you got kills man. - Wed Dec  9 03:55:05 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I got zero. - Wed Dec  9 03:55:05 2015
<br><br><font color=yellow>*Uchiha, Mitarashi(Maruka) let out a sigh. Was this not only a waste of time, but this also made the deaths of the shinobi that fought to take this place pointless. But atleast the shinobi of Kumogakure died for the freedom of the village and not in vain like the Sunagakure and Konoha troops. But in the end, thiss war was truly pointless in the end. Wasting away lives like its nothing for their own personal gain. These thoughts would run though Mitarashi's mind for a while as he began to walk away from the scene.* - Wed Dec  9 04:05:20 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: 2 or 1  - Wed Dec  9 19:13:16 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: two tier one perks - Wed Dec  9 19:13:16 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: omit - Wed Dec  9 19:13:16 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hm. - Wed Dec  9 19:20:57 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I'm going to train. - Wed Dec  9 19:20:57 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Yo. - Wed Dec  9 20:04:28 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Sup? - Wed Dec  9 20:05:20 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Nothing much. - Wed Dec  9 20:05:20 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Was planning on doing some training.. - Wed Dec  9 20:05:20 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Care to join? - Wed Dec  9 20:05:20 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Sure. - Wed Dec  9 20:06:11 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: What're you in the mood for? - Wed Dec  9 20:07:02 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Don't really know...... - Wed Dec  9 20:07:02 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Me and you haven't gone at it in a while.. - Wed Dec  9 20:07:53 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: So how bout' it? - Wed Dec  9 20:07:53 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: No. - Wed Dec  9 20:07:53 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Fuck you. - Wed Dec  9 20:07:53 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: -omit- - Wed Dec  9 20:07:53 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: -omit- - Wed Dec  9 20:07:53 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Alright. - Wed Dec  9 20:07:53 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Hm... - Wed Dec  9 20:09:36 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Any rules? - Wed Dec  9 20:09:36 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Uhh...... - Wed Dec  9 20:10:27 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Nope. - Wed Dec  9 20:10:27 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: To the training area? - Wed Dec  9 20:10:27 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Sure. - Wed Dec  9 20:10:27 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hello. - Wed Dec  9 20:16:25 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Sup. - Wed Dec  9 20:17:16 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Yo. - Wed Dec  9 20:17:16 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Have you two been training? - Wed Dec  9 20:18:08 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: We were just about to train. - Wed Dec  9 20:18:59 2015
<br><br><font color=yellow>*Uchiha, Mitarashi(Maruka) crossed his arms and tilted his head bit at Menma. "Oh, so your going to stay within the ranks of Kumogakure?" he asked, not really surprised from his words as he already said that he might stay in Kumogakure.* - Wed Dec  9 20:27:31 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) thinks: Then again... I do need a special forces division.... - Wed Dec  9 20:36:03 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Well. - Wed Dec  9 20:36:03 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Three months. - Wed Dec  9 20:36:54 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: It's sort of like. - Wed Dec  9 20:36:54 2015
<br><br><font color=yellow>*Uchiha, Mitarashi(Maruka) would shruge his shoulders, listening to Menma and Eiyu's words both. But it would seem that it wasn't towards him at all. So instead he would simply reply to Menma's statement. "Don't worry, I know your not giving up on Shinkogakure. I'm contemplating weather or not to rebuild Shinkogakure as well. So I theres a chance I might just sell Shinko and move the funds to Kumogakure. Ortho was planning on doing something to help out Kumo, so I think it would be alright if I did that." he said, not really sure if his decisions are the right one. But in his mind he thought it was.* - Wed Dec  9 20:52:16 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Ortho's wish. - Wed Dec  9 20:52:16 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Before he passed. - Wed Dec  9 20:52:16 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Is for you to have safe passage into Kumogakure. - Wed Dec  9 20:53:07 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: For me. - Wed Dec  9 20:53:07 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: To accept his people into our fold. - Wed Dec  9 20:53:07 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: That we have. - Wed Dec  9 20:53:07 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Eiyu, I have a question for you.. - Wed Dec  9 20:53:07 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I see no division. - Wed Dec  9 20:53:07 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: ? - Wed Dec  9 20:53:07 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hmm? - Wed Dec  9 20:53:07 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: I have something I want to suggest, But...It's a bit barbaric. - Wed Dec  9 20:53:07 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Tell me. - Wed Dec  9 20:53:07 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: If you or someone in this Village becomes a Sergeant.. - Wed Dec  9 20:53:58 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: This Village becomes legalized. - Wed Dec  9 20:53:58 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: But... - Wed Dec  9 20:53:58 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: If you become a Knight of the Round Table. - Wed Dec  9 20:53:58 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: You gain access to some out of the world equipment. - Wed Dec  9 20:53:58 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Like the former Raikage. - Wed Dec  9 20:53:58 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Niza-Sama.. - Wed Dec  9 20:54:49 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: You can become a Knight.. - Wed Dec  9 20:54:49 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: By Killing someone who holds the title. - Wed Dec  9 20:54:49 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: But how does one becom- - Wed Dec  9 20:54:49 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Who holds the title now? - Wed Dec  9 20:54:49 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: There's Thirteen Spots. - Wed Dec  9 20:54:49 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: I'm not sure myself. - Wed Dec  9 20:54:49 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) thinks: That is morbid, but interesting... - Wed Dec  9 20:55:40 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hello there, and - .. I see.. . I often wondered... If such is the case, and Niza-Sama is deceased. - Wed Dec  9 20:55:40 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Where is his body? - Wed Dec  9 20:55:40 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: It's missing. - Wed Dec  9 20:56:32 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: The Gezo I believe. - Wed Dec  9 20:56:32 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I see.... - Wed Dec  9 20:56:32 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Probably at least. - Wed Dec  9 20:56:32 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I wonder if the Gezo know of the cause of death.... - Wed Dec  9 20:56:32 2015
<br><br><font color=teal>*Dahyun(BoyFlareon) says: So, what do I have to do then? - Wed Dec  9 21:13:36 2015
<br><br><font color=teal>*Dahyun(BoyFlareon) says: Raikage. - Wed Dec  9 21:13:36 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I'm going to teach you all a basic technique. - Wed Dec  9 21:13:36 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Deez nuts. - Wed Dec  9 21:13:36 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Basic Sealing. - Wed Dec  9 21:13:36 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: It's important. - Wed Dec  9 21:14:27 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: For several reasons. - Wed Dec  9 21:14:27 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Can anyone tell me why? - Wed Dec  9 21:14:27 2015
<br><br><font color=teal>*Dahyun(BoyFlareon) says: Okay, I'll just watch from the back. - Wed Dec  9 21:14:27 2015
