<br><font color=teal>*Muhhamed Hassan(Ziare1) says: And wouldn't have endangered any. - Sun Nov  1 10:34:27 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *blushed* Ehehe, yeah... - Mon Nov  2 10:27:12 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm.. I'll try to have more confidence. - Mon Nov  2 10:27:12 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Though, i'll probably ask Mirai what girls like.. - Mon Nov  2 10:27:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: But be careful, if you do go to Mirai. She might look at you side ways for moving on from her sis. - Mon Nov  2 10:28:03 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Ehh... ermm.. You have a point.. - Mon Nov  2 10:28:54 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: So yeah, tread the water carefully. - Mon Nov  2 10:42:33 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: G'otcha.. - Mon Nov  2 10:42:33 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: So, uhm. Abo ut that other Tetsumi. He ever get out of control? - Mon Nov  2 10:43:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: So, uhm. About that other Tetsumi. He ever get out of control?<*Repost*> - Mon Nov  2 10:49:23 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm.. Yes. - Mon Nov  2 10:49:23 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: How did you stop it? - Mon Nov  2 10:49:23 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Its not as easy, not when you lose control. - Mon Nov  2 10:50:14 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: If I lost control beyond that form that you saw.. - Mon Nov  2 10:51:05 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I just.. wake up. - Mon Nov  2 10:51:05 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Ah. So there's no way to stop it save for awakening? - Mon Nov  2 10:51:05 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Nope.. No way. - Mon Nov  2 10:51:05 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Shocking. That your village hasn't really tried to help you with it, y'know? - Mon Nov  2 10:51:05 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: GIant liability. - Mon Nov  2 10:51:05 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: They should have at least developed some fuuinjutsu to bind ya. Or force you to gain control. - Mon Nov  2 10:51:56 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... They wouldn't, they hate me. I kind of destroyed the village in the past.. - Mon Nov  2 10:51:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Kinda dumb. That just leaves you as a liability. - Mon Nov  2 10:52:48 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: On seperate occastions.. - Mon Nov  2 10:52:48 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm.. I learned to live with it. Complainin' about it, how no one helped. It wouldn't have changed anythin', my situation nothing. - Mon Nov  2 10:53:39 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: WEll, at least you're learning it now. - Mon Nov  2 10:55:21 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I have a step father, that probably could've helped. But didn't, you learn these things on your own. - Mon Nov  2 10:56:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Who's your step father? - Mon Nov  2 10:57:55 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Tch... Fuji. - Mon Nov  2 10:58:46 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . . - Mon Nov  2 10:59:37 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You're kiddin' me. Hahah, I'm sorry for your predicament. <*Coughs*> - Mon Nov  2 11:00:28 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *sigh* - Mon Nov  2 11:00:28 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: He seems al ittle.. - Mon Nov  2 11:01:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Neglectant is all. - Mon Nov  2 11:01:20 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: He is. - Mon Nov  2 11:01:20 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: He's caught up in his own training, than tending to his own. - Mon Nov  2 11:03:02 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: But I stopped caring ages ago. - Mon Nov  2 11:03:02 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I only care that Izanami doesn't go through the same pain i've felt. - Mon Nov  2 11:03:53 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Right? I used to bug him heavy to teach me his ways in Fuuinjutsu. Y'know, he and I used to be fellow students. - Mon Nov  2 11:03:53 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I showed his ass up every class, though. - Mon Nov  2 11:03:53 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Tch. - Mon Nov  2 11:03:53 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: <*Coughs*> Then he became way better than me. - Mon Nov  2 11:03:53 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: That happens. - Mon Nov  2 11:04:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Weird, though. You and Izanami not going to pick up the trade? Y'can learn a lot from him. - Mon Nov  2 11:05:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You in particular. At higher levels, Fuuinjutus can be used to manipulate. - Mon Nov  2 11:05:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Or suppress chakra. - Mon Nov  2 11:05:36 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm.. - Mon Nov  2 11:05:36 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I would learn from him, but I rather not be fake. - Mon Nov  2 11:06:27 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: 'Fake'? - Mon Nov  2 11:06:27 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Yes. - Mon Nov  2 11:06:27 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . <*Scratches head. He tilts his cranium like a confuse pup*> - Mon Nov  2 11:06:27 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: If I dislike someone, and discard that emotion just to learn somethin'.. My heart won't be into it. - Mon Nov  2 11:07:18 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Being a hypocrite in a sense. - Mon Nov  2 11:07:18 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oooh. Makes sense. - Mon Nov  2 11:08:09 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Didn't realize you 'disliked' him, though. - Mon Nov  2 11:08:09 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Figured it was just disappointment. - Mon Nov  2 11:08:09 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm.. - Mon Nov  2 11:08:09 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Though. - Mon Nov  2 11:09:00 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I can give him credit since he's been trying lately. - Mon Nov  2 11:09:00 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Though its probably his girl's doing. - Mon Nov  2 11:09:00 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: What was her name again?... oh yeah.. Zenaki. - Mon Nov  2 11:09:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What? She's. .. Actually a positive influence? - Mon Nov  2 11:13:16 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *shrug* Don't know. - Mon Nov  2 11:14:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Huh. I'm doubting that. She has a very. . Uhm. Sadistic aura about her. - Mon Nov  2 11:28:38 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm.. - Mon Nov  2 11:29:29 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Funny.. I did pick up a bad vybe about her.. Her smiles creeped me out. - Mon Nov  2 11:30:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: She's amusing, though. I mean, just to watch. - Mon Nov  2 11:30:20 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Heh. - Mon Nov  2 11:31:12 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I never really paid attention to her. - Mon Nov  2 11:31:12 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Yo.. I'll see you around, have things that need to be taken care of. - Mon Nov  2 11:40:35 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *waved before leaving* - Mon Nov  2 11:41:26 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: See ya. - Mon Nov  2 11:41:26 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh! One last thing. Y'know any Fuuinjutsu shit I can get outta Suna? - Mon Nov  2 11:41:26 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm...Since you helped me.. I'll help you. - Mon Nov  2 11:43:08 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Though, when you're finished with the scroll. Return it to me. - Mon Nov  2 11:43:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: M'kay. - Mon Nov  2 11:43:08 2015
<br><br><font color=yellow>*Sanoke(Gamuhz2) ||He takes the scroll and does a twirl.

It's thrusted up, and presented to the world like a Gym Badge. "Hah! Thanks a lot, G-man." The scroll subsequently is pocketed.* - Mon Nov  2 11:47:24 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Uh-Huh. Have fun. - Mon Nov  2 11:48:16 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *leaves* - Mon Nov  2 11:48:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm? Oh You finally ditched that cloak, Mizora. - Mon Nov  2 23:18:36 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: It was destroyed. - Mon Nov  2 23:18:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: By what? - Mon Nov  2 23:19:28 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Kirigakure guards. They take keeping people from coming in very serious. - Mon Nov  2 23:21:10 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hey ares do to. - Mon Nov  2 23:21:10 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Wow. . .Y'think things would be a lot more convenient. - Mon Nov  2 23:22:01 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hey nina. - Mon Nov  2 23:22:01 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Anywhoo! Good look, you look better this way. - Mon Nov  2 23:22:01 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Hi Trilliam. - Mon Nov  2 23:22:01 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Seriously. Is it a Hokuma thing? - Mon Nov  2 23:22:01 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: They've all be stacked. - Mon Nov  2 23:22:01 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Can you show me that earth wall thing you did? - Mon Nov  2 23:22:01 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: It was so cool. - Mon Nov  2 23:22:01 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I was like mud machine gun and you was all like Ha. - Mon Nov  2 23:22:01 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Wallll. - Mon Nov  2 23:22:01 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I guess I could try. But I have to master it first. - Mon Nov  2 23:22:52 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I look better without the cloak..? - Mon Nov  2 23:23:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Indeed. - Mon Nov  2 23:24:35 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Shocked? - Mon Nov  2 23:25:26 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I don't know.. - Mon Nov  2 23:25:26 2015
<br><br><font color=yellow>*Sanoke(Gamuhz2) gives the thumbs up and nice guy pose.

"Well yeah. Dress like that more often, the offers will come pouring in," he sais with a nod. * - Mon Nov  2 23:26:17 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Okay.. - Mon Nov  2 23:26:17 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Tor-tata hows it going? - Mon Nov  2 23:32:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Trill! You're a medic, right? - Mon Nov  2 23:32:16 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: No where near. - Mon Nov  2 23:33:07 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Reguel and Bryson is who your looking for. - Mon Nov  2 23:33:07 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh. Not for me of course. Was just going to ask for a mentor - Mon Nov  2 23:34:49 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: For my friend. - Mon Nov  2 23:34:49 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ah well if they need any help with eart or lignintg Im your guy. - Mon Nov  2 23:37:23 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Roger/ - Mon Nov  2 23:39:05 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Hi, Sanoke. - Mon Nov  2 23:45:55 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hi. - Tue Nov  3 00:00:25 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hmm. - Tue Nov  3 00:07:15 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Trilliam. - Tue Nov  3 00:08:57 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Shall we begin? - Tue Nov  3 00:08:57 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Sure. - Tue Nov  3 00:08:57 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Make your way to the training field. - Tue Nov  3 00:09:48 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Hi, Mizora. - Tue Nov  3 00:11:31 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Anything been going on lately? - Tue Nov  3 00:11:31 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Nothing, really. - Tue Nov  3 00:12:22 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: This place does seem dead. - Tue Nov  3 00:13:13 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Do you know if there're any therapists in the village? - Tue Nov  3 00:15:47 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yep. Shit is getting stale--\ - Tue Nov  3 00:15:47 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'm wsure there is. <*NPCs OP*> - Tue Nov  3 00:15:47 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Okay..... - Tue Nov  3 00:15:47 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Bored. - Tue Nov  3 00:25:10 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You guys wanna do something? - Tue Nov  3 00:25:10 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hi, Nina. - Tue Nov  3 00:38:49 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Hhi. - Tue Nov  3 00:38:49 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: WHat ya been up to? Today's been boring. - Tue Nov  3 00:39:40 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I've been bored. Going to the training area for a while though. - Tue Nov  3 00:39:40 2015
<br><br><font color=teal>*Ivel(OmniKage) says: Yo. - Tue Nov  3 00:40:32 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'll see you later, though.~ - Tue Nov  3 00:40:32 2015
<br><br><font color=teal>*Ivel(OmniKage) says: Yooo. - Tue Nov  3 00:45:39 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You and I both know you're free to join at any time. - Tue Nov  3 01:12:57 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You're my baby sister, not a stranger. - Tue Nov  3 01:12:57 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Being invited would still be nice. - Tue Nov  3 01:13:48 2015
<br><br><font color=teal>*Index(Jjking217) says: I appreciate the offer. - Tue Nov  3 01:21:29 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hmmm. - Tue Nov  3 01:22:20 2015
<br><br><font color=teal>*Nina(Ninasky115) says: So, what're we doing? - Tue Nov  3 01:24:54 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: We are working on Chakra Flow the Lightning version. - Tue Nov  3 01:25:45 2015
<br><br><font color=teal>*Nina(Ninasky115) says: So, how do I get to help?~ - Tue Nov  3 01:26:36 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Uhhhhhh.....Try and put lightning chakra into a kunai. - Tue Nov  3 01:27:28 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I don't know lightning... - Tue Nov  3 01:27:28 2015
<br><br><font color=teal>*Nina(Ninasky115) says: But I can do wind.~ - Tue Nov  3 01:27:28 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ummm Ortho how do we start this? - Tue Nov  3 01:28:19 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Ortho.... - Tue Nov  3 01:31:44 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: We start with generating out lightning chara. - Tue Nov  3 01:32:35 2015
<br><br><font color=teal>*Ivel(OmniKage) says: Excuse me. - Tue Nov  3 01:32:35 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Have a good control over it. - Tue Nov  3 01:32:35 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I guess I can't join then. - Tue Nov  3 01:32:35 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: *WTF - Tue Nov  3 01:33:26 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hey Nina it donet hurt to try it might work for ou and Umm..Yeah@Ivel. - Tue Nov  3 01:34:17 2015
<br><br><font color=teal>*Ivel(OmniKage) says: I'm looking for someone. - Tue Nov  3 01:35:08 2015
<br><br><font color=teal>*Ivel(OmniKage) says: Can you point me in his direction? - Tue Nov  3 01:35:08 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Who might that be? - Tue Nov  3 01:35:08 2015
<br><br><font color=teal>*Ivel(OmniKage) says: Fujitora. - Tue Nov  3 01:36:00 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ah.....Last I seen him was in the plaza. - Tue Nov  3 01:36:00 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Wepp Trilliam, I'm not any help if I'm stuck learning jutsu and playing catch-up. - Tue Nov  3 01:36:51 2015
<br><br><font color=teal>*Nina(Ninasky115) says: well* - Tue Nov  3 01:36:51 2015
<br><br><font color=teal>*Ivel(OmniKage) says: Hmm. - Tue Nov  3 01:38:33 2015
<br><br><font color=teal>*Ivel(OmniKage) says: What is he like? - Tue Nov  3 01:38:33 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: A Airheaded goof ball. - Tue Nov  3 01:38:33 2015
<br><br><font color=teal>*Ivel(OmniKage) says: R-....r-really? - Tue Nov  3 01:43:40 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: You'll see after you meet him. - Tue Nov  3 01:43:40 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Oh and Nina it wont hurt to try catching up is fun I've been doing it my whole life. - Tue Nov  3 01:44:32 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: So Ortho Lets get this started buddy. - Tue Nov  3 01:44:32 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I want Nina to join in on the fun, so lets start with teaching her some Lightning Jutsus - Tue Nov  3 01:45:23 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: All right lets do it. - Tue Nov  3 01:45:23 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Really? - Tue Nov  3 01:46:14 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hmmm which one should we start with? - Tue Nov  3 01:47:05 2015
<br><br><font color=teal>*Nina(Ninasky115) says: The easiest one. - Tue Nov  3 01:52:12 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hmmm - Tue Nov  3 01:59:02 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: That would be to send a surge of lightnign across and throuhout your body. - Tue Nov  3 01:59:02 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: The thing is if you mess it up well. - Tue Nov  3 01:59:02 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Lets just say youll be crispy. - Tue Nov  3 01:59:53 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Psh, I am a prodigy, I can do this!~ - Tue Nov  3 02:00:44 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Alright take a deep breath. - Tue Nov  3 02:00:44 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Then I want you to pull on your lightnign based chakra. - Tue Nov  3 02:00:44 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: after that circulate it thorought out your body then force it to manifest. - Tue Nov  3 02:01:36 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Are we gonna have handseals or what? - Tue Nov  3 02:02:27 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Start with focusing your chakra, sis'. - Tue Nov  3 02:03:18 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Then we'll go from there. - Tue Nov  3 02:03:18 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: This one rely's on nothing but chakra control. - Tue Nov  3 02:03:18 2015
<br><br><font color=teal>*Ivel(OmniKage) says: You guys know any fire style..? - Tue Nov  3 02:08:25 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ummmm Fire ask Iza or Ryoumen. - Tue Nov  3 02:09:16 2015
<br><br><font color=teal>*Ivel(OmniKage) says: Ryoumen? - Tue Nov  3 02:13:32 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: this nigga think he tuff until i knock down the wall with a punch - Tue Nov  3 02:27:12 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: -omit- - Tue Nov  3 02:27:12 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: That is definitely the guy that came in with Mari-Sensei that one time. . . Who is he? - Tue Nov  3 02:28:54 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Oi mr. with the black hair. - Tue Nov  3 02:28:54 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Who exactly are you? - Tue Nov  3 02:28:54 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . . - Tue Nov  3 02:31:28 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: MR. with the balck hair, you can hear me right? - Tue Nov  3 02:32:19 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *black* - Tue Nov  3 02:33:10 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: There are two people including myself with black hair, who might you be referring to? - Tue Nov  3 02:33:10 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: That guy.  *points at Ortho* - Tue Nov  3 02:33:10 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hmmmm oh yeah that will be a good one for her. - Tue Nov  3 02:33:10 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Who are you?  I saw you with Mari-Sensei. - Tue Nov  3 02:38:17 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I am Ortho, yourself? - Tue Nov  3 02:39:08 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I am Hiroshi, nice to meet you. - Tue Nov  3 02:39:08 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You seem to know Mari-Sensei, I remember seeing you when she came back. - Tue Nov  3 02:40:00 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Yes, I know Marrisa. - Tue Nov  3 02:42:33 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You were the one by the gate, yes? - Tue Nov  3 02:42:33 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Yea that was me. - Tue Nov  3 02:42:33 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: How are you? - Tue Nov  3 02:43:24 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I'm better then I was prviously, thanks for asking.  How do you know Mari-Sensei if you don't mind me asking? - Tue Nov  3 02:44:16 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Marissa and I have been dating for a few weeks now. - Tue Nov  3 02:44:16 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: But I've known her for a month or so- - Tue Nov  3 02:45:07 2015
<br><br><font color=teal>*Ivel(OmniKage) thinks: Man, where is Fujitora. - Tue Nov  3 02:45:07 2015
<br><br><font color=teal>*Ivel(OmniKage) says: Hey. - Tue Nov  3 02:45:07 2015
<br><br><font color=teal>*Ivel(OmniKage) says: Question. - Tue Nov  3 02:45:07 2015
<br><br><font color=teal>*Ivel(OmniKage) says: Does Fujitora have any family? - Tue Nov  3 02:45:07 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: she aint got any muscle... - Tue Nov  3 02:45:07 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: -omit- - Tue Nov  3 02:45:07 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . . .  - Tue Nov  3 02:45:58 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: I was giving him trouble? - Tue Nov  3 02:45:58 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hey there Mari-Sensei. - Tue Nov  3 02:45:58 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Hmm, okay, just checkin'. - Tue Nov  3 02:47:40 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm... - Tue Nov  3 02:47:40 2015
<br><br><font color=teal>*Ivel(OmniKage) says: ...So..no one knows or..? - Tue Nov  3 02:47:40 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: . . .  - Tue Nov  3 02:47:40 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: HEllo Hideo - Tue Nov  3 02:47:40 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I see something going on here...Anyone need a hand? - Tue Nov  3 02:48:32 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Oh hello Fuji. - Tue Nov  3 02:48:32 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: I could use one. - Tue Nov  3 02:48:32 2015
