<br><font color=teal>*Reguel(Airide) says: ... - Sun Nov  1 20:07:02 2015
<br><br><font color=teal>*Ryomen(Punkamainia) thinks: Pretty sure I met this guy before. - Mon Nov  2 02:39:34 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Are you new here? - Mon Nov  2 02:39:34 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Or am I tripping? - Mon Nov  2 02:40:25 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: New? Not so much. - Mon Nov  2 02:40:25 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: Tripping? Possibly. - Mon Nov  2 02:40:25 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: That would make a lot of sense. - Mon Nov  2 02:40:25 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Sorry I haven't been myself lately. - Mon Nov  2 02:40:25 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: Ah, don't worry about it. - Mon Nov  2 02:41:16 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Oh hiro. - Mon Nov  2 02:41:16 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Sit down. - Mon Nov  2 02:41:16 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Saeza is dead. - Mon Nov  2 02:41:16 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You're a little late Trill. - Mon Nov  2 02:41:16 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hey i just noticed something I never see any of you in school. - Mon Nov  2 02:42:08 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I don't even know when class is. - Mon Nov  2 02:42:59 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: School is weird.. - Mon Nov  2 02:42:59 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I hate the math stuff.. - Mon Nov  2 02:42:59 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I don't like school in general Iza. - Mon Nov  2 02:43:50 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hmm... - Mon Nov  2 02:43:50 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: ? - Mon Nov  2 02:44:41 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: What is it? - Mon Nov  2 02:44:41 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Do you want to spar really fast? - Mon Nov  2 02:44:41 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Sure. - Mon Nov  2 02:45:32 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Okay, meet me in the training area. - Mon Nov  2 02:45:32 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Sure thing. - Mon Nov  2 02:45:32 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ryo lets go watch. - Mon Nov  2 02:47:15 2015
<br><br><font color=yellow>*Ryomen(Punkamainia) would come and watch.* - Mon Nov  2 02:48:57 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) whispers: Im putting my money on iza just watch youll see why Im viewed the weakest. - Mon Nov  2 02:52:22 2015
<br><br><font color=teal>*Reguel(Airide) says: Hmm. - Mon Nov  2 02:52:22 2015
<br><br><font color=teal>*Reguel(Airide) says: So who do you think  will win? - Mon Nov  2 02:53:13 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I going with Iza. - Mon Nov  2 02:53:13 2015
<br><br><font color=teal>*Reguel(Airide) says: Eh, I'll be hopeful and vote for Hiroshi. - Mon Nov  2 02:54:04 2015
<br><br><font color=teal>*Reguel(Airide) says: Wanna bet on it? - Mon Nov  2 02:54:56 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Sure how much. - Mon Nov  2 02:54:56 2015
<br><br><font color=teal>*Reguel(Airide) says: How much you wanna bet? - Mon Nov  2 03:00:03 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Uhhhhh 40 yen cause im broke. - Mon Nov  2 03:00:03 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm? Spar? - Mon Nov  2 03:00:54 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Yeah it is who you betting on Uncle. - Mon Nov  2 03:02:36 2015
<br><br><font color=teal>*Reguel(Airide) says: Hey Fuji.  - Mon Nov  2 03:15:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Greetings. - Mon Nov  2 03:15:24 2015
<br><br><font color=teal>*Reguel(Airide) says: Think you can show me that charka enchanted strength technique now? - Mon Nov  2 03:15:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: That's not a technique I possess. - Mon Nov  2 03:16:16 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hey is he talkin about that thing. - Mon Nov  2 03:20:32 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Mon Nov  2 03:23:56 2015
<br><br><font color=teal>*Reguel(Airide) says: Tch. - Mon Nov  2 03:23:56 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: Why is she holding back...Hm.. - Mon Nov  2 03:29:04 2015
<br><br><font color=teal>*Reguel(Airide) says: This is pretty boring. - Mon Nov  2 03:30:46 2015
<br><br><font color=teal>*Reguel(Airide) says: Come on Hiroshi I ahve money riding on this win! - Mon Nov  2 03:40:09 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Children please - Mon Nov  2 03:53:48 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: -omit- - Mon Nov  2 03:53:48 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: She makes me so proud at times. - Mon Nov  2 04:24:32 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: The moment he comes up... - Mon Nov  2 04:30:30 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Glad to help, we can spar anytime you want to Izanami. - Mon Nov  2 04:35:37 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I must warn you though, I will win next time. *smile* - Mon Nov  2 04:35:37 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *giggles* We'll see.~ - Mon Nov  2 04:37:20 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *laughs*  We sure will. - Mon Nov  2 04:38:11 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: Was that a giggle?..TO AN OLDER BOY?! *load shot gun in mind* - Mon Nov  2 04:38:11 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: -omit- - Mon Nov  2 04:38:11 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: This man is far too youthful to commit to pedophilia..! - Mon Nov  2 04:39:02 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: -omit- - Mon Nov  2 04:39:02 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hey how did you make those clones of yours? - Mon Nov  2 04:39:53 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: They were way better then mine. - Mon Nov  2 04:40:44 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Shadow clone jutsu.~ - Mon Nov  2 04:40:44 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Really?  Think you could show me? - Mon Nov  2 04:40:44 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: She can not... - Mon Nov  2 04:42:27 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Wonder how this is going to work out? - Mon Nov  2 04:48:25 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: this nigga's a rapist.. - Mon Nov  2 04:48:25 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: -omit- - Mon Nov  2 04:48:25 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: I guess that is a compliment? - Mon Nov  2 04:51:50 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Umm, thanks sir. - Mon Nov  2 04:51:50 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I take it since she is your daughter you must be pretty strong yourself. - Mon Nov  2 04:52:41 2015
<br><br><font color=teal>*Yoko(Dark_Kadaj12) says: .... - Mon Nov  2 04:54:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Mhm.. @Hiro - Mon Nov  2 05:02:04 2015
<br><br><font color=teal>*Reguel(Airide) says: Do you want it? - Mon Nov  2 05:02:56 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Sure, if its a gift I accept. - Mon Nov  2 05:04:38 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: Now I wait for Trilliams hatred to surface. - Mon Nov  2 05:04:38 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: If you are strong why are you only a farmer sir? - Mon Nov  2 05:10:36 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: You see..I'm just so average~.. - Mon Nov  2 05:10:36 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: That is total bullshit. - Mon Nov  2 05:10:36 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I find that hard to belive sir. - Mon Nov  2 05:11:28 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I sell rice cakes and rice cake accessories. - Mon Nov  2 05:11:28 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: From my sushi bar of course. - Mon Nov  2 05:11:28 2015
<br><br><font color=teal>*Reguel(Airide) says: Hiroshi. - Mon Nov  2 05:11:28 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Y-. . .  - Mon Nov  2 05:12:19 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Right. - Mon Nov  2 05:12:19 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Why though Reg? - Mon Nov  2 05:12:19 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Anyway it was nice to meet you sir. - Mon Nov  2 05:13:10 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yo'. - Sat Nov  7 22:45:45 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright uhm.. - Sun Nov  8 01:03:08 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I'm not that d-durable.. - Sun Nov  8 01:03:08 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Neither am I. - Sun Nov  8 01:03:08 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright.. - Sun Nov  8 01:03:08 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Shall I go first? - Sun Nov  8 01:04:00 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: If you wish. - Sun Nov  8 01:04:00 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: -omit- - Sun Nov  8 01:46:40 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I'm fine! - Sun Nov  8 01:54:20 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-i'm fine! - Sun Nov  8 01:58:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I can keep going.. - Sun Nov  8 01:59:28 2015
<br><br><font color=teal>*Aoi(ByeFelicia) thinks: Maybe he might like a two versus one.... - Sun Nov  8 02:05:26 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: T-Take my s-strikeeeee! - Sun Nov  8 02:05:26 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: I was a nurse before becoming a shinobi, they got tired of me not being qualified for certain tasks and had me get certified as a shinobi. - Sun Nov  8 02:25:04 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I think Im the only medic with more than one healing technique, its poison this and  chakra punch that, quite annoying - Sun Nov  8 02:25:55 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: That doesn't really sound like my ... area. - Sun Nov  8 02:25:55 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: I'm more for healing. - Sun Nov  8 02:25:55 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Great I would love to have your help, but Icant teach you anything because im a  Cleric. Not your basic medic - Sun Nov  8 02:26:46 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: I'm not a basic medic either really, but that's good to know. I figured you couldn't teach me. - Sun Nov  8 02:27:37 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Sanoke....about that training you said you'd give me. - Sun Nov  8 02:29:20 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Could you pass me something to study on it? - Sun Nov  8 02:29:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm? Fuuinjutsu? - Sun Nov  8 02:29:20 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yeah. - Sun Nov  8 02:29:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Do you know the basic seal yet? - Sun Nov  8 02:30:11 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Nope, I'm clueless. - Sun Nov  8 02:30:11 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: His eyes are particular to people that have the same doujutsu as him. - Sun Nov  8 02:44:41 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Those are the eyes of the Hokuma clan, but the do have puplies  - Sun Nov  8 02:45:32 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: family* - Sun Nov  8 02:45:32 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: How....strange. - Sun Nov  8 02:47:15 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: Doujutsu. - Sun Nov  8 02:47:15 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: If you would like to know no more about them they dont know much other than its a family thing... Believe me I have tried - Sun Nov  8 02:49:48 2015
<br><br><font color=teal>*Test(Booty Eater) says: I'm going to eat everyone's ass - Sun Nov  8 02:50:40 2015
<br><br><font color=teal>*Test(Booty Eater) says: With the Eternal Tsukiyomi in my hands. - Sun Nov  8 02:50:40 2015
<br><br><font color=teal>*Test(Booty Eater) says: That ass is mine. - Sun Nov  8 02:50:40 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hello everyone. - Sun Nov  8 02:59:12 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Hi Iza - Sun Nov  8 02:59:12 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: HOw is everyone? - Sun Nov  8 03:01:45 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Pretty good - Sun Nov  8 03:01:45 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I appreciate this, Sanoke. - Sun Nov  8 03:01:45 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: And I appreciate your loyalty to Sand Village. - Sun Nov  8 03:01:45 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: ---<*Spots a Fuji*> - Sun Nov  8 03:19:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yo, Fuji. Whatever happened to that kid that won your competition? - Sun Nov  8 03:19:40 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Index?.. Hm, well he's around...About.. - Sun Nov  8 03:20:32 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: What competition? - Sun Nov  8 03:20:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hit me up when he's around. I want to see how overpowered you've made him. - Sun Nov  8 03:20:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Long ago, Fuji had a competition to take on a student. - Sun Nov  8 03:21:23 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: The Index kid came in first. - Sun Nov  8 03:21:23 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Yo - Sun Nov  8 03:21:23 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: fuji got like - Sun Nov  8 03:21:23 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: 8 students - Sun Nov  8 03:21:23 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Sun Nov  8 03:21:23 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: M'kay? - Sun Nov  8 03:22:14 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: So, is anyone available to help me out? - Sun Nov  8 03:23:56 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: With what, bud? - Sun Nov  8 03:23:56 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm..I wouldn't say Over powered...There's just some abilities I can not teach people outside the family..Noriko was the only one to have obtained such from me..But I've taughtIndex other things.. - Sun Nov  8 03:24:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Seems legit. -- Oh, you and I should have a battle later too. I still want to see how much you've grown. - Sun Nov  8 03:24:48 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Yes haha..I'll just have to go for now.. - Sun Nov  8 03:26:30 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: Just some general fighting tips. - Sun Nov  8 03:28:12 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: For now, at least. - Sun Nov  8 03:28:12 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Well, we can spar. - Sun Nov  8 03:29:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'm not that great at teaching, but if you study my way of fighting, maybe you can get something out of it. - Sun Nov  8 03:29:04 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: Errr. - Sun Nov  8 03:31:37 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: Ok, I guess. - Sun Nov  8 03:31:37 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *whistle* - Sun Nov  8 03:32:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Cool. Lead the way. - Sun Nov  8 03:33:20 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Hi... Mirai. - Sun Nov  8 03:36:44 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Evening. What is with the tone? - Sun Nov  8 03:37:36 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Tone..?? - Sun Nov  8 03:37:36 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Uh. Yousound disgruntled. - Sun Nov  8 03:38:27 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I guess you could say that I'm a little disgruntled. I'm a little stressed, is all.. - Sun Nov  8 03:39:18 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: For what? - Sun Nov  8 03:39:18 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: It.. it doesn't matter. It's not something I can't handle... - Sun Nov  8 03:40:09 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I've already told one person.. well.. they learned of it... and I didn't want them to.. - Sun Nov  8 03:41:00 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I don't want to unsettle you, either.. - Sun Nov  8 03:41:52 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: It is fine. - Sun Nov  8 03:42:43 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: She eats ass - Sun Nov  8 03:42:43 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: secrets out - Sun Nov  8 03:42:43 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Sun Nov  8 03:42:43 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I don't see why you'd want to hide your troubles from me. - Sun Nov  8 03:44:25 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: It's difficult to explain... - Sun Nov  8 03:46:08 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'll give you time. In anycase, how goes your training? - Sun Nov  8 03:46:08 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I've made progress with a few things... but not much in terms of our clan's techniques.. - Sun Nov  8 03:49:32 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I'm.. not sure. - Sun Nov  8 03:50:24 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: i sense a disturbance in the wind.. - Sun Nov  8 03:51:15 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Sun Nov  8 03:51:15 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: <*Sighs*> And you should cheer up, really. Want to go grab a bite to eat first? WE can talk. - Sun Nov  8 03:51:15 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: We* - Sun Nov  8 03:51:15 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Well... - Sun Nov  8 03:52:57 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Sure.. - Sun Nov  8 03:52:57 2015
<br><br><font color=teal>*Shishigami, Toudou(RhapsodyManiac) says: --- - Sun Nov  8 03:59:47 2015
<br><br><font color=teal>*Shishigami, Toudou(RhapsodyManiac) says: Oh, Mai! - Sun Nov  8 03:59:47 2015
<br><br><font color=teal>*Shishigami, Toudou(RhapsodyManiac) says: What's up? - Sun Nov  8 03:59:47 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: He's.... seemingly untouched by the terrors of a shinobi life...how is that possible? - Sun Nov  8 04:01:29 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: I need friends. - Sun Nov  8 04:14:17 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) thinks: Stop breaking ankles then Flexus would be ashamed.. - Sun Nov  8 04:16:00 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) thinks: -omit- - Sun Nov  8 04:16:00 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: Seems we got a new face here... they probuly been here for awhile though... The guards wouldnt let anyone in - Sun Nov  8 04:22:49 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: How did it go? - Sun Nov  8 04:27:05 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: ..? - Sun Nov  8 04:27:05 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ....... - Sun Nov  8 04:33:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: Note: don't mess with her. - Sun Nov  8 04:33:04 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Erhm. - Sun Nov  8 04:33:04 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Kill him... You should've killed him...  - Sun Nov  8 04:33:04 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: -omit- - Sun Nov  8 04:33:04 2015
<br><br><font color=teal>*Yoko(Dark_Kadaj12) thinks: Medic, noted. - Sun Nov  8 04:33:55 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm. - Sun Nov  8 04:33:55 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: Man..Koji cock blocking me hard. - Sun Nov  8 04:39:02 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: I kinda feel out of place. I'm not much for small talk. - Sun Nov  8 04:44:09 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) thinks: Basicaly you are going to change the ions in the air and supply chakra something im more than sure your used to. - Sun Nov  8 04:56:06 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: I wonder when I should finish that training... Later - Sun Nov  8 04:56:57 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Huh...Have we met? I over-heard your name being Yoko. - Sun Nov  8 05:01:13 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I am Yan. - Sun Nov  8 05:01:13 2015
<br><br><font color=teal>*Yoko(Dark_Kadaj12) thinks: I need to replenish my weapons. - Sun Nov  8 05:05:29 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hmmm. - Sun Nov  8 05:06:20 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Sooo. - Sun Nov  8 05:06:20 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Guys. - Sun Nov  8 05:06:20 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: When Ummm. - Sun Nov  8 05:06:20 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Yeah Still havent went to jail yet... - Sun Nov  8 05:06:20 2015
<br><br><font color=teal>*Yoko(Dark_Kadaj12) says: ? - Sun Nov  8 05:07:12 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *cough* - Sun Nov  8 05:08:03 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I need to figureout something to do.. - Sun Nov  8 05:08:03 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'd offer to spar ya. - Sun Nov  8 05:08:54 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: But I just lit this blunt... - Sun Nov  8 05:08:54 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Well... You could help me Iza?.. - Sun Nov  8 05:08:54 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: And knowing you, you're strong enough to kick my ass - Sun Nov  8 05:08:54 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm? - Sun Nov  8 05:08:54 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: No no. - Sun Nov  8 05:09:45 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'm Konohamaru, after all. - Sun Nov  8 05:09:45 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: <omit> - Sun Nov  8 05:09:45 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I'm not strong. - Sun Nov  8 05:09:45 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: And help you with what? - Sun Nov  8 05:09:45 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Umm...What we left off last time. - Sun Nov  8 05:09:45 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Oh yeah Iza. - Sun Nov  8 05:10:36 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ..Iza, why are you here? - Sun Nov  8 05:10:36 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: See you in like 3 maybe four years top. - Sun Nov  8 05:10:36 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: trill*> - Sun Nov  8 05:10:36 2015
