<br><font color=teal>*Asteroth(Lordlol45) says: Beat it. - Tue Nov  3 09:58:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Blah..blah.. - Sat Nov  7 00:37:58 2015
<br><br><font color=yellow>*Asteroth(Lordlol45) turns to look towards Mizumi.

"Ah. I've heard a little. Who is the new Mizukage? -- And what's wrong. . ? You don't seem too happy."* - Sat Nov  7 00:42:14 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Oh?!~ - Sat Nov  7 00:42:14 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I should go meet them. - Sat Nov  7 00:43:05 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Mizumi-kun..there's no need to worry about me.. - Sat Nov  7 00:44:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That boy, Index..knows not to attack me. - Sat Nov  7 00:44:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I've met this.."Ortho" if you're referring to the man connected to that giant snake. - Sat Nov  7 00:44:48 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: I had my mask on...So who knows if he knew it was me... - Sat Nov  7 00:44:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: He's seen my mask. - Sat Nov  7 00:44:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: We've met in Konohagakure. - Sat Nov  7 00:44:48 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Why did Index attack you? - Sat Nov  7 00:49:04 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: And what type of trouble was she causing? - Sat Nov  7 00:51:37 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: All of this was in Kirigakure, by the by? - Sat Nov  7 00:51:37 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: Yup. - Sat Nov  7 00:53:20 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: She was being rather aggressive towards the Mizukage and Ortho. - Sat Nov  7 00:54:11 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Ah. And back to the first question. -- Who is the Mizukage? - Sat Nov  7 00:55:02 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: I didn't catch a name. - Sat Nov  7 00:55:02 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: Or he said it... - Sat Nov  7 00:55:02 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: I just don't remember it. - Sat Nov  7 00:55:02 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: An appearance will work too. - Sat Nov  7 00:55:02 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: the Mizukage robes... - Sat Nov  7 00:55:53 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: and the blue hat. - Sat Nov  7 00:55:53 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: face somewhat covered. - Sat Nov  7 00:55:53 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Of course. Well, Nigen. - Sat Nov  7 00:55:53 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Go check for me. - Sat Nov  7 00:55:53 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hmph. - Sat Nov  7 01:00:09 2015
<br><br><font color=yellow>*Asteroth(Lordlol45) looked on with an uncomfortable gaze.

"Mizuki. You're acting weird. . . What's wrong?"* - Sat Nov  7 01:06:59 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: This bitch just got my name wrong....I thought we had something.... - Sat Nov  7 01:06:59 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: -omit- - Sat Nov  7 01:06:59 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Welp! - Sat Nov  7 01:10:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Sat Nov  7 01:13:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: This could be a bomb. - Sat Nov  7 01:13:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Here..you hold it for me, Fickle-chan. - Sat Nov  7 01:13:48 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: You're insane. - Sat Nov  7 01:13:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Blah..blah..blah. - Sat Nov  7 01:13:48 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Will you get out of here already? - Sat Nov  7 01:16:22 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Meh.. - Sat Nov  7 01:18:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're rushing me.. - Sat Nov  7 01:18:56 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Well. - Sat Nov  7 01:47:05 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: And you? - Sat Nov  7 01:47:56 2015
<br><br><font color=yellow>*Asteroth(Lordlol45) raised a brow.

"My form? And it's a petty. I found your old persona amusing."* - Sat Nov  7 01:48:48 2015
<br><br><font color=yellow>*Asteroth(Lordlol45) shrugs.

"I haven't heard much of your exploits," Asteroth admits. Regardless, Mizumi had never seemed too crazy -- at least not from her perspective.* - Sat Nov  7 01:58:11 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: What compelled you to be in Kirigakure, by the way? - Sat Nov  7 02:10:08 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Ah. Makes sense. Does he seem friendly? - Sat Nov  7 02:13:32 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: Mm...Didn't get to speak to him much - Sat Nov  7 02:13:32 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: On a side note. You claim this 'Ortho' guy is responsible for the chaos. - Sat Nov  7 02:14:24 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Yet he was there as you were? - Sat Nov  7 02:14:24 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Ah. .. I suppose this is the friend Index told me of. - Sat Nov  7 02:17:48 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: The one that's wanted by Suna. Thus forcing his departure. - Sat Nov  7 02:17:48 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Or so I assume. - Sat Nov  7 02:18:40 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Seems like trouble. . the last thing I want is for Index to get dragged through mud over some harlot. - Sat Nov  7 02:19:31 2015
<br><br><font color=yellow>*Asteroth(Lordlol45) shrugged,

"Home. Drowning myself in books. Learning new -- spells." She says at last, no longer feeling it necessary to keep the nature of her ability a secret. At least not from Mizumi.* - Sat Nov  7 02:22:04 2015
<br><br><font color=yellow>*Asteroth(Lordlol45) nods. "Indeed. I don't use ninjutsu. I use magic. --Very potent magic. Although I haven't refined my abilities well enough to make. . . confident moves. At least not yet. Once I have, however. . . Things may begin to get a lot more interesting," Asteroth teases -- still keeping much of her abilities cryptic.* - Sat Nov  7 02:28:03 2015
<br><br><font color=yellow>*Asteroth(Lordlol45) shrugs or shakes her head.

"I haven't a clue. Y'see, my type of magic is often. ..  disliked by certain people. Like the man that once came, Yukio I believe. Thus, people who possess my skillset tend to avoid making it public. Lest they get an unfriendly mix of people coming for their head," Asteroth replied with annoyance.

Her mind wonders, thinking back to the gathering that occured in Sunagakure. Ugh! Priests made her sick, the thought forces an uncomfortable shiver.* - Sat Nov  7 02:36:35 2015
<br><br><font color=yellow>*Asteroth(Lordlol45) nods.

"Although, he knows 'ninjutsu-like' techniques as well."* - Sat Nov  7 02:42:33 2015
<br><br><font color=yellow>*Asteroth(Lordlol45) nods. Magic was complicated -- and in her eyes, superior to Chakra.

"That sounds like a plan. Albeit, aren't sensor types a little less offensively capable? To help in your endeavors, I have an old scroll saved that could help you. It's a sensory or stealth based technique -- chakra suppression. Are you familiar with it?"* - Sat Nov  7 02:57:04 2015
<br><br><font color=yellow>*Asteroth(Lordlol45) shifts her eyes from side to side.

"What books I have isn't of much concern. As for why I have this 'scroll.' It's cause I derived my own variant from it. Now then. . . If you want it. I'll have one of my assistants run it over."

As per usual, doing such is trivial. She sends a bird. In a few minutes, someone is rushing over with the scroll. "Do not abuse the technique, mind you."* - Sat Nov  7 03:09:00 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Mhm. It should be  useful. Although. . you won't be able to use your ninjutsu while suppressed. - Sat Nov  7 03:11:34 2015
<br><br><font color=yellow>*Asteroth(Lordlol45) nods.

"Indeed. It is how I've managed to keep my identify under wraps. I developed this for the sole purpose of suppressing my 'dark' energies," she admits.* - Sat Nov  7 03:14:59 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Of course, of course. Least that can be done for the man that saved my life. - Sat Nov  7 03:18:24 2015
<br><br><font color=yellow>*Asteroth(Lordlol45) nods.

She arises, patting the boy on the head. "I'm sure it will serve you well. In any case, I'm going to return the the usual spot, since it's usually where visitors go if they need me."

She then moves, hips swaying, back towards the west. Her arms remain folded, as once the conversation with Mizumi had ended, Asteroth re-obtained her usual, scowling nature---

"Oi. Mizumi. Enter that." Briefly, the Queen paused before continuing off.* - Sat Nov  7 03:32:03 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Ah. A pity. . Seems I'll need to depend. . <*shivvers*> On Nigen. - Sat Nov  7 03:37:10 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Sheesh.. - Sat Nov  7 05:03:21 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Yura..yura toooo!~ - Sat Nov  7 05:04:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Oh.. - Sun Nov  8 05:18:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Fickle-chan..funny meeting you here. - Sun Nov  8 05:18:17 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Yes. Funny meeting me at my usual spot. - Sun Nov  8 05:20:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You know.. - Sun Nov  8 05:20:51 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: There was a new-comer. - Sun Nov  8 05:20:51 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Whom? - Sun Nov  8 05:21:42 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Oh, his name was Kida. - Sun Nov  8 05:21:42 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I told him that you were my wife of course.. - Sun Nov  8 05:22:33 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I knew you wouldn't mind. - Sun Nov  8 05:22:33 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . . Don't make me cut you. - Sun Nov  8 05:23:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Eh.. - Sun Nov  8 05:25:07 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I don't hear any real problems.. - Sun Nov  8 05:25:07 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: What. .? - Sun Nov  8 05:25:58 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: In anycase. - Sun Nov  8 05:25:58 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: You. I want you to go purchase some things from the Huevo from me. - Sun Nov  8 05:25:58 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Sun Nov  8 05:29:23 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Oh really? - Sun Nov  8 05:29:23 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So you're saying that you need me..~ - Sun Nov  8 05:29:23 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Mhm. That's precisely what I am saying. - Sun Nov  8 05:33:39 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Yeah.. - Sun Nov  8 05:34:30 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I figured.. - Sun Nov  8 05:35:21 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You can't stop needing me.. - Sun Nov  8 05:35:21 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Lusting after this body!~ - Sun Nov  8 05:35:21 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: B-..but..Fickle-chan..I-..I'm married.. - Sun Nov  8 05:35:21 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: There's no way it'd work out.. - Sun Nov  8 05:35:21 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . . - Sun Nov  8 05:50:43 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I don't want you. - Sun Nov  8 05:50:43 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Will you make the purchases or not? - Sun Nov  8 05:51:34 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Sure. - Sun Nov  8 05:53:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What do you want.. - Sun Nov  8 05:53:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I should return the favor for my new found power. - Sun Nov  8 05:54:08 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Hrm? Depends. - Sun Nov  8 06:00:06 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: What's the general pricing scheme. - Sun Nov  8 06:00:06 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Sun Nov  8 06:03:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Oh.. - Sun Nov  8 06:04:22 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Scrolls that are c-rank normally cost half a million. - Sun Nov  8 06:04:22 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: B-rank are tend to be ten million or higher. - Sun Nov  8 06:04:22 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Ah. That's what I require, mid-leveled. - Sun Nov  8 06:05:13 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I'll give you two million. Grab me something on summoning or dark magic. - Sun Nov  8 06:05:13 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Although. . Hrm. I do want to dabble in curses as well. - Sun Nov  8 06:05:13 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Sun Nov  8 06:23:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You should decide properly. - Sun Nov  8 06:23:08 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . ? - Sun Nov  8 06:31:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Do you have the funds? - Sun Nov  8 06:33:23 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Yes. - Sun Nov  8 06:35:56 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Obviously. - Sun Nov  8 06:35:56 2015
<br><br><font color=yellow>*Asteroth(Lordlol45) gives Nigen a check for two million.* - Sun Nov  8 06:38:30 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hmph. - Sun Nov  8 06:48:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So.. - Sun Nov  8 06:49:36 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . What? There's your money. - Sun Nov  8 06:50:27 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You want a summoning, and a dark art? - Sun Nov  8 06:50:27 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Two of each, yes. - Sun Nov  8 06:50:27 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Do not get something I already know. - Sun Nov  8 06:50:27 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I can summon Kappas, Shingos, Furu-Utsubos. - Sun Nov  8 06:50:27 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Hrm. And you know my dark magics. - Sun Nov  8 06:51:18 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Sun Nov  8 06:51:18 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm debating on becoming a contractor.. - Sun Nov  8 06:51:18 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Maybe I should take up that path. - Sun Nov  8 06:51:18 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Oh. . What is this. . You'd want to learn from me? - Sun Nov  8 06:52:09 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: There.. - Sun Nov  8 06:53:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Your packages will be deilvered in the span of a day. - Sun Nov  8 06:53:52 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . So long? - Sun Nov  8 06:53:52 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I would expect sooner. - Sun Nov  8 06:56:25 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Complaints.. - Sun Nov  8 07:41:39 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: What did you order, by the way? - Sun Nov  8 08:50:46 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Meh..you'll see.. - Sun Nov  8 08:50:46 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It's a surprise.~ - Sun Nov  8 08:50:46 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Better be relevant to my magic.. - Sun Nov  8 08:52:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're.. - Sun Nov  8 08:55:02 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Soooooooooo......doubtful.. - Sun Nov  8 08:55:02 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So... - Sun Nov  8 08:55:02 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Do you know what you're going to branch off into? - Sun Nov  8 08:55:02 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I hold an interest in curse seals. - Sun Nov  8 08:56:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hmph.. - Sun Nov  8 08:57:36 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Why do you ask? - Sun Nov  8 08:57:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm debating on what path I should branch off into.. - Sun Nov  8 08:57:36 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: And which has your eyes? - Sun Nov  8 08:59:18 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: It isn't often that I've seen a significant Death Bringer. The last I've known has gone missing in action. - Sun Nov  8 09:00:09 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Sun Nov  8 09:02:43 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I doubt that I'd be quite effective as a Death Bringer. - Sun Nov  8 09:03:34 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: My sights are set more on Dark Specialist or Summoner. - Sun Nov  8 09:03:34 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I can see people calling me the Crimson Haired Contractor. - Sun Nov  8 09:03:34 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Laammee. - Sun Nov  8 09:05:16 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Don't ever name yourself.  - Sun Nov  8 09:05:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're just jealous.. - Sun Nov  8 09:06:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It's pretty good. - Sun Nov  8 09:06:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Monsters waiting at my call.. - Sun Nov  8 09:06:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Then again do I want to end up like you? Fully lazy? - Sun Nov  8 09:06:08 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Fully lazy? Hah. - Sun Nov  8 09:06:59 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: You simply don't know how I spend my time. - Sun Nov  8 09:06:59 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're lazy.. - Sun Nov  8 09:06:59 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Also who are you to mock my future moniker? - Sun Nov  8 09:07:50 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: The Abyssal Contractor.. - Sun Nov  8 09:07:50 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hahahaha!~ - Sun Nov  8 09:07:50 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: All sounds lame. - Sun Nov  8 09:10:24 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: 'Contractor' isn't cool in the least. - Sun Nov  8 09:10:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That's where you're wrong. - Sun Nov  8 09:11:15 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says:  "Summoner" is too common. - Sun Nov  8 09:11:15 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Just like a devil, I make contracts. - Sun Nov  8 09:11:15 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Whatever. Have fun with your lame name. - Sun Nov  8 09:12:57 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Tch.. - Sun Nov  8 09:12:57 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You don't have to be jealous. - Sun Nov  8 09:12:57 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Why would I be jealous of such a silly name? - Sun Nov  8 09:13:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Silly? - Sun Nov  8 09:13:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It'll strike nothing but fear into the hearts of my enemies! - Sun Nov  8 09:13:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I know.. - Sun Nov  8 09:13:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I should go with something unintimidating.. - Sun Nov  8 09:14:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Sadly..everything I think of is too good, and masculine.. - Sun Nov  8 09:15:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: How about you, Fickle-chan. - Sun Nov  8 09:15:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You tend to come up with lackluster names.. - Sun Nov  8 09:15:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Give me a title. - Sun Nov  8 09:15:31 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . .  - Sun Nov  8 09:16:22 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Come on.. - Sun Nov  8 09:16:22 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Think hard. - Sun Nov  8 09:16:22 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I don't know.. - Sun Nov  8 09:19:47 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Pookie? - Sun Nov  8 09:19:47 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sun Nov  8 09:19:47 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ugh.. - Sun Nov  8 09:20:38 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Come on.. - Sun Nov  8 09:20:38 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: A real title! - Sun Nov  8 09:20:38 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Hrm. . I don't know. - Sun Nov  8 09:22:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Come on.. - Sun Nov  8 09:23:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Honestly.. - Sun Nov  8 09:26:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You have to have a better name.. - Sun Nov  8 09:26:36 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I'm stomped. - Sun Nov  8 09:28:19 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Yeah..well.. - Sun Nov  8 09:28:19 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Keep thinking. - Sun Nov  8 09:28:19 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: The Dread Lord? - Sun Nov  8 09:30:01 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Psh.. - Sun Nov  8 09:30:01 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm not a 'Lord'.. - Sun Nov  8 09:30:01 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Come on when you look at me..what do you see? - Sun Nov  8 09:30:01 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: A handsome and dashing young man? - Sun Nov  8 09:30:52 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I do not. - Sun Nov  8 09:30:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You know..you're heathen, right? - Sun Nov  8 09:30:52 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . Nigen. You're hideous. - Sun Nov  8 09:31:44 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Why else wear that mask? - Sun Nov  8 09:31:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That is true..let me tell you a bit about my past.. - Sun Nov  8 09:33:26 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You see..I was abandoned a child.. - Sun Nov  8 09:33:26 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: My parents scorned me.. - Sun Nov  8 09:33:26 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I was forced to fend for myself! - Sun Nov  8 09:33:26 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: WOE! - Sun Nov  8 09:33:26 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Woe was I... - Sun Nov  8 09:34:17 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Ah. Your parents are intelligent. - Sun Nov  8 09:34:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: A cute young lad forced to survive off of scraps.. - Sun Nov  8 09:34:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You fool! - Sun Nov  8 09:34:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That was a trick. - Sun Nov  8 09:34:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That's not the real story at all. - Sun Nov  8 09:34:17 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Aw. - Sun Nov  8 09:35:08 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: You really know how to crush a girl's dreams, y'know? - Sun Nov  8 09:36:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Heathens like you gravitate towards those sappy stories.. - Sun Nov  8 09:36:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You honestly should try to think of a proper moniker for me. - Sun Nov  8 09:36:51 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm royalty after all! - Sun Nov  8 09:36:51 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I suppose I could be the "Summit Summer Suitor".. - Sun Nov  8 09:38:33 2015
