<br><font color=teal>*Rokujou, Kida(Shiziru101) says: Say what? - Fri Nov 27 00:59:18 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) thinks: I shouldn't care about what I say and what I do. - Fri Nov 27 02:57:55 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: . . . - Fri Nov 27 02:58:46 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Of course. - Fri Nov 27 02:58:46 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Sure. - Fri Nov 27 03:01:20 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Thanks. - Fri Nov 27 03:01:20 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Not like we'd want to mention having our penis out while we stood side by side with another guy. - Fri Nov 27 03:01:20 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: . . . . . . . - Fri Nov 27 03:01:20 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Good. - Fri Nov 27 03:01:20 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: . . . . . . . - Fri Nov 27 03:02:11 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Because if you ever mention this about me being interested in you two----- - Fri Nov 27 03:02:11 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Being interested. - Fri Nov 27 03:02:11 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: In your members. - Fri Nov 27 03:02:11 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I'm going to kill you. - Fri Nov 27 03:02:11 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Trust me. - Fri Nov 27 03:02:11 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: What happens between us. - Fri Nov 27 03:03:02 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Stays between us. - Fri Nov 27 03:03:02 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Yeah, what he said. - Fri Nov 27 03:03:02 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: . . .  - Fri Nov 27 03:03:02 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Thanks. - Fri Nov 27 03:03:02 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: She's more timid than usual..Hm. - Fri Nov 27 03:03:53 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Anywho.... - Fri Nov 27 03:03:53 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Have you two gotten any stronger? - Fri Nov 27 03:03:53 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Eh. - Fri Nov 27 03:07:18 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I just got a little more....tanky. - Fri Nov 27 03:07:18 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Not too much though. - Fri Nov 27 03:08:09 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: And Kida? - Fri Nov 27 03:08:09 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I've gotten a bit tanky I guess. - Fri Nov 27 03:08:09 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I've been rather lazy lately to be honest. - Fri Nov 27 03:09:00 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ....Hah. - Fri Nov 27 03:09:52 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: No wonder you got hurt so badly from that kick. - Fri Nov 27 03:09:52 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Anywho. - Fri Nov 27 03:10:43 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: You kicked me in the dick.. - Fri Nov 27 03:10:43 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Our plan regarding Kumogaku-- - Fri Nov 27 03:10:43 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Shhhh. - Fri Nov 27 03:10:43 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: No wonder it's smaller than Ichiro's. - Fri Nov 27 03:10:43 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Did I kick you that hard? - Fri Nov 27 03:10:43 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Heh. - Fri Nov 27 03:10:43 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: ....... - Fri Nov 27 03:10:43 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: If I recall right, you're also a kicker, Kida. - Fri Nov 27 03:11:34 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Yeah. - Fri Nov 27 03:11:34 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: We should have a kicking contest sometime. - Fri Nov 27 03:11:34 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: A kicking contest? - Fri Nov 27 03:12:25 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Mhmm. - Fri Nov 27 03:16:41 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: See if you can hit me with a single kick. - Fri Nov 27 03:16:41 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Com'on. - Fri Nov 27 03:16:41 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: You kick fast, right? - Fri Nov 27 03:16:41 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Alright, I'll try. - Fri Nov 27 03:18:24 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) stood infront of Shiro, hands by his side, eyes facing forwards.  The last time they had an interaction similar to this, led to the male being knocked into a lake.  He let out a sigh, recalling such memories.   "Alright, here I go," he spoke out.

Instantly, Kida  positioned his left foot forwards, placing his right foot behind.  He relaxed himself, readying his body for his next movement.  In a fluid motion, he raised his right leg, snapping it forwards towards Shiro's side as fast as he could.* - Fri Nov 27 03:23:31 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) lowered his leg as he realized Shiro had dodged his strike effortlessly. "Woah, didn't think you were that fast," he commented.  He shrugged his shoulders, taking a rather carefree attitude. "Well last time, I wasn't able to show you much, mostly because I became a human punching bag." He chuckled.* - Fri Nov 27 03:32:03 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Yeah? What about it? - Fri Nov 27 03:35:28 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: . . . - Fri Nov 27 03:36:19 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: You...... - Fri Nov 27 03:36:19 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: What? - Fri Nov 27 03:36:19 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: .....God I hate you for making me ask all the questions. - Fri Nov 27 03:37:10 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Why can't -you- ask some of the questions? - Fri Nov 27 03:37:10 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Alright then. Hm..Why are you so head over heels about Sado? - Fri Nov 27 03:38:01 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: --- - Fri Nov 27 03:41:26 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I'm.... - Fri Nov 27 03:41:26 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Not head over heels about Sado... - Fri Nov 27 03:41:26 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: He's just my Master. - Fri Nov 27 03:41:26 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) took the kick to the stomach as he was unprepared. He hurled over, clutching his gut. "T-then what was with all that talk before?" he added.* - Fri Nov 27 03:43:08 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: He's my fucking Master. - Fri Nov 27 03:44:00 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Am I not supposed to be endearing to the person who made me who I am? - Fri Nov 27 03:44:00 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) thought to himself as he found himself falling onto the ground.  "This is a 180..Why am I getting kicked?".   The next moment he realized, he was down on the ground, sprawled out.  "A bit kick happy huh?", he uttered.* - Fri Nov 27 03:49:07 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) seemed a bit dazed. Everything felt as though it were going fast.  His heart started to beat faster and faster as the clock ticked.  He was speechless, unable to utter a word as he watched Shiro climb on top of his frame.

His mouth moved slightly, but no audible sound came out. It was as if he were paralyzed. Even though the words failed to come from his mouth, his eyes were able to speak. They had the look of desire and lust.  He knew Shiro was the type to play around, but was she doing so now? His mind began to race, trying to comprehend the situation. For now, he couldn't get a clear understanding.* - Fri Nov 27 03:57:39 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: . . . - Fri Nov 27 03:59:21 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: You're just not going to say anything, huh?  - Fri Nov 27 03:59:21 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I.... - Fri Nov 27 04:00:12 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Sorry.. - Fri Nov 27 04:00:12 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) thinks: . . . Asshole. - Fri Nov 27 04:02:46 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) lowered his gaze with a look of defeat.  His lower half had started roaring, but the upper wasn't entirely.  He let out a sigh, sitting himself up and looking away for a moment. "I am, but..I don't know," he uttered. He let out another sigh, standing himself up onto his feet. 

He takes a few steps back, leaning up against the wall.  "You just took me by surprise is all,"he added. * - Fri Nov 27 04:04:28 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: Damn, I didn't expect that to happen.. - Fri Nov 27 04:05:20 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: You do...It's just that time was different.. - Fri Nov 27 04:08:44 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: . . . . . . - Fri Nov 27 04:10:27 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Yeah, I'm sure. - Fri Nov 27 04:10:27 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: With all the gags I do with tongues, legs, and arms. - Fri Nov 27 04:10:27 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Bet you expected me to decorate you in the accolades of removed body parts. - Fri Nov 27 04:10:27 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: You're mad aren't you? - Fri Nov 27 04:10:27 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ....Fuck you. - Fri Nov 27 04:12:09 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: Yep.. - Fri Nov 27 04:12:09 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: We can go if you want... - Fri Nov 27 04:13:52 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: . . . . Go what? - Fri Nov 27 04:13:52 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: The hell am I saying? - Fri Nov 27 04:13:52 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: You know what I mean.. - Fri Nov 27 04:14:43 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ...... - Fri Nov 27 04:15:34 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: .... - Fri Nov 27 04:16:25 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) turned his gaze slightly to the side as his face reddened. 

"You want me to say it?"* - Fri Nov 27 04:18:08 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: .... - Fri Nov 27 04:23:15 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Sex. - Fri Nov 27 04:23:15 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: S. - Fri Nov 27 04:23:15 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: E. - Fri Nov 27 04:23:15 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: X. - Fri Nov 27 04:23:15 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: . . . . . . - Fri Nov 27 04:31:47 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: .......... - Fri Nov 27 04:31:47 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Y-You don't jump in relationships like that. - Fri Nov 27 04:31:47 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I just vocalized what was about to happen.. - Fri Nov 27 04:33:29 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: ... - Fri Nov 27 04:33:29 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: W-wait, relationships? - Fri Nov 27 04:48:51 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: .............. - Fri Nov 27 04:49:42 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Okay, you know what? - Fri Nov 27 04:49:42 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Come here. - Fri Nov 27 04:49:42 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) said not a word as he approached Shiro. He stood before her, hovering over her frame.  His eyes climbed along her legs and rested upon her face. His face continued to redden, showing just how nervous he was about the situation. 

Kida's mouth opened, and out came sounds; words. "W-What is it that you want?". He turned his gaze away slightly, then resting it back onto her frame.  He was seeing Shiro in a new light. He was used to her sadistic, rude, and brutish attitude. But before his eyes, she didn't have that aura. To him, she looked alone and fragile.

It was if his eyes were playing tricks on him. He couldn't shake the feeling that this was a dream, but deep down, he knew this was reality.  He took a deep breath, calming his nerves for what was to come.* - Fri Nov 27 04:57:23 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) too didn't have much experience in the opposite sex.  Truth be told, this was his first encounter, of course, he couldn't tell his partner this.  His heart started to beat rapidly as he leaned closer and closer to Shiro.  "Alright..I'll lead," he repeated.  

His lips was only centimeters close to Shiros.  His inner lust began to flare, slowly taking over his entire body.  He wanted to enjoy the exchange, but upon learning of Shiro's experience, he held back a bit.  

Kida pressed upon Shiro, lowering down into the bed as he pressed his lips upon hers.  The lustful male's hands began to grab and grope her frame, first brushing her hair, then lowering his hands onto her shoulders, then the waist. * - Fri Nov 27 05:05:04 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) was slowly losing himself to his lust. The presence of Ichiro became void to him for the time being. The warm embrace from Shiro motivated him to lose himself into more of his lust.  He allowed his hands to continue traveling around Shiro's body, now gripping for her butt. 

He removed his lips from hers and placed it along her neck, slowly transitioning down to her collar.* - Fri Nov 27 05:32:22 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) halted his actions for a moment as he heard Ichiro's voice.   Flares in his mind began to go off, prompting him to raise his upper torso to glance around the room.  However, it was too late and the male had already left.   Kida himself wasn't sure if Shiro knew, but he knew that their third member had just witnessed such actions.   "You heard that?", he whispered into her ear, lowering his torso once more to continue. Kida continued to grope and grab along Shiro's body, groping harder at her rear. He just enjoyed the feeling.* - Fri Nov 27 05:44:19 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) chuckled at her response.  "Bold aren't we?", he whispered. He had a fixation on her butt. It was well defined and toned.  It wasn't far off from what he had imagined all those times he caught a few peaks.  

Upon feeling his partner grasp for his lower member, his sex drives increased. His member was already ready to go, but from the slightest touch it became more stiff.  He was so ready, it began to hurt, but he held on.

Kida would release his right hand from her rear, slowly moving it along her thigh, to her crotch. His hand washed along, centering his fingers just before her folds.  A devilish smirk formed on his face as he lowered his head, tracing his lips and tongue along her the edges of her collar, just before her clothing began to hide some of her flesh.  

His fingers rested along Shiro's crotch, moving and squirming around, entertaining her lower region through the fabrics of her clothing. * - Fri Nov 27 06:09:55 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) smiled,  "I guess you're right," he answered.  When he got the go to from Shiro, all gates were released. It was go time.  His eyes began to sparkle and his senses began to direct themselves down to his eager member. 

In a bold statement, he motioned his hands towards her torso, gripping along her waist band. With a single motion, he removed both her pants and panties, yanking them off and tossing them to the side.  He'd then move his way towards  Shiro's shirt, quickly removing them from her person.  In moments, she was in the nude. Not wanting his partner to feel left out, he too removed his clothing, tossing away his shirt and pants, stripping himself down to his bare skin. 

There he stood, his body muscularly toned and defined. He didn't have an overly muscular frame, rather his frame was average, save for the well defined contours of his body. His hands rested along his waist for a moment before stepping closer to Shiro.

"Let's go for a ride," he whispered, locking his lips with hers. His hands once again began to grope along her contours; the left groping her breast, while the right kneading her butt. He aligned his body over hers, pressing his skin against her, member rubbing against her crotch.* - Fri Nov 27 06:31:15 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) felt his head go blank as their tongues wrapped and coiled around each other.  His body temperature was rising from the intimacy between the two. He too was growing impatient, but he just couldn't get enough of Shirp's lustful sexy self.  He had seen so much of her in the last months that his entire image of her has changed drastically.

His senses were tuned to the moment, ignoring Shiro's nails penetrating into his skin.  Slowly, he lowered his left hand, moving towards her waist. He continued to move his tongue around, uttering the words "Ready?", in between breaths.  

Without waiting for an answer, he removed his right hand from Shiro's rear, gripping the base of his own member.  His lower frame pushed out as he aimed the tip of his errection towards the entrance of her vagina.   While aligning it up, his tip brushed against the folds, moistening his member right before he penetrated it in. With a deep thrust, he drove his penis into the interrior of Shiro's vagina.  

His mind blanketed upon experiencing this new sensation. Warmth, moistness, and tightness. It was wordly.  His crotch was pressed as far as it could up against hers, resting for a moment before he slid out partially and dug back in.  He began to take long, deep thrusts in and out of her, never removing the tip from her grasp.

Kida let out a few moans himself as he entered Shiro's womanhood. He was surely enjoying every moment of it, and he believed Shiro to be as well.* - Fri Nov 27 06:47:28 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) felt that dagger, but he played along. He gritted his teeth, pounding into flesh like a beast. In-out-in-out. Over and over.  His errection maintained it's strength, constantly thrusting like a mad dog.  One would expect with how fast he was going, he'd tire out rather quickly, but that wasn't the situation.  

"Damn...," he began, grunting in between words. "I...cant..get..enough..of..this,"  he moaned. His body, now glistening with sweat, wasn't letting up.  A wicked grin formed on his face as he motioned both his arms towards Shiro's left leg. His arms wrapped around her leg, moving it along to the right, all while keeping his penis inside. 

"I'll, make..you..cum..first," he panted, now moving for her right leg to transistion the sex into the doggy styled position.* - Fri Nov 27 06:58:33 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) looked down at the magnificent view he had before him. Shiro had her back arched to him, her ass slamming against his crotch.  His hands had a mind of their own as his left pressed up against her crotch, edging his fingers towards the rose like bud. 

"You...have..no..choice," he uttered, panting like a hound.  He continued to maintain his speed, rapidly thrusting his member in and out.  With each thrust, his penis penetrated deeper and deeper into her vagina, assaulting her sexual organs like the beast he is. 

With his left hand positioned along her crotch, he inched it further, allowing for his fingers to rub against Shiro's clit.  "I've..got..this!" he panted, rubbing and playing with the little bud.   For his right hand, he placed it upon her right butt cheek, kneading it like fresh dough.  He'd slap and move the right cheek, spreading it about to get a better look at his bloodied member penetrating her womanhood, and her anus. * - Fri Nov 27 07:09:39 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) did as he was told, feeling more pleasure from the thrill.  He'd thrust harder and faster, more and more, going full speed.  His grunts, moans, and pants resonated with Shiro's flooding the room with their lust.  

As his left hand continued to assault her ciltoris, his right began to crawl forwards, assisting the left.  "Fuck!", he howled, arcing forwards as he applied his body weight into his thrusting movements.   His left leg was positioned on the bed, aiding in the speed and power of his thrusts.  He'd lean further more, nearing his head to Shiro's as he listened to her cries of ectasy.* - Fri Nov 27 07:23:18 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) was nearing his end, holding it in as much as he could.  His pride was on the line as he focused on his rapid thrusts against Shiro.  His legs started to wobble. Despite his own better judgement, he felt some sort of kinship that went  beyond just bodily lust.  His inner self chuckled at the notion, prompting Kida to focus more on his savage assault

Just as he thought of Shiro's stamina, he felt her nether reigion quiver and tighten around his own member.  "S-shit...y-you..got...tighter," he voiced, allowing his sexual desires to go with the flow.  Unbeknownst to him, this was a sign that Shiro had orgasmed, but he wasn't entirely sure due to the constant screaming and moan emitting from her mouth.

As he wasn't done yet, he continued to thrust in and out, locking his lips with Shiros.  Their saliva mixed together as he took control, coiling his tongue around hers, hands still ravaging her clitoris.

"I-I'm about to..cum!!," he uttered in between. His scrotum began to pulsate as he felt a sensation build up around his base. As he continued to thrust, the sensation increased more and more, and his own control weakened with each second

"H-hurry, where...do..you..want it?", he panted, holding back his orgasim for the time being.* - Fri Nov 27 07:37:48 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) held on for as long as he could, but he couldn't hold on anymore.  He let out a roar as his semen exploded out from his penis, throwing itself forwards with an incredible force.   His legs buckled all while the white fluids plastered all across Shiro's breast and face. A large portion entered into her mouth.

"Ugh!" he cried, losing his ability to speak for a moment.  It was the greatest orgasm he ever had, and watching his seeds plaster Shiro's body made it even more worthwhile.  

He smirked as he regained strength into his legs.  He'd lower his hand, gripping the base of his shaft, rubbing it some more to pump out what was left.* - Fri Nov 27 07:49:45 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) chuckled, shrugging his shoulders. "I told you that I was in the forrest on my own. You think I'd rub one out and allow a bear to claw my dick off?", he responded in a playful manner.  

He cleared his throat, averting his gaze for a secon upon realizing what had happened. He wasn't ashamed, more like he didn't expect to have his semen plastered upon Shiro's upper body. It was hot, and if he were to think more, he'd probably be ready for a second round.  

When he saw her reach out for him, his chest tightened.  This was all still new to him, but he went along.  He reached out, grapping her hand and pulling her towards his own frame.  He'd twist himself, allowing the two to lay upon the bed.* - Fri Nov 27 07:59:08 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I can leave again if you want. - Fri Nov 27 08:03:24 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: No big deal to me. - Fri Nov 27 08:03:24 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Oh no. - Fri Nov 27 08:03:24 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Might as well join in at this point. - Fri Nov 27 08:03:24 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I'm being thrown around. - Fri Nov 27 08:04:16 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: --- - Fri Nov 27 08:04:16 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: That's a joke. - Fri Nov 27 08:04:16 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Of course. - Fri Nov 27 08:04:16 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) thinks: If I couldn't handle Kida. - Fri Nov 27 08:04:16 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) thinks: I'm not going to be handling two men at once. - Fri Nov 27 08:04:16 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I don't share anyways. - Fri Nov 27 08:04:16 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) thinks: Nor am I a fucking whore. - Fri Nov 27 08:04:16 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Good. - Fri Nov 27 08:04:16 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Neither do I. - Fri Nov 27 08:04:16 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: By the way, on that topic. - Fri Nov 27 08:05:07 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: If I ever find out your cheated on me, Kida. - Fri Nov 27 08:05:07 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) really couldn't feel akward around the two, especially with their synergy. He chuckled, holding Shiro in his arms. "I don't think you'll be cutting it off anytime soon," he jeered.   He then paused for a moment, realizing the words that came from Shiro's mouth.

"As if I'd cheat. I might sound like a dog, but do you think I'm really one?", he asked.* - Fri Nov 27 08:06:49 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ..... - Fri Nov 27 08:11:56 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Well.... Kida. - Fri Nov 27 08:11:56 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: You literally just took me in doggy style... - Fri Nov 27 08:11:56 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: So yes you're a dog... - Fri Nov 27 08:11:56 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ---Don't crack a bitch joke. - Fri Nov 27 08:11:56 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: .... - Fri Nov 27 08:11:56 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: Damn. - Fri Nov 27 08:12:48 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Heh. - Fri Nov 27 08:13:39 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Dog jokes... - Fri Nov 27 08:13:39 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Heh... - Fri Nov 27 08:13:39 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) just remained in the bed, chilling.  His eyes moved along the contours of Shiro's body. A sly smile errupted as he placed a single hand onto her butt.  "Why no bitch jokes? Afraid you'll go in heat?", he let out a chuckle.* - Fri Nov 27 08:15:21 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Hehe... - Fri Nov 27 08:16:12 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Got'eem.. - Fri Nov 27 08:16:12 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Where have you been all this time anyway, Ichiro? - Fri Nov 27 08:18:46 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: .... - Fri Nov 27 08:19:37 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Asshole. - Fri Nov 27 08:19:37 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: You've been groping my ass this entire time. - Fri Nov 27 08:19:37 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Are you some kind of butt maniac? - Fri Nov 27 08:19:37 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Hey. - Fri Nov 27 08:19:37 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: That's the best part. - Fri Nov 27 08:19:37 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Exactly. - Fri Nov 27 08:19:37 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: But uh. - Fri Nov 27 08:19:37 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Ichiro understands.  - Fri Nov 27 08:19:37 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I went and trained. - Fri Nov 27 08:19:37 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Didn't help me any. - Fri Nov 27 08:20:28 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Aw, really? - Fri Nov 27 08:20:28 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Yeah. - Fri Nov 27 08:20:28 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I feel like I stunted my growth a bit. - Fri Nov 27 08:20:28 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) motioned his hand which was rested upon Shiro's rear, onto her chest. He'd grope her breast, and lean into her ear.* - Fri Nov 27 08:21:20 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) whispers: Maybe next time I'll give this more attention. - Fri Nov 27 08:21:20 2015
