<br><font color=teal>*Marrisa(Roxinea) says: Hello. .  - Thu Oct  1 05:32:48 2015
<br><br><font color=teal>*Domon(KazutoAyamu) says: Hi. - Thu Oct  1 05:34:30 2015
<br><br><font color=teal>*Takuma(Brosis55) says: --- - Sun Dec  6 20:34:46 2015
<br><br><font color=teal>*Takuma(Brosis55) says: So you're a spitter? - Sun Dec  6 20:34:46 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ... - Sun Dec  6 20:35:37 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I don't know what that  means. - Sun Dec  6 20:35:37 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: But. - Sun Dec  6 20:35:37 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: It's just chakra. - Sun Dec  6 20:35:37 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I see. - Sun Dec  6 20:35:37 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Anyway... - Sun Dec  6 20:36:28 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You never asked to train with me... or teach me... so I assumed you didn't want to. - Sun Dec  6 20:36:28 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: So at the very least can you make sure he trains? - Sun Dec  6 20:36:28 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Oh me? - Sun Dec  6 20:36:28 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...uh yeah. - Sun Dec  6 20:36:28 2015
<br><br><font color=teal>*Takuma(Brosis55) says: But if you want teachings, then I can teach you. - Sun Dec  6 20:37:20 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Man, I was actually looking for a Parthner. - Sun Dec  6 20:39:02 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Hey, Ari-chan, Taco-san. - Sun Dec  6 20:39:02 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I want the nickname Titduck. - Sun Dec  6 20:39:53 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Alright. - Sun Dec  6 20:39:53 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Either of you up for a spar? - Sun Dec  6 20:39:53 2015
<br><br><font color=teal>*Takuma(Brosis55) says: You up for wrestling this dick? - Sun Dec  6 20:40:44 2015
<br><br><font color=teal>*Takuma(Brosis55) says: omit - Sun Dec  6 20:40:44 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Weeelll, I just wanted to prove. - Sun Dec  6 20:42:27 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: You won't get me twice with that technique of yours. - Sun Dec  6 20:43:18 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I can teach you a thing or two, if you have the required elements for my teachings atleast. - Sun Dec  6 20:43:18 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....technique? - Sun Dec  6 20:45:52 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...Oh right, you are all elemental stuff. - Sun Dec  6 20:45:52 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Yep. - Sun Dec  6 20:46:43 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: What elements? - Sun Dec  6 20:47:34 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Katon, and Doton. - Sun Dec  6 20:47:34 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...wait, what am I saying. - Sun Dec  6 20:47:34 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I don't know my elements. - Sun Dec  6 20:47:34 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Hm. . . - Sun Dec  6 20:47:34 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Er...Realy? - Sun Dec  6 20:47:34 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: really* - Sun Dec  6 20:48:25 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Oh... okay. - Sun Dec  6 20:49:16 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Eh.. - Sun Dec  6 20:50:59 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: There is always. - Sun Dec  6 20:50:59 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: The leaf in water. - Sun Dec  6 20:50:59 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Trick. - Sun Dec  6 20:50:59 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Ari-chan, How've you been?\ - Sun Dec  6 20:53:32 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I'm alright, how are your taste buds? - Sun Dec  6 20:53:32 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Recovered. - Sun Dec  6 20:54:24 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: I've learned my lesson. - Sun Dec  6 20:54:24 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ....How...do you...not know..your elemental..affininty.... - Sun Dec  6 21:22:33 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...Hm. - Sun Dec  6 21:25:58 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Uh... - Sun Dec  6 21:25:58 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I mean, that wasn't the focus of any of my training. - Sun Dec  6 21:26:49 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: ....! - Sun Dec  6 21:26:49 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Ari... - Sun Dec  6 21:26:49 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...Yeah? - Sun Dec  6 21:26:49 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: -chan. - Sun Dec  6 21:26:49 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Personal.... - Sun Dec  6 21:26:49 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Question.. - Sun Dec  6 21:26:49 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Can you....Climb up walls..? - Sun Dec  6 21:26:49 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .... is that a real question? - Sun Dec  6 21:27:40 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ... - Sun Dec  6 21:27:40 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: I can..... - Sun Dec  6 21:27:40 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: .....Not really. - Sun Dec  6 21:27:40 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: But I meant. - Sun Dec  6 21:27:40 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I don't know suimen. - Sun Dec  6 21:27:40 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Like... - Sun Dec  6 21:28:32 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ..... - Sun Dec  6 21:28:32 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: How.... - Sun Dec  6 21:28:32 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .... - Sun Dec  6 21:28:32 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: That's kind of racist. - Sun Dec  6 21:29:23 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Suime...is something...basic... - Sun Dec  6 21:29:23 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: That'd be pretty cool in all honesty. - Sun Dec  6 21:29:23 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ... I'm not all knowing, Akito-san. - Sun Dec  6 21:30:14 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: I don't know Suimen Either. - Sun Dec  6 21:30:14 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: And no.. I do not climb up the wall like that. - Sun Dec  6 21:30:14 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: I could probably. - Sun Dec  6 21:30:14 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Just have to apply webs to the wall. - Sun Dec  6 21:30:14 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ..... - Sun Dec  6 21:31:05 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: I...can...teach..you both... - Sun Dec  6 21:31:05 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Hm.. - Sun Dec  6 21:31:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ... you sure? - Sun Dec  6 21:34:30 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ....Why...not... - Sun Dec  6 21:36:12 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Alright, sure. - Sun Dec  6 21:37:04 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Come...with me... - Sun Dec  6 21:37:04 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) turned around and walked south
* - Sun Dec  6 21:37:55 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) arrived at the lake/pond thing "Suimen....is...simple..."* - Sun Dec  6 21:39:37 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: All you do...is...walk...on a surface.... - Sun Dec  6 21:40:28 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) focused his chakra on his feet and walked up the wall then turned and look at them "....see...." of course they wouldnt know that he focused chakra at the soles of his feet unless they had some sensory abilities.* - Sun Dec  6 21:41:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Oh great, he's as good of a teacher as Kida. - Sun Dec  6 21:43:02 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: .... - Sun Dec  6 21:44:44 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Tiger.... - Sun Dec  6 21:44:44 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Chakra...controll... - Sun Dec  6 21:44:44 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ...... - Sun Dec  6 21:46:27 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Three...things...can happen.. - Sun Dec  6 21:46:27 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...Yes chakra control, chakra control where? - Sun Dec  6 21:46:27 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: 1... - Sun Dec  6 21:46:27 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: You...do not focus...enough....you slip.... - Sun Dec  6 21:46:27 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: 2..... - Sun Dec  6 21:46:27 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: You....focus.....more..than enough...chakra....you...get...blasted....offf - Sun Dec  6 21:47:18 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: 3..... - Sun Dec  6 21:47:18 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: You....get...the right...amount...and....attach...to the surface... - Sun Dec  6 21:47:18 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: You....apply...it to...what...ever body..part...you want to have...attached..to the surface.. - Sun Dec  6 21:48:09 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Thank you, finally. - Sun Dec  6 21:48:09 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) looked at them and nodded slowly "...Good...job...you have...now increased...your chances...of survival.."* - Sun Dec  6 21:53:16 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .... - Sun Dec  6 21:54:08 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Yay. - Sun Dec  6 21:54:08 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Thank you, Akito-sa--... well, I need to be heading back to him soon. - Sun Dec  6 21:57:32 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Ah really? - Sun Dec  6 21:58:24 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Seems like everytime I see you you're heading out. - Sun Dec  6 21:58:24 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: But if I don't see you before you leave, Stay safe Ari-chan. - Sun Dec  6 21:59:15 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ..... - Sun Dec  6 21:59:15 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Any...time... - Sun Dec  6 21:59:15 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ....I would...very much...like...to know.. - Sun Dec  6 22:00:57 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ....What... - Sun Dec  6 22:00:57 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Hm? - Sun Dec  6 22:00:57 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Your...elemental....affinities... - Sun Dec  6 22:00:57 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Are.... - Sun Dec  6 22:00:57 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Incase...we...are....alike... - Sun Dec  6 22:00:57 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Are you wanting to teach me if we are alike? - Sun Dec  6 22:02:40 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) thinks: Is it because she's a girl? - Sun Dec  6 22:02:40 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) thinks: Sexist. - Sun Dec  6 22:02:40 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ..... - Sun Dec  6 22:03:31 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Depends..... - Sun Dec  6 22:03:31 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ...I am...looking...for more...people....like...me - Sun Dec  6 22:05:13 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: What do you mean by 'like you'? - Sun Dec  6 22:05:13 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: .... - Sun Dec  6 22:06:04 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: That...is...for me...to know... - Sun Dec  6 22:06:04 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: And you...to find out.. - Sun Dec  6 22:06:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....which is why I'm asking? - Sun Dec  6 22:06:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Or do you like playing mysterious and dark. - Sun Dec  6 22:06:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Awfully bright looking to be dark and mysterious. - Sun Dec  6 22:06:56 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ..... - Sun Dec  6 22:07:47 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Unknow..... - Sun Dec  6 22:07:47 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Unknow? - Sun Dec  6 22:08:38 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Unknown* - Sun Dec  6 22:08:38 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Well... - Sun Dec  6 22:09:29 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Do you have a way for me to figure out what elements I have? - Sun Dec  6 22:09:29 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: I figured he'd be off put to me since I'm hardly ever in the village. - Sun Dec  6 22:09:29 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) Shook his head "Only....with...chakra....paper....that....Eiyu...has.."* - Sun Dec  6 22:09:29 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Alright. - Sun Dec  6 22:10:20 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: .... - Sun Dec  6 22:11:12 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: When..you do....come...and ...tell...me..if you...want. - Sun Dec  6 22:11:12 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....alright. - Sun Dec  6 22:11:12 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Will do, Akito-san. - Sun Dec  6 22:11:12 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Strange...why would he be so interested? - Sun Dec  6 22:12:03 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .......... - Sun Dec  6 22:12:03 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) walked down from where he was and began to walk north toward the ramen shop* - Sun Dec  6 22:13:45 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) slolwy turned his head over to look at her "What...are...they?"* - Mon Dec  7 06:55:08 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Water and Fire. - Mon Dec  7 06:56:00 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ..... - Mon Dec  7 06:56:00 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Shame... - Mon Dec  7 06:56:51 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...Oh...does this mean you can't teach me? - Mon Dec  7 06:57:42 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: .... - Mon Dec  7 06:58:33 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Some...things.. - Mon Dec  7 06:58:33 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: But not what you wanted to teach me...huh? - Mon Dec  7 06:58:33 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ....Correct... - Mon Dec  7 06:58:33 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Better than me.. - Mon Dec  7 06:59:24 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I have Lightning and Earth.. - Mon Dec  7 06:59:24 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ....... - Mon Dec  7 07:00:16 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I like Lightning and Earth though... - Mon Dec  7 07:01:07 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: No one around here has water..... - Mon Dec  7 07:01:07 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Light...ning and...earth... - Mon Dec  7 07:01:07 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ....... - Mon Dec  7 07:01:58 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Opposing...element... - Mon Dec  7 07:01:58 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Same...with you...female... - Mon Dec  7 07:01:58 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Opposites attract. - Mon Dec  7 07:01:58 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .... - Mon Dec  7 07:01:58 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: 'Opposites attract' does he think he's cute? - Mon Dec  7 07:02:49 2015
<br><br><font color=teal>*Akito(KazutoAyamu) thinks: Social interaction qouta has been exceeded. - Mon Dec  7 07:09:39 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ..... - Mon Dec  7 07:27:34 2015
<br><br><font color=teal>*Akito(KazutoAyamu) thinks: I will go ahead and take an educated guess and say that he is Sogeki. - Mon Dec  7 07:27:34 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) turned his head forward and nodded slowly "...Sure..." he replied in a monotone voice >It is up to him anyway.< he thought to himself* - Mon Dec  7 07:28:25 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You ready to go then? - Mon Dec  7 07:33:32 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ...... - Mon Dec  7 07:33:32 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Yeah... - Mon Dec  7 07:33:32 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I'll see you around. - Mon Dec  7 07:34:24 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: I'm a very fragile person. *nod*, I declare that a tie. - Mon Dec  7 23:45:29 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Pussy.. but, fine. I don't much care about the bet anyway- I had fun, heh. - Mon Dec  7 23:45:29 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) enters the room and just stares......staring intensified.* - Mon Dec  7 23:48:03 2015
<br><br><font color=teal>*Akito(KazutoAyamu) thinks: ..... - Mon Dec  7 23:51:28 2015
<br><br><font color=teal>*Akito(KazutoAyamu) thinks: And here I thought that I was the only one that is fucked in the head - Mon Dec  7 23:52:19 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) changed his whole demeanor as he brought his right hand up to his zipper and opened up his chollar revealing his suit underneath his coat that was just about coated with Kunai in special pouches and the massive scar on his left cheek that revealed his teeth as his cheek was more of less not there as there were severe burn scars that had healed long ago. Approaching Eiyu silently he would place a hand on his back "What is going on here?" he asked him in a regular voice that was no longer monotoned "A declaration of love? How Infuriating Eiyu, I did not take you for the sentimental type."

He focused his sensing abilites on Eiyu and the female just in case.* - Mon Dec  7 23:57:26 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) anyone with sensing or extraordinary hearing would obviously spot him or in the case of the female that was staring in the direction that he was going to would also spot him.* - Mon Dec  7 23:59:08 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Haku-san? - Tue Dec  8 00:08:32 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Who the fuck is Haku-san? - Tue Dec  8 00:09:23 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) shook his head "Oh it is not a judgement Eiyu, it was a mere comment." he would then look over at Kariudo "Tsk. What did you do to her? Only other time I have seen her on the ground if when Sogeki shot her full of poison." It was clear that the shots were being fired both ways which caused him to chuckle a bit "Well, anyway, I wanted to talk to you about something but I can return once you guys consumate the declaration of love or are you going to reject a fair maidens feelings?"

Note he still has his hand on Eiyus back mostly using his back as a support of sorts* - Tue Dec  8 00:11:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .... - Tue Dec  8 00:16:12 2015
<br><br><font color=teal>*Akito(KazutoAyamu) thinks: ....... - Tue Dec  8 00:25:36 2015
<br><br><font color=teal>*Akito(KazutoAyamu) thinks: Interesting... - Tue Dec  8 00:25:36 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....Nothing. - Tue Dec  8 00:50:20 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) thinks: It was needed. - Tue Dec  8 00:58:52 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Do you rescend relieving me of duty.... - Tue Dec  8 00:59:44 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I do. - Tue Dec  8 00:59:44 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....alright..... - Tue Dec  8 01:00:35 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: .... - Tue Dec  8 01:00:35 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Fun is over? - Tue Dec  8 01:00:35 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: What. - Tue Dec  8 01:00:35 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: I thought you two were going to consumate those feelings for each other. - Tue Dec  8 01:00:35 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: It wasn't fun... I - Oh. - Tue Dec  8 01:00:35 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I have missions. - Tue Dec  8 01:00:35 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: That need completion. - Tue Dec  8 01:00:35 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: And I have some homework. - Tue Dec  8 01:00:35 2015
<br><br><font color=teal>*Takuma(Brosis55) says: -- - Tue Dec  8 01:01:26 2015
<br><br><font color=teal>*Takuma(Brosis55) says: So Kariduo is leaving? - Tue Dec  8 01:01:26 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Forever? - Tue Dec  8 01:01:26 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: No. - Tue Dec  8 01:01:26 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Oh. - Tue Dec  8 01:01:26 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Hm. - Tue Dec  8 01:01:26 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....No.... jeez. - Tue Dec  8 01:01:26 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Fucking dramatic. - Tue Dec  8 01:01:26 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Oh Eiyu. - Tue Dec  8 01:02:17 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hm? - Tue Dec  8 01:02:17 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I heard the Mizukage got some tits. - Tue Dec  8 01:02:17 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Kana...... - Tue Dec  8 01:03:08 2015
<br><br><font color=teal>*Takuma(Brosis55) says: The Kazekage told me that. - Tue Dec  8 01:03:08 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Bout to get Eiji in on it. - Tue Dec  8 01:03:08 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: . . . Eiji might very well be killed. - Tue Dec  8 01:03:08 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Yeah, if that pussy bomb. - Tue Dec  8 01:03:08 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Kana is not a peoples p- - Tue Dec  8 01:04:00 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: @_@ - Tue Dec  8 01:04:00 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: ... - Tue Dec  8 01:04:00 2015
<br><br><font color=teal>*Takuma(Brosis55) says: . . . - Tue Dec  8 01:04:00 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Yes. .  - Tue Dec  8 01:04:00 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I do not think of such things. - Tue Dec  8 01:04:00 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I am a noble man. - Tue Dec  8 01:04:00 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Lies. - Tue Dec  8 01:04:51 2015
<br><br><font color=teal>*Takuma(Brosis55) says: And. - Tue Dec  8 01:04:51 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Slander. - Tue Dec  8 01:04:51 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) thinks: I'll be sure to seal away my stash from now on. - Tue Dec  8 01:04:51 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Judging by the fact that you had a female confess their love to you determined that was a lie - Tue Dec  8 01:04:51 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) thinks: Can't risk being found out... But Misa-Chan is so endowed..~ - Tue Dec  8 01:04:51 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: -- - Tue Dec  8 01:04:51 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: ..Well. - Tue Dec  8 01:05:42 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Lit. - Tue Dec  8 01:05:42 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: It will fade in time. - Tue Dec  8 01:05:42 2015
