<br><font color=teal>*Kilm(Vysasi) says: Tell him I've found Ushi's will . . . - Sun Oct  4 16:56:44 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Seriously though. - Sun Oct  4 18:01:36 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: ...Lera.. - Sun Oct  4 18:02:27 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I'm having a book published. - Sun Oct  4 18:02:27 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: you HAVE to read it. - Sun Oct  4 18:02:27 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Is it called Icha Icha Paradise? - Sun Oct  4 18:02:27 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: -omit- - Sun Oct  4 18:02:27 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: It's called 'The Warrior In Us'. - Sun Oct  4 18:03:18 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I don't know what to do.. - Sun Oct  4 18:05:00 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Seisuke. - Sun Oct  4 18:05:00 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You're stayin with me. - Sun Oct  4 18:05:00 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) thinks: I feel like he doesn't want me to be around Lera so much. - Sun Oct  4 18:05:52 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You've been here from the beggining and you're going to stay here. - Sun Oct  4 18:05:52 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: -- - Sun Oct  4 18:05:52 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Sun Oct  4 18:05:52 2015
<br><br><font color=teal>*Lera(Bailey42) says: If Seisuke is staying so am I. - Sun Oct  4 18:05:52 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) thinks: Dammnit.. - Sun Oct  4 18:05:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: Are we really going to fight with Sand over their own shinobi? - Sun Oct  4 18:06:43 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Right. . . - Sun Oct  4 18:06:43 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: You do realise Koeki will come after you three, right? - Sun Oct  4 18:06:43 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Me too? - Sun Oct  4 18:06:43 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I was never a Kirigakure Shinobi to begin with. - Sun Oct  4 18:06:43 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Yes. - Sun Oct  4 18:06:43 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Koeki will have to learn to respect her elders... - Sun Oct  4 18:07:34 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: If she attacks me, she invokes the rath of Sunagakure. - Sun Oct  4 18:07:34 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Since I am the Kazekage. - Sun Oct  4 18:07:34 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: I see. . . - Sun Oct  4 18:07:34 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Attacking me could ingite a war. - Sun Oct  4 18:07:34 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Something no one wants. - Sun Oct  4 18:07:34 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: I can only imagine. - Sun Oct  4 18:08:25 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: SO...I think this is what they call... - Sun Oct  4 18:08:25 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Why couldn't we just be in an alliance? - Sun Oct  4 18:08:25 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Diplomatic...Immunity...Right? - Sun Oct  4 18:08:25 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Are there any other Kirigakure shinobi here? - Sun Oct  4 18:08:25 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Only Kirie. - Sun Oct  4 18:08:25 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: And she is probably hiding. - Sun Oct  4 18:09:16 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Well. . . Thank you for your time. - Sun Oct  4 18:09:16 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Come back anytime. - Sun Oct  4 18:09:16 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Kirie isn't a shinobi here, she's just a defected rougue. - Sun Oct  4 18:09:16 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: So, do we just ask for missions or...? - Sun Oct  4 18:10:08 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: So I heard we're dangersly close to a new invention. - Sun Oct  4 18:10:59 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: ...Alrighty then. - Sun Oct  4 18:11:50 2015
<br><br><font color=teal>*Lera(Bailey42) says: .. - Sun Oct  4 18:11:50 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Looks like you're stuck with me.~ - Sun Oct  4 18:11:50 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Lera. - Sun Oct  4 18:12:41 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: A new invention? - Sun Oct  4 18:12:41 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I...It's fine. - Sun Oct  4 18:12:41 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Really? - Sun Oct  4 18:13:32 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Sand gliders. - Sun Oct  4 18:14:24 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hm? - Sun Oct  4 18:15:15 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Desert Winds pick up and push the boat-like glider. - Sun Oct  4 18:15:15 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Across the sands. - Sun Oct  4 18:15:15 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: If you go back to Kirigakure... - Sun Oct  4 18:15:15 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: As soon as I see one. - Sun Oct  4 18:15:15 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I'm retiring. - Sun Oct  4 18:15:15 2015
<br><br><font color=teal>*Lera(Bailey42) says: It looks like I can't now. - Sun Oct  4 18:15:15 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: My position goes to the strongest. - Sun Oct  4 18:15:15 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: H-Huh really? - Sun Oct  4 18:15:15 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: And i'm going to sail for the rest of my days. - Sun Oct  4 18:15:15 2015
<br><br><font color=teal>*Lera(Bailey42) says: Yup - Sun Oct  4 18:15:15 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: All i'll need are ciggarettes. - Sun Oct  4 18:16:06 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: That's great! - Sun Oct  4 18:16:06 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Sand Gliders? - Sun Oct  4 18:16:57 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Sounds awesome. - Sun Oct  4 18:16:57 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Right? - Sun Oct  4 18:16:57 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Can I go with you if they're invented? - Sun Oct  4 18:17:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Sure. - Sun Oct  4 18:18:40 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Maybe we'll find burried tresure. - Sun Oct  4 18:19:31 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Sweet. - Sun Oct  4 18:19:31 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Sounds like a good time to me. - Sun Oct  4 18:19:31 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Hassan sir, how do I show my improvement for a better weapon? - Sun Oct  4 18:21:13 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Sand gliders, sounds stupid. - Sun Oct  4 18:21:13 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Pick up a bokken. - Sun Oct  4 18:21:13 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Think about all the sand in your eyes. - Sun Oct  4 18:22:04 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: And prove it. - Sun Oct  4 18:22:04 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: As in fight you sir? - Sun Oct  4 18:22:04 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Well then. - Sun Oct  4 18:22:04 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) thinks: We'll obviously wear goggles on the glider. - Sun Oct  4 18:22:04 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Do you think you can beat me? - Sun Oct  4 18:22:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Yes. - Sun Oct  4 18:22:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: -omit- - Sun Oct  4 18:22:56 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: No, but I think I can do a better job than last time. - Sun Oct  4 18:22:56 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Probably. - Sun Oct  4 18:22:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'd also like to go another round with you one day. - Sun Oct  4 18:23:47 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Are there any rules to the fight? - Sun Oct  4 18:23:47 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: O-oh. - Sun Oct  4 18:23:47 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ABout that mission? - Sun Oct  4 18:23:47 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: When in Suna, theres only one. - Sun Oct  4 18:23:47 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Win. - Sun Oct  4 18:23:47 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Sounds fun. - Sun Oct  4 18:24:38 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Alright then, I don't have a bokken. And I have no idea where they are, so I'll use my tanto. - Sun Oct  4 18:24:38 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: This is him... - Sun Oct  4 18:25:29 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: ---Muhhamed-san. - Sun Oct  4 18:25:29 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I want him in my squad. - Sun Oct  4 18:25:29 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Since Berith dissappeared. - Sun Oct  4 18:25:29 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Berith dissappeared? - Sun Oct  4 18:26:20 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) grabbed the tanto from his back and unsheathed it, he took a few steps back and faced Hassan. ''Please turn around so we can begin sir.''* - Sun Oct  4 18:26:20 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Yeah, It's weird. - Sun Oct  4 18:26:20 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: .... - Sun Oct  4 18:26:20 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Lord Hassan who is squad 2... or am I in the medic corps now... - Sun Oct  4 18:26:20 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: ... - Sun Oct  4 18:26:20 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Alright I need to organize everything I guess. - Sun Oct  4 18:26:20 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Everyone get in a fucking line. - Sun Oct  4 18:27:12 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Don't say anything. - Sun Oct  4 18:27:12 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Do I need to get in a line as well? - Sun Oct  4 18:27:12 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: --- - Sun Oct  4 18:27:12 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Line up. - Sun Oct  4 18:27:12 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) does the same.* - Sun Oct  4 18:27:12 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ..... - Sun Oct  4 18:27:12 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Help your friedns if they don't move. - Sun Oct  4 18:27:12 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: If the line doesnt form, i'l chop off arms. - Sun Oct  4 18:27:12 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: I need my arms. .  - Sun Oct  4 18:28:03 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I suggest you help the people that seemed to not have heard me. - Sun Oct  4 18:28:03 2015
<br><br><font color=teal>*Alastor(LordxPatrick) thinks: No arm...No happy endings... - Sun Oct  4 18:28:03 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Or else you all lose an arm. - Sun Oct  4 18:28:03 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: I just want to prove myself and get a strong katana, such a hassle. - Sun Oct  4 18:28:54 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: .... - Sun Oct  4 18:29:45 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: First things first. - Sun Oct  4 18:30:36 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I want all of my ranks by my side. - Sun Oct  4 18:30:36 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Left hand man. - Sun Oct  4 18:30:36 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: Technically...I'm not even a suna shinobi... - Sun Oct  4 18:30:36 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Right hand man. - Sun Oct  4 18:30:36 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Big line. . . - Sun Oct  4 18:33:10 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Alright. - Sun Oct  4 18:33:10 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: If you want to be a ninja that represents Sunagakure. - Sun Oct  4 18:34:01 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Stay in this line. - Sun Oct  4 18:34:01 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: If not. - Sun Oct  4 18:34:01 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Leave now. - Sun Oct  4 18:34:01 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: Too late to go back now... - Sun Oct  4 18:34:01 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Been one for a while now. - Sun Oct  4 18:34:01 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Anyone else? - Sun Oct  4 18:34:52 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: They can stay. - Sun Oct  4 18:34:52 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: They are citizens. - Sun Oct  4 18:34:52 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Not soldiers. - Sun Oct  4 18:34:52 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Lera, Koeki wants you back in Kirigakure immidietly, are you just notgoing to go back? - Sun Oct  4 18:35:44 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Awww she was training me. - Sun Oct  4 18:36:35 2015
<br><br><font color=teal>*Lera(Bailey42) says: If Seisuke is staying here then i'm staying here too. - Sun Oct  4 18:36:35 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: -omit- - Sun Oct  4 18:37:26 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Alright. - Sun Oct  4 18:38:17 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: So Seisuke. - Sun Oct  4 18:38:17 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Pick your squad members first. - Sun Oct  4 18:38:17 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You're the highest ranking individual. - Sun Oct  4 18:38:17 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: If you want info on any of these indiiduals..Ask them. - Sun Oct  4 18:40:51 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: Huh.. - Sun Oct  4 18:41:42 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: What is he talking about? - Sun Oct  4 18:41:42 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) raises his hands and causes the earth to float up towards a black ball of gravity. ''Know pain. .  Chibaku Tensai!''* - Sun Oct  4 18:41:42 2015
<br><br><font color=teal>*Alastor(LordxPatrick) thinks: Baby don't hurt me no more~ - Sun Oct  4 18:41:42 2015
<br><br><font color=teal>*Lera(Bailey42) says: Pops, Am I going to be a shinobi here then or not? - Sun Oct  4 18:43:24 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Would you please stop acting nice to me like that, since I don't know if I have or how to react. All our words are glowing and flowing up into space, I wanna see your smiling face~. - Sun Oct  4 18:43:24 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) can be seen dancing a bit like a retard.* - Sun Oct  4 18:43:24 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: His name is Trilliam. - Sun Oct  4 18:44:16 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: He is an elementalist. - Sun Oct  4 18:44:16 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: --- - Sun Oct  4 18:45:07 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Next. - Sun Oct  4 18:45:07 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Er.. - Sun Oct  4 18:45:07 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Dunno'. - Sun Oct  4 18:45:07 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Elementalist?  - Sun Oct  4 18:45:07 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: ---Next. - Sun Oct  4 18:45:07 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: So many elementalists... - Sun Oct  4 18:45:58 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Kang, Elementalist. - Sun Oct  4 18:45:58 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: --Next. - Sun Oct  4 18:45:58 2015
<br><br><font color=teal>*Lera(Bailey42) says: Lera. Elementalist... - Sun Oct  4 18:45:58 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: .... - Sun Oct  4 18:45:58 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: ...... - Sun Oct  4 18:45:58 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Next? - Sun Oct  4 18:45:58 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) thinks: I remember when I was an elementalist.. - Sun Oct  4 18:45:58 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) thinks: Then he took an arrow to the knee. - Sun Oct  4 18:45:58 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: ---Something original. - Sun Oct  4 18:46:49 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Next. - Sun Oct  4 18:46:49 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Alastor. Sand Manipulator. - Sun Oct  4 18:46:49 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: ---Another, Next. - Sun Oct  4 18:46:49 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: My name is Harada, Taiga. There are many things I dislike, there isn't anything I like. My dream? I have no dream, but a goal. To kill a certain man. - Sun Oct  4 18:46:49 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: -Omit- - Sun Oct  4 18:46:49 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: I'm Taiga, and I'm good at Kenjutsu, hand to hand and Katon Ninjutsu~. - Sun Oct  4 18:46:49 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: We skilled that other guy. - Sun Oct  4 18:46:49 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Bryson Lyan, Christian Medic - Sun Oct  4 18:46:49 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: --- - Sun Oct  4 18:46:49 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: We skilled that other guy?! Yoda-sama!? - Sun Oct  4 18:46:49 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: -omit- - Sun Oct  4 18:47:40 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: What's a Chrtistian? - Sun Oct  4 18:47:40 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: A religeon, - Sun Oct  4 18:47:40 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Move on. - Sun Oct  4 18:47:40 2015
<br><br><font color=teal>*Alastor(LordxPatrick) thinks: Fake ass shit in the sky. - Sun Oct  4 18:47:40 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: ---I don't care then, Next person. - Sun Oct  4 18:47:40 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Girl at the end? - Sun Oct  4 18:47:40 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: That's Mirai. - Sun Oct  4 18:48:32 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: She specializes in her clan's jutsu and taijutsu. - Sun Oct  4 18:48:32 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I see. - Sun Oct  4 18:48:32 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Hm. - Sun Oct  4 18:48:32 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Similar clan to Koji's. - Sun Oct  4 18:48:32 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: --- - Sun Oct  4 18:48:32 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Alright. - Sun Oct  4 18:48:32 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: .... - Sun Oct  4 18:48:32 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Someone new? - Sun Oct  4 18:49:23 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Ryuga. - Sun Oct  4 18:49:23 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Get in line down here. - Sun Oct  4 18:49:23 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) is still dancing like a retard.* - Sun Oct  4 18:51:05 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) thinks: Look at Taiga, what a retard. - Sun Oct  4 18:51:05 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Got to show my awesome moves! - Sun Oct  4 18:51:05 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Taiga. - Sun Oct  4 18:51:05 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I have one final question. - Sun Oct  4 18:51:05 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Yes? - Sun Oct  4 18:51:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Which do you favor more? Kenjutsu or Katon? - Sun Oct  4 18:51:56 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Hm, I'm better at close range combat. So Kenjutsu. - Sun Oct  4 18:51:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I see, I pick, Taiga, Izanami, and Alastor. - Sun Oct  4 18:51:56 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Cool. - Sun Oct  4 18:52:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yan you pick next. - Sun Oct  4 18:52:48 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: Youth...youth...youth.. - Sun Oct  4 18:52:48 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) thinks: He ...broke us up... wow...... Welp as long as I don't end up with that white eyed mad man. - Sun Oct  4 18:53:39 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ..... - Sun Oct  4 18:53:39 2015
<br><br><font color=teal>*Ryuga(Kazuma12) thinks: What's going on? - Sun Oct  4 18:53:39 2015
<br><br><font color=teal>*Lera(Bailey42) thinks:  Probably better we're not in the same squad...Pops would probably say no anyway.. - Sun Oct  4 18:53:39 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: The new guy at the end is another sand manipulator, right? - Sun Oct  4 18:53:39 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Ask him. - Sun Oct  4 18:53:39 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Wait, Muhhamed-san. - Sun Oct  4 18:53:39 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ... - Sun Oct  4 18:53:39 2015
<br><br><font color=teal>*Ryuga(Kazuma12) says: Yes, I can use sand. - Sun Oct  4 18:54:30 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: There's an odd number of people present, I'll take an extra. - Sun Oct  4 18:54:30 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: No seisuke, - Sun Oct  4 18:54:30 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: It's all accoridng to plan. - Sun Oct  4 18:54:30 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: All according to keikaku. *Aizen face* - Sun Oct  4 18:55:21 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: -omit- - Sun Oct  4 18:55:21 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Bryson, Lera and Kang. - Sun Oct  4 18:56:12 2015
<br><br><font color=teal>*Ryuga(Kazuma12) says: So what's all of this for anyway? - Sun Oct  4 18:57:55 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Squads. - Sun Oct  4 18:58:46 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yan is that your final choice? - Sun Oct  4 18:58:46 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Those three? - Sun Oct  4 18:59:37 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) can be seen dancing, but his retard moves are now sick tricks.* - Sun Oct  4 18:59:37 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) thinks: Taiga needs to stop, his dance moves be making me jealous. - Sun Oct  4 18:59:37 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ...On second thought, I will exchange Lera for Ryu. - Sun Oct  4 19:00:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Sun Oct  4 19:00:28 2015
