<br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Who is he? - Wed Oct  7 17:40:41 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *nod* - Wed Oct  7 22:27:24 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Sigh. - Wed Oct  7 22:33:23 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: That will take time. - Wed Oct  7 22:33:23 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Time is annoying to wait for. - Wed Oct  7 22:33:23 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I'm sorry. - Wed Oct  7 22:34:14 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I do not know names. I've seen people with those eyes. - Wed Oct  7 22:35:56 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Appearance, maybe? - Wed Oct  7 22:36:48 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Not that I can remember that quick, sorry. - Wed Oct  7 22:38:30 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: You have time to think. - Wed Oct  7 22:40:12 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mmm.. - Wed Oct  7 22:41:04 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: You know what. Once I see people. I will send you a letter with a description of them alright? - Wed Oct  7 22:41:04 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: .... - Wed Oct  7 22:41:55 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Right, then. - Wed Oct  7 22:41:55 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: omit - - Wed Oct  7 22:41:55 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) does hax doj skillz and takes that albino's eyes instead.* - Wed Oct  7 22:41:55 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: -omit- - Wed Oct  7 22:42:46 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mmmhm. - Wed Oct  7 22:44:28 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Another thing. - Wed Oct  7 22:51:18 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Before I leave. - Wed Oct  7 22:52:09 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mm. - Wed Oct  7 22:52:09 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: What I have told and shown you today, is not to be discussed with the others with the same eyes.  - Wed Oct  7 22:52:09 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I know that, Suitengu. Your secret is mine. I will not tell anyone. - Wed Oct  7 22:52:09 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Good.. - Wed Oct  7 22:53:00 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) blinked, one finger up his nose and another holding some weird magazine. ''Hm? Oh, so you're still alive. Good for you.'' He was only half paying attention, probably just happened to walk by while reading. And he wasn't the type for celebrating a reunion anyway.* - Wed Oct  7 22:58:59 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) blinked, pulling the finger out of his nose and flicking away whatever he found inside. His attention now directed at Suitengu, just like the boy wanted. ''Okay, may have been rude of me. Let's start again. Hey Suitengu, nice to see you. I'm glad you're still alive.'' Taiga didn't smile like usual, feeling a bit upset about his magazine being taken away from him.* - Wed Oct  7 23:03:15 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: You need to listen, and listen closely. - Wed Oct  7 23:04:57 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Do you understand me. - Wed Oct  7 23:04:57 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . .  Okay? - Wed Oct  7 23:04:57 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: You have heard of the recent death of the Mizukage have you not? - Wed Oct  7 23:04:57 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . . What? - Wed Oct  7 23:05:48 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) had a honestly surprised expression on his face.* - Wed Oct  7 23:05:48 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: This is the first time I've heard of that. - Wed Oct  7 23:05:48 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . .  Who's that man? - Wed Oct  7 23:07:31 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: You have heard the name, Edge before. Correct? - Wed Oct  7 23:08:22 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: If you had, good. If not. Remember it. - Wed Oct  7 23:08:22 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Y-Yeah, you told me about him before. You said he wanted to do research on us. . - Wed Oct  7 23:08:22 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) didn't know much about Edge in the first place. But he could come to the conclusion that the man was dangerous. His eyes shifted over to Reisen for a moment, having no idea who the woman was. And then he returned his attention back to Suitengu. ''I see, thank you for telling me this. Could you tell me what Edge looks like?'' He'd like to have a visual so he'd be able to haul ass the moment Edge would appear before him.* - Wed Oct  7 23:13:29 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) raised his eyebrows for a moment, remembering what the boy meant. ''Oh, right of course.'' He couldn't believe himself, forgetting something so simple. ''Well, thank you Suitengu. I'll be extra careful from now on. . But could I have my magazine back?'' Taiga's left hand opened up, his palm infront of the boy.* - Wed Oct  7 23:24:35 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . . . - Wed Oct  7 23:28:00 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Eh, you're a bit too young for those magazines Suitengu. - Wed Oct  7 23:28:00 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Too much créme frache y'feel me? - Wed Oct  7 23:28:51 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: -omit- - Wed Oct  7 23:28:51 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Did she just sprout wings? - Wed Oct  7 23:28:51 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: They're mine. I taught you something, I get to keep whatever this is. - Wed Oct  7 23:28:51 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . .  - Wed Oct  7 23:28:51 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Well alright then. - Wed Oct  7 23:28:51 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Hope he doesn't actually read it. - Wed Oct  7 23:29:42 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: I get the feeling that Suitengu really likes me. - Wed Oct  7 23:31:24 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: -omit- - Wed Oct  7 23:31:24 2015
<br><br><font color=teal>*Reisen(BigBootyJudy) says: Please be safe. Suitengu cares about you, sir. . . - Wed Oct  7 23:31:24 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . . . - Wed Oct  7 23:31:24 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Is this woman stupid? - Wed Oct  7 23:32:16 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: That kid wants me to get killed, look at his eyes. Damn. - Wed Oct  7 23:32:16 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: -omit- - Wed Oct  7 23:32:16 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: He couldn't care less about my well being. - Wed Oct  7 23:32:16 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: You have wings. - Wed Oct  7 23:35:40 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: So. .  Nobody is going to talk about the fact that this woman has like, no shirt on? - Wed Oct  7 23:35:40 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: I'm not surprised that you are here of all places. - Wed Oct  7 23:36:32 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Screw my dirty magazines, don't need them now. - Wed Oct  7 23:36:32 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Yeah, I tried to kill Yan. He ran. - Wed Oct  7 23:36:32 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Now I have to kill Violet. - Wed Oct  7 23:36:32 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Always have a list to go through, huh? - Wed Oct  7 23:36:32 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I really do. - Wed Oct  7 23:37:23 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . . . - Wed Oct  7 23:37:23 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: I know that voice, and I am not happy to hear it. - Wed Oct  7 23:37:23 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Plan on staying long? - Wed Oct  7 23:37:23 2015
<br><br><font color=teal>*Reisen(BigBootyJudy) says: Would you like me to give him a ride too or such, Suitengu? - Wed Oct  7 23:37:23 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: A little longer. - Wed Oct  7 23:38:14 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Probably till the day's end. - Wed Oct  7 23:38:14 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I see Taiga is still alive. - Wed Oct  7 23:39:05 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . . .Y-Yo. - Wed Oct  7 23:39:05 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) slowly turns his head around to face Baen, sweat sliding down his face like a waterfall.* - Wed Oct  7 23:39:05 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: So what are we doing. - Wed Oct  7 23:39:56 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: He lives or dies? - Wed Oct  7 23:39:56 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Eh? - Wed Oct  7 23:39:56 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) turned his head back to Suitengu with a confused expression.* - Wed Oct  7 23:39:56 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Why, would he ask you that Suitengu? - Wed Oct  7 23:40:48 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) thinks: Oh. Awkward. - Wed Oct  7 23:40:48 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) thinks: Guess he has to die now. - Wed Oct  7 23:40:48 2015
<br><br><font color=teal>*Reisen(BigBootyJudy) whispers: Let's get out of here fast. . . - Wed Oct  7 23:48:28 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) held on to the magazine, ACTING relieved. Baen and Haru had spoken before, and that question certainly made him question the boy's intentions. ''I won't forget.'' His eyes went back to Baen for a moment, his eyes trying to tell him something along the lines of ''Well, that answered one of my questions I asked you last time.''

After that his eyes met Reisen's chest, and back to his magazine for a second but then back to her chest. And finally her face. ''. . .I want so say nice. .  '' He thought, but then he actually spoke. ''Ehm, maybe you should dress a bit more modest.''* - Wed Oct  7 23:48:28 2015
<br><br><font color=teal>*Reisen(BigBootyJudy) says: Hmm. . .I think this is fine. . .The mesh makes it so you see nothing. - Wed Oct  7 23:49:20 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Right. . - Wed Oct  7 23:51:02 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Well, I know what I'm going to use tonight. - Wed Oct  7 23:51:02 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) shifted his attention to the boy, for a moment he knew what he had to do, dropping the magazine and reaching for the weapon on his back. But then it dawned on him, he wasn't fast enough. Not only that, the boy had two people with him. What if he dodged that? He knew how strong Baen was, the teenager was done for. And he never did anything wrong, just an innocent young man who was pulled into this mess.

His expression changed to a mixture of grief, sadness and dissapointment. Everything he remembered about Suitengu came to his mind in his final moments, and everything clicked together. He should've trusted his guts in the end. His eyes stared at the boy, coldly as he managed to get out his last few sentences. ''So it was you. . '' It took only a split second for him to make his last line with a wide grin, smiling at death. ''You're a monster.''

After that it was as the boy had acted out, Taiga died a quick death and had his body held up by him and his freaky multiple arm body. Well, astleast he didn't have to be scared of getting ganked twenty-four/seven.* - Thu Oct  8 00:17:29 2015
