<br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Doesn't even share. - Sun Oct  4 23:52:19 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I can also turn you into a unicorn? - Mon Oct  5 18:05:26 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . . . - Mon Oct  5 18:05:26 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Come. - Mon Oct  5 18:05:26 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Ehm, let's put it like this. Something that keeps me a human, and won't be noticable? - Mon Oct  5 18:06:17 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Where does she come up with those scary ideas? - Mon Oct  5 18:06:17 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Not noticable. - Mon Oct  5 18:06:17 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Hm. - Mon Oct  5 18:06:17 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Somehow that feels like an insult. - Mon Oct  5 18:08:00 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: But that sounds a little more reasonable. - Mon Oct  5 18:08:00 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: I don't think having two mouths would really do anything positive anyway. - Mon Oct  5 18:08:51 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: That doesn't matter. - Mon Oct  5 18:09:42 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Well, people are after my eyes. So if you modify me in anyway I'd like it to be useful. - Mon Oct  5 18:10:33 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Your eyes hm.. - Mon Oct  5 18:10:33 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) walked out of the door, wondering what idea Zenaki would come with next.* - Mon Oct  5 18:11:24 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Sure. - Mon Oct  5 18:13:07 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I also shouldn't have brung you into that . . . Sorry. - Mon Oct  5 18:15:40 2015
<br><br><font color=teal>*Learius(Josh1220) says: You don't say? - Mon Oct  5 18:16:32 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Wasn't expecting.... - Mon Oct  5 18:19:05 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: That person to be up to anything shady. Thought...said person was more stable than that. - Mon Oct  5 18:19:56 2015
<br><br><font color=teal>*Kilm(Vysasi) says: So, Learius . . . Do you train? - Mon Oct  5 18:25:04 2015
<br><br><font color=teal>*Learius(Josh1220) says: Not really. Was planning to start. - Mon Oct  5 18:28:28 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Hm, Would you mind training with me? - Mon Oct  5 18:31:02 2015
<br><br><font color=teal>*Learius(Josh1220) says: Fine.. - Mon Oct  5 18:34:27 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Want to join us, Katsune? - Mon Oct  5 18:35:18 2015
<br><br><font color=teal>*Shin(Yaori) says: I wandered for a time, honing my skills. - Mon Oct  5 18:39:34 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) just appears and shit.* - Mon Oct  5 18:39:34 2015
<br><br><font color=teal>*Shin(Yaori) says: And appeared here. - Mon Oct  5 18:40:25 2015
<br><br><font color=teal>*Beth(Ej900) says: Zenaki I'm here becase I'm moving on with life. - Mon Oct  5 18:40:25 2015
<br><br><font color=teal>*Beth(Ej900) says: I just happen to come to suna. - Mon Oct  5 18:40:25 2015
<br><br><font color=teal>*Beth(Ej900) says: Hot ass village. - Mon Oct  5 18:40:25 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mm.. I see. - Mon Oct  5 18:40:25 2015
<br><br><font color=teal>*Shin(Yaori) says: Back to the matter at hand - Mon Oct  5 18:40:25 2015
<br><br><font color=teal>*Shin(Yaori) says: What happened to you Zenaki - Mon Oct  5 18:41:16 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: I feel surrounded.. As if I am getting caught soon. - Mon Oct  5 18:41:16 2015
<br><br><font color=teal>*Beth(Ej900) says: How about we get some tea Zenaki. - Mon Oct  5 18:41:16 2015
<br><br><font color=teal>*Shin(Yaori) says: You're different now. I don't like it - Mon Oct  5 18:42:59 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Is something wrong? - Mon Oct  5 18:44:41 2015
<br><br><font color=teal>*Shin(Yaori) says: Zenaki, you are acting weird, whya re you being so different? - Mon Oct  5 18:44:41 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I.. Am not different?  - Mon Oct  5 18:44:41 2015
<br><br><font color=teal>*Shin(Yaori) says: Well - Mon Oct  5 18:45:32 2015
<br><br><font color=teal>*Shin(Yaori) says: Maybe I said that wrong - Mon Oct  5 18:45:32 2015
<br><br><font color=teal>*Beth(Ej900) says: Though I am very happy I found you. - Mon Oct  5 18:45:32 2015
<br><br><font color=teal>*Shin(Yaori) says: I thought you were comYou are acting distant - Mon Oct  5 18:45:32 2015
<br><br><font color=teal>*Beth(Ej900) says: Now I don't have to try and hunt you down. - Mon Oct  5 18:46:24 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: ... - Mon Oct  5 18:46:24 2015
<br><br><font color=teal>*Beth(Ej900) says: I still think she hit her head on a rock. - Mon Oct  5 18:47:15 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I'm just a bit blown away that actually everybody from Konoha came here.  - Mon Oct  5 18:47:15 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I did not. - Mon Oct  5 18:47:15 2015
<br><br><font color=teal>*Beth(Ej900) says: Right. - Mon Oct  5 18:48:06 2015
<br><br><font color=teal>*Shin(Yaori) says: Hmph - Mon Oct  5 18:48:06 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: So . . Is something wrong? - Mon Oct  5 18:48:06 2015
<br><br><font color=teal>*Beth(Ej900) says: Whats with the voice? - Mon Oct  5 18:48:06 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: My voice? - Mon Oct  5 18:48:06 2015
<br><br><font color=teal>*Shin(Yaori) thinks: Katsune used to act like that when she was sealed. I wonder if Zenaki is as well . . . . There's no way she would tell us something like that though, even if she could. - Mon Oct  5 18:48:06 2015
<br><br><font color=teal>*Beth(Ej900) says: Not the same. It's more depressing very. But whatever floats your boat Zenaki. - Mon Oct  5 18:48:57 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Depressing huh. - Mon Oct  5 18:49:48 2015
<br><br><font color=teal>*Shin(Yaori) says: Yeah - Mon Oct  5 18:49:48 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I am not depressed at all. - Mon Oct  5 18:49:48 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I'm all fine. - Mon Oct  5 18:49:48 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Kind of happy. If I say that right. - Mon Oct  5 18:49:48 2015
<br><br><font color=teal>*Shin(Yaori) says: . . . - Mon Oct  5 18:49:48 2015
<br><br><font color=teal>*Beth(Ej900) says: Got a place here? - Mon Oct  5 18:50:40 2015
<br><br><font color=teal>*Shin(Yaori) thinks: I've studied Zenaki far too long, she's acting out of character. If she's lying, I intend to find out why. - Mon Oct  5 18:50:40 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I have a house, yes. - Mon Oct  5 18:51:31 2015
<br><br><font color=teal>*Beth(Ej900) says: So you have been here for some time now. - Mon Oct  5 18:52:22 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Quite a time, yes. - Mon Oct  5 18:52:22 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I still wonder why they ran off. - Mon Oct  5 18:53:13 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I am not that scary. Right? - Mon Oct  5 18:53:13 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Eh, well. You're nice. But you do have some creepyness to you Zenaki. - Mon Oct  5 18:53:13 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Your monotone voice and face. And you ask for people's blood. - Mon Oct  5 18:54:04 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: It's a bit, 'different'. - Mon Oct  5 18:54:04 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I asked for his blood for experiments. - Mon Oct  5 18:54:56 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: And I don't like hugs. - Mon Oct  5 18:54:56 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Zenaki, did you come up with a new idea yet? - Mon Oct  5 18:55:47 2015
<br><br><font color=teal>*Beth(Ej900) says: That's kind of sad. - Mon Oct  5 18:55:47 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Not yet. - Mon Oct  5 18:56:38 2015
<br><br><font color=teal>*Beth(Ej900) says: I find my friend and shes all changed. - Mon Oct  5 18:56:38 2015
<br><br><font color=teal>*Beth(Ej900) says: -sighs- - Mon Oct  5 18:56:38 2015
<br><br><font color=teal>*Beth(Ej900) says: Maybe you can invite me to your house and we can catch up. - Mon Oct  5 18:56:38 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I can.. Make everybody pizza? - Mon Oct  5 18:57:29 2015
<br><br><font color=teal>*Shin(Yaori) says: Pizza . . . - Mon Oct  5 18:57:29 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Or. Something else? - Mon Oct  5 18:57:29 2015
<br><br><font color=teal>*Shin(Yaori) says: I don't like cheese - Mon Oct  5 18:57:29 2015
<br><br><font color=teal>*Beth(Ej900) says: That's fine. - Mon Oct  5 18:57:29 2015
<br><br><font color=teal>*Beth(Ej900) says: Shin stop being a mood killer. - Mon Oct  5 18:57:29 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: I'm not that hungry. - Mon Oct  5 18:58:20 2015
<br><br><font color=teal>*Shin(Yaori) says: What? - Mon Oct  5 18:58:20 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: What about curry? - Mon Oct  5 18:58:20 2015
<br><br><font color=teal>*Shin(Yaori) says: I don't she knows this - Mon Oct  5 18:58:20 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Or.. Such? - Mon Oct  5 18:58:20 2015
<br><br><font color=teal>*Beth(Ej900) says: Doesn't matter what the food is. - Mon Oct  5 18:58:20 2015
<br><br><font color=teal>*Shin(Yaori) says: Fine then, allow me to accompany you both - Mon Oct  5 18:58:20 2015
<br><br><font color=teal>*Shin(Yaori) says: And you Taiga? - Mon Oct  5 18:58:20 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: I'll come along, but I'm not hungry. - Mon Oct  5 18:58:20 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: That's fine. - Mon Oct  5 18:58:20 2015
<br><br><font color=teal>*Shin(Yaori) thinks: Analysis will be furthered liek this. - Mon Oct  5 18:59:12 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Wasn't going to do that anyway, too crowded for my taste. - Mon Oct  5 19:00:03 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Hm..Yo'. - Mon Oct  5 19:00:54 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Any of you down for a spar? I'm looking for an opponent for training. - Mon Oct  5 19:02:36 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: We were about to eat piza. - Mon Oct  5 19:03:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: A berith pizza? - Mon Oct  5 19:03:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: <omit> - Mon Oct  5 19:03:28 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Hm? - Mon Oct  5 19:04:19 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: So that's a no, hm? - Mon Oct  5 19:04:19 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mhm. Wanna join the pizza? - Mon Oct  5 19:04:19 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'm good. - Mon Oct  5 19:04:19 2015
<br><br><font color=teal>*Shin(Yaori) thinks: A spar? I'm interested- - Mon Oct  5 19:04:19 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I need to find someone to train with. - Mon Oct  5 19:04:19 2015
<br><br><font color=teal>*Shin(Yaori) thinks: Did she ask him to join the pizza? - Mon Oct  5 19:04:19 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I've already eaten my morning meal. - Mon Oct  5 19:04:19 2015
<br><br><font color=teal>*Shin(Yaori) thinks: She's - Mon Oct  5 19:05:10 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Enjoy. - Mon Oct  5 19:05:10 2015
<br><br><font color=teal>*Shin(Yaori) thinks: Eating - Mon Oct  5 19:05:10 2015
<br><br><font color=teal>*Shin(Yaori) thinks: People - Mon Oct  5 19:05:10 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) just sits wherever and sharpens a kunai.* - Mon Oct  5 19:09:26 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: I am not thata scary. - Mon Oct  5 19:10:17 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: that* - Mon Oct  5 19:10:17 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: What an awkward silence. - Mon Oct  5 19:11:08 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: .... - Mon Oct  5 19:11:08 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: How are you guys? - Mon Oct  5 19:11:08 2015
<br><br><font color=teal>*Shin(Yaori) says: I am - Mon Oct  5 19:11:08 2015
<br><br><font color=teal>*Shin(Yaori) says: Relatively . . . - Mon Oct  5 19:11:08 2015
<br><br><font color=teal>*Shin(Yaori) says: Confused. - Mon Oct  5 19:11:08 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Why? - Mon Oct  5 19:11:08 2015
<br><br><font color=teal>*Shin(Yaori) says: I . . . - Mon Oct  5 19:11:08 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: ...? - Mon Oct  5 19:12:00 2015
<br><br><font color=teal>*Shin(Yaori) says: It's complicated - Mon Oct  5 19:12:00 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: You can tell me. - Mon Oct  5 19:12:00 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: I wonder when Master comes home. - Mon Oct  5 19:12:00 2015
<br><br><font color=teal>*Shin(Yaori) says: And I'm not saying that as some wannabe main character out of some manga - Mon Oct  5 19:12:00 2015
<br><br><font color=teal>*Shin(Yaori) says: Or some shonen hero or something - Mon Oct  5 19:12:00 2015
<br><br><font color=teal>*Beth(Ej900) says: I don't have time to waist with you Zenakil - Mon Oct  5 19:12:00 2015
<br><br><font color=teal>*Beth(Ej900) says: What the fuck is wrong with you? - Mon Oct  5 19:12:00 2015
<br><br><font color=teal>*Shin(Yaori) says: I- - Mon Oct  5 19:12:00 2015
<br><br><font color=teal>*Shin(Yaori) says: Well - Mon Oct  5 19:12:51 2015
<br><br><font color=teal>*Shin(Yaori) says: yeah - Mon Oct  5 19:12:51 2015
<br><br><font color=teal>*Shin(Yaori) says: That too - Mon Oct  5 19:12:51 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: My, how ruse. - Mon Oct  5 19:12:51 2015
<br><br><font color=teal>*Beth(Ej900) says: You have changed women. I ean I'm sure you were off back whenw e were in Konoha and in ame. - Mon Oct  5 19:12:51 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I didn't change, Beth. - Mon Oct  5 19:13:42 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Nothing at all. - Mon Oct  5 19:13:42 2015
<br><br><font color=teal>*Shin(Yaori) says: For someone who hasn't changed - Mon Oct  5 19:13:42 2015
<br><br><font color=teal>*Shin(Yaori) says: You sure have got your friends confused - Mon Oct  5 19:13:42 2015
<br><br><font color=teal>*Beth(Ej900) says: Oh and call me Hanae. - Mon Oct  5 19:14:33 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I call you how I like to call you. - Mon Oct  5 19:14:33 2015
<br><br><font color=teal>*Beth(Ej900) says: -smirks- - Mon Oct  5 19:14:33 2015
<br><br><font color=teal>*Beth(Ej900) says: Is that so? - Mon Oct  5 19:14:33 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: You're still Beth to me. You look different. But it's still Beth.  - Mon Oct  5 19:14:33 2015
<br><br><font color=teal>*Beth(Ej900) says: It's Hanae now. Okay just go with it. - Mon Oct  5 19:15:24 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Nah. - Mon Oct  5 19:15:24 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: It's Beth. - Mon Oct  5 19:15:24 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: And. - Mon Oct  5 19:15:24 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: How did I get my friends confused? - Mon Oct  5 19:15:24 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Are we going to play childish games? - Mon Oct  5 19:16:16 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: What a troublesome bunch. - Mon Oct  5 19:16:16 2015
<br><br><font color=teal>*Beth(Ej900) says: If it'll make you call me Hanae why sure. - Mon Oct  5 19:17:07 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Beth. - Mon Oct  5 19:17:07 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Different topic maybe? - Mon Oct  5 19:17:07 2015
<br><br><font color=teal>*Shin(Yaori) says: Agreed - Mon Oct  5 19:17:07 2015
<br><br><font color=teal>*Shin(Yaori) says: This hostility is unwarranted - Mon Oct  5 19:17:07 2015
<br><br><font color=teal>*Shin(Yaori) says: This is a reunion after all - Mon Oct  5 19:17:58 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Different topic? - Mon Oct  5 19:17:58 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Which one? - Mon Oct  5 19:17:58 2015
<br><br><font color=teal>*Shin(Yaori) says: Yes - Mon Oct  5 19:17:58 2015
<br><br><font color=teal>*Shin(Yaori) says: How about the question that we've failed to ask since seeing you Zenaki - Mon Oct  5 19:17:58 2015
<br><br><font color=teal>*Shin(Yaori) says: How are you? - Mon Oct  5 19:17:58 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I'm fine. - Mon Oct  5 19:17:58 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: You? - Mon Oct  5 19:17:58 2015
<br><br><font color=teal>*Shin(Yaori) says: How are you REALLY - Mon Oct  5 19:18:49 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Fine. - Mon Oct  5 19:18:49 2015
<br><br><font color=teal>*Shin(Yaori) says: Fine fine - Mon Oct  5 19:18:49 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Happy. To say atleast hm. - Mon Oct  5 19:18:49 2015
<br><br><font color=teal>*Shin(Yaori) says: As I have said before, I'm thoroughly confused - Mon Oct  5 19:18:49 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: I'm Masters own now after all~ - Mon Oct  5 19:18:49 2015
<br><br><font color=teal>*Shin(Yaori) thinks: !! - Mon Oct  5 19:18:49 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Hm? - Mon Oct  5 19:19:40 2015
<br><br><font color=teal>*Shin(Yaori) says: Where is - Mon Oct  5 19:19:40 2015
<br><br><font color=teal>*Shin(Yaori) says: Suitengu? - Mon Oct  5 19:19:40 2015
<br><br><font color=teal>*Beth(Ej900) says: That little kid. - Mon Oct  5 19:19:40 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . .  - Mon Oct  5 19:19:40 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: He never came here. - Mon Oct  5 19:19:40 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: He might be dead. - Mon Oct  5 19:20:32 2015
<br><br><font color=teal>*Beth(Ej900) says: It's sad to see him with out his mothe ror father around. - Mon Oct  5 19:20:32 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: He is fine. - Mon Oct  5 19:20:32 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: Still need to contact him. - Mon Oct  5 19:20:32 2015
<br><br><font color=teal>*Beth(Ej900) says: Though being the child of ZEtsumo I guess he'll handle him self. - Mon Oct  5 19:20:32 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: About the heart - Mon Oct  5 19:21:23 2015
<br><br><font color=teal>*Shin(Yaori) says: I had seen him on my ventures here - Mon Oct  5 19:21:23 2015
<br><br><font color=teal>*Shin(Yaori) says: I assumed he was headed this way - Mon Oct  5 19:21:23 2015
<br><br><font color=teal>*Shin(Yaori) says: As I was, he was observing the rubble of the leaf village - Mon Oct  5 19:21:23 2015
<br><br><font color=teal>*Shin(Yaori) says: But I digress, how long does this pizza take? - Mon Oct  5 19:22:14 2015
<br><br><font color=teal>*Beth(Ej900) thinks: Maybe the other will leave and I'll be able to have a one on one talk with Zenaki. Sadly I forgot to bring rope with me. - Mon Oct  5 19:23:56 2015
<br><br><font color=teal>*Beth(Ej900) thinks: Shisui is better. - Mon Oct  5 19:24:48 2015
<br><br><font color=teal>*Beth(Ej900) thinks: Sushi* - Mon Oct  5 19:24:48 2015
<br><br><font color=teal>*Shin(Yaori) says: No . . . cheese? - Mon Oct  5 19:24:48 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: You didn't like cheese. - Mon Oct  5 19:24:48 2015
<br><br><font color=teal>*Shin(Yaori) thinks: How considerate. - Mon Oct  5 19:25:39 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: How does it taste? - Mon Oct  5 19:26:30 2015
<br><br><font color=teal>*Shin(Yaori) says: I don't know - Mon Oct  5 19:26:30 2015
<br><br><font color=teal>*Shin(Yaori) says: I haven't taken a bite - Mon Oct  5 19:26:30 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Then take one. - Mon Oct  5 19:26:30 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: As always~ Delicious ofcourse. Everyone likes my pizza. - Mon Oct  5 19:26:30 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Some other girl loved it so much she asked me to make a pizza three times as big. - Mon Oct  5 19:27:21 2015
<br><br><font color=teal>*Shin(Yaori) thinks: Th-this! - Mon Oct  5 19:27:21 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: She ate it whole. - Mon Oct  5 19:27:21 2015
<br><br><font color=teal>*Shin(Yaori) thinks: This is nerve racking - Mon Oct  5 19:27:21 2015
<br><br><font color=teal>*Shin(Yaori) thinks: Why do I feel so hesitatnt - Mon Oct  5 19:27:21 2015
<br><br><font color=teal>*Shin(Yaori) thinks: Why am I so afraid to take a bite - Mon Oct  5 19:28:12 2015
<br><br><font color=teal>*Shin(Yaori) thinks: Something inside of me is just . . .. it's just! - Mon Oct  5 19:28:12 2015
<br><br><font color=teal>*Beth(Ej900) says: Zenaki do you have any fish? - Mon Oct  5 19:29:04 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Sure. - Mon Oct  5 19:29:04 2015
<br><br><font color=teal>*Shin(Yaori) thinks: I can't - Mon Oct  5 19:29:04 2015
<br><br><font color=teal>*Shin(Yaori) thinks: I can't! - Mon Oct  5 19:29:04 2015
<br><br><font color=teal>*Beth(Ej900) says: Doy ou have rice? - Mon Oct  5 19:29:04 2015
<br><br><font color=teal>*Shin(Yaori) thinks: This pizza, it  - Mon Oct  5 19:29:04 2015
<br><br><font color=teal>*Shin(Yaori) thinks: It has its own killing intent, like its haunting me simply for looking at it - Mon Oct  5 19:29:55 2015
<br><br><font color=teal>*Shin(Yaori) thinks: This pizza . . . ! I . . .  I- - Mon Oct  5 19:29:55 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) stares at Shin. ''It's rude to touch food and then not eat it.''* - Mon Oct  5 19:29:55 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Eat it. - Mon Oct  5 19:30:46 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: It's delicious. - Mon Oct  5 19:30:46 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I promise you. - Mon Oct  5 19:30:46 2015
<br><br><font color=teal>*Shin(Yaori) thinks: WHy does everyone want me to eat it so bad? - Mon Oct  5 19:30:46 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: So, how does it taste Shin? - Mon Oct  5 19:33:20 2015
<br><br><font color=teal>*Shin(Yaori) says: I can't really explain it. - Mon Oct  5 19:34:11 2015
<br><br><font color=teal>*Shin(Yaori) says: It tastes like - Mon Oct  5 19:34:11 2015
<br><br><font color=teal>*Shin(Yaori) says: Food? - Mon Oct  5 19:34:11 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Well that's obvious. - Mon Oct  5 19:34:11 2015
<br><br><font color=teal>*Shin(Yaori) says: Though I feel sick. I don't think I can finish it. - Mon Oct  5 19:35:02 2015
<br><br><font color=teal>*Shin(Yaori) thinks: In truth, my nervousness has made my stomach upset. - Mon Oct  5 19:35:02 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Come on. You only aate a bit. - Mon Oct  5 19:35:02 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Try it out. - Mon Oct  5 19:35:02 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: It's delicious. - Mon Oct  5 19:35:02 2015
<br><br><font color=teal>*Shin(Yaori) says: Sorry, I shouldn't have eaten so much ramen before. - Mon Oct  5 19:35:53 2015
<br><br><font color=teal>*Shin(Yaori) says: What is this pizza constructed of - Mon Oct  5 19:37:36 2015
<br><br><font color=teal>*Shin(Yaori) says: I've never had it before now - Mon Oct  5 19:37:36 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Pork. - Mon Oct  5 19:37:36 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: -omit- - Mon Oct  5 19:37:36 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Love rival. - Mon Oct  5 19:37:36 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: -omit- - Mon Oct  5 19:37:36 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Dough, tomato sauce, vegatables and meat? - Mon Oct  5 19:38:27 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Nothing more. - Mon Oct  5 19:38:27 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I promise. - Mon Oct  5 19:38:27 2015
<br><br><font color=teal>*Shin(Yaori) says: Which vegetables? - Mon Oct  5 19:38:27 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: You can see it. - Mon Oct  5 19:38:27 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: There is no poison in it. - Mon Oct  5 19:38:27 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I don't die. - Mon Oct  5 19:38:27 2015
<br><br><font color=teal>*Shin(Yaori) says: But - Mon Oct  5 19:39:18 2015
<br><br><font color=teal>*Shin(Yaori) says: What is in it - Mon Oct  5 19:39:18 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Hm.. - Mon Oct  5 19:39:18 2015
<br><br><font color=teal>*Shin(Yaori) says: I kinda don't like alot of v- - Mon Oct  5 19:39:18 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: .......... - Mon Oct  5 19:39:18 2015
<br><br><font color=teal>*Shin(Yaori) says: Uh - Mon Oct  5 19:39:18 2015
<br><br><font color=teal>*Shin(Yaori) says: I don't like alove of v- - Mon Oct  5 19:39:18 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: ............... - Mon Oct  5 19:39:18 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: ................................... - Mon Oct  5 19:39:18 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Of? - Mon Oct  5 19:39:18 2015
